"BirdieorBetterConversionPercentage_RANKTHISWEEK_2014","BirdieorBetterConversionPercentage_RANKLASTWEEK_2014","BirdieorBetterConversionPercentage_PLAYERNAME_2014","BirdieorBetterConversionPercentage_ROUNDS_2014","BirdieorBetterConversionPercentage_Pct_2014","BirdieorBetterConversionPercentage_BIRDIES_2014","BirdieorBetterConversionPercentage_GREENSHIT_2014","stat_name","year"
1,1,"Rory McIlroy",66,36.84,294,798,"BirdieorBetterConversionPercentage",2014
2,2,"Jordan Spieth",102,34.24,377,1101,"BirdieorBetterConversionPercentage",2014
3,3,"Adam Scott",68,33.89,285,841,"BirdieorBetterConversionPercentage",2014
4,4,"Charl Schwartzel",64,33.76,239,708,"BirdieorBetterConversionPercentage",2014
5,5,"Jimmy Walker",98,33.5,391,1167,"BirdieorBetterConversionPercentage",2014
6,6,"Dustin Johnson",58,33,229,694,"BirdieorBetterConversionPercentage",2014
7,7,"Ryo Ishikawa",75,32.72,286,874,"BirdieorBetterConversionPercentage",2014
8,8,"Ryan Palmer",85,32.71,332,1015,"BirdieorBetterConversionPercentage",2014
9,9,"Brooks Koepka",56,32.67,214,655,"BirdieorBetterConversionPercentage",2014
10,10,"JB Holmes",86,32.56,307,943,"BirdieorBetterConversionPercentage",2014
11,11,"Rickie Fowler",91,32.52,321,987,"BirdieorBetterConversionPercentage",2014
12,12,"Lee Westwood",57,32.45,208,641,"BirdieorBetterConversionPercentage",2014
13,13,"Bubba Watson",76,32.4,289,892,"BirdieorBetterConversionPercentage",2014
14,14,"Hideki Matsuyama",82,32.14,296,921,"BirdieorBetterConversionPercentage",2014
15,15,"Ian Poulter",57,32.11,202,629,"BirdieorBetterConversionPercentage",2014
16,16,"Sangmoon Bae",76,32.09,276,860,"BirdieorBetterConversionPercentage",2014
17,17,"Aaron Baddeley",74,32,248,775,"BirdieorBetterConversionPercentage",2014
18,18,"Morgan Hoffmann",103,31.84,355,1115,"BirdieorBetterConversionPercentage",2014
19,19,"Charley Hoffman",93,31.67,355,1121,"BirdieorBetterConversionPercentage",2014
20,20,"Robert Garrigus",80,31.62,295,933,"BirdieorBetterConversionPercentage",2014
21,21,"Henrik Stenson",56,31.49,211,670,"BirdieorBetterConversionPercentage",2014
21,21,"Chris Stroud",88,31.49,325,1032,"BirdieorBetterConversionPercentage",2014
23,23,"Wes Roach",67,31.46,229,728,"BirdieorBetterConversionPercentage",2014
24,24,"Jason Kokrak",65,31.41,239,761,"BirdieorBetterConversionPercentage",2014
25,25,"Luke Guthrie",85,31.4,304,968,"BirdieorBetterConversionPercentage",2014
26,26,"Andrew Loupe",65,31.36,217,692,"BirdieorBetterConversionPercentage",2014
27,27,"Phil Mickelson",71,31.29,261,834,"BirdieorBetterConversionPercentage",2014
28,28,"Kevin Streelman",79,31.26,277,886,"BirdieorBetterConversionPercentage",2014
29,29,"Paul Casey",56,31.12,206,662,"BirdieorBetterConversionPercentage",2014
30,30,"Chris Kirk",105,31.06,369,1188,"BirdieorBetterConversionPercentage",2014
31,31,"Chesson Hadley",84,31.02,295,951,"BirdieorBetterConversionPercentage",2014
32,32,"Martin Kaymer",65,31,230,742,"BirdieorBetterConversionPercentage",2014
33,33,"Justin Rose",70,30.96,252,814,"BirdieorBetterConversionPercentage",2014
34,34,"Keegan Bradley",89,30.93,326,1054,"BirdieorBetterConversionPercentage",2014
34,34,"Webb Simpson",87,30.93,305,986,"BirdieorBetterConversionPercentage",2014
36,36,"Matt Every",85,30.92,299,967,"BirdieorBetterConversionPercentage",2014
37,37,"Russell Henley",92,30.82,315,1022,"BirdieorBetterConversionPercentage",2014
37,37,"Andres Romero",81,30.82,258,837,"BirdieorBetterConversionPercentage",2014
39,39,"Kevin Na",94,30.77,336,1092,"BirdieorBetterConversionPercentage",2014
40,40,"Danny Lee",84,30.74,285,927,"BirdieorBetterConversionPercentage",2014
41,41,"Kevin Chappell",100,30.64,357,1165,"BirdieorBetterConversionPercentage",2014
42,42,"Brian Stuard",91,30.63,306,999,"BirdieorBetterConversionPercentage",2014
43,43,"Tommy Gainey",73,30.6,243,794,"BirdieorBetterConversionPercentage",2014
44,44,"Matt Kuchar",91,30.57,324,1060,"BirdieorBetterConversionPercentage",2014
45,45,"Ryan Moore",86,30.53,312,1022,"BirdieorBetterConversionPercentage",2014
46,46,"Camilo Villegas",95,30.48,349,1145,"BirdieorBetterConversionPercentage",2014
47,47,"Harris English",95,30.29,342,1129,"BirdieorBetterConversionPercentage",2014
47,47,"Michael Thompson",74,30.29,265,875,"BirdieorBetterConversionPercentage",2014
49,49,"Robert Streb",75,30.26,253,836,"BirdieorBetterConversionPercentage",2014
50,50,"Patrick Reed",92,30.25,311,1028,"BirdieorBetterConversionPercentage",2014
51,51,"George McNeill",79,30.24,284,939,"BirdieorBetterConversionPercentage",2014
52,52,"Jerry Kelly",80,30.19,285,944,"BirdieorBetterConversionPercentage",2014
53,53,"Freddie Jacobson",91,30.18,309,1024,"BirdieorBetterConversionPercentage",2014
54,54,"Brendan Steele",89,30.15,306,1015,"BirdieorBetterConversionPercentage",2014
55,55,"Brandt Snedeker",89,30.13,298,989,"BirdieorBetterConversionPercentage",2014
56,56,"Jonas Blixt",64,30.1,205,681,"BirdieorBetterConversionPercentage",2014
57,57,"Stuart Appleby",92,30.09,306,1017,"BirdieorBetterConversionPercentage",2014
58,58,"Angel Cabrera",69,30.06,242,805,"BirdieorBetterConversionPercentage",2014
59,59,"Jason Day",54,30.02,166,553,"BirdieorBetterConversionPercentage",2014
60,60,"Will Ma Kenzie",82,30.01,289,963,"BirdieorBetterConversionPercentage",2014
61,61,"Steven Bowditch",93,29.99,317,1057,"BirdieorBetterConversionPercentage",2014
61,61,"Marc Leishman",81,29.99,281,937,"BirdieorBetterConversionPercentage",2014
63,63,"Sergio Garcia",61,29.97,214,714,"BirdieorBetterConversionPercentage",2014
64,64,"Matt Jones",83,29.96,281,938,"BirdieorBetterConversionPercentage",2014
65,65,"Scott Brown",100,29.93,349,1166,"BirdieorBetterConversionPercentage",2014
65,65,"Greg Chalmers",85,29.93,261,872,"BirdieorBetterConversionPercentage",2014
67,67,"Charlie Beljan",76,29.89,252,843,"BirdieorBetterConversionPercentage",2014
68,68,"Rory Sabbatini",82,29.88,274,917,"BirdieorBetterConversionPercentage",2014
69,69,"Brendon Todd",108,29.87,371,1242,"BirdieorBetterConversionPercentage",2014
70,70,"James Driscoll",71,29.81,231,775,"BirdieorBetterConversionPercentage",2014
71,71,"KJ Choi",80,29.79,266,893,"BirdieorBetterConversionPercentage",2014
72,72,"Jason Dufner",57,29.75,191,642,"BirdieorBetterConversionPercentage",2014
73,73,"Graeme McDowell",66,29.69,217,731,"BirdieorBetterConversionPercentage",2014
74,74,"Gary Woodland",93,29.57,325,1099,"BirdieorBetterConversionPercentage",2014
75,75,"Brian Harman",111,29.56,379,1282,"BirdieorBetterConversionPercentage",2014
76,76,"Ricky Barnes",92,29.45,303,1029,"BirdieorBetterConversionPercentage",2014
76,76,"Erik Compton",88,29.45,293,995,"BirdieorBetterConversionPercentage",2014
78,78,"Gonzalo Fdez Castano",83,29.35,263,896,"BirdieorBetterConversionPercentage",2014
78,78,"Jeff Overton",80,29.35,263,896,"BirdieorBetterConversionPercentage",2014
80,80,"Richard Lee",80,29.25,246,841,"BirdieorBetterConversionPercentage",2014
81,81,"Ernie Els",85,29.24,255,872,"BirdieorBetterConversionPercentage",2014
81,81,"Jamie Lovemark",64,29.24,205,701,"BirdieorBetterConversionPercentage",2014
83,83,"Charles Howell III",106,29.23,375,1283,"BirdieorBetterConversionPercentage",2014
83,83,"William McGirt",96,29.23,325,1112,"BirdieorBetterConversionPercentage",2014
85,85,"Brian Davis",93,29.2,299,1024,"BirdieorBetterConversionPercentage",2014
86,86,"Luke Donald",57,29.18,185,634,"BirdieorBetterConversionPercentage",2014
87,87,"Kevin Kisner",85,29.16,291,998,"BirdieorBetterConversionPercentage",2014
88,88,"Zach Johnson",97,29.15,339,1163,"BirdieorBetterConversionPercentage",2014
89,89,"Brad Fritsch",50,29.06,163,561,"BirdieorBetterConversionPercentage",2014
90,90,"Troy Merritt",62,29.01,210,724,"BirdieorBetterConversionPercentage",2014
91,91,"Scott Langley",95,28.98,311,1073,"BirdieorBetterConversionPercentage",2014
92,92,"Graham DeLaet",80,28.91,290,1003,"BirdieorBetterConversionPercentage",2014
93,93,"Tyrone Van Aswegen",79,28.86,260,901,"BirdieorBetterConversionPercentage",2014
94,94,"Nick Watney",80,28.85,262,908,"BirdieorBetterConversionPercentage",2014
95,95,"Ben Martin",80,28.78,272,945,"BirdieorBetterConversionPercentage",2014
96,96,"Martin Laird",66,28.69,212,739,"BirdieorBetterConversionPercentage",2014
97,97,"Daniel Summerhays",98,28.68,337,1175,"BirdieorBetterConversionPercentage",2014
98,98,"Woody Austin",63,28.64,185,646,"BirdieorBetterConversionPercentage",2014
99,99,"Bill Haas",107,28.55,370,1296,"BirdieorBetterConversionPercentage",2014
99,99,"Seung Yul Noh",92,28.55,316,1107,"BirdieorBetterConversionPercentage",2014
101,101,"Kevin Stadler",90,28.45,313,1100,"BirdieorBetterConversionPercentage",2014
102,102,"Billy Horschel",92,28.41,323,1137,"BirdieorBetterConversionPercentage",2014
102,102,"Carl Pettersson",91,28.41,310,1091,"BirdieorBetterConversionPercentage",2014
104,104,"David Lingmerth",80,28.39,245,863,"BirdieorBetterConversionPercentage",2014
105,105,"Hunter Mahan",88,28.36,289,1019,"BirdieorBetterConversionPercentage",2014
105,105,"Louis Oosthuizen",50,28.36,156,550,"BirdieorBetterConversionPercentage",2014
107,107,"Pat Perez",84,28.32,275,971,"BirdieorBetterConversionPercentage",2014
108,108,"Tim Clark",75,28.29,245,866,"BirdieorBetterConversionPercentage",2014
109,109,"Justin Leonard",75,28.24,220,779,"BirdieorBetterConversionPercentage",2014
110,110,"Davis Love III",74,28.14,235,835,"BirdieorBetterConversionPercentage",2014
111,111,"Geoff Ogilvy",84,28.05,260,927,"BirdieorBetterConversionPercentage",2014
112,112,"Bryce Molder",77,28.04,235,838,"BirdieorBetterConversionPercentage",2014
113,113,"Jason Bohn",81,27.95,263,941,"BirdieorBetterConversionPercentage",2014
114,114,"David Toms",64,27.94,214,766,"BirdieorBetterConversionPercentage",2014
