"Par3Performance_RANKTHISWEEK_2013","Par3Performance_RANKLASTWEEK_2013","Par3Performance_PLAYERNAME_2013","Par3Performance_ROUNDS_2013","Par3Performance_STATUS_2013","Par3Performance_PAR3AVG_2013","Par3Performance_TOTALPAR_2013","stat_name","year"
1,1,"Richard Lee",81,-12,2.96,945,"Par3Performance",2013
2,2,"Stephen Ames",49,-5,2.98,606,"Par3Performance",2013
2,2,"Tiger Woods",61,-5,2.98,720,"Par3Performance",2013
4,4,"Phil Mickelson",78,-4,2.99,945,"Par3Performance",2013
5,5,"Chris Kirk",89,0,3,1074,"Par3Performance",2013
5,5,"Henrik Stenson",65,0,3,768,"Par3Performance",2013
7,7,"Bob Estes",66,1,3,807,"Par3Performance",2013
8,8,"Stuart Appleby",88,2,3.01,1029,"Par3Performance",2013
8,8,"Justin Bolli",59,2,3.01,672,"Par3Performance",2013
8,8,"Dustin Johnson",71,2,3.01,834,"Par3Performance",2013
8,8,"Bryce Molder",82,2,3.01,981,"Par3Performance",2013
12,12,"Brian Davis",91,3,3.01,1110,"Par3Performance",2013
12,12,"Jim Furyk",80,3,3.01,951,"Par3Performance",2013
12,12,"John Huh",88,3,3.01,1053,"Par3Performance",2013
12,12,"Doug LaBelle II",72,3,3.01,852,"Par3Performance",2013
12,12,"Pat Perez",69,3,3.01,846,"Par3Performance",2013
12,12,"Andrew Svoboda",46,3,3.02,534,"Par3Performance",2013
18,18,"Michael Bradley",56,4,3.02,639,"Par3Performance",2013
18,18,"Tim Clark",64,4,3.02,738,"Par3Performance",2013
18,18,"Brian Stuard",78,4,3.01,909,"Par3Performance",2013
21,21,"James Driscoll",76,5,3.02,882,"Par3Performance",2013
21,21,"John Merrick",79,5,3.02,954,"Par3Performance",2013
23,23,"Ricky Barnes",74,6,3.02,855,"Par3Performance",2013
23,23,"Jason Bohn",70,6,3.02,855,"Par3Performance",2013
23,23,"Brendon de Jonge",110,6,3.01,1341,"Par3Performance",2013
26,26,"Greg Chalmers",77,7,3.02,894,"Par3Performance",2013
26,26,"Luke Donald",60,7,3.03,708,"Par3Performance",2013
26,26,"Peter Hanson",45,7,3.04,516,"Par3Performance",2013
26,26,"Jeff Overton",78,7,3.02,954,"Par3Performance",2013
26,26,"John Rollins",77,7,3.02,894,"Par3Performance",2013
31,31,"Robert Garrigus",69,8,3.03,801,"Par3Performance",2013
31,31,"Charles Howell III",87,8,3.02,1026,"Par3Performance",2013
31,31,"Zach Johnson",84,8,3.02,999,"Par3Performance",2013
31,31,"Ryan Palmer",79,8,3.02,969,"Par3Performance",2013
31,31,"Chez Reavie",72,8,3.03,879,"Par3Performance",2013
31,31,"Steve Stricker",51,8,3.04,555,"Par3Performance",2013
37,37,"Bobby Gates",49,9,3.05,546,"Par3Performance",2013
37,37,"JJ Henry",83,9,3.03,978,"Par3Performance",2013
37,37,"Steve LeBrun",66,9,3.04,750,"Par3Performance",2013
37,37,"Justin Rose",62,9,3.04,720,"Par3Performance",2013
41,41,"Jim Herman",59,10,3.04,669,"Par3Performance",2013
41,41,"Ryo Ishikawa",72,10,3.04,849,"Par3Performance",2013
41,41,"Brandt Jobe",62,10,3.04,696,"Par3Performance",2013
41,41,"Graeme McDowell",53,10,3.05,588,"Par3Performance",2013
41,41,"Carl Pettersson",82,10,3.03,963,"Par3Performance",2013
41,41,"Ian Poulter",59,10,3.05,627,"Par3Performance",2013
