"DistancefromEdgeofFairway_RANKTHISWEEK_2010","DistancefromEdgeofFairway_RANKLASTWEEK_2010","DistancefromEdgeofFairway_PLAYERNAME_2010","DistancefromEdgeofFairway_EVENTS_2010","DistancefromEdgeofFairway_AVG_2010","DistancefromEdgeofFairway_TOTALDISTANCEFEET_2010","DistancefromEdgeofFairway_TOTALSTROKES_2010","stat_name","year"
1,1,"Jim Furyk",21,NA,3952.417,232,"DistancefromEdgeofFairway",2010
2,2,"Omar Uresti",27,NA,3667.75,198,"DistancefromEdgeofFairway",2010
3,3,"Heath Slocum",25,NA,5374,276,"DistancefromEdgeofFairway",2010
3,3,"Jay Williamson",24,NA,4970.833,255,"DistancefromEdgeofFairway",2010
5,5,"Tim Clark",24,NA,4957.667,253,"DistancefromEdgeofFairway",2010
6,6,"Zach Johnson",25,NA,5914.75,301,"DistancefromEdgeofFairway",2010
6,6,"David Toms",25,NA,5365.583,273,"DistancefromEdgeofFairway",2010
8,8,"Brian Gay",30,NA,5615,284,"DistancefromEdgeofFairway",2010
8,8,"Tom Gillis",27,NA,7266.75,368,"DistancefromEdgeofFairway",2010
10,10,"Craig Bowden",20,NA,3506.083,175,"DistancefromEdgeofFairway",2010
11,11,"Dean Wilson",18,NA,4120.333,203,"DistancefromEdgeofFairway",2010
12,12,"Jason Dufner",25,NA,5895.75,289,"DistancefromEdgeofFairway",2010
12,12,"Cliff Kresge",17,NA,3741.167,183,"DistancefromEdgeofFairway",2010
14,14,"KJ Choi",22,NA,5721.417,277,"DistancefromEdgeofFairway",2010
14,14,"Chris Riley",24,NA,5404.75,262,"DistancefromEdgeofFairway",2010
16,16,"Brian Davis",32,NA,7883.083,378,"DistancefromEdgeofFairway",2010
17,17,"Justin Leonard",27,NA,6284.583,299,"DistancefromEdgeofFairway",2010
18,18,"Ryan Moore",24,NA,5497.083,261,"DistancefromEdgeofFairway",2010
19,19,"Jeff Maggert",28,NA,5948.833,281,"DistancefromEdgeofFairway",2010
20,20,"Brent Delahoussaye",21,NA,4243.083,200,"DistancefromEdgeofFairway",2010
21,21,"Stephen Ames",23,NA,6634.083,310,"DistancefromEdgeofFairway",2010
21,21,"Ben Curtis",24,NA,5644.417,264,"DistancefromEdgeofFairway",2010
21,21,"Joe Durant",19,NA,4012.583,187,"DistancefromEdgeofFairway",2010
21,21,"Spencer Levin",31,NA,9653.75,451,"DistancefromEdgeofFairway",2010
25,25,"Paul Goydos",25,NA,5770.917,268,"DistancefromEdgeofFairway",2010
25,25,"Hunter Mahan",25,NA,6205.583,289,"DistancefromEdgeofFairway",2010
25,25,"Kenny Perry",20,NA,5085.667,237,"DistancefromEdgeofFairway",2010
28,28,"Steve Elkington",22,NA,5651.5,262,"DistancefromEdgeofFairway",2010
29,29,"Mark Wilson",28,NA,6836.5,316,"DistancefromEdgeofFairway",2010
30,30,"Scott Verplank",22,NA,5095.5,233,"DistancefromEdgeofFairway",2010
31,31,"Rod Pampling",26,NA,7006.333,320,"DistancefromEdgeofFairway",2010
32,32,"Tom Pernice Jr",22,NA,5863.083,266,"DistancefromEdgeofFairway",2010
32,32,"Jeff Quinney",29,NA,7093.417,321,"DistancefromEdgeofFairway",2010
32,32,"Steve Stricker",19,NA,5542.833,251,"DistancefromEdgeofFairway",2010
32,32,"Boo Weekley",27,NA,7174.333,325,"DistancefromEdgeofFairway",2010
36,36,"Aron Price",22,NA,5955.5,268,"DistancefromEdgeofFairway",2010
37,37,"Jerry Kelly",29,NA,7474.75,334,"DistancefromEdgeofFairway",2010
38,38,"Jason Bohn",25,NA,7555.333,334,"DistancefromEdgeofFairway",2010
38,38,"JJ Henry",27,NA,8345.75,369,"DistancefromEdgeofFairway",2010
40,40,"Skip Kendall",18,NA,4471.417,197,"DistancefromEdgeofFairway",2010
41,41,"Robert Allenby",22,NA,6681.167,293,"DistancefromEdgeofFairway",2010
42,42,"Rocco Mediate",25,NA,5887.417,257,"DistancefromEdgeofFairway",2010
42,42,"Vaughn Taylor",26,NA,7491.75,327,"DistancefromEdgeofFairway",2010
44,44,"Chris DiMarco",25,NA,7414.167,322,"DistancefromEdgeofFairway",2010
45,45,"Steve Flesch",25,NA,6795.5,294,"DistancefromEdgeofFairway",2010
46,46,"Kevin Streelman",28,NA,8396.417,362,"DistancefromEdgeofFairway",2010
46,46,"YE Yang",21,NA,6269.75,271,"DistancefromEdgeofFairway",2010
48,48,"Chad Campbell",28,NA,7654.917,327,"DistancefromEdgeofFairway",2010
48,48,"Scott McCarron",29,NA,8486.083,362,"DistancefromEdgeofFairway",2010
48,48,"DA Points",29,NA,8914.083,380,"DistancefromEdgeofFairway",2010
51,51,"Will Ma Kenzie",23,NA,7098.667,302,"DistancefromEdgeofFairway",2010
51,51,"John Merrick",31,NA,9484.917,404,"DistancefromEdgeofFairway",2010
51,51,"Bo Van Pelt",28,NA,9811.75,418,"DistancefromEdgeofFairway",2010
54,54,"Billy Mayfair",26,NA,6077.083,257,"DistancefromEdgeofFairway",2010
55,55,"Nick Watney",24,NA,8306,347,"DistancefromEdgeofFairway",2010
55,55,"Garrett Willis",24,NA,6453.083,270,"DistancefromEdgeofFairway",2010
