"Last15EventsScoring_RANKTHISWEEK_2013","Last15EventsScoring_RANKLASTWEEK_2013","Last15EventsScoring_PLAYERNAME_2013","Last15EventsScoring_EVENTS_2013","Last15EventsScoring_RATING_2013","stat_name","year"
1,1,"Woody Austin",1,9.1,"Last15EventsScoring",2013
2,2,"Danny Lee",1,9,"Last15EventsScoring",2013
3,3,"Shane Bertsch",1,8.9,"Last15EventsScoring",2013
3,3,"Miguel Angel Jimenez",1,8.9,"Last15EventsScoring",2013
5,5,"Billy Andrade",1,8.7,"Last15EventsScoring",2013
5,5,"Richard Sterne",2,8.7,"Last15EventsScoring",2013
5,5,"Steve Stricker",10,8.7,"Last15EventsScoring",2013
8,8,"Patrick Rodgers",1,8.6,"Last15EventsScoring",2013
8,8,"Henrik Stenson",9,8.6,"Last15EventsScoring",2013
10,10,"Patrick Cantlay",1,8.5,"Last15EventsScoring",2013
10,10,"Glen Day",2,8.5,"Last15EventsScoring",2013
10,10,"Hideki Matsuyama",3,8.5,"Last15EventsScoring",2013
10,10,"Ted Potter Jr",6,8.5,"Last15EventsScoring",2013
10,10,"John Rollins",5,8.5,"Last15EventsScoring",2013
10,10,"Justin Rose",9,8.5,"Last15EventsScoring",2013
10,10,"Rory Sabbatini",9,8.5,"Last15EventsScoring",2013
10,10,"Jordan Spieth",12,8.5,"Last15EventsScoring",2013
10,10,"Aaron Watkins",2,8.5,"Last15EventsScoring",2013
10,10,"Tiger Woods",10,8.5,"Last15EventsScoring",2013
20,20,"Sergio Garcia",10,8.4,"Last15EventsScoring",2013
20,20,"Bill Haas",8,8.4,"Last15EventsScoring",2013
20,20,"Jim Herman",6,8.4,"Last15EventsScoring",2013
20,20,"Scott Jamieson",1,8.4,"Last15EventsScoring",2013
20,20,"Matt Jones",9,8.4,"Last15EventsScoring",2013
20,20,"Phil Mickelson",8,8.4,"Last15EventsScoring",2013
20,20,"Alexander Noren",1,8.4,"Last15EventsScoring",2013
20,20,"Kyle Stanley",6,8.4,"Last15EventsScoring",2013
20,20,"Brendon Todd",8,8.4,"Last15EventsScoring",2013
29,29,"Thomas Aiken",1,8.3,"Last15EventsScoring",2013
29,29,"Justin Bolli",2,8.3,"Last15EventsScoring",2013
29,29,"Graham DeLaet",12,8.3,"Last15EventsScoring",2013
29,29,"Luke Donald",10,8.3,"Last15EventsScoring",2013
29,29,"Harris English",10,8.3,"Last15EventsScoring",2013
29,29,"Robert Garrigus",4,8.3,"Last15EventsScoring",2013
29,29,"Peter Hanson",6,8.3,"Last15EventsScoring",2013
29,29,"Brian Harman",6,8.3,"Last15EventsScoring",2013
29,29,"DH Lee",7,8.3,"Last15EventsScoring",2013
29,29,"David Lingmerth",6,8.3,"Last15EventsScoring",2013
29,29,"Peter Lonard",1,8.3,"Last15EventsScoring",2013
29,29,"Hunter Mahan",8,8.3,"Last15EventsScoring",2013
29,29,"Billy Mayfair",2,8.3,"Last15EventsScoring",2013
29,29,"John Peterson",3,8.3,"Last15EventsScoring",2013
29,29,"Scott Stallings",6,8.3,"Last15EventsScoring",2013
29,29,"Chris Williams",1,8.3,"Last15EventsScoring",2013
45,45,"Todd Baek",1,8.2,"Last15EventsScoring",2013
45,45,"Jason Bohn",9,8.2,"Last15EventsScoring",2013
45,45,"Keegan Bradley",9,8.2,"Last15EventsScoring",2013
45,45,"Roberto Castro",11,8.2,"Last15EventsScoring",2013
45,45,"Franklin Corpening",1,8.2,"Last15EventsScoring",2013
45,45,"James Driscoll",7,8.2,"Last15EventsScoring",2013
45,45,"Matt Every",10,8.2,"Last15EventsScoring",2013
45,45,"Jim Furyk",10,8.2,"Last15EventsScoring",2013
45,45,"Morgan Hoffmann",9,8.2,"Last15EventsScoring",2013
45,45,"JB Holmes",3,8.2,"Last15EventsScoring",2013
45,45,"John Huh",8,8.2,"Last15EventsScoring",2013
45,45,"Freddie Jacobson",8,8.2,"Last15EventsScoring",2013
45,45,"Zach Johnson",12,8.2,"Last15EventsScoring",2013
45,45,"Dustin Johnson",8,8.2,"Last15EventsScoring",2013
45,45,"Matt Kuchar",11,8.2,"Last15EventsScoring",2013
45,45,"Bill Lunde",5,8.2,"Last15EventsScoring",2013
45,45,"Graeme McDowell",7,8.2,"Last15EventsScoring",2013
45,45,"Ryan Moore",8,8.2,"Last15EventsScoring",2013
45,45,"Louis Oosthuizen",4,8.2,"Last15EventsScoring",2013
45,45,"Ryan Palmer",11,8.2,"Last15EventsScoring",2013
45,45,"Pat Perez",8,8.2,"Last15EventsScoring",2013
45,45,"Kenny Perry",2,8.2,"Last15EventsScoring",2013
45,45,"Jonathan Randolph",1,8.2,"Last15EventsScoring",2013
45,45,"Andres Romero",7,8.2,"Last15EventsScoring",2013
45,45,"Charl Schwartzel",10,8.2,"Last15EventsScoring",2013
45,45,"Adam Scott",10,8.2,"Last15EventsScoring",2013
45,45,"Marcel Siem",5,8.2,"Last15EventsScoring",2013
45,45,"Webb Simpson",11,8.2,"Last15EventsScoring",2013
45,45,"Joey Snyder III",2,8.2,"Last15EventsScoring",2013
45,45,"Chris Stroud",11,8.2,"Last15EventsScoring",2013
45,45,"Daniel Summerhays",9,8.2,"Last15EventsScoring",2013
45,45,"Mark Wilson",7,8.2,"Last15EventsScoring",2013
77,77,"Aaron Baddeley",3,8.1,"Last15EventsScoring",2013
77,77,"Bart Bryant",1,8.1,"Last15EventsScoring",2013
77,77,"Bud Cauley",5,8.1,"Last15EventsScoring",2013
77,77,"Gary Christian",3,8.1,"Last15EventsScoring",2013
77,77,"Stewart Cink",7,8.1,"Last15EventsScoring",2013
77,77,"Brian Davis",10,8.1,"Last15EventsScoring",2013
77,77,"Jason Day",11,8.1,"Last15EventsScoring",2013
77,77,"Brendon de Jonge",12,8.1,"Last15EventsScoring",2013
77,77,"Ernie Els",7,8.1,"Last15EventsScoring",2013
77,77,"Steve Flesch",2,8.1,"Last15EventsScoring",2013
77,77,"Martin Flores",10,8.1,"Last15EventsScoring",2013
77,77,"Rickie Fowler",8,8.1,"Last15EventsScoring",2013
77,77,"David Frost",1,8.1,"Last15EventsScoring",2013
77,77,"Retief Goosen",7,8.1,"Last15EventsScoring",2013
77,77,"James Hahn",5,8.1,"Last15EventsScoring",2013
77,77,"David Hearn",11,8.1,"Last15EventsScoring",2013
77,77,"Russell Henley",9,8.1,"Last15EventsScoring",2013
77,77,"JJ Henry",7,8.1,"Last15EventsScoring",2013
77,77,"Jerry Kelly",11,8.1,"Last15EventsScoring",2013
77,77,"Chris Kirk",11,8.1,"Last15EventsScoring",2013
77,77,"Jeff Klauk",3,8.1,"Last15EventsScoring",2013
77,77,"Jason Kokrak",9,8.1,"Last15EventsScoring",2013
77,77,"Richard Lee",11,8.1,"Last15EventsScoring",2013
77,77,"Luke List",5,8.1,"Last15EventsScoring",2013
77,77,"Ken Looper",2,8.1,"Last15EventsScoring",2013
77,77,"David Lynn",7,8.1,"Last15EventsScoring",2013
77,77,"Troy Matteson",4,8.1,"Last15EventsScoring",2013
77,77,"Rory McIlroy",10,8.1,"Last15EventsScoring",2013
77,77,"Ian Poulter",8,8.1,"Last15EventsScoring",2013
77,77,"Chez Reavie",10,8.1,"Last15EventsScoring",2013
