"FairwayApproachRTPScore_RANKTHISWEEK_2013","FairwayApproachRTPScore_RANKLASTWEEK_2013","FairwayApproachRTPScore_PLAYERNAME_2013","FairwayApproachRTPScore_ROUNDS_2013","FairwayApproachRTPScore_AVGRTP_2013","stat_name","year"
1,1,"Steve Stricker",51,-0.189,"FairwayApproachRTPScore",2013
2,2,"Tiger Woods",61,-0.177,"FairwayApproachRTPScore",2013
3,3,"Phil Mickelson",78,-0.155,"FairwayApproachRTPScore",2013
4,4,"Justin Rose",62,-0.145,"FairwayApproachRTPScore",2013
5,5,"Matt Kuchar",93,-0.14,"FairwayApproachRTPScore",2013
6,6,"Keegan Bradley",88,-0.139,"FairwayApproachRTPScore",2013
7,7,"Ryan Palmer",79,-0.137,"FairwayApproachRTPScore",2013
8,8,"Henrik Stenson",65,-0.136,"FairwayApproachRTPScore",2013
9,9,"Chris Kirk",89,-0.134,"FairwayApproachRTPScore",2013
9,9,"Brandt Snedeker",79,-0.134,"FairwayApproachRTPScore",2013
11,11,"Sergio Garcia",65,-0.127,"FairwayApproachRTPScore",2013
11,11,"Rory Sabbatini",86,-0.127,"FairwayApproachRTPScore",2013
11,11,"Jordan Spieth",82,-0.127,"FairwayApproachRTPScore",2013
14,14,"Charl Schwartzel",69,-0.126,"FairwayApproachRTPScore",2013
15,15,"Bill Haas",85,-0.123,"FairwayApproachRTPScore",2013
16,16,"Charles Howell III",87,-0.121,"FairwayApproachRTPScore",2013
17,17,"Jim Furyk",80,-0.118,"FairwayApproachRTPScore",2013
17,17,"Hunter Mahan",91,-0.118,"FairwayApproachRTPScore",2013
19,19,"Bubba Watson",76,-0.117,"FairwayApproachRTPScore",2013
20,20,"Rory McIlroy",56,-0.116,"FairwayApproachRTPScore",2013
21,21,"Nick Watney",88,-0.115,"FairwayApproachRTPScore",2013
22,22,"Brendon de Jonge",110,-0.114,"FairwayApproachRTPScore",2013
23,23,"Luke Donald",60,-0.113,"FairwayApproachRTPScore",2013
24,24,"David Hearn",88,-0.11,"FairwayApproachRTPScore",2013
25,25,"Zach Johnson",84,-0.109,"FairwayApproachRTPScore",2013
26,26,"Dustin Johnson",71,-0.107,"FairwayApproachRTPScore",2013
27,27,"Webb Simpson",92,-0.104,"FairwayApproachRTPScore",2013
28,28,"Rickie Fowler",75,-0.102,"FairwayApproachRTPScore",2013
29,29,"Matt Jones",83,-0.101,"FairwayApproachRTPScore",2013
30,30,"Bryce Molder",82,-0.099,"FairwayApproachRTPScore",2013
30,30,"Adam Scott",61,-0.099,"FairwayApproachRTPScore",2013
32,32,"Brian Davis",91,-0.098,"FairwayApproachRTPScore",2013
33,33,"Matt Every",89,-0.097,"FairwayApproachRTPScore",2013
34,34,"Jerry Kelly",75,-0.094,"FairwayApproachRTPScore",2013
35,35,"Jason Day",86,-0.092,"FairwayApproachRTPScore",2013
35,35,"Bob Estes",66,-0.092,"FairwayApproachRTPScore",2013
35,35,"Billy Horschel",96,-0.092,"FairwayApproachRTPScore",2013
35,35,"Kevin Stadler",83,-0.092,"FairwayApproachRTPScore",2013
39,39,"Morgan Hoffmann",64,-0.088,"FairwayApproachRTPScore",2013
39,39,"William McGirt",75,-0.088,"FairwayApproachRTPScore",2013
39,39,"Jimmy Walker",84,-0.088,"FairwayApproachRTPScore",2013
42,42,"Kevin Streelman",86,-0.087,"FairwayApproachRTPScore",2013
42,42,"Daniel Summerhays",83,-0.087,"FairwayApproachRTPScore",2013
42,42,"Camilo Villegas",79,-0.087,"FairwayApproachRTPScore",2013
42,42,"Boo Weekley",100,-0.087,"FairwayApproachRTPScore",2013
46,46,"Graham DeLaet",94,-0.086,"FairwayApproachRTPScore",2013
46,46,"Russell Henley",80,-0.086,"FairwayApproachRTPScore",2013
46,46,"Jeff Overton",78,-0.086,"FairwayApproachRTPScore",2013
49,49,"Steven Bowditch",67,-0.085,"FairwayApproachRTPScore",2013
49,49,"Freddie Jacobson",63,-0.085,"FairwayApproachRTPScore",2013
49,49,"John Merrick",79,-0.085,"FairwayApproachRTPScore",2013
52,52,"Chad Campbell",78,-0.084,"FairwayApproachRTPScore",2013
52,52,"KJ Choi",85,-0.084,"FairwayApproachRTPScore",2013
