"ScoringAverageActual_RANKTHISWEEK_2007","ScoringAverageActual_RANKLASTWEEK_2007","ScoringAverageActual_PLAYERNAME_2007","ScoringAverageActual_ROUNDS_2007","ScoringAverageActual_AVG_2007","ScoringAverageActual_TOTALSTROKES_2007","ScoringAverageActual_TOTALROUNDS_2007","stat_name","year"
1,1,"Tiger Woods",63,69.1,4146,60,"ScoringAverageActual",2007
2,2,"Jeff Overton",60,70.1,4206,60,"ScoringAverageActual",2007
3,3,"Heath Slocum",101,70.13,7083,101,"ScoringAverageActual",2007
4,4,"Steve Stricker",81,70.19,5615,80,"ScoringAverageActual",2007
5,5,"Jim Furyk",84,70.21,5757,82,"ScoringAverageActual",2007
6,6,"Justin Rose",63,70.24,4144,59,"ScoringAverageActual",2007
7,7,"Bo Van Pelt",104,70.27,7308,104,"ScoringAverageActual",2007
8,8,"Alex Cejka",80,70.29,5623,80,"ScoringAverageActual",2007
9,9,"Freddie Jacobson",70,70.3,4921,70,"ScoringAverageActual",2007
10,10,"Phil Mickelson",73,70.39,4998,71,"ScoringAverageActual",2007
10,10,"Vijay Singh",102,70.39,7039,100,"ScoringAverageActual",2007
12,12,"KJ Choi",87,70.4,5984,85,"ScoringAverageActual",2007
13,13,"Sergio Garcia",68,70.45,4650,66,"ScoringAverageActual",2007
14,14,"Rory Sabbatini",81,70.49,5569,79,"ScoringAverageActual",2007
15,15,"Ernie Els",59,70.5,4089,58,"ScoringAverageActual",2007
15,15,"Brandt Snedeker",105,70.5,7402,105,"ScoringAverageActual",2007
17,17,"Tim Clark",66,70.55,4515,64,"ScoringAverageActual",2007
18,18,"Jonathan Byrd",73,70.56,5151,73,"ScoringAverageActual",2007
18,18,"Scott Verplank",82,70.56,5715,81,"ScoringAverageActual",2007
20,20,"Kenny Perry",83,70.6,5860,83,"ScoringAverageActual",2007
21,21,"Sean OHair",98,70.64,6923,98,"ScoringAverageActual",2007
21,21,"Jay Williamson",50,70.64,3532,50,"ScoringAverageActual",2007
23,23,"Briny Baird",115,70.66,8126,115,"ScoringAverageActual",2007
24,24,"Anthony Kim",93,70.69,6574,93,"ScoringAverageActual",2007
24,24,"Billy Mayfair",98,70.69,6928,98,"ScoringAverageActual",2007
26,26,"Kevin Na",84,70.7,5939,84,"ScoringAverageActual",2007
26,26,"Jesper Parnevik",88,70.7,6222,88,"ScoringAverageActual",2007
28,28,"Pat Perez",84,70.76,5944,84,"ScoringAverageActual",2007
29,29,"Cameron Beckman",96,70.78,6795,96,"ScoringAverageActual",2007
29,29,"Hunter Mahan",91,70.78,6441,91,"ScoringAverageActual",2007
31,31,"Matt Kuchar",85,70.79,6017,85,"ScoringAverageActual",2007
32,32,"Stewart Cink",91,70.8,6230,88,"ScoringAverageActual",2007
33,33,"Nathan Green",103,70.81,7293,103,"ScoringAverageActual",2007
34,34,"Bart Bryant",87,70.83,6091,86,"ScoringAverageActual",2007
34,34,"Bill Haas",93,70.83,6587,93,"ScoringAverageActual",2007
36,36,"Woody Austin",95,70.84,6730,95,"ScoringAverageActual",2007
36,36,"Daniel Chopra",106,70.84,7509,106,"ScoringAverageActual",2007
38,38,"Lucas Glover",98,70.85,6872,97,"ScoringAverageActual",2007
38,38,"Chris Riley",59,70.85,4180,59,"ScoringAverageActual",2007
40,40,"Tommy Armour III",81,70.86,5740,81,"ScoringAverageActual",2007
40,40,"Charlie Wi",90,70.86,6377,90,"ScoringAverageActual",2007
42,42,"Cliff Kresge",107,70.88,7584,107,"ScoringAverageActual",2007
42,42,"David Toms",80,70.88,5458,77,"ScoringAverageActual",2007
44,44,"Brian Gay",107,70.89,7585,107,"ScoringAverageActual",2007
44,44,"Charles Warren",101,70.89,7160,101,"ScoringAverageActual",2007
46,46,"Brian Davis",101,70.9,7161,101,"ScoringAverageActual",2007
46,46,"Joe Ogilvie",102,70.9,7232,102,"ScoringAverageActual",2007
48,48,"Tim Petrovic",106,70.92,7518,106,"ScoringAverageActual",2007
49,49,"Ken Duke",112,70.93,7944,112,"ScoringAverageActual",2007
49,49,"Peter Lonard",85,70.93,6029,85,"ScoringAverageActual",2007
49,49,"John Senden",97,70.93,6880,97,"ScoringAverageActual",2007
49,49,"Camilo Villegas",82,70.93,5816,82,"ScoringAverageActual",2007
53,53,"Stephen Leaney",82,70.94,5817,82,"ScoringAverageActual",2007
53,53,"Michael Sim",52,70.94,3689,52,"ScoringAverageActual",2007
55,55,"Zach Johnson",76,70.95,5321,75,"ScoringAverageActual",2007
55,55,"Boo Weekley",101,70.95,7166,101,"ScoringAverageActual",2007
57,57,"Aaron Baddeley",83,70.96,5677,80,"ScoringAverageActual",2007
57,57,"Adam Scott",69,70.96,4825,68,"ScoringAverageActual",2007
59,59,"Ryuji Imada",104,70.97,7381,104,"ScoringAverageActual",2007
59,59,"Carl Pettersson",111,70.97,7807,110,"ScoringAverageActual",2007
59,59,"John Rollins",102,70.97,7168,101,"ScoringAverageActual",2007
62,62,"Steve Elkington",87,71,6177,87,"ScoringAverageActual",2007
63,63,"Ryan Moore",92,71.01,6533,92,"ScoringAverageActual",2007
64,64,"Jason Gore",86,71.02,6108,86,"ScoringAverageActual",2007
