"AverageApproachDistanceBirdieorBetter_RANKTHISWEEK_2016","AverageApproachDistanceBirdieorBetter_RANKLASTWEEK_2016","AverageApproachDistanceBirdieorBetter_PLAYERNAME_2016","AverageApproachDistanceBirdieorBetter_ROUNDS_2016","AverageApproachDistanceBirdieorBetter_AVGYARDS_2016","AverageApproachDistanceBirdieorBetter_TOTALDISTANCEINCHES_2016","AverageApproachDistanceBirdieorBetter_NUMBEROFAPPROACHSHOTS_2016","stat_name","year"
1,1,"Justin Leonard",28,140,312397,62,"AverageApproachDistanceBirdieorBetter",2016
2,2,"Darron Stiles",28,141.6,208985,41,"AverageApproachDistanceBirdieorBetter",2016
3,3,"Brian Gay",22,144.4,280620,54,"AverageApproachDistanceBirdieorBetter",2016
4,4,"Andrew Landry",24,147.7,191442,36,"AverageApproachDistanceBirdieorBetter",2016
5,5,"Charlie Beljan",26,150.9,206363,38,"AverageApproachDistanceBirdieorBetter",2016
6,8,"Tim Wilkinson",40,153.6,525479,95,"AverageApproachDistanceBirdieorBetter",2016
7,7,"Jon Curran",55,154.1,759803,137,"AverageApproachDistanceBirdieorBetter",2016
8,6,"Peter Malnati",53,155.8,801888,143,"AverageApproachDistanceBirdieorBetter",2016
9,11,"Abraham Ancer",26,156.6,293248,52,"AverageApproachDistanceBirdieorBetter",2016
10,19,"Justin Hicks",26,156.8,440305,78,"AverageApproachDistanceBirdieorBetter",2016
10,12,"Billy Hurley III",22,156.8,271025,48,"AverageApproachDistanceBirdieorBetter",2016
12,9,"Kelly Kraft",35,157.1,384536,68,"AverageApproachDistanceBirdieorBetter",2016
13,10,"David Toms",38,157.4,623409,110,"AverageApproachDistanceBirdieorBetter",2016
14,17,"Will Ma Kenzie",54,157.8,715796,126,"AverageApproachDistanceBirdieorBetter",2016
15,14,"Tyler Aldridge",53,158.5,764408,134,"AverageApproachDistanceBirdieorBetter",2016
16,25,"Colt Knost",56,158.9,754990,132,"AverageApproachDistanceBirdieorBetter",2016
17,12,"Stuart Appleby",39,159.4,676992,118,"AverageApproachDistanceBirdieorBetter",2016
