"Front9Round2ScoringAverage_RANKTHISWEEK_2013","Front9Round2ScoringAverage_RANKLASTWEEK_2013","Front9Round2ScoringAverage_PLAYERNAME_2013","Front9Round2ScoringAverage__2013","Front9Round2ScoringAverage_AVG_2013","Front9Round2ScoringAverage_TOTALSTROKES_2013","Front9Round2ScoringAverage_TOTALROUNDS_2013","stat_name","year"
1,1,"Tiger Woods",NA,33.67,505,15,"Front9Round2ScoringAverage",2013
2,2,"Cameron Percy",NA,33.95,645,19,"Front9Round2ScoringAverage",2013
3,3,"Chris Kirk",NA,34,816,24,"Front9Round2ScoringAverage",2013
4,4,"Sergio Garcia",NA,34.19,547,16,"Front9Round2ScoringAverage",2013
5,5,"Steve Stricker",NA,34.25,411,12,"Front9Round2ScoringAverage",2013
6,6,"Charles Howell III",NA,34.42,826,24,"Front9Round2ScoringAverage",2013
7,7,"Erik Compton",NA,34.43,792,23,"Front9Round2ScoringAverage",2013
7,7,"Jason Dufner",NA,34.43,723,21,"Front9Round2ScoringAverage",2013
7,7,"Jim Furyk",NA,34.43,723,21,"Front9Round2ScoringAverage",2013
10,10,"Keegan Bradley",NA,34.46,827,24,"Front9Round2ScoringAverage",2013
11,11,"Jordan Spieth",NA,34.48,793,23,"Front9Round2ScoringAverage",2013
12,12,"Justin Rose",NA,34.5,552,16,"Front9Round2ScoringAverage",2013
13,13,"Doug LaBelle II",NA,34.57,726,21,"Front9Round2ScoringAverage",2013
14,14,"Stuart Appleby",NA,34.67,832,24,"Front9Round2ScoringAverage",2013
14,14,"William McGirt",NA,34.67,832,24,"Front9Round2ScoringAverage",2013
16,16,"George McNeill",NA,34.68,659,19,"Front9Round2ScoringAverage",2013
17,17,"Bill Haas",NA,34.71,833,24,"Front9Round2ScoringAverage",2013
18,18,"Bob Estes",NA,34.72,625,18,"Front9Round2ScoringAverage",2013
19,19,"Fabian Gomez",NA,34.73,764,22,"Front9Round2ScoringAverage",2013
20,20,"Ben Curtis",NA,34.74,660,19,"Front9Round2ScoringAverage",2013
