"DrivingDistance_RANKTHISWEEK_2015","DrivingDistance_RANKLASTWEEK_2015","DrivingDistance_PLAYERNAME_2015","DrivingDistance_ROUNDS_2015","DrivingDistance_AVG_2015","DrivingDistance_TOTALDISTANCE_2015","DrivingDistance_TOTALDRIVES_2015","stat_name","year"
1,1,"Dustin Johnson",75,317.7,45109,142,"DrivingDistance",2015
2,2,"Bubba Watson",71,315.2,40351,128,"DrivingDistance",2015
3,3,"Jason Day",75,313.7,45166,144,"DrivingDistance",2015
4,4,"Adam Scott",51,311.6,27425,88,"DrivingDistance",2015
5,5,"JB Holmes",89,309.9,47731,154,"DrivingDistance",2015
6,6,"Charlie Beljan",76,309.8,41516,134,"DrivingDistance",2015
7,7,"Tony Finau",106,309,64897,210,"DrivingDistance",2015
8,8,"Brooks Koepka",84,308.2,49312,160,"DrivingDistance",2015
9,9,"Patrick Rodgers",57,307.7,31997,104,"DrivingDistance",2015
10,10,"Keegan Bradley",87,306.1,48362,158,"DrivingDistance",2015
11,11,"Jason Kokrak",88,305.6,53789,176,"DrivingDistance",2015
12,12,"Gary Woodland",81,305.5,39709,130,"DrivingDistance",2015
13,13,"Ryan Palmer",80,305.2,43955,144,"DrivingDistance",2015
14,14,"Justin Rose",69,303.5,37636,124,"DrivingDistance",2015
15,15,"Justin Thomas",106,303.2,63667,210,"DrivingDistance",2015
16,16,"Brendan Steele",88,302.9,50277,166,"DrivingDistance",2015
17,17,"Charles Howell III",105,302.7,62968,208,"DrivingDistance",2015
18,18,"Daniel Berger",97,302.1,58001,192,"DrivingDistance",2015
18,18,"Steven Bowditch",103,302.1,59213,196,"DrivingDistance",2015
20,20,"Robert Garrigus",70,301.7,39218,130,"DrivingDistance",2015
21,21,"Jimmy Walker",89,301.6,48854,162,"DrivingDistance",2015
22,22,"Martin Laird",77,300.5,45672,152,"DrivingDistance",2015
22,22,"Phil Mickelson",70,300.5,42068,140,"DrivingDistance",2015
24,24,"Charl Schwartzel",67,300.4,32438,108,"DrivingDistance",2015
25,25,"Sergio Garcia",59,300,28802,96,"DrivingDistance",2015
25,25,"Lee Westwood",56,300,26404,88,"DrivingDistance",2015
27,27,"Jhonattan Vegas",90,299.9,48585,162,"DrivingDistance",2015
28,28,"Angel Cabrera",53,299.7,31763,106,"DrivingDistance",2015
29,29,"Charley Hoffman",97,298.9,55596,186,"DrivingDistance",2015
29,29,"Hudson Swafford",97,298.9,56192,188,"DrivingDistance",2015
31,31,"Louis Oosthuizen",68,298.8,35261,118,"DrivingDistance",2015
32,32,"Graham DeLaet",65,298.7,38236,128,"DrivingDistance",2015
33,33,"Harris English",105,298.4,60286,202,"DrivingDistance",2015
33,33,"Carlos Ortiz",100,298.4,54309,182,"DrivingDistance",2015
35,35,"Paul Casey",87,297.8,46450,156,"DrivingDistance",2015
36,36,"Russell Henley",87,297.1,46941,158,"DrivingDistance",2015
36,36,"Robert Streb",110,297.1,65357,220,"DrivingDistance",2015
38,38,"Lucas Glover",79,296.9,46911,158,"DrivingDistance",2015
39,39,"Martin Flores",95,296.8,53430,180,"DrivingDistance",2015
39,39,"Rickie Fowler",76,296.8,40367,136,"DrivingDistance",2015
41,41,"Scott Piercy",90,296.7,53410,180,"DrivingDistance",2015
42,42,"Will Wilcox",58,296.6,29064,98,"DrivingDistance",2015
43,43,"Henrik Stenson",63,296.4,33202,112,"DrivingDistance",2015
44,44,"Shawn Stefani",94,296.3,55704,188,"DrivingDistance",2015
45,45,"Morgan Hoffmann",85,296.1,47382,160,"DrivingDistance",2015
46,46,"Matt Jones",89,296,45585,154,"DrivingDistance",2015
47,47,"Sean OHair",86,295.3,50792,172,"DrivingDistance",2015
47,47,"Andres Romero",69,295.3,38683,131,"DrivingDistance",2015
49,49,"Alex Prugh",84,295.2,46642,158,"DrivingDistance",2015
50,50,"Derek Ernst",75,295.1,41308,140,"DrivingDistance",2015
50,50,"James Hahn",94,295.1,52523,178,"DrivingDistance",2015
50,50,"Hunter Mahan",88,295.1,46626,158,"DrivingDistance",2015
53,53,"Billy Horschel",99,295,51924,176,"DrivingDistance",2015
54,54,"Jamie Donaldson",50,294.9,25363,86,"DrivingDistance",2015
55,55,"Marc Leishman",74,294.8,35962,122,"DrivingDistance",2015
56,56,"Davis Love III",51,294.7,27703,94,"DrivingDistance",2015
57,57,"Andres Gonzales",90,294.5,50069,170,"DrivingDistance",2015
57,57,"Hideki Matsuyama",95,294.5,48885,166,"DrivingDistance",2015
59,59,"Max Homa",78,294.2,42957,146,"DrivingDistance",2015
60,60,"Aaron Baddeley",76,294.1,42941,146,"DrivingDistance",2015
61,61,"Nick Watney",91,294,52919,180,"DrivingDistance",2015
62,62,"Jim Herman",88,293.8,51121,174,"DrivingDistance",2015
62,62,"Greg Owen",58,293.8,33492,114,"DrivingDistance",2015
64,64,"Geoff Ogilvy",50,293.7,27608,94,"DrivingDistance",2015
65,65,"Stewart Cink",77,293.6,42869,146,"DrivingDistance",2015
65,65,"Roger Sloan",56,293.6,29946,102,"DrivingDistance",2015
67,67,"Kevin Chappell",86,293.5,48133,164,"DrivingDistance",2015
68,68,"Sam Saunders",83,293.2,47492,162,"DrivingDistance",2015
69,69,"Patrick Reed",103,292.9,53893,184,"DrivingDistance",2015
70,70,"Seung Yul Noh",65,292.7,35705,122,"DrivingDistance",2015
71,71,"Retief Goosen",81,292.6,42725,146,"DrivingDistance",2015
72,72,"JJ Henry",94,292.3,52035,178,"DrivingDistance",2015
72,72,"Nick Taylor",91,292.3,53198,182,"DrivingDistance",2015
74,74,"Tom Hoge",83,292.2,45576,156,"DrivingDistance",2015
74,74,"Camilo Villegas",83,292.2,48512,166,"DrivingDistance",2015
76,76,"Boo Weekley",79,292,43223,148,"DrivingDistance",2015
77,77,"Byron Smith",59,291.9,31521,108,"DrivingDistance",2015
78,78,"Jordan Spieth",91,291.8,48431,166,"DrivingDistance",2015
78,78,"Scott Stallings",60,291.8,30351,104,"DrivingDistance",2015
80,80,"Ernie Els",57,291.7,30925,106,"DrivingDistance",2015
81,81,"Carl Pettersson",106,291.6,61245,210,"DrivingDistance",2015
82,82,"Bill Haas",89,290.7,47675,164,"DrivingDistance",2015
82,82,"Chesson Hadley",101,290.7,56398,194,"DrivingDistance",2015
82,82,"Johnson Wagner",68,290.7,38958,134,"DrivingDistance",2015
85,85,"Vijay Singh",78,290.6,44760,154,"DrivingDistance",2015
86,86,"Padraig Harrington",60,290.5,34857,120,"DrivingDistance",2015
87,87,"Jason Gore",76,290.4,41522,143,"DrivingDistance",2015
88,88,"Scott Pinckney",88,290.3,50510,174,"DrivingDistance",2015
89,89,"John Senden",80,290.2,38303,132,"DrivingDistance",2015
90,90,"Cameron Percy",72,290,40016,138,"DrivingDistance",2015
