"BirdieorBetterPercentageFairway_RANKTHISWEEK_2016","BirdieorBetterPercentageFairway_RANKLASTWEEK_2016","BirdieorBetterPercentageFairway_PLAYERNAME_2016","BirdieorBetterPercentageFairway_ROUNDS_2016","BirdieorBetterPercentageFairway_Pct_2016","BirdieorBetterPercentageFairway_TOTALBIRDIES_2016","BirdieorBetterPercentageFairway_TOTALHOLES_2016","stat_name","year"
1,1,"Adam Scott",39,30.03,88,293,"BirdieorBetterPercentageFairway",2016
2,2,"Byeong Hun An",23,28.82,49,170,"BirdieorBetterPercentageFairway",2016
3,5,"Dustin Johnson",37,28.33,66,233,"BirdieorBetterPercentageFairway",2016
4,6,"Bubba Watson",30,27.5,55,200,"BirdieorBetterPercentageFairway",2016
5,3,"Hideki Matsuyama",40,27.46,92,335,"BirdieorBetterPercentageFairway",2016
6,4,"JB Holmes",39,27.33,88,322,"BirdieorBetterPercentageFairway",2016
7,7,"Jimmy Walker",43,27.32,100,366,"BirdieorBetterPercentageFairway",2016
8,8,"Jordan Spieth",34,27.1,71,262,"BirdieorBetterPercentageFairway",2016
9,9,"Rickie Fowler",42,26.65,109,409,"BirdieorBetterPercentageFairway",2016
10,19,"Rory McIlroy",37,26.04,69,265,"BirdieorBetterPercentageFairway",2016
11,11,"Kevin Kisner",49,25.93,112,432,"BirdieorBetterPercentageFairway",2016
12,12,"Jason Day",36,25.75,69,268,"BirdieorBetterPercentageFairway",2016
13,13,"Zach Johnson",42,25.49,116,455,"BirdieorBetterPercentageFairway",2016
14,14,"Smylie Kaufman",57,25.46,124,487,"BirdieorBetterPercentageFairway",2016
15,10,"Henrik Stenson",30,25.2,63,250,"BirdieorBetterPercentageFairway",2016
16,17,"Andrew Loupe",50,25.17,113,449,"BirdieorBetterPercentageFairway",2016
17,15,"Patrick Reed",53,25.07,95,379,"BirdieorBetterPercentageFairway",2016
18,16,"Charley Hoffman",49,24.82,105,423,"BirdieorBetterPercentageFairway",2016
19,34,"Justin Rose",35,24.6,77,313,"BirdieorBetterPercentageFairway",2016
20,20,"DJ Trahan",23,24.46,34,139,"BirdieorBetterPercentageFairway",2016
21,28,"William McGirt",54,24.37,155,636,"BirdieorBetterPercentageFairway",2016
22,21,"Kevin Na",52,24.3,104,428,"BirdieorBetterPercentageFairway",2016
23,23,"Charl Schwartzel",29,24.18,59,244,"BirdieorBetterPercentageFairway",2016
24,22,"Ricky Barnes",57,24.08,125,519,"BirdieorBetterPercentageFairway",2016
25,25,"Brandt Snedeker",47,24.07,103,428,"BirdieorBetterPercentageFairway",2016
26,24,"Daniel Berger",52,23.89,108,452,"BirdieorBetterPercentageFairway",2016
27,29,"Patton Kizzire",57,23.74,127,535,"BirdieorBetterPercentageFairway",2016
28,30,"Scott Piercy",45,23.66,84,355,"BirdieorBetterPercentageFairway",2016
29,31,"Troy Merritt",41,23.61,85,360,"BirdieorBetterPercentageFairway",2016
30,26,"Harold Varner III",58,23.6,143,606,"BirdieorBetterPercentageFairway",2016
31,27,"Emiliano Grillo",47,23.57,115,488,"BirdieorBetterPercentageFairway",2016
32,35,"Charles Howell III",63,23.45,136,580,"BirdieorBetterPercentageFairway",2016
33,33,"Billy Horschel",45,23.42,104,444,"BirdieorBetterPercentageFairway",2016
34,17,"Phil Mickelson",37,23.3,72,309,"BirdieorBetterPercentageFairway",2016
35,50,"Danny Lee",53,23.23,115,495,"BirdieorBetterPercentageFairway",2016
36,37,"Bryce Molder",50,23.12,120,519,"BirdieorBetterPercentageFairway",2016
37,42,"David Lingmerth",54,23.06,113,490,"BirdieorBetterPercentageFairway",2016
38,63,"Dawie van der Walt",48,23.02,96,417,"BirdieorBetterPercentageFairway",2016
39,41,"Michael Thompson",46,22.78,90,395,"BirdieorBetterPercentageFairway",2016
40,53,"Robert Garrigus",34,22.73,60,264,"BirdieorBetterPercentageFairway",2016
41,47,"Jason Dufner",53,22.7,101,445,"BirdieorBetterPercentageFairway",2016
42,45,"Tim Wilkinson",40,22.67,78,344,"BirdieorBetterPercentageFairway",2016
43,32,"Jamie Lovemark",57,22.62,140,619,"BirdieorBetterPercentageFairway",2016
44,64,"Jonas Blixt",46,22.49,103,458,"BirdieorBetterPercentageFairway",2016
45,38,"Webb Simpson",34,22.47,82,365,"BirdieorBetterPercentageFairway",2016
46,48,"Jhonattan Vegas",49,22.46,104,463,"BirdieorBetterPercentageFairway",2016
47,51,"Fabian Gomez",49,22.45,121,539,"BirdieorBetterPercentageFairway",2016
48,71,"Ollie Schniederjans",23,22.43,48,214,"BirdieorBetterPercentageFairway",2016
49,46,"Kyle Stanley",57,22.42,141,629,"BirdieorBetterPercentageFairway",2016
