"Approachesfrom200225yardsRgh_RANKTHISWEEK_2014","Approachesfrom200225yardsRgh_RANKLASTWEEK_2014","Approachesfrom200225yardsRgh_PLAYERNAME_2014","Approachesfrom200225yardsRgh_ROUNDS_2014","Approachesfrom200225yardsRgh_AVG_2014","Approachesfrom200225yardsRgh_TOTALDISTANCEFEET_2014","Approachesfrom200225yardsRgh_OFATTEMPTS_2014","Approachesfrom200225yardsRgh_RELATIVETOPAR_2014","stat_name","year"
1,1,"Kevin Na",94,NA,1021.667,22,1,"Approachesfrom200225yardsRgh",2014
2,2,"Brendan Steele",89,NA,884.167,19,3,"Approachesfrom200225yardsRgh",2014
3,3,"Vijay Singh",83,NA,1121.667,24,-3,"Approachesfrom200225yardsRgh",2014
4,4,"Brooks Koepka",56,NA,757.083,16,1,"Approachesfrom200225yardsRgh",2014
5,5,"Adam Scott",68,NA,917.083,19,-5,"Approachesfrom200225yardsRgh",2014
6,6,"Paul Casey",56,NA,536.333,11,3,"Approachesfrom200225yardsRgh",2014
7,7,"Jamie Lovemark",64,NA,639.333,13,3,"Approachesfrom200225yardsRgh",2014
8,8,"Robert Streb",75,NA,1100.5,22,-1,"Approachesfrom200225yardsRgh",2014
9,9,"Scott Stallings",77,NA,1051,21,7,"Approachesfrom200225yardsRgh",2014
10,10,"Brad Fritsch",50,NA,654.25,13,1,"Approachesfrom200225yardsRgh",2014
11,11,"Matt Kuchar",91,NA,1264.083,25,2,"Approachesfrom200225yardsRgh",2014
12,12,"Rory McIlroy",66,NA,564.417,11,-2,"Approachesfrom200225yardsRgh",2014
12,12,"John Senden",99,NA,1077.583,21,0,"Approachesfrom200225yardsRgh",2014
14,14,"Brendon de Jonge",109,NA,1357.167,26,3,"Approachesfrom200225yardsRgh",2014
15,15,"Jimmy Walker",98,NA,1723.083,33,-2,"Approachesfrom200225yardsRgh",2014
16,16,"Steven Bowditch",93,NA,1152.833,22,3,"Approachesfrom200225yardsRgh",2014
17,17,"Heath Slocum",71,NA,947.417,18,2,"Approachesfrom200225yardsRgh",2014
17,17,"Hudson Swafford",75,NA,632.167,12,0,"Approachesfrom200225yardsRgh",2014
19,19,"David Lingmerth",80,NA,1213.917,23,7,"Approachesfrom200225yardsRgh",2014
20,20,"Sergio Garcia",61,NA,635.5,12,3,"Approachesfrom200225yardsRgh",2014
20,20,"Jhonattan Vegas",77,NA,847.917,16,3,"Approachesfrom200225yardsRgh",2014
22,22,"Ian Poulter",57,NA,692.917,13,1,"Approachesfrom200225yardsRgh",2014
23,23,"Jim Furyk",84,NA,751,14,3,"Approachesfrom200225yardsRgh",2014
24,24,"Rory Sabbatini",82,NA,1313.417,24,0,"Approachesfrom200225yardsRgh",2014
25,25,"Kevin Tway",64,NA,822.5,15,2,"Approachesfrom200225yardsRgh",2014
26,26,"Dustin Johnson",58,NA,824.333,15,-1,"Approachesfrom200225yardsRgh",2014
27,27,"Louis Oosthuizen",50,NA,439.75,8,0,"Approachesfrom200225yardsRgh",2014
28,28,"Troy Matteson",62,NA,991.75,18,4,"Approachesfrom200225yardsRgh",2014
28,28,"YE Yang",79,NA,1211.167,22,6,"Approachesfrom200225yardsRgh",2014
30,30,"William McGirt",96,NA,2151.917,39,4,"Approachesfrom200225yardsRgh",2014
31,31,"Retief Goosen",94,NA,2160.833,39,10,"Approachesfrom200225yardsRgh",2014
31,31,"Ted Potter Jr",68,NA,1274.167,23,4,"Approachesfrom200225yardsRgh",2014
33,33,"Phil Mickelson",71,NA,722,13,3,"Approachesfrom200225yardsRgh",2014
34,34,"Russell Knox",92,NA,1613.75,29,9,"Approachesfrom200225yardsRgh",2014
35,35,"Charlie Beljan",76,NA,952.417,17,-1,"Approachesfrom200225yardsRgh",2014
36,36,"Andrew Loupe",65,NA,841.083,15,4,"Approachesfrom200225yardsRgh",2014
37,37,"Mike Weir",69,NA,2249.583,40,7,"Approachesfrom200225yardsRgh",2014
38,38,"Gonzalo Fdez Castano",83,NA,1466.75,26,5,"Approachesfrom200225yardsRgh",2014
39,39,"Chris Kirk",105,NA,1140.5,20,-3,"Approachesfrom200225yardsRgh",2014
40,40,"Spencer Levin",59,NA,1426.333,25,10,"Approachesfrom200225yardsRgh",2014
41,41,"Jordan Spieth",102,NA,1896,33,2,"Approachesfrom200225yardsRgh",2014
42,42,"Bubba Watson",76,NA,864.417,15,-2,"Approachesfrom200225yardsRgh",2014
43,43,"Jason Bohn",81,NA,1159.917,20,4,"Approachesfrom200225yardsRgh",2014
43,43,"Morgan Hoffmann",103,NA,1565.333,27,5,"Approachesfrom200225yardsRgh",2014
43,43,"Camilo Villegas",95,NA,2086.833,36,12,"Approachesfrom200225yardsRgh",2014
46,46,"James Driscoll",71,NA,1104.75,19,10,"Approachesfrom200225yardsRgh",2014
47,47,"Ricky Barnes",92,NA,2107.333,36,2,"Approachesfrom200225yardsRgh",2014
48,48,"Bryce Molder",77,NA,1763.083,30,10,"Approachesfrom200225yardsRgh",2014
49,49,"Nicholas Thompson",85,NA,766.083,13,5,"Approachesfrom200225yardsRgh",2014
50,50,"John Merrick",87,NA,1360.167,23,1,"Approachesfrom200225yardsRgh",2014
51,51,"Freddie Jacobson",91,NA,1480.25,25,4,"Approachesfrom200225yardsRgh",2014
