"FedExCupSeasonPoints_RANKTHISWEEK_2014","FedExCupSeasonPoints_RANKLASTWEEK_2014","FedExCupSeasonPoints_PLAYERNAME_2014","FedExCupSeasonPoints_EVENTS_2014","FedExCupSeasonPoints_POINTS_2014","FedExCupSeasonPoints_OFWINS_2014","FedExCupSeasonPoints_OFTOP10S_2014","FedExCupSeasonPoints_POINTSBEHINDLEAD_2014","FedExCupSeasonPoints_RESETPOINTS_2014","stat_name","year"
1,1,"Rory McIlroy",13,2582,3,9,NA,NA,"FedExCupSeasonPoints",2014
2,2,"Jimmy Walker",23,2493,3,9,89,NA,"FedExCupSeasonPoints",2014
3,3,"Bubba Watson",17,2173,2,7,409,NA,"FedExCupSeasonPoints",2014
4,4,"Matt Kuchar",20,1921,1,10,661,NA,"FedExCupSeasonPoints",2014
5,5,"Jim Furyk",17,1851,NA,8,731,NA,"FedExCupSeasonPoints",2014
6,6,"Dustin Johnson",17,1769,1,7,813,NA,"FedExCupSeasonPoints",2014
7,7,"Sergio Garcia",13,1700,NA,8,882,NA,"FedExCupSeasonPoints",2014
8,8,"Jordan Spieth",23,1692,NA,7,890,NA,"FedExCupSeasonPoints",2014
9,9,"Patrick Reed",24,1666,2,3,916,NA,"FedExCupSeasonPoints",2014
10,10,"Chris Kirk",24,1571,1,3,1011,NA,"FedExCupSeasonPoints",2014
11,11,"Zach Johnson",22,1552,1,5,1030,NA,"FedExCupSeasonPoints",2014
12,12,"Brendon Todd",25,1542,1,7,1040,NA,"FedExCupSeasonPoints",2014
13,13,"Webb Simpson",21,1536,1,8,1046,NA,"FedExCupSeasonPoints",2014
14,14,"Martin Kaymer",15,1525,2,3,1057,NA,"FedExCupSeasonPoints",2014
15,15,"Adam Scott",13,1479,1,8,1103,NA,"FedExCupSeasonPoints",2014
16,16,"Rickie Fowler",22,1471,NA,7,1111,NA,"FedExCupSeasonPoints",2014
17,17,"Harris English",25,1469,1,7,1113,NA,"FedExCupSeasonPoints",2014
18,18,"Justin Rose",16,1447,1,7,1135,NA,"FedExCupSeasonPoints",2014
19,19,"Ryan Moore",21,1429,1,7,1153,NA,"FedExCupSeasonPoints",2014
20,20,"Kevin Na",23,1413,NA,5,1169,NA,"FedExCupSeasonPoints",2014
21,21,"Brian Harman",29,1349,1,6,1233,NA,"FedExCupSeasonPoints",2014
22,22,"Hideki Matsuyama",20,1287,1,4,1295,NA,"FedExCupSeasonPoints",2014
