"Approachesfrom75100yardsRgh_RANKTHISWEEK_2009","Approachesfrom75100yardsRgh_RANKLASTWEEK_2009","Approachesfrom75100yardsRgh_PLAYERNAME_2009","Approachesfrom75100yardsRgh_ROUNDS_2009","Approachesfrom75100yardsRgh_AVG_2009","Approachesfrom75100yardsRgh_TOTALDISTANCEFEET_2009","Approachesfrom75100yardsRgh_OFATTEMPTS_2009","Approachesfrom75100yardsRgh_RELATIVETOPAR_2009","stat_name","year"
1,1,"Sean OHair",80,NA,68.417,6,-3,"Approachesfrom75100yardsRgh",2009
2,2,"Ian Poulter",59,NA,56.75,4,-1,"Approachesfrom75100yardsRgh",2009
3,3,"Ted Purdy",101,NA,299.333,19,-2,"Approachesfrom75100yardsRgh",2009
4,4,"Bo Van Pelt",100,NA,178.667,11,-2,"Approachesfrom75100yardsRgh",2009
5,5,"Sergio Garcia",59,NA,180.333,11,0,"Approachesfrom75100yardsRgh",2009
6,6,"Jerry Kelly",90,NA,115.333,7,0,"Approachesfrom75100yardsRgh",2009
7,7,"Chad Campbell",90,NA,283.917,17,4,"Approachesfrom75100yardsRgh",2009
8,8,"John Merrick",91,NA,201.75,12,1,"Approachesfrom75100yardsRgh",2009
9,9,"Brendon de Jonge",90,NA,263.5,15,1,"Approachesfrom75100yardsRgh",2009
10,10,"Tiger Woods",64,NA,176.833,10,2,"Approachesfrom75100yardsRgh",2009
11,11,"Parker McLachlin",71,NA,305.5,17,-1,"Approachesfrom75100yardsRgh",2009
12,12,"Joe Durant",62,NA,127.25,7,2,"Approachesfrom75100yardsRgh",2009
12,12,"Matt Weibring",65,NA,272.917,15,3,"Approachesfrom75100yardsRgh",2009
14,14,"Steve Stricker",81,NA,93,5,-1,"Approachesfrom75100yardsRgh",2009
15,15,"Bob Heintz",59,NA,168.083,9,-3,"Approachesfrom75100yardsRgh",2009
16,16,"Rory Sabbatini",81,NA,299.333,16,5,"Approachesfrom75100yardsRgh",2009
17,17,"Bryce Molder",69,NA,56.5,3,0,"Approachesfrom75100yardsRgh",2009
18,18,"Jason Bohn",88,NA,208,11,-2,"Approachesfrom75100yardsRgh",2009
19,19,"Dustin Johnson",85,NA,360.583,19,-1,"Approachesfrom75100yardsRgh",2009
19,19,"Kirk Triplett",60,NA,208.917,11,-2,"Approachesfrom75100yardsRgh",2009
21,21,"Joe Ogilvie",85,NA,612.833,32,-2,"Approachesfrom75100yardsRgh",2009
21,21,"Tag Ridings",50,NA,249,13,-3,"Approachesfrom75100yardsRgh",2009
23,23,"Corey Pavin",73,NA,307.5,16,-4,"Approachesfrom75100yardsRgh",2009
24,24,"Brad Adamonis",70,NA,194.083,10,4,"Approachesfrom75100yardsRgh",2009
25,25,"Tom Lehman",55,NA,78.75,4,1,"Approachesfrom75100yardsRgh",2009
26,26,"Vaughn Taylor",88,NA,337.917,17,-2,"Approachesfrom75100yardsRgh",2009
27,27,"Briny Baird",89,NA,379.917,19,2,"Approachesfrom75100yardsRgh",2009
28,28,"Brian Gay",96,NA,361.333,18,1,"Approachesfrom75100yardsRgh",2009
29,29,"Ben Crane",93,NA,302.417,15,2,"Approachesfrom75100yardsRgh",2009
29,29,"Padraig Harrington",66,NA,161.333,8,-1,"Approachesfrom75100yardsRgh",2009
29,29,"Scott Verplank",88,NA,221.417,11,3,"Approachesfrom75100yardsRgh",2009
32,32,"Retief Goosen",74,NA,306.083,15,1,"Approachesfrom75100yardsRgh",2009
32,32,"Rocco Mediate",79,NA,306.583,15,0,"Approachesfrom75100yardsRgh",2009
34,34,"Woody Austin",84,NA,266.667,13,-1,"Approachesfrom75100yardsRgh",2009
34,34,"Mark Calcavecchia",72,NA,307.167,15,-3,"Approachesfrom75100yardsRgh",2009
34,34,"Jeff Klauk",97,NA,328.417,16,1,"Approachesfrom75100yardsRgh",2009
37,37,"Geoff Ogilvy",78,NA,349.333,17,-1,"Approachesfrom75100yardsRgh",2009
38,38,"JB Holmes",74,NA,645.333,31,0,"Approachesfrom75100yardsRgh",2009
39,39,"Harrison Frazar",93,NA,544.5,26,4,"Approachesfrom75100yardsRgh",2009
40,40,"Greg Chalmers",85,NA,168.917,8,-3,"Approachesfrom75100yardsRgh",2009
40,40,"Tim Clark",81,NA,274.167,13,-3,"Approachesfrom75100yardsRgh",2009
40,40,"Todd Hamilton",83,NA,295.333,14,1,"Approachesfrom75100yardsRgh",2009
40,40,"Brandt Snedeker",81,NA,274.083,13,-1,"Approachesfrom75100yardsRgh",2009
44,44,"Justin Rose",71,NA,211.417,10,2,"Approachesfrom75100yardsRgh",2009
45,45,"Scott McCarron",91,NA,212.167,10,0,"Approachesfrom75100yardsRgh",2009
46,46,"Camilo Villegas",76,NA,213,10,-1,"Approachesfrom75100yardsRgh",2009
47,47,"Webb Simpson",94,NA,429.25,20,1,"Approachesfrom75100yardsRgh",2009
48,48,"David Toms",98,NA,304.083,14,-2,"Approachesfrom75100yardsRgh",2009
48,48,"Nick Watney",86,NA,348.167,16,-4,"Approachesfrom75100yardsRgh",2009
50,50,"Ricky Barnes",67,NA,261.917,12,-2,"Approachesfrom75100yardsRgh",2009
50,50,"Patrick Sheehan",51,NA,152.833,7,2,"Approachesfrom75100yardsRgh",2009
52,52,"Stephen Ames",77,NA,243.75,11,-1,"Approachesfrom75100yardsRgh",2009
52,52,"Eric Axley",71,NA,464.667,21,8,"Approachesfrom75100yardsRgh",2009
52,52,"Fred Couples",54,NA,243.5,11,1,"Approachesfrom75100yardsRgh",2009
52,52,"Chris Riley",77,NA,310.417,14,0,"Approachesfrom75100yardsRgh",2009
56,56,"Jeff Overton",92,NA,534.667,24,0,"Approachesfrom75100yardsRgh",2009
57,57,"Kevin Stadler",65,NA,357.5,16,-1,"Approachesfrom75100yardsRgh",2009
58,58,"Adam Scott",53,NA,202.417,9,4,"Approachesfrom75100yardsRgh",2009
59,59,"Hunter Mahan",94,NA,274.083,12,1,"Approachesfrom75100yardsRgh",2009
59,59,"Boo Weekley",79,NA,205.833,9,1,"Approachesfrom75100yardsRgh",2009
61,61,"Bill Haas",91,NA,344.917,15,-1,"Approachesfrom75100yardsRgh",2009
61,61,"Nick OHern",90,NA,322.5,14,2,"Approachesfrom75100yardsRgh",2009
63,63,"Jay Williamson",69,NA,277.333,12,2,"Approachesfrom75100yardsRgh",2009
64,64,"Nathan Green",104,NA,513.667,22,6,"Approachesfrom75100yardsRgh",2009
64,64,"Greg Kraft",51,NA,303.083,13,2,"Approachesfrom75100yardsRgh",2009
64,64,"Will Ma Kenzie",69,NA,396.25,17,-1,"Approachesfrom75100yardsRgh",2009
67,67,"Alex Cejka",82,NA,400,17,0,"Approachesfrom75100yardsRgh",2009
67,67,"Chris Stroud",88,NA,446,19,4,"Approachesfrom75100yardsRgh",2009
69,69,"Spencer Levin",75,NA,589.917,25,0,"Approachesfrom75100yardsRgh",2009
70,70,"Rich Beem",77,NA,449.5,19,-4,"Approachesfrom75100yardsRgh",2009
70,70,"Vijay Singh",71,NA,308,13,1,"Approachesfrom75100yardsRgh",2009
72,72,"KJ Choi",65,NA,237.333,10,1,"Approachesfrom75100yardsRgh",2009
72,72,"Kent Jones",73,NA,332.25,14,0,"Approachesfrom75100yardsRgh",2009
72,72,"Jeff Quinney",78,NA,475.583,20,5,"Approachesfrom75100yardsRgh",2009
75,75,"Charles Warren",63,NA,214.75,9,0,"Approachesfrom75100yardsRgh",2009
76,76,"Brian Bateman",55,NA,191.583,8,4,"Approachesfrom75100yardsRgh",2009
76,76,"Matt Kuchar",82,NA,239.25,10,2,"Approachesfrom75100yardsRgh",2009
76,76,"Carl Pettersson",86,NA,406.833,17,5,"Approachesfrom75100yardsRgh",2009
79,79,"Michael Letzig",96,NA,480.833,20,7,"Approachesfrom75100yardsRgh",2009
80,80,"David Duval",56,NA,193.417,8,1,"Approachesfrom75100yardsRgh",2009
80,80,"Steve Flesch",77,NA,386.833,16,6,"Approachesfrom75100yardsRgh",2009
82,82,"Jason Dufner",90,NA,363.333,15,6,"Approachesfrom75100yardsRgh",2009
82,82,"Brad Faxon",59,NA,315.083,13,1,"Approachesfrom75100yardsRgh",2009
82,82,"David Mathis",82,NA,485.5,20,4,"Approachesfrom75100yardsRgh",2009
85,85,"Steve Marino",98,NA,416,17,-2,"Approachesfrom75100yardsRgh",2009
86,86,"Bubba Watson",73,NA,417.5,17,4,"Approachesfrom75100yardsRgh",2009
87,87,"Luke Donald",79,NA,369.75,15,3,"Approachesfrom75100yardsRgh",2009
88,88,"Bob Estes",78,NA,297.417,12,3,"Approachesfrom75100yardsRgh",2009
89,89,"Brian Davis",103,NA,322.417,13,0,"Approachesfrom75100yardsRgh",2009
89,89,"Ernie Els",70,NA,373,15,3,"Approachesfrom75100yardsRgh",2009
89,89,"Ryuji Imada",85,NA,496.417,20,0,"Approachesfrom75100yardsRgh",2009
89,89,"Charlie Wi",92,NA,248.167,10,1,"Approachesfrom75100yardsRgh",2009
93,93,"Aron Price",89,NA,376.75,15,-3,"Approachesfrom75100yardsRgh",2009
94,94,"Freddie Jacobson",83,NA,481.833,19,2,"Approachesfrom75100yardsRgh",2009
95,95,"Cameron Beckman",87,NA,381.083,15,1,"Approachesfrom75100yardsRgh",2009
96,96,"Andres Romero",58,NA,458.25,18,2,"Approachesfrom75100yardsRgh",2009
97,97,"Chez Reavie",81,NA,336.083,13,2,"Approachesfrom75100yardsRgh",2009
98,98,"Peter Tomasulo",61,NA,207.333,8,1,"Approachesfrom75100yardsRgh",2009
99,99,"Pat Perez",74,NA,208.5,8,3,"Approachesfrom75100yardsRgh",2009
100,100,"YE Yang",83,NA,130.833,5,3,"Approachesfrom75100yardsRgh",2009
101,101,"Stuart Appleby",79,NA,367.167,14,-1,"Approachesfrom75100yardsRgh",2009
101,101,"Martin Laird",72,NA,394,15,-2,"Approachesfrom75100yardsRgh",2009
103,103,"Nicholas Thompson",96,NA,526.917,20,9,"Approachesfrom75100yardsRgh",2009
104,104,"Zach Johnson",94,NA,448.833,17,-3,"Approachesfrom75100yardsRgh",2009
104,104,"John Senden",100,NA,422,16,-3,"Approachesfrom75100yardsRgh",2009
106,106,"Ken Duke",87,NA,636,24,7,"Approachesfrom75100yardsRgh",2009
107,107,"Darron Stiles",52,NA,318.583,12,2,"Approachesfrom75100yardsRgh",2009
108,108,"Jimmy Walker",74,NA,319.833,12,0,"Approachesfrom75100yardsRgh",2009
109,109,"Michael Allen",73,NA,427.583,16,4,"Approachesfrom75100yardsRgh",2009
109,109,"Jeff Maggert",79,NA,481.083,18,7,"Approachesfrom75100yardsRgh",2009
109,109,"Scott Piercy",85,NA,561.667,21,-6,"Approachesfrom75100yardsRgh",2009
112,112,"JJ Henry",97,NA,455.667,17,4,"Approachesfrom75100yardsRgh",2009
113,113,"Daniel Chopra",89,NA,648.25,24,1,"Approachesfrom75100yardsRgh",2009
113,113,"Justin Leonard",95,NA,756.333,28,-2,"Approachesfrom75100yardsRgh",2009
113,113,"Kevin Sutherland",96,NA,431.333,16,1,"Approachesfrom75100yardsRgh",2009
113,113,"Mark Wilson",99,NA,243.333,9,3,"Approachesfrom75100yardsRgh",2009
117,117,"Mark Brooks",55,NA,135.75,5,1,"Approachesfrom75100yardsRgh",2009
117,117,"Scott Sterling",51,NA,81.583,3,1,"Approachesfrom75100yardsRgh",2009
119,119,"Steve Elkington",70,NA,408.5,15,2,"Approachesfrom75100yardsRgh",2009
119,119,"DA Points",99,NA,462.917,17,1,"Approachesfrom75100yardsRgh",2009
121,121,"Marc Leishman",91,NA,600.417,22,0,"Approachesfrom75100yardsRgh",2009
122,122,"Ryan Moore",89,NA,276.167,10,0,"Approachesfrom75100yardsRgh",2009
122,122,"Leif Olson",51,NA,303.333,11,3,"Approachesfrom75100yardsRgh",2009
122,122,"Dean Wilson",81,NA,496.75,18,7,"Approachesfrom75100yardsRgh",2009
125,125,"Glen Day",79,NA,638.75,23,2,"Approachesfrom75100yardsRgh",2009
125,125,"Tim Petrovic",97,NA,444,16,-1,"Approachesfrom75100yardsRgh",2009
127,127,"Peter Lonard",86,NA,222.5,8,1,"Approachesfrom75100yardsRgh",2009
128,128,"Matt Bettencourt",98,NA,921.5,33,2,"Approachesfrom75100yardsRgh",2009
128,128,"Tim Herron",87,NA,531,19,-1,"Approachesfrom75100yardsRgh",2009
130,130,"Jason Day",61,NA,338.667,12,2,"Approachesfrom75100yardsRgh",2009
