"AverageDistanceofPuttsmade_RANKTHISWEEK_2005","AverageDistanceofPuttsmade_RANKLASTWEEK_2005","AverageDistanceofPuttsmade_PLAYERNAME_2005","AverageDistanceofPuttsmade_ROUNDS_2005","AverageDistanceofPuttsmade_AVG_2005","AverageDistanceofPuttsmade_TOTALDISTINCHES_2005","AverageDistanceofPuttsmade_TOTALROUNDS_2005","AverageDistanceofPuttsmade_AVGDIST_2005","AverageDistanceofPuttsmade_BESTROUND_2005","stat_name","year"
1,1,"Dan Forsman",52,NA,49570,47,NA,NA,"AverageDistanceofPuttsmade",2005
2,2,"Brenden Pappas",51,NA,51117,49,NA,NA,"AverageDistanceofPuttsmade",2005
3,3,"Ben Crane",78,NA,66714,64,NA,NA,"AverageDistanceofPuttsmade",2005
4,4,"Len Mattiace",86,NA,76134,74,NA,NA,"AverageDistanceofPuttsmade",2005
5,5,"Brad Faxon",75,NA,57207,56,NA,NA,"AverageDistanceofPuttsmade",2005
5,5,"Kent Jones",99,NA,89900,88,NA,NA,"AverageDistanceofPuttsmade",2005
7,7,"Gavin Coles",70,NA,61984,61,NA,NA,"AverageDistanceofPuttsmade",2005
8,8,"Joe Ogilvie",103,NA,78027,77,NA,NA,"AverageDistanceofPuttsmade",2005
9,9,"Bob Tway",87,NA,66755,66,NA,NA,"AverageDistanceofPuttsmade",2005
10,10,"Ryan Palmer",101,NA,78729,78,NA,NA,"AverageDistanceofPuttsmade",2005
11,11,"Freddie Jacobson",72,NA,54389,54,NA,NA,"AverageDistanceofPuttsmade",2005
12,12,"Richard Johnson",50,NA,46128,46,NA,NA,"AverageDistanceofPuttsmade",2005
12,12,"David Toms",87,NA,62181,62,NA,NA,"AverageDistanceofPuttsmade",2005
14,14,"Sean OHair",103,NA,84035,84,NA,NA,"AverageDistanceofPuttsmade",2005
15,15,"Phil Mickelson",81,NA,49895,50,NA,NA,"AverageDistanceofPuttsmade",2005
16,16,"Arjun Atwal",65,NA,59627,60,NA,NA,"AverageDistanceofPuttsmade",2005
17,17,"Dudley Hart",84,NA,70430,71,NA,NA,"AverageDistanceofPuttsmade",2005
18,18,"Chris Anderson",66,NA,57479,58,NA,NA,"AverageDistanceofPuttsmade",2005
19,19,"Tim Herron",100,NA,75225,76,NA,NA,"AverageDistanceofPuttsmade",2005
20,20,"Charles Howell III",95,NA,71243,72,NA,NA,"AverageDistanceofPuttsmade",2005
21,21,"JL Lewis",98,NA,79074,80,NA,NA,"AverageDistanceofPuttsmade",2005
22,22,"Matt Gogel",78,NA,65144,66,NA,NA,"AverageDistanceofPuttsmade",2005
23,23,"Bernhard Langer",67,NA,42392,43,NA,NA,"AverageDistanceofPuttsmade",2005
23,23,"Rory Sabbatini",81,NA,59148,60,NA,NA,"AverageDistanceofPuttsmade",2005
25,25,"Chad Campbell",95,NA,72754,74,NA,NA,"AverageDistanceofPuttsmade",2005
26,26,"Steve Elkington",67,NA,54024,55,NA,NA,"AverageDistanceofPuttsmade",2005
26,26,"Brian Gay",101,NA,89381,91,NA,NA,"AverageDistanceofPuttsmade",2005
26,26,"Larry Mize",54,NA,45152,46,NA,NA,"AverageDistanceofPuttsmade",2005
26,26,"Phillip Price",77,NA,60909,62,NA,NA,"AverageDistanceofPuttsmade",2005
30,30,"Steve Lowery",100,NA,83289,85,NA,NA,"AverageDistanceofPuttsmade",2005
31,31,"Bo Van Pelt",112,NA,90878,93,NA,NA,"AverageDistanceofPuttsmade",2005
32,32,"Charlie Wi",67,NA,57509,59,NA,NA,"AverageDistanceofPuttsmade",2005
33,33,"Bart Bryant",91,NA,73054,75,NA,NA,"AverageDistanceofPuttsmade",2005
34,34,"Stewart Cink",98,NA,69104,71,NA,NA,"AverageDistanceofPuttsmade",2005
35,35,"Tim Clark",92,NA,61175,63,NA,NA,"AverageDistanceofPuttsmade",2005
35,35,"Jim Furyk",94,NA,67966,70,NA,NA,"AverageDistanceofPuttsmade",2005
37,37,"Tiger Woods",76,NA,53355,55,NA,NA,"AverageDistanceofPuttsmade",2005
38,38,"Stephen Ames",82,NA,59026,61,NA,NA,"AverageDistanceofPuttsmade",2005
38,38,"Aaron Baddeley",84,NA,71652,74,NA,NA,"AverageDistanceofPuttsmade",2005
40,40,"Briny Baird",98,NA,85139,88,NA,NA,"AverageDistanceofPuttsmade",2005
40,40,"Hunter Mahan",103,NA,89004,92,NA,NA,"AverageDistanceofPuttsmade",2005
42,42,"Scott McCarron",78,NA,56975,59,NA,NA,"AverageDistanceofPuttsmade",2005
42,42,"Shaun Micheel",81,NA,59919,62,NA,NA,"AverageDistanceofPuttsmade",2005
44,44,"Billy Andrade",83,NA,69434,72,NA,NA,"AverageDistanceofPuttsmade",2005
44,44,"Ian Poulter",62,NA,34705,36,NA,NA,"AverageDistanceofPuttsmade",2005
46,46,"Harrison Frazar",105,NA,88633,92,NA,NA,"AverageDistanceofPuttsmade",2005
46,46,"Mark Hensby",70,NA,46220,48,NA,NA,"AverageDistanceofPuttsmade",2005
48,48,"Robert Gamez",91,NA,75049,78,NA,NA,"AverageDistanceofPuttsmade",2005
48,48,"Bob Heintz",67,NA,59615,62,NA,NA,"AverageDistanceofPuttsmade",2005
48,48,"Brendan Jones",81,NA,67311,70,NA,NA,"AverageDistanceofPuttsmade",2005
48,48,"Mark OMeara",66,NA,48108,50,NA,NA,"AverageDistanceofPuttsmade",2005
52,52,"Kevin Na",88,NA,74871,78,NA,NA,"AverageDistanceofPuttsmade",2005
52,52,"Loren Roberts",54,NA,46102,48,NA,NA,"AverageDistanceofPuttsmade",2005
54,54,"Charles Warren",89,NA,74708,78,NA,NA,"AverageDistanceofPuttsmade",2005
54,54,"Nick Watney",91,NA,74729,78,NA,NA,"AverageDistanceofPuttsmade",2005
56,56,"Patrick Sheehan",114,NA,89817,94,NA,NA,"AverageDistanceofPuttsmade",2005
57,57,"Steve Allan",102,NA,83085,87,NA,NA,"AverageDistanceofPuttsmade",2005
57,57,"Jeff Brehaut",71,NA,59208,62,NA,NA,"AverageDistanceofPuttsmade",2005
57,57,"James Driscoll",73,NA,58264,61,NA,NA,"AverageDistanceofPuttsmade",2005
57,57,"Padraig Harrington",50,NA,37264,39,NA,NA,"AverageDistanceofPuttsmade",2005
57,57,"Steve Stricker",62,NA,56346,59,NA,NA,"AverageDistanceofPuttsmade",2005
62,62,"Olin Browne",99,NA,78200,82,NA,NA,"AverageDistanceofPuttsmade",2005
62,62,"Dean Wilson",86,NA,73426,77,NA,NA,"AverageDistanceofPuttsmade",2005
64,64,"Arron Oberholser",65,NA,47577,50,NA,NA,"AverageDistanceofPuttsmade",2005
65,65,"Fred Funk",102,NA,78009,82,NA,NA,"AverageDistanceofPuttsmade",2005
65,65,"Hank Kuehne",84,NA,69420,73,NA,NA,"AverageDistanceofPuttsmade",2005
67,67,"KJ Choi",78,NA,51306,54,NA,NA,"AverageDistanceofPuttsmade",2005
67,67,"Daniel Chopra",108,NA,86405,91,NA,NA,"AverageDistanceofPuttsmade",2005
67,67,"Tom Gillis",77,NA,63626,67,NA,NA,"AverageDistanceofPuttsmade",2005
70,70,"Brandt Jobe",96,NA,75002,79,NA,NA,"AverageDistanceofPuttsmade",2005
70,70,"Kirk Triplett",55,NA,41773,44,NA,NA,"AverageDistanceofPuttsmade",2005
72,72,"Jose Maria Olazabal",55,NA,38881,41,NA,NA,"AverageDistanceofPuttsmade",2005
73,73,"Tom Pernice Jr",111,NA,82406,87,NA,NA,"AverageDistanceofPuttsmade",2005
73,73,"Mario Tiziani",67,NA,55848,59,NA,NA,"AverageDistanceofPuttsmade",2005
75,75,"Matt Kuchar",60,NA,51097,54,NA,NA,"AverageDistanceofPuttsmade",2005
75,75,"Rob Rashell",65,NA,49205,52,NA,NA,"AverageDistanceofPuttsmade",2005
77,77,"Jonathan Byrd",103,NA,86908,92,NA,NA,"AverageDistanceofPuttsmade",2005
77,77,"Stephen Leaney",89,NA,69910,74,NA,NA,"AverageDistanceofPuttsmade",2005
77,77,"Geoff Ogilvy",97,NA,68013,72,NA,NA,"AverageDistanceofPuttsmade",2005
80,80,"Woody Austin",100,NA,84047,89,NA,NA,"AverageDistanceofPuttsmade",2005
81,81,"Jeff Maggert",79,NA,56574,60,NA,NA,"AverageDistanceofPuttsmade",2005
82,82,"Stuart Appleby",84,NA,58391,62,NA,NA,"AverageDistanceofPuttsmade",2005
82,82,"Scott Hend",75,NA,59368,63,NA,NA,"AverageDistanceofPuttsmade",2005
82,82,"Kenny Perry",82,NA,55583,59,NA,NA,"AverageDistanceofPuttsmade",2005
85,85,"Darron Stiles",78,NA,62085,66,NA,NA,"AverageDistanceofPuttsmade",2005
86,86,"Danny Briggs",70,NA,55444,59,NA,NA,"AverageDistanceofPuttsmade",2005
86,86,"Tom Byrum",83,NA,70489,75,NA,NA,"AverageDistanceofPuttsmade",2005
86,86,"Pat Perez",89,NA,67656,72,NA,NA,"AverageDistanceofPuttsmade",2005
89,89,"JP Hayes",63,NA,49691,53,NA,NA,"AverageDistanceofPuttsmade",2005
89,89,"Tag Ridings",93,NA,76881,82,NA,NA,"AverageDistanceofPuttsmade",2005
91,91,"Thomas Levet",54,NA,33713,36,NA,NA,"AverageDistanceofPuttsmade",2005
92,92,"John Cook",72,NA,53293,57,NA,NA,"AverageDistanceofPuttsmade",2005
92,92,"Hunter Haas",83,NA,65430,70,NA,NA,"AverageDistanceofPuttsmade",2005
92,92,"Davis Love III",80,NA,51426,55,NA,NA,"AverageDistanceofPuttsmade",2005
92,92,"DJ Trahan",81,NA,64536,69,NA,NA,"AverageDistanceofPuttsmade",2005
96,96,"Jay Williamson",53,NA,42042,45,NA,NA,"AverageDistanceofPuttsmade",2005
97,97,"Kevin Stadler",96,NA,75545,81,NA,NA,"AverageDistanceofPuttsmade",2005
98,98,"Brent Geiberger",61,NA,48453,52,NA,NA,"AverageDistanceofPuttsmade",2005
98,98,"Billy Mayfair",114,NA,93226,100,NA,NA,"AverageDistanceofPuttsmade",2005
100,100,"Mark Calcavecchia",92,NA,68930,74,NA,NA,"AverageDistanceofPuttsmade",2005
100,100,"Jesper Parnevik",84,NA,61450,66,NA,NA,"AverageDistanceofPuttsmade",2005
102,102,"Tim Petrovic",97,NA,72521,78,NA,NA,"AverageDistanceofPuttsmade",2005
103,103,"Marco Dawson",82,NA,71538,77,NA,NA,"AverageDistanceofPuttsmade",2005
103,103,"Heath Slocum",103,NA,83614,90,NA,NA,"AverageDistanceofPuttsmade",2005
105,105,"Brett Quigley",96,NA,76136,82,NA,NA,"AverageDistanceofPuttsmade",2005
106,106,"Jay Haas",54,NA,36165,39,NA,NA,"AverageDistanceofPuttsmade",2005
107,107,"Steve Flesch",90,NA,57391,62,NA,NA,"AverageDistanceofPuttsmade",2005
107,107,"Scott Gutschewski",86,NA,64805,70,NA,NA,"AverageDistanceofPuttsmade",2005
107,107,"Lee Janzen",75,NA,53708,58,NA,NA,"AverageDistanceofPuttsmade",2005
