"RyderCupEuroPoints_RANKTHISWEEK_2010","RyderCupEuroPoints_RANKLASTWEEK_2010","RyderCupEuroPoints_PLAYERNAME_2010","RyderCupEuroPoints__2010","RyderCupEuroPoints_POINTS_2010","stat_name","year"
79,NA,"Richard Johnson",NA,266660,"RyderCupEuroPoints",2010
80,NA,"Kenneth Ferrie",NA,248253.08,"RyderCupEuroPoints",2010
81,NA,"Steve Webster",NA,247717.9,"RyderCupEuroPoints",2010
82,NA,"Paul Waring",NA,247472.35,"RyderCupEuroPoints",2010
83,NA,"Paul McGinley",NA,243309.46,"RyderCupEuroPoints",2010
84,NA,"Sam Hutsby",NA,239155.84,"RyderCupEuroPoints",2010
85,NA,"David Howell",NA,219221.1,"RyderCupEuroPoints",2010
86,NA,"Marc Warren",NA,207197.83,"RyderCupEuroPoints",2010
87,NA,"Francois DeLamontagne",NA,206947.94,"RyderCupEuroPoints",2010
88,NA,"Pelle Edberg",NA,201814.74,"RyderCupEuroPoints",2010
89,NA,"Paul Broadhurst",NA,199215.65,"RyderCupEuroPoints",2010
90,NA,"David Dixon",NA,197485.47,"RyderCupEuroPoints",2010
91,NA,"Scott Drummond",NA,183670.8,"RyderCupEuroPoints",2010
92,NA,"Steven OHara",NA,182658.15,"RyderCupEuroPoints",2010
93,NA,"Jean Baptiste Gonnet",NA,180257,"RyderCupEuroPoints",2010
94,NA,"Nick Dougherty",NA,178987.81,"RyderCupEuroPoints",2010
95,NA,"Benn Barham",NA,177990.29,"RyderCupEuroPoints",2010
96,NA,"Jeppe Huldahl",NA,163965.26,"RyderCupEuroPoints",2010
97,NA,"Christian Cevaer",NA,163721.28,"RyderCupEuroPoints",2010
98,NA,"Colin Montgomerie",NA,162305.82,"RyderCupEuroPoints",2010
99,NA,"Gary Lockerbie",NA,156996.9,"RyderCupEuroPoints",2010
100,NA,"Phillip Price",NA,152458.14,"RyderCupEuroPoints",2010
101,NA,"Richard McEvoy",NA,148718.24,"RyderCupEuroPoints",2010
102,NA,"Mark Haastrup",NA,147934.4,"RyderCupEuroPoints",2010
103,NA,"Julien Guerrier",NA,146076.57,"RyderCupEuroPoints",2010
104,NA,"Martin Laird",NA,142068.92,"RyderCupEuroPoints",2010
105,NA,"Alastair Forsyth",NA,140699.25,"RyderCupEuroPoints",2010
106,NA,"Robert Coles",NA,136132.64,"RyderCupEuroPoints",2010
107,NA,"Andrew Coltart",NA,132605.21,"RyderCupEuroPoints",2010
