"TenthTeeEarlyScoringAverage_RANKTHISWEEK_2011","TenthTeeEarlyScoringAverage_RANKLASTWEEK_2011","TenthTeeEarlyScoringAverage_PLAYERNAME_2011","TenthTeeEarlyScoringAverage_ROUNDS_2011","TenthTeeEarlyScoringAverage_AVG_2011","TenthTeeEarlyScoringAverage_TOTALSTROKES_2011","TenthTeeEarlyScoringAverage_TOTAL10THTEEEARLYRDS_2011","stat_name","year"
1,1,"Steve Stricker",70,67.7,677,10,"TenthTeeEarlyScoringAverage",2011
2,2,"Nick Watney",80,68.25,1092,16,"TenthTeeEarlyScoringAverage",2011
3,3,"Martin Laird",77,68.75,825,12,"TenthTeeEarlyScoringAverage",2011
4,4,"Webb Simpson",98,68.85,1377,20,"TenthTeeEarlyScoringAverage",2011
4,4,"Mark Wilson",89,68.85,895,13,"TenthTeeEarlyScoringAverage",2011
6,6,"Kyle Stanley",98,68.92,896,13,"TenthTeeEarlyScoringAverage",2011
7,7,"Lucas Glover",74,69,828,12,"TenthTeeEarlyScoringAverage",2011
8,8,"Gary Woodland",93,69.11,1244,18,"TenthTeeEarlyScoringAverage",2011
9,9,"John Merrick",71,69.13,1037,15,"TenthTeeEarlyScoringAverage",2011
10,10,"Jason Day",76,69.14,968,14,"TenthTeeEarlyScoringAverage",2011
11,11,"Zach Johnson",79,69.25,831,12,"TenthTeeEarlyScoringAverage",2011
12,12,"Jim Furyk",87,69.27,1039,15,"TenthTeeEarlyScoringAverage",2011
13,13,"Brendon de Jonge",105,69.29,1455,21,"TenthTeeEarlyScoringAverage",2011
14,14,"Rod Pampling",72,69.36,971,14,"TenthTeeEarlyScoringAverage",2011
15,15,"Billy Mayfair",94,69.39,1249,18,"TenthTeeEarlyScoringAverage",2011
15,15,"Brendan Steele",89,69.39,1249,18,"TenthTeeEarlyScoringAverage",2011
17,17,"Luke Donald",73,69.4,1041,15,"TenthTeeEarlyScoringAverage",2011
18,18,"Alex Cejka",59,69.42,833,12,"TenthTeeEarlyScoringAverage",2011
19,19,"DA Points",89,69.44,625,9,"TenthTeeEarlyScoringAverage",2011
20,20,"Chad Campbell",99,69.47,1320,19,"TenthTeeEarlyScoringAverage",2011
20,20,"Rickie Fowler",84,69.47,1042,15,"TenthTeeEarlyScoringAverage",2011
22,22,"Hunter Haas",96,69.5,1390,20,"TenthTeeEarlyScoringAverage",2011
22,22,"Lee Janzen",62,69.5,556,8,"TenthTeeEarlyScoringAverage",2011
22,22,"Matt Kuchar",94,69.5,1251,18,"TenthTeeEarlyScoringAverage",2011
22,22,"Rory Sabbatini",85,69.5,973,14,"TenthTeeEarlyScoringAverage",2011
22,22,"John Senden",94,69.5,973,14,"TenthTeeEarlyScoringAverage",2011
22,22,"Brandt Snedeker",85,69.5,1251,18,"TenthTeeEarlyScoringAverage",2011
22,22,"David Toms",78,69.5,1251,18,"TenthTeeEarlyScoringAverage",2011
29,29,"Chris Couch",73,69.55,1391,20,"TenthTeeEarlyScoringAverage",2011
30,30,"Jason Dufner",78,69.58,835,12,"TenthTeeEarlyScoringAverage",2011
30,30,"Sergio Garcia",61,69.58,835,12,"TenthTeeEarlyScoringAverage",2011
32,32,"Tom Gillis",55,69.7,697,10,"TenthTeeEarlyScoringAverage",2011
33,33,"Greg Chalmers",88,69.73,1534,22,"TenthTeeEarlyScoringAverage",2011
34,34,"Vaughn Taylor",89,69.78,1256,18,"TenthTeeEarlyScoringAverage",2011
35,35,"Tommy Gainey",104,69.79,1326,19,"TenthTeeEarlyScoringAverage",2011
36,36,"Jeff Overton",92,69.8,1396,20,"TenthTeeEarlyScoringAverage",2011
36,36,"Roland Thatcher",67,69.8,1047,15,"TenthTeeEarlyScoringAverage",2011
38,38,"Charles Howell III",108,69.87,1048,15,"TenthTeeEarlyScoringAverage",2011
39,39,"Ben Crane",76,69.89,629,9,"TenthTeeEarlyScoringAverage",2011
39,39,"YE Yang",63,69.89,629,9,"TenthTeeEarlyScoringAverage",2011
41,41,"Paul Stankowski",78,69.95,1469,21,"TenthTeeEarlyScoringAverage",2011
42,42,"Brian Davis",105,69.96,1609,23,"TenthTeeEarlyScoringAverage",2011
43,43,"Robert Allenby",84,70,630,9,"TenthTeeEarlyScoringAverage",2011
43,43,"Ricky Barnes",78,70,1050,15,"TenthTeeEarlyScoringAverage",2011
43,43,"Bill Haas",93,70,910,13,"TenthTeeEarlyScoringAverage",2011
43,43,"Brandt Jobe",100,70,980,14,"TenthTeeEarlyScoringAverage",2011
