"TotalDistanceEfficiency_RANKTHISWEEK_2012","TotalDistanceEfficiency_RANKLASTWEEK_2012","TotalDistanceEfficiency_PLAYERNAME_2012","TotalDistanceEfficiency_ROUNDS_2012","TotalDistanceEfficiency_AVG_2012","TotalDistanceEfficiency_AVERAGEDISTANCEYARDS_2012","TotalDistanceEfficiency_AVERAGECLUBHEADSPEED_2012","TotalDistanceEfficiency_TOTALATTEMPTS_2012","TotalDistanceEfficiency_HIGHESTDISTEFFICIENCY_2012","stat_name","year"
1,1,"David Toms",60,2.783,290.238,104.289,41,3.373,"TotalDistanceEfficiency",2012
2,2,"Ben Crane",73,2.714,298.494,109.993,66,3.387,"TotalDistanceEfficiency",2012
3,3,"Martin Laird",77,2.678,315.345,117.742,48,3.597,"TotalDistanceEfficiency",2012
4,4,"Jeff Maggert",83,2.675,284.018,106.168,76,3.069,"TotalDistanceEfficiency",2012
5,5,"Keegan Bradley",90,2.66,310.809,116.83,59,3.482,"TotalDistanceEfficiency",2012
6,6,"Zach Johnson",95,2.659,286.039,107.574,74,3.18,"TotalDistanceEfficiency",2012
7,7,"Bo Van Pelt",84,2.647,301.977,114.091,63,3.278,"TotalDistanceEfficiency",2012
8,8,"Brian Gay",91,2.644,276.545,104.575,73,3.165,"TotalDistanceEfficiency",2012
9,9,"Tim Clark",60,2.642,275.725,104.366,55,2.984,"TotalDistanceEfficiency",2012
9,9,"Hunter Mahan",88,2.642,296.003,112.051,62,3.401,"TotalDistanceEfficiency",2012
11,11,"John Daly",50,2.641,314.501,119.072,30,2.924,"TotalDistanceEfficiency",2012
11,11,"Matt Kuchar",86,2.641,285.567,108.127,68,3.296,"TotalDistanceEfficiency",2012
11,11,"Steve Stricker",73,2.641,296.36,112.215,49,3.471,"TotalDistanceEfficiency",2012
14,14,"Ernie Els",80,2.638,298.637,113.202,61,3.295,"TotalDistanceEfficiency",2012
15,15,"Tommy Gainey",98,2.635,297.473,112.907,87,3.034,"TotalDistanceEfficiency",2012
15,15,"Scott Piercy",95,2.635,309.794,117.591,70,3.415,"TotalDistanceEfficiency",2012
17,17,"Heath Slocum",93,2.632,279.392,106.134,71,2.962,"TotalDistanceEfficiency",2012
18,18,"Rickie Fowler",84,2.63,304.091,115.645,59,3.166,"TotalDistanceEfficiency",2012
19,19,"KJ Choi",71,2.628,288.101,109.621,55,3.419,"TotalDistanceEfficiency",2012
20,20,"Carl Pettersson",92,2.625,298.824,113.85,76,3.43,"TotalDistanceEfficiency",2012
20,20,"Vaughn Taylor",81,2.625,284.683,108.431,56,3.05,"TotalDistanceEfficiency",2012
22,22,"Brendan Steele",77,2.621,294.083,112.215,62,3.539,"TotalDistanceEfficiency",2012
23,23,"Bubba Watson",68,2.62,326.72,124.692,53,3.461,"TotalDistanceEfficiency",2012
24,24,"Brian Harman",101,2.619,290.622,110.976,90,3.025,"TotalDistanceEfficiency",2012
24,24,"John Merrick",83,2.619,296.19,113.109,62,3.045,"TotalDistanceEfficiency",2012
24,24,"Ian Poulter",57,2.619,290.624,110.972,42,3.049,"TotalDistanceEfficiency",2012
27,27,"Bryce Molder",83,2.614,285.692,109.282,71,3.406,"TotalDistanceEfficiency",2012
27,27,"Kyle Stanley",86,2.614,312.4,119.515,53,3.132,"TotalDistanceEfficiency",2012
29,29,"John Huh",99,2.612,290.206,111.107,83,3.093,"TotalDistanceEfficiency",2012
30,30,"Michael Bradley",63,2.611,297.819,114.048,35,3.297,"TotalDistanceEfficiency",2012
30,30,"Sung Kang",75,2.611,286.674,109.781,56,3.475,"TotalDistanceEfficiency",2012
30,30,"Sean OHair",84,2.611,304.012,116.431,69,3.371,"TotalDistanceEfficiency",2012
33,33,"Harrison Frazar",56,2.608,298.33,114.391,43,3.243,"TotalDistanceEfficiency",2012
33,33,"Graeme McDowell",55,2.608,293.158,112.403,41,3.274,"TotalDistanceEfficiency",2012
33,33,"Rory Sabbatini",84,2.608,292.604,112.2,71,3.299,"TotalDistanceEfficiency",2012
33,33,"Mark Wilson",84,2.608,280.483,107.548,68,3.426,"TotalDistanceEfficiency",2012
37,37,"Jason Dufner",83,2.606,293.399,112.599,63,3.35,"TotalDistanceEfficiency",2012
37,37,"Ryan Palmer",81,2.606,302.715,116.169,68,2.979,"TotalDistanceEfficiency",2012
39,39,"John Mallinger",74,2.605,281.37,107.996,60,2.916,"TotalDistanceEfficiency",2012
39,39,"Patrick Sheehan",58,2.605,281.161,107.941,41,2.924,"TotalDistanceEfficiency",2012
39,39,"Scott Stallings",78,2.605,309.872,118.964,66,3.408,"TotalDistanceEfficiency",2012
42,42,"Gary Christian",91,2.604,284.579,109.298,64,2.904,"TotalDistanceEfficiency",2012
42,42,"Brian Davis",91,2.604,275.505,105.79,81,2.95,"TotalDistanceEfficiency",2012
44,44,"Chez Reavie",83,2.602,285.881,109.882,61,3.147,"TotalDistanceEfficiency",2012
45,45,"Rory McIlroy",60,2.601,312.711,120.209,38,3.202,"TotalDistanceEfficiency",2012
