"AveragePuttingDistanceAll3Plusputts_RANKTHISWEEK_2008","AveragePuttingDistanceAll3Plusputts_RANKLASTWEEK_2008","AveragePuttingDistanceAll3Plusputts_PLAYERNAME_2008","AveragePuttingDistanceAll3Plusputts_ROUNDS_2008","AveragePuttingDistanceAll3Plusputts_AVG_2008","AveragePuttingDistanceAll3Plusputts_DISTANCEFEET_2008","AveragePuttingDistanceAll3Plusputts_TOTALPUTTS_2008","stat_name","year"
1,1,"Nicholas Thompson",113,NA,98.833,1,"AveragePuttingDistanceAll3Plusputts",2008
2,2,"Steve Marino",119,NA,85.083,1,"AveragePuttingDistanceAll3Plusputts",2008
3,3,"Peter Lonard",92,NA,77.75,1,"AveragePuttingDistanceAll3Plusputts",2008
4,4,"Carl Pettersson",110,NA,69,1,"AveragePuttingDistanceAll3Plusputts",2008
5,5,"Justin Bolli",87,NA,61.5,1,"AveragePuttingDistanceAll3Plusputts",2008
6,6,"Zach Johnson",85,NA,60,1,"AveragePuttingDistanceAll3Plusputts",2008
7,7,"Trevor Immelman",70,NA,59.167,1,"AveragePuttingDistanceAll3Plusputts",2008
7,7,"Camilo Villegas",79,NA,59.167,1,"AveragePuttingDistanceAll3Plusputts",2008
9,9,"Jon Mills",95,NA,58.417,1,"AveragePuttingDistanceAll3Plusputts",2008
10,10,"Joe Durant",92,NA,174.417,3,"AveragePuttingDistanceAll3Plusputts",2008
11,11,"Paul Claxton",63,NA,57.25,1,"AveragePuttingDistanceAll3Plusputts",2008
12,12,"Boo Weekley",86,NA,55.333,1,"AveragePuttingDistanceAll3Plusputts",2008
13,13,"Glen Day",64,NA,110.5,2,"AveragePuttingDistanceAll3Plusputts",2008
14,14,"Scott Sterling",89,NA,107.583,2,"AveragePuttingDistanceAll3Plusputts",2008
15,15,"Heath Slocum",104,NA,53.083,1,"AveragePuttingDistanceAll3Plusputts",2008
16,16,"Steve Flesch",95,NA,156.833,3,"AveragePuttingDistanceAll3Plusputts",2008
17,17,"Rod Pampling",83,NA,52,1,"AveragePuttingDistanceAll3Plusputts",2008
18,18,"Robert Allenby",108,NA,102.083,2,"AveragePuttingDistanceAll3Plusputts",2008
19,19,"Shigeki Maruyama",50,NA,100.833,2,"AveragePuttingDistanceAll3Plusputts",2008
20,20,"Tom Pernice Jr",104,NA,49.667,1,"AveragePuttingDistanceAll3Plusputts",2008
21,21,"Will Ma Kenzie",62,NA,98.667,2,"AveragePuttingDistanceAll3Plusputts",2008
