"TenthTeeEarlyScoringAverage_RANKTHISWEEK_2008","TenthTeeEarlyScoringAverage_RANKLASTWEEK_2008","TenthTeeEarlyScoringAverage_PLAYERNAME_2008","TenthTeeEarlyScoringAverage_ROUNDS_2008","TenthTeeEarlyScoringAverage_AVG_2008","TenthTeeEarlyScoringAverage_TOTALSTROKES_2008","TenthTeeEarlyScoringAverage_TOTAL10THTEEEARLYRDS_2008","stat_name","year"
1,1,"Ryan Palmer",69,68.21,955,14,"TenthTeeEarlyScoringAverage",2008
2,2,"Phil Mickelson",80,68.71,1168,17,"TenthTeeEarlyScoringAverage",2008
2,2,"Joe Ogilvie",100,68.71,1168,17,"TenthTeeEarlyScoringAverage",2008
4,4,"Kenny Perry",97,68.89,1240,18,"TenthTeeEarlyScoringAverage",2008
5,5,"David Toms",70,69.2,692,10,"TenthTeeEarlyScoringAverage",2008
6,6,"Stuart Appleby",87,69.21,969,14,"TenthTeeEarlyScoringAverage",2008
7,7,"Sergio Garcia",72,69.27,762,11,"TenthTeeEarlyScoringAverage",2008
7,7,"Adam Scott",51,69.27,762,11,"TenthTeeEarlyScoringAverage",2008
9,9,"Brenden Pappas",66,69.33,832,12,"TenthTeeEarlyScoringAverage",2008
10,10,"Jim Furyk",95,69.43,1458,21,"TenthTeeEarlyScoringAverage",2008
11,11,"Robert Allenby",108,69.47,1320,19,"TenthTeeEarlyScoringAverage",2008
12,12,"Alejandro Canizares",52,69.6,1044,15,"TenthTeeEarlyScoringAverage",2008
12,12,"Stewart Cink",87,69.6,1044,15,"TenthTeeEarlyScoringAverage",2008
14,14,"Jason Day",81,69.7,1394,20,"TenthTeeEarlyScoringAverage",2008
14,14,"Carl Pettersson",110,69.7,1603,23,"TenthTeeEarlyScoringAverage",2008
16,16,"Brian Davis",108,69.74,1325,19,"TenthTeeEarlyScoringAverage",2008
17,17,"Bob Tway",70,69.77,907,13,"TenthTeeEarlyScoringAverage",2008
18,18,"Anthony Kim",81,69.85,908,13,"TenthTeeEarlyScoringAverage",2008
18,18,"Bubba Watson",97,69.85,1816,26,"TenthTeeEarlyScoringAverage",2008
20,20,"Kevin Sutherland",98,69.87,1607,23,"TenthTeeEarlyScoringAverage",2008
21,21,"Jesper Parnevik",88,69.88,1188,17,"TenthTeeEarlyScoringAverage",2008
21,21,"Ron Whittaker",54,69.88,559,8,"TenthTeeEarlyScoringAverage",2008
23,23,"Brad Adamonis",87,69.9,1398,20,"TenthTeeEarlyScoringAverage",2008
23,23,"Chad Campbell",94,69.9,699,10,"TenthTeeEarlyScoringAverage",2008
25,25,"John Senden",93,69.93,979,14,"TenthTeeEarlyScoringAverage",2008
26,26,"Todd Hamilton",92,69.94,1189,17,"TenthTeeEarlyScoringAverage",2008
27,27,"Ben Curtis",80,70,910,13,"TenthTeeEarlyScoringAverage",2008
27,27,"Marco Dawson",64,70,1120,16,"TenthTeeEarlyScoringAverage",2008
27,27,"Retief Goosen",59,70,350,5,"TenthTeeEarlyScoringAverage",2008
27,27,"Boo Weekley",86,70,770,11,"TenthTeeEarlyScoringAverage",2008
31,31,"Brian Gay",102,70.05,1541,22,"TenthTeeEarlyScoringAverage",2008
32,32,"Aaron Baddeley",76,70.08,911,13,"TenthTeeEarlyScoringAverage",2008
