"FairwayProximity_RANKTHISWEEK_2005","FairwayProximity_RANKLASTWEEK_2005","FairwayProximity_PLAYERNAME_2005","FairwayProximity_ROUNDS_2005","FairwayProximity_AVG_2005","FairwayProximity_ATTEMPTS_2005","FairwayProximity_TOTALDISTANCEFEET_2005","FairwayProximity_RELATIVETOPAR_2005","stat_name","year"
1,1,"Jim Furyk",94,NA,1029,29040.833,-166,"FairwayProximity",2005
1,1,"Adam Scott",72,NA,667,18820.667,-79,"FairwayProximity",2005
3,3,"Kenny Perry",82,NA,813,23334.167,-104,"FairwayProximity",2005
4,4,"Fred Couples",72,NA,553,15958.75,-43,"FairwayProximity",2005
5,5,"Loren Roberts",54,NA,698,20256.75,-45,"FairwayProximity",2005
6,6,"Olin Browne",99,NA,1229,36070.417,-109,"FairwayProximity",2005
6,6,"Shigeki Maruyama",99,NA,1129,33102.25,-135,"FairwayProximity",2005
8,8,"Robert Gamez",91,NA,1122,33151,-105,"FairwayProximity",2005
8,8,"Tiger Woods",76,NA,653,19342.667,-120,"FairwayProximity",2005
10,10,"Robert Allenby",95,NA,987,29310.583,-93,"FairwayProximity",2005
10,10,"Tommy Armour III",103,NA,1269,37680.75,-90,"FairwayProximity",2005
10,10,"Sergio Garcia",73,NA,647,19189.75,-76,"FairwayProximity",2005
13,13,"Chad Campbell",95,NA,1033,30852.083,-98,"FairwayProximity",2005
13,13,"Alex Cejka",84,NA,980,29266.417,-42,"FairwayProximity",2005
13,13,"Luke Donald",67,NA,555,16550,-63,"FairwayProximity",2005
16,16,"Bill Glasson",54,NA,606,18138.917,-20,"FairwayProximity",2005
16,16,"JP Hayes",63,NA,726,21730.25,-60,"FairwayProximity",2005
18,18,"David Toms",87,NA,878,26362.75,-111,"FairwayProximity",2005
19,19,"Craig Barlow",81,NA,885,26639.25,-46,"FairwayProximity",2005
19,19,"Chris DiMarco",83,NA,775,23308.083,-72,"FairwayProximity",2005
19,19,"Brendan Jones",81,NA,904,27193.417,-37,"FairwayProximity",2005
22,22,"Justin Leonard",78,NA,766,23182.25,-57,"FairwayProximity",2005
23,23,"Retief Goosen",71,NA,553,16786.667,-57,"FairwayProximity",2005
23,23,"Jeff Maggert",79,NA,868,26293.583,-49,"FairwayProximity",2005
23,23,"Kirk Triplett",55,NA,617,18702.083,-33,"FairwayProximity",2005
26,26,"John Huston",90,NA,1066,32457.917,-69,"FairwayProximity",2005
27,27,"Bob Estes",92,NA,1120,34287.083,-92,"FairwayProximity",2005
27,27,"Jerry Kelly",101,NA,1068,32658.083,-96,"FairwayProximity",2005
27,27,"Peter Lonard",85,NA,906,27726.167,-48,"FairwayProximity",2005
27,27,"Rocco Mediate",73,NA,879,26883.583,-63,"FairwayProximity",2005
