"ScramblingfromtheSand_RANKTHISWEEK_2006","ScramblingfromtheSand_RANKLASTWEEK_2006","ScramblingfromtheSand_PLAYERNAME_2006","ScramblingfromtheSand_ROUNDS_2006","ScramblingfromtheSand_Pct_2006","ScramblingfromtheSand_SUCCESSES_2006","ScramblingfromtheSand_ATTEMPTS_2006","stat_name","year"
1,1,"Bob May",65,70.83,34,48,"ScramblingfromtheSand",2006
2,2,"Luke Donald",66,66.67,30,45,"ScramblingfromtheSand",2006
3,3,"Steve Stricker",64,64.91,37,57,"ScramblingfromtheSand",2006
4,4,"Jerry Smith",94,64.49,69,107,"ScramblingfromtheSand",2006
5,5,"Rod Pampling",89,63.64,63,99,"ScramblingfromtheSand",2006
6,6,"Duffy Waldorf",96,63.56,75,118,"ScramblingfromtheSand",2006
7,7,"Chris Riley",86,63.41,78,123,"ScramblingfromtheSand",2006
8,8,"Rory Sabbatini",84,63.1,53,84,"ScramblingfromtheSand",2006
9,9,"Corey Pavin",74,62.82,49,78,"ScramblingfromtheSand",2006
10,10,"Padraig Harrington",54,62.5,20,32,"ScramblingfromtheSand",2006
11,11,"Greg Chalmers",71,62,62,100,"ScramblingfromtheSand",2006
12,12,"Brian Gay",107,61.79,76,123,"ScramblingfromtheSand",2006
13,13,"Stewart Cink",93,61.29,57,93,"ScramblingfromtheSand",2006
13,13,"Dudley Hart",83,61.29,57,93,"ScramblingfromtheSand",2006
15,15,"Steve Elkington",52,61.22,30,49,"ScramblingfromtheSand",2006
16,16,"Mark Wilson",79,61.11,44,72,"ScramblingfromtheSand",2006
17,17,"Jeff Sluman",101,60.87,70,115,"ScramblingfromtheSand",2006
18,18,"Vaughn Taylor",88,59.38,57,96,"ScramblingfromtheSand",2006
19,19,"Doug Barron",74,59.18,58,98,"ScramblingfromtheSand",2006
20,20,"John Engler Jr",69,58.89,53,90,"ScramblingfromtheSand",2006
21,21,"Stuart Appleby",83,58.62,51,87,"ScramblingfromtheSand",2006
22,22,"David Toms",76,58.44,45,77,"ScramblingfromtheSand",2006
23,23,"Tim Petrovic",95,58.41,66,113,"ScramblingfromtheSand",2006
24,24,"Jerry Kelly",100,58.25,60,103,"ScramblingfromtheSand",2006
25,25,"Paul Azinger",87,58.1,61,105,"ScramblingfromtheSand",2006
26,26,"Michael Allen",84,57.65,49,85,"ScramblingfromtheSand",2006
27,27,"David Howell",52,57.58,19,33,"ScramblingfromtheSand",2006
28,28,"KJ Choi",93,57.14,56,98,"ScramblingfromtheSand",2006
28,28,"Jose Maria Olazabal",62,57.14,16,28,"ScramblingfromtheSand",2006
30,30,"Carlos Franco",86,57,57,100,"ScramblingfromtheSand",2006
31,31,"Chad Campbell",91,56.98,49,86,"ScramblingfromtheSand",2006
32,32,"Mark OMeara",52,56.72,38,67,"ScramblingfromtheSand",2006
33,33,"Joe Ogilvie",95,56.44,57,101,"ScramblingfromtheSand",2006
34,34,"Vijay Singh",103,56.25,54,96,"ScramblingfromtheSand",2006
35,35,"Hidemichi Tanaka",74,56.18,50,89,"ScramblingfromtheSand",2006
36,36,"Ernie Els",69,56.16,41,73,"ScramblingfromtheSand",2006
36,36,"Geoff Ogilvy",76,56.16,41,73,"ScramblingfromtheSand",2006
38,38,"Steve Flesch",119,56.08,83,148,"ScramblingfromtheSand",2006
39,39,"Ryuji Imada",105,56.03,65,116,"ScramblingfromtheSand",2006
40,40,"Peter Lonard",77,55.95,47,84,"ScramblingfromtheSand",2006
41,41,"Chris DiMarco",83,55.84,43,77,"ScramblingfromtheSand",2006
42,42,"Nathan Green",108,55.74,68,122,"ScramblingfromtheSand",2006
