"PuttsperRoundRound1_RANKTHISWEEK_2009","PuttsperRoundRound1_RANKLASTWEEK_2009","PuttsperRoundRound1_PLAYERNAME_2009","PuttsperRoundRound1__2009","PuttsperRoundRound1_AVG_2009","PuttsperRoundRound1_TOTALPUTTS_2009","PuttsperRoundRound1_TOTALROUNDS_2009","stat_name","year"
68,68,"Kevin Sutherland",NA,29,754,26,"PuttsperRoundRound1",2009
68,68,"Bubba Watson",NA,29,667,23,"PuttsperRoundRound1",2009
78,78,"DA Points",NA,29.04,784,27,"PuttsperRoundRound1",2009
79,79,"Justin Rose",NA,29.1,611,21,"PuttsperRoundRound1",2009
80,80,"Cliff Kresge",NA,29.12,757,26,"PuttsperRoundRound1",2009
81,81,"Hunter Mahan",NA,29.13,699,24,"PuttsperRoundRound1",2009
82,82,"Jimmy Walker",NA,29.14,641,22,"PuttsperRoundRound1",2009
83,83,"John Merrick",NA,29.15,758,26,"PuttsperRoundRound1",2009
84,84,"Jarrod Lyle",NA,29.16,554,19,"PuttsperRoundRound1",2009
85,85,"Mark Calcavecchia",NA,29.17,671,23,"PuttsperRoundRound1",2009
85,85,"Matt Kuchar",NA,29.17,700,24,"PuttsperRoundRound1",2009
87,87,"Stephen Ames",NA,29.18,642,22,"PuttsperRoundRound1",2009
87,87,"Steve Marino",NA,29.18,817,28,"PuttsperRoundRound1",2009
89,89,"Matt Jones",NA,29.2,438,15,"PuttsperRoundRound1",2009
90,90,"Kris Blanks",NA,29.22,526,18,"PuttsperRoundRound1",2009
90,90,"Scott Verplank",NA,29.22,672,23,"PuttsperRoundRound1",2009
92,92,"Brian Davis",NA,29.23,906,31,"PuttsperRoundRound1",2009
92,92,"Kent Jones",NA,29.23,643,22,"PuttsperRoundRound1",2009
92,92,"Ryan Moore",NA,29.23,760,26,"PuttsperRoundRound1",2009
92,92,"Jeff Quinney",NA,29.23,760,26,"PuttsperRoundRound1",2009
96,96,"Jason Dufner",NA,29.24,731,25,"PuttsperRoundRound1",2009
97,97,"Kevin Streelman",NA,29.25,819,28,"PuttsperRoundRound1",2009
98,98,"Brad Adamonis",NA,29.26,673,23,"PuttsperRoundRound1",2009
98,98,"Charles Howell III",NA,29.26,790,27,"PuttsperRoundRound1",2009
98,98,"Chris Stroud",NA,29.26,790,27,"PuttsperRoundRound1",2009
101,101,"David Toms",NA,29.27,761,26,"PuttsperRoundRound1",2009
102,102,"Troy Matteson",NA,29.28,849,29,"PuttsperRoundRound1",2009
103,103,"Woody Austin",NA,29.29,703,24,"PuttsperRoundRound1",2009
103,103,"Tim Clark",NA,29.29,615,21,"PuttsperRoundRound1",2009
103,103,"Tag Ridings",NA,29.29,410,14,"PuttsperRoundRound1",2009
103,103,"Nick Watney",NA,29.29,703,24,"PuttsperRoundRound1",2009
107,107,"Matt Weibring",NA,29.3,586,20,"PuttsperRoundRound1",2009
108,108,"Nick OHern",NA,29.31,762,26,"PuttsperRoundRound1",2009
109,109,"Mark Brooks",NA,29.33,440,15,"PuttsperRoundRound1",2009
110,110,"Martin Laird",NA,29.35,675,23,"PuttsperRoundRound1",2009
111,111,"David Mathis",NA,29.36,734,25,"PuttsperRoundRound1",2009
111,111,"Greg Owen",NA,29.36,822,28,"PuttsperRoundRound1",2009
113,113,"Briny Baird",NA,29.37,793,27,"PuttsperRoundRound1",2009
113,113,"Nicholas Thompson",NA,29.37,881,30,"PuttsperRoundRound1",2009
115,115,"Peter Lonard",NA,29.38,852,29,"PuttsperRoundRound1",2009
115,115,"Bill Lunde",NA,29.38,764,26,"PuttsperRoundRound1",2009
115,115,"Heath Slocum",NA,29.38,852,29,"PuttsperRoundRound1",2009
115,115,"Boo Weekley",NA,29.38,617,21,"PuttsperRoundRound1",2009
119,119,"Brian Bateman",NA,29.39,676,23,"PuttsperRoundRound1",2009
120,120,"Cameron Beckman",NA,29.4,735,25,"PuttsperRoundRound1",2009
120,120,"Richard Johnson",NA,29.4,735,25,"PuttsperRoundRound1",2009
122,122,"Todd Hamilton",NA,29.43,824,28,"PuttsperRoundRound1",2009
123,123,"Matt Bettencourt",NA,29.45,913,31,"PuttsperRoundRound1",2009
123,123,"Camilo Villegas",NA,29.45,589,20,"PuttsperRoundRound1",2009
125,125,"Robert Garrigus",NA,29.46,707,24,"PuttsperRoundRound1",2009
125,125,"Marc Leishman",NA,29.46,766,26,"PuttsperRoundRound1",2009
127,127,"Steve Flesch",NA,29.5,767,26,"PuttsperRoundRound1",2009
127,127,"John Mallinger",NA,29.5,767,26,"PuttsperRoundRound1",2009
129,129,"Zach Johnson",NA,29.52,738,25,"PuttsperRoundRound1",2009
130,130,"Leif Olson",NA,29.53,561,19,"PuttsperRoundRound1",2009
131,131,"Chez Reavie",NA,29.54,768,26,"PuttsperRoundRound1",2009
131,131,"Patrick Sheehan",NA,29.54,384,13,"PuttsperRoundRound1",2009
