"GIRPutting25_RANKTHISWEEK_2009","GIRPutting25_RANKLASTWEEK_2009","GIRPutting25_PLAYERNAME_2009","GIRPutting25_ROUNDS_2009","GIRPutting25_Pct_2009","GIRPutting25_ATTEMPTS_2009","GIRPutting25_PUTTSMADE_2009","stat_name","year"
88,88,"Zach Johnson",94,5.4,315,17,"GIRPutting25",2009
89,89,"Todd Hamilton",83,5.39,241,13,"GIRPutting25",2009
90,90,"Steve Marino",98,5.38,353,19,"GIRPutting25",2009
90,90,"Andres Romero",58,5.38,186,10,"GIRPutting25",2009
92,92,"Leif Olson",51,5.36,168,9,"GIRPutting25",2009
93,93,"Michael Letzig",96,5.35,318,17,"GIRPutting25",2009
94,94,"Bob Heintz",59,5.32,188,10,"GIRPutting25",2009
95,95,"Chris Stroud",88,5.31,320,17,"GIRPutting25",2009
96,96,"Brendon de Jonge",90,5.3,302,16,"GIRPutting25",2009
96,96,"Jeff Quinney",78,5.3,264,14,"GIRPutting25",2009
98,98,"Tommy Armour III",58,5.29,189,10,"GIRPutting25",2009
99,99,"Chad Campbell",90,5.19,270,14,"GIRPutting25",2009
100,100,"Glen Day",79,5.17,271,14,"GIRPutting25",2009
100,100,"Scott McCarron",91,5.17,387,20,"GIRPutting25",2009
102,102,"Chris Riley",77,5.14,253,13,"GIRPutting25",2009
103,103,"Anthony Kim",76,5.12,215,11,"GIRPutting25",2009
104,104,"Rocco Mediate",79,5.1,255,13,"GIRPutting25",2009
105,105,"YE Yang",83,5.09,275,14,"GIRPutting25",2009
106,106,"Marc Leishman",91,5.08,354,18,"GIRPutting25",2009
107,107,"Matt Bettencourt",98,5.07,335,17,"GIRPutting25",2009
107,107,"George McNeill",82,5.07,276,14,"GIRPutting25",2009
109,109,"Ernie Els",70,5.03,199,10,"GIRPutting25",2009
110,110,"Martin Laird",72,4.96,262,13,"GIRPutting25",2009
111,111,"Jonathan Byrd",89,4.95,323,16,"GIRPutting25",2009
112,112,"Alex Cejka",82,4.94,263,13,"GIRPutting25",2009
112,112,"John Mallinger",90,4.94,263,13,"GIRPutting25",2009
114,114,"Kent Jones",73,4.92,264,13,"GIRPutting25",2009
115,115,"Angel Cabrera",55,4.86,144,7,"GIRPutting25",2009
116,116,"Billy Mayfair",83,4.85,309,15,"GIRPutting25",2009
117,117,"Stewart Cink",79,4.82,228,11,"GIRPutting25",2009
118,118,"Robert Allenby",71,4.8,229,11,"GIRPutting25",2009
119,119,"Rory Sabbatini",81,4.78,230,11,"GIRPutting25",2009
120,120,"Jerry Kelly",90,4.73,275,13,"GIRPutting25",2009
121,121,"Colt Knost",71,4.72,233,11,"GIRPutting25",2009
122,122,"Brad Adamonis",70,4.7,234,11,"GIRPutting25",2009
122,122,"Padraig Harrington",66,4.7,149,7,"GIRPutting25",2009
124,124,"Retief Goosen",74,4.69,213,10,"GIRPutting25",2009
124,124,"Justin Leonard",95,4.69,256,12,"GIRPutting25",2009
126,126,"Brendon Todd",53,4.66,193,9,"GIRPutting25",2009
127,127,"JJ Henry",97,4.62,390,18,"GIRPutting25",2009
127,127,"Nick Watney",86,4.62,303,14,"GIRPutting25",2009
129,129,"Chris DiMarco",97,4.57,328,15,"GIRPutting25",2009
129,129,"Tag Ridings",50,4.57,175,8,"GIRPutting25",2009
131,131,"Troy Matteson",95,4.56,373,17,"GIRPutting25",2009
132,132,"Bill Lunde",83,4.55,308,14,"GIRPutting25",2009
133,133,"Will Ma Kenzie",69,4.52,221,10,"GIRPutting25",2009
134,134,"Kevin Streelman",97,4.5,378,17,"GIRPutting25",2009
135,135,"Darron Stiles",52,4.43,158,7,"GIRPutting25",2009
136,136,"Charles Howell III",99,4.42,339,15,"GIRPutting25",2009
136,136,"Jay Williamson",69,4.42,226,10,"GIRPutting25",2009
138,138,"Scott Verplank",88,4.41,295,13,"GIRPutting25",2009
139,139,"Sean OHair",80,4.4,250,11,"GIRPutting25",2009
140,140,"Bryce Molder",69,4.35,230,10,"GIRPutting25",2009
141,141,"Eric Axley",71,4.33,208,9,"GIRPutting25",2009
142,142,"Mathew Goggin",76,4.3,256,11,"GIRPutting25",2009
143,143,"Steve Lowery",83,4.29,280,12,"GIRPutting25",2009
144,144,"Scott Sterling",51,4.24,165,7,"GIRPutting25",2009
145,145,"Nathan Green",104,4.22,403,17,"GIRPutting25",2009
146,146,"Brett Quigley",92,4.21,309,13,"GIRPutting25",2009
147,147,"Rick Price",54,4.17,168,7,"GIRPutting25",2009
148,148,"David Duval",56,4.14,145,6,"GIRPutting25",2009
149,149,"Brian Bateman",55,4.12,194,8,"GIRPutting25",2009
149,149,"KJ Choi",65,4.12,194,8,"GIRPutting25",2009
151,151,"Jason Bohn",88,4.08,319,13,"GIRPutting25",2009
152,152,"Mark Calcavecchia",72,3.96,227,9,"GIRPutting25",2009
153,153,"John Senden",100,3.94,432,17,"GIRPutting25",2009
154,154,"Stephen Ames",77,3.91,230,9,"GIRPutting25",2009
154,154,"Boo Weekley",79,3.91,256,10,"GIRPutting25",2009
156,156,"Cliff Kresge",78,3.89,257,10,"GIRPutting25",2009
156,156,"Brandt Snedeker",81,3.89,257,10,"GIRPutting25",2009
158,158,"Tom Lehman",55,3.87,155,6,"GIRPutting25",2009
159,159,"Stuart Appleby",79,3.81,236,9,"GIRPutting25",2009
160,160,"Tom Pernice Jr",82,3.77,292,11,"GIRPutting25",2009
161,161,"Briny Baird",89,3.76,319,12,"GIRPutting25",2009
162,162,"Greg Owen",97,3.73,375,14,"GIRPutting25",2009
162,162,"Aron Price",89,3.73,322,12,"GIRPutting25",2009
164,164,"Rich Beem",77,3.72,242,9,"GIRPutting25",2009
164,164,"Bo Van Pelt",100,3.72,323,12,"GIRPutting25",2009
166,166,"Ryan Palmer",78,3.69,271,10,"GIRPutting25",2009
167,167,"Brian Vranesh",51,3.59,167,6,"GIRPutting25",2009
168,168,"Charley Hoffman",97,3.57,336,12,"GIRPutting25",2009
169,169,"Ricky Barnes",67,3.48,201,7,"GIRPutting25",2009
170,170,"Heath Slocum",95,3.43,321,11,"GIRPutting25",2009
171,171,"Peter Tomasulo",61,3.31,181,6,"GIRPutting25",2009
172,172,"Matt Jones",56,3.21,218,7,"GIRPutting25",2009
173,173,"Ken Duke",87,3.17,252,8,"GIRPutting25",2009
174,174,"Vaughn Taylor",88,3.11,289,9,"GIRPutting25",2009
175,175,"Freddie Jacobson",83,2.86,280,8,"GIRPutting25",2009
176,176,"Charles Warren",63,2.79,215,6,"GIRPutting25",2009
177,177,"Vijay Singh",71,2.75,182,5,"GIRPutting25",2009
178,178,"Jason Gore",74,2.64,227,6,"GIRPutting25",2009
178,178,"Nicholas Thompson",96,2.64,341,9,"GIRPutting25",2009
180,180,"Camilo Villegas",76,2.58,233,6,"GIRPutting25",2009
181,181,"Jeff Maggert",79,2.48,282,7,"GIRPutting25",2009
182,182,"Jarrod Lyle",65,2.43,206,5,"GIRPutting25",2009
183,183,"Tim Herron",87,2.33,300,7,"GIRPutting25",2009
184,184,"JB Holmes",74,1.82,220,4,"GIRPutting25",2009
