"LateScoringAverage_RANKTHISWEEK_2013","LateScoringAverage_RANKLASTWEEK_2013","LateScoringAverage_PLAYERNAME_2013","LateScoringAverage_ROUNDS_2013","LateScoringAverage_AVG_2013","LateScoringAverage_TOTALSTROKES_2013","LateScoringAverage_TOTALLATEROUNDS_2013","stat_name","year"
1,1,"Steve Stricker",51,69.5,2502,36,"LateScoringAverage",2013
2,2,"Henrik Stenson",65,69.54,2712,39,"LateScoringAverage",2013
3,3,"Martin Flores",83,69.71,2649,38,"LateScoringAverage",2013
4,4,"Jordan Spieth",82,69.74,3487,50,"LateScoringAverage",2013
5,5,"Tiger Woods",61,69.86,2515,36,"LateScoringAverage",2013
6,6,"Charles Howell III",87,69.89,3215,46,"LateScoringAverage",2013
7,7,"Graham DeLaet",94,69.92,3426,49,"LateScoringAverage",2013
8,8,"John Rollins",77,69.93,2867,41,"LateScoringAverage",2013
9,9,"Chris Kirk",89,69.96,3148,45,"LateScoringAverage",2013
10,10,"Phil Mickelson",78,69.98,2939,42,"LateScoringAverage",2013
11,11,"Rory Sabbatini",86,70.02,3011,43,"LateScoringAverage",2013
12,12,"Jeff Overton",78,70.08,2593,37,"LateScoringAverage",2013
13,13,"Justin Rose",62,70.19,3018,43,"LateScoringAverage",2013
14,14,"David Hearn",88,70.2,2457,35,"LateScoringAverage",2013
14,14,"Richard Lee",81,70.2,2457,35,"LateScoringAverage",2013
16,16,"Adam Scott",61,70.25,2529,36,"LateScoringAverage",2013
17,17,"Matt Kuchar",93,70.26,3232,46,"LateScoringAverage",2013
18,18,"Steven Bowditch",67,70.28,2038,29,"LateScoringAverage",2013
19,19,"KJ Choi",85,70.29,2390,34,"LateScoringAverage",2013
20,20,"Keegan Bradley",88,70.34,3306,47,"LateScoringAverage",2013
21,21,"Sergio Garcia",65,70.35,2814,40,"LateScoringAverage",2013
21,21,"Zach Johnson",84,70.35,3658,52,"LateScoringAverage",2013
21,21,"Brandt Snedeker",79,70.35,3236,46,"LateScoringAverage",2013
21,21,"Chris Stroud",88,70.35,2814,40,"LateScoringAverage",2013
25,25,"Stuart Appleby",88,70.38,2604,37,"LateScoringAverage",2013
25,25,"Harris English",95,70.38,3378,48,"LateScoringAverage",2013
27,27,"Greg Chalmers",77,70.41,2394,34,"LateScoringAverage",2013
27,27,"Ben Crane",62,70.41,2253,32,"LateScoringAverage",2013
29,29,"Bill Haas",85,70.42,3662,52,"LateScoringAverage",2013
30,30,"Kevin Streelman",86,70.49,3172,45,"LateScoringAverage",2013
31,31,"Brendon de Jonge",110,70.51,3596,51,"LateScoringAverage",2013
32,32,"Matt Jones",83,70.53,2821,40,"LateScoringAverage",2013
32,32,"Brian Stuard",78,70.53,2539,36,"LateScoringAverage",2013
34,34,"Bryce Molder",82,70.55,2328,33,"LateScoringAverage",2013
35,35,"Mark Wilson",56,70.58,1835,26,"LateScoringAverage",2013
