"BestYTDStreakwoa3Putt_RANKTHISWEEK_2013","BestYTDStreakwoa3Putt_RANKLASTWEEK_2013","BestYTDStreakwoa3Putt_PLAYERNAME_2013","BestYTDStreakwoa3Putt_EVENTS_2013","BestYTDStreakwoa3Putt_BESTSTREAK_2013","BestYTDStreakwoa3Putt_CURRENTSTREAK_2013","stat_name","year"
1,1,"Bob Estes",18,292,17,"BestYTDStreakwoa3Putt",2013
2,2,"Andres Romero",21,283,71,"BestYTDStreakwoa3Putt",2013
3,3,"John Rollins",24,250,37,"BestYTDStreakwoa3Putt",2013
4,4,"Ken Duke",28,237,37,"BestYTDStreakwoa3Putt",2013
5,5,"Chris Stroud",26,236,2,"BestYTDStreakwoa3Putt",2013
6,6,"Paul Haley II",18,228,7,"BestYTDStreakwoa3Putt",2013
7,7,"William McGirt",24,225,101,"BestYTDStreakwoa3Putt",2013
8,8,"Brendon de Jonge",30,223,20,"BestYTDStreakwoa3Putt",2013
8,8,"Matt Kuchar",23,223,23,"BestYTDStreakwoa3Putt",2013
10,10,"Camilo Villegas",23,219,45,"BestYTDStreakwoa3Putt",2013
11,11,"Brian Gay",24,218,14,"BestYTDStreakwoa3Putt",2013
12,12,"Charl Schwartzel",19,217,36,"BestYTDStreakwoa3Putt",2013
13,13,"John Senden",25,215,7,"BestYTDStreakwoa3Putt",2013
14,14,"Carl Pettersson",24,212,1,"BestYTDStreakwoa3Putt",2013
15,15,"Casey Wittenberg",27,208,10,"BestYTDStreakwoa3Putt",2013
16,16,"Scott Langley",27,207,22,"BestYTDStreakwoa3Putt",2013
17,17,"Jason Bohn",23,206,11,"BestYTDStreakwoa3Putt",2013
17,17,"Jordan Spieth",23,206,58,"BestYTDStreakwoa3Putt",2013
19,19,"Shawn Stefani",21,204,11,"BestYTDStreakwoa3Putt",2013
20,20,"Brian Harman",29,202,47,"BestYTDStreakwoa3Putt",2013
21,21,"Cameron Percy",21,199,33,"BestYTDStreakwoa3Putt",2013
22,22,"Kevin Streelman",25,195,121,"BestYTDStreakwoa3Putt",2013
23,23,"Brian Stuard",25,193,9,"BestYTDStreakwoa3Putt",2013
24,24,"Gary Woodland",26,191,31,"BestYTDStreakwoa3Putt",2013
25,25,"Ryan Palmer",22,190,49,"BestYTDStreakwoa3Putt",2013
26,26,"Hunter Mahan",25,187,187,"BestYTDStreakwoa3Putt",2013
27,27,"Webb Simpson",25,185,109,"BestYTDStreakwoa3Putt",2013
28,28,"James Hahn",26,184,7,"BestYTDStreakwoa3Putt",2013
29,29,"Brendan Steele",26,182,16,"BestYTDStreakwoa3Putt",2013
30,30,"Ben Kohles",25,180,6,"BestYTDStreakwoa3Putt",2013
30,30,"Marc Leishman",23,180,13,"BestYTDStreakwoa3Putt",2013
32,32,"Matt Jones",24,176,59,"BestYTDStreakwoa3Putt",2013
33,33,"Steve LeBrun",21,173,NA,"BestYTDStreakwoa3Putt",2013
34,34,"Charlie Wi",23,172,1,"BestYTDStreakwoa3Putt",2013
35,35,"Steve Marino",12,171,2,"BestYTDStreakwoa3Putt",2013
36,36,"Charley Hoffman",23,169,4,"BestYTDStreakwoa3Putt",2013
37,37,"Stuart Appleby",25,163,163,"BestYTDStreakwoa3Putt",2013
37,37,"Kevin Stadler",25,163,46,"BestYTDStreakwoa3Putt",2013
39,39,"Tom Gillis",22,161,4,"BestYTDStreakwoa3Putt",2013
40,40,"Nicholas Thompson",29,159,15,"BestYTDStreakwoa3Putt",2013
41,41,"Kevin Sutherland",13,158,158,"BestYTDStreakwoa3Putt",2013
41,41,"Lee Williams",22,158,3,"BestYTDStreakwoa3Putt",2013
43,43,"Stewart Cink",22,157,5,"BestYTDStreakwoa3Putt",2013
43,43,"Brian Davis",28,157,20,"BestYTDStreakwoa3Putt",2013
43,43,"Brandt Jobe",19,157,28,"BestYTDStreakwoa3Putt",2013
46,46,"Retief Goosen",9,156,74,"BestYTDStreakwoa3Putt",2013
46,46,"Seung Yul Noh",25,156,2,"BestYTDStreakwoa3Putt",2013
