"PercentageofYardagecoveredbyTeeShots_RANKTHISWEEK_2013","PercentageofYardagecoveredbyTeeShots_RANKLASTWEEK_2013","PercentageofYardagecoveredbyTeeShots_PLAYERNAME_2013","PercentageofYardagecoveredbyTeeShots_ROUNDS_2013","PercentageofYardagecoveredbyTeeShots_AVGPct_2013","PercentageofYardagecoveredbyTeeShots_TOTALSHOTDISTANCE_2013","PercentageofYardagecoveredbyTeeShots_TOTALDISTANCE_2013","stat_name","year"
1,1,"Bubba Watson",76,65.22,246724.9,378324,"PercentageofYardagecoveredbyTeeShots",2013
2,2,"Dustin Johnson",71,64.71,212288.6,328047,"PercentageofYardagecoveredbyTeeShots",2013
3,3,"Nicolas Colsaerts",50,64.09,148502.7,231718,"PercentageofYardagecoveredbyTeeShots",2013
4,4,"Rory McIlroy",56,64.08,168856.8,263501,"PercentageofYardagecoveredbyTeeShots",2013
5,5,"Luke List",65,63.86,211806.1,331696,"PercentageofYardagecoveredbyTeeShots",2013
6,6,"Keegan Bradley",88,63.81,293575.1,460098,"PercentageofYardagecoveredbyTeeShots",2013
7,7,"Robert Garrigus",69,63.75,198432.4,311282,"PercentageofYardagecoveredbyTeeShots",2013
8,8,"Kyle Stanley",71,63.74,244986,384371,"PercentageofYardagecoveredbyTeeShots",2013
9,9,"Morgan Hoffmann",64,63.66,213807.2,335852,"PercentageofYardagecoveredbyTeeShots",2013
10,10,"Scott Piercy",78,63.6,252273.9,396688,"PercentageofYardagecoveredbyTeeShots",2013
11,11,"Steven Bowditch",67,63.49,232962.7,366936,"PercentageofYardagecoveredbyTeeShots",2013
12,12,"Scott Stallings",79,63.45,267343.9,421327,"PercentageofYardagecoveredbyTeeShots",2013
12,12,"Gary Woodland",94,63.45,337383.9,531747,"PercentageofYardagecoveredbyTeeShots",2013
14,14,"Ryan Palmer",79,63.39,277570.4,437901,"PercentageofYardagecoveredbyTeeShots",2013
15,15,"Eric Meierdierks",48,63.27,149051.7,235568,"PercentageofYardagecoveredbyTeeShots",2013
16,16,"Jason Kokrak",78,63.18,290268.4,459441,"PercentageofYardagecoveredbyTeeShots",2013
17,17,"Rory Sabbatini",86,63.14,286623.1,453984,"PercentageofYardagecoveredbyTeeShots",2013
18,18,"Jason Day",86,63.05,245862.6,389956,"PercentageofYardagecoveredbyTeeShots",2013
19,19,"Martin Flores",83,62.97,304983.6,484307,"PercentageofYardagecoveredbyTeeShots",2013
20,20,"Shawn Stefani",63,62.9,199254.2,316757,"PercentageofYardagecoveredbyTeeShots",2013
21,21,"Charlie Beljan",62,62.82,220431.5,350872,"PercentageofYardagecoveredbyTeeShots",2013
22,22,"Charles Howell III",87,62.8,320868.1,510901,"PercentageofYardagecoveredbyTeeShots",2013
23,23,"Angel Cabrera",73,62.75,228266.2,363793,"PercentageofYardagecoveredbyTeeShots",2013
24,24,"Patrick Reed",83,62.73,294502.9,469451,"PercentageofYardagecoveredbyTeeShots",2013
25,25,"Jim Herman",59,62.68,174950.4,279133,"PercentageofYardagecoveredbyTeeShots",2013
25,25,"Seung Yul Noh",71,62.68,247316.2,394544,"PercentageofYardagecoveredbyTeeShots",2013
27,27,"Charl Schwartzel",69,62.65,216358.8,345362,"PercentageofYardagecoveredbyTeeShots",2013
28,28,"Justin Rose",62,62.64,183575.9,293052,"PercentageofYardagecoveredbyTeeShots",2013
29,29,"Jimmy Walker",84,62.63,300259.9,479431,"PercentageofYardagecoveredbyTeeShots",2013
30,30,"Robert Streb",75,62.62,245237.2,391657,"PercentageofYardagecoveredbyTeeShots",2013
31,31,"Kevin Stadler",83,62.57,273177.7,436625,"PercentageofYardagecoveredbyTeeShots",2013
32,32,"John Rollins",77,62.56,271154.1,433448,"PercentageofYardagecoveredbyTeeShots",2013
32,32,"Adam Scott",61,62.56,176505.8,282153,"PercentageofYardagecoveredbyTeeShots",2013
34,34,"Harris English",95,62.54,326548.2,522119,"PercentageofYardagecoveredbyTeeShots",2013
34,34,"Derek Ernst",58,62.54,196468.3,314171,"PercentageofYardagecoveredbyTeeShots",2013
34,34,"Sean OHair",56,62.54,202270.2,323424,"PercentageofYardagecoveredbyTeeShots",2013
37,37,"Carl Pettersson",82,62.51,254553.7,407201,"PercentageofYardagecoveredbyTeeShots",2013
37,37,"Andres Romero",63,62.51,207800.9,332421,"PercentageofYardagecoveredbyTeeShots",2013
39,39,"Tag Ridings",69,62.46,229420.2,367306,"PercentageofYardagecoveredbyTeeShots",2013
40,40,"Matt Every",89,62.44,317712.9,508834,"PercentageofYardagecoveredbyTeeShots",2013
41,41,"Hunter Mahan",91,62.39,271853.3,435701,"PercentageofYardagecoveredbyTeeShots",2013
41,41,"Cameron Percy",68,62.39,224590.1,359999,"PercentageofYardagecoveredbyTeeShots",2013
43,43,"Boo Weekley",100,62.37,328907.4,527311,"PercentageofYardagecoveredbyTeeShots",2013
44,44,"Graham DeLaet",94,62.35,321268.7,515263,"PercentageofYardagecoveredbyTeeShots",2013
44,44,"Charley Hoffman",84,62.35,290065.2,465200,"PercentageofYardagecoveredbyTeeShots",2013
46,46,"Tommy Gainey",84,62.32,298052.9,478242,"PercentageofYardagecoveredbyTeeShots",2013
47,47,"Greg Owen",73,62.29,260867,418784,"PercentageofYardagecoveredbyTeeShots",2013
47,47,"Nick Watney",88,62.29,292525.9,469615,"PercentageofYardagecoveredbyTeeShots",2013
49,49,"Jason Dufner",78,62.26,240523.5,386336,"PercentageofYardagecoveredbyTeeShots",2013
50,50,"Padraig Harrington",52,62.25,138222,222041,"PercentageofYardagecoveredbyTeeShots",2013
50,50,"Lee Westwood",70,62.25,202525,325343,"PercentageofYardagecoveredbyTeeShots",2013
52,52,"Freddie Jacobson",63,62.23,181373.9,291477,"PercentageofYardagecoveredbyTeeShots",2013
52,52,"Jeff Overton",78,62.23,293164.2,471068,"PercentageofYardagecoveredbyTeeShots",2013
54,54,"Brian Harman",89,62.21,300581.6,483140,"PercentageofYardagecoveredbyTeeShots",2013
55,55,"Phil Mickelson",78,62.2,227641.9,365991,"PercentageofYardagecoveredbyTeeShots",2013
56,56,"Jordan Spieth",82,62.19,264913.7,426006,"PercentageofYardagecoveredbyTeeShots",2013
56,56,"Nicholas Thompson",99,62.19,339789.3,546370,"PercentageofYardagecoveredbyTeeShots",2013
58,58,"Andrew Svoboda",46,62.18,137799.1,221617,"PercentageofYardagecoveredbyTeeShots",2013
59,59,"Ryo Ishikawa",72,62.17,217652.2,350100,"PercentageofYardagecoveredbyTeeShots",2013
60,60,"Troy Matteson",68,62.16,233596.6,375812,"PercentageofYardagecoveredbyTeeShots",2013
61,61,"Russell Henley",80,62.14,261891.1,421428,"PercentageofYardagecoveredbyTeeShots",2013
61,61,"Martin Kaymer",61,62.14,164936.3,265437,"PercentageofYardagecoveredbyTeeShots",2013
63,63,"Webb Simpson",92,62.12,275669.9,443776,"PercentageofYardagecoveredbyTeeShots",2013
64,64,"Peter Hanson",45,62.11,130719.7,210451,"PercentageofYardagecoveredbyTeeShots",2013
65,65,"Kevin Chappell",80,62.05,265524.9,427953,"PercentageofYardagecoveredbyTeeShots",2013
65,65,"Josh Teater",86,62.05,241540.9,389261,"PercentageofYardagecoveredbyTeeShots",2013
67,67,"Ian Poulter",59,62.04,154504,249058,"PercentageofYardagecoveredbyTeeShots",2013
68,68,"Billy Horschel",96,62.02,329051.3,530579,"PercentageofYardagecoveredbyTeeShots",2013
69,69,"Lucas Glover",65,62.01,205879.2,332032,"PercentageofYardagecoveredbyTeeShots",2013
70,70,"Marc Leishman",77,62,251372.8,405433,"PercentageofYardagecoveredbyTeeShots",2013
71,71,"Bill Haas",85,61.96,274897.1,443655,"PercentageofYardagecoveredbyTeeShots",2013
72,72,"Brad Fritsch",81,61.94,267677,432157,"PercentageofYardagecoveredbyTeeShots",2013
73,73,"Bobby Gates",49,61.92,149803.2,241937,"PercentageofYardagecoveredbyTeeShots",2013
74,74,"DJ Trahan",48,61.87,147746.6,238815,"PercentageofYardagecoveredbyTeeShots",2013
75,75,"Chris Kirk",89,61.85,318122.6,514351,"PercentageofYardagecoveredbyTeeShots",2013
76,76,"Martin Laird",68,61.83,210585.5,340566,"PercentageofYardagecoveredbyTeeShots",2013
77,77,"Matt Jones",83,61.81,274829.4,444602,"PercentageofYardagecoveredbyTeeShots",2013
78,78,"Ernie Els",63,61.8,189210.4,306180,"PercentageofYardagecoveredbyTeeShots",2013
78,78,"Scott Gardiner",61,61.8,203940.4,330026,"PercentageofYardagecoveredbyTeeShots",2013
80,80,"Steve LeBrun",66,61.77,209257.7,338779,"PercentageofYardagecoveredbyTeeShots",2013
80,80,"Vijay Singh",61,61.77,188556.8,305256,"PercentageofYardagecoveredbyTeeShots",2013
80,80,"Henrik Stenson",65,61.77,174170.9,281973,"PercentageofYardagecoveredbyTeeShots",2013
83,83,"Scott Brown",65,61.74,216953.9,351416,"PercentageofYardagecoveredbyTeeShots",2013
83,83,"Henrik Norlander",70,61.74,231294.8,374650,"PercentageofYardagecoveredbyTeeShots",2013
85,85,"Matt Kuchar",93,61.73,271063.8,439116,"PercentageofYardagecoveredbyTeeShots",2013
86,86,"Erik Compton",74,61.68,254274.7,412233,"PercentageofYardagecoveredbyTeeShots",2013
87,87,"Vaughn Taylor",50,61.6,156485.8,254052,"PercentageofYardagecoveredbyTeeShots",2013
88,88,"Camilo Villegas",79,61.51,249279,405284,"PercentageofYardagecoveredbyTeeShots",2013
89,89,"Steve Stricker",51,61.47,138286.5,224972,"PercentageofYardagecoveredbyTeeShots",2013
90,90,"Sergio Garcia",65,61.46,184138.8,299609,"PercentageofYardagecoveredbyTeeShots",2013
91,91,"James Hahn",78,61.45,263216.5,428336,"PercentageofYardagecoveredbyTeeShots",2013
92,92,"Sangmoon Bae",83,61.42,280633.4,456904,"PercentageofYardagecoveredbyTeeShots",2013
93,93,"Kevin Streelman",86,61.38,264453.6,430825,"PercentageofYardagecoveredbyTeeShots",2013
94,94,"Brendan Steele",86,61.36,301154.8,490814,"PercentageofYardagecoveredbyTeeShots",2013
95,95,"YE Yang",56,61.29,159943,260965,"PercentageofYardagecoveredbyTeeShots",2013
96,96,"Bo Van Pelt",72,61.27,211876.4,345835,"PercentageofYardagecoveredbyTeeShots",2013
97,97,"Brendon de Jonge",110,61.25,376964.6,615453,"PercentageofYardagecoveredbyTeeShots",2013
98,98,"Pat Perez",69,61.24,250719.9,409436,"PercentageofYardagecoveredbyTeeShots",2013
99,99,"Aaron Baddeley",68,61.23,230381.9,376283,"PercentageofYardagecoveredbyTeeShots",2013
100,100,"Bud Cauley",67,61.21,219212.3,358122,"PercentageofYardagecoveredbyTeeShots",2013
101,101,"Fabian Gomez",65,61.2,218049.7,356309,"PercentageofYardagecoveredbyTeeShots",2013
102,102,"Will Claxton",67,61.18,217975.1,356273,"PercentageofYardagecoveredbyTeeShots",2013
103,103,"Jonas Blixt",76,61.17,261180.7,426960,"PercentageofYardagecoveredbyTeeShots",2013
104,104,"Rickie Fowler",75,61.15,231505.1,378606,"PercentageofYardagecoveredbyTeeShots",2013
105,105,"Stewart Cink",71,61.14,217349.5,355498,"PercentageofYardagecoveredbyTeeShots",2013
