"BirdieorBetterPercentageLeftRough_RANKTHISWEEK_2007","BirdieorBetterPercentageLeftRough_RANKLASTWEEK_2007","BirdieorBetterPercentageLeftRough_PLAYERNAME_2007","BirdieorBetterPercentageLeftRough_ROUNDS_2007","BirdieorBetterPercentageLeftRough_Pct_2007","BirdieorBetterPercentageLeftRough_TOTALBIRDIES_2007","BirdieorBetterPercentageLeftRough_TOTALHOLES_2007","stat_name","year"
1,1,"Tiger Woods",63,26.98,17,63,"BirdieorBetterPercentageLeftRough",2007
2,2,"Padraig Harrington",64,25.23,28,111,"BirdieorBetterPercentageLeftRough",2007
3,3,"Ryan Moore",92,23.14,28,121,"BirdieorBetterPercentageLeftRough",2007
4,4,"Ken Duke",112,22.81,26,114,"BirdieorBetterPercentageLeftRough",2007
5,5,"Tag Ridings",52,22.62,19,84,"BirdieorBetterPercentageLeftRough",2007
6,6,"Bubba Watson",80,21.8,29,133,"BirdieorBetterPercentageLeftRough",2007
7,7,"Scott Verplank",82,21.74,15,69,"BirdieorBetterPercentageLeftRough",2007
8,8,"Robert Garrigus",95,21.69,36,166,"BirdieorBetterPercentageLeftRough",2007
9,9,"Jesper Parnevik",88,21.19,32,151,"BirdieorBetterPercentageLeftRough",2007
10,10,"Robert Allenby",90,20.59,28,136,"BirdieorBetterPercentageLeftRough",2007
11,11,"Craig Bowden",78,20.41,20,98,"BirdieorBetterPercentageLeftRough",2007
12,12,"Freddie Jacobson",70,20,23,115,"BirdieorBetterPercentageLeftRough",2007
13,13,"JB Holmes",71,19.72,28,142,"BirdieorBetterPercentageLeftRough",2007
14,14,"Dean Wilson",92,19.35,24,124,"BirdieorBetterPercentageLeftRough",2007
15,15,"Ernie Els",59,19.18,14,73,"BirdieorBetterPercentageLeftRough",2007
16,16,"Marco Dawson",73,19.05,20,105,"BirdieorBetterPercentageLeftRough",2007
17,17,"Vaughn Taylor",91,19.01,23,121,"BirdieorBetterPercentageLeftRough",2007
18,18,"John Daly",59,18.6,24,129,"BirdieorBetterPercentageLeftRough",2007
19,19,"Daniel Chopra",106,18.23,35,192,"BirdieorBetterPercentageLeftRough",2007
20,20,"Rod Pampling",92,18.18,22,121,"BirdieorBetterPercentageLeftRough",2007
21,21,"John Mallinger",96,18.1,21,116,"BirdieorBetterPercentageLeftRough",2007
22,22,"Sergio Garcia",68,18.05,24,133,"BirdieorBetterPercentageLeftRough",2007
23,23,"Steve Allan",63,17.98,16,89,"BirdieorBetterPercentageLeftRough",2007
23,23,"Jason Bohn",57,17.98,16,89,"BirdieorBetterPercentageLeftRough",2007
25,25,"Jason Gore",86,17.76,19,107,"BirdieorBetterPercentageLeftRough",2007
26,26,"Joey Sindelar",75,17.65,18,102,"BirdieorBetterPercentageLeftRough",2007
27,27,"Stewart Cink",91,17.54,20,114,"BirdieorBetterPercentageLeftRough",2007
28,28,"Bill Haas",93,17.46,22,126,"BirdieorBetterPercentageLeftRough",2007
29,29,"JP Hayes",89,17.42,23,132,"BirdieorBetterPercentageLeftRough",2007
30,30,"Mike Weir",82,17.24,15,87,"BirdieorBetterPercentageLeftRough",2007
31,31,"Jay Williamson",50,17.19,11,64,"BirdieorBetterPercentageLeftRough",2007
32,32,"Brian Davis",101,17.17,17,99,"BirdieorBetterPercentageLeftRough",2007
33,33,"Charley Hoffman",97,17.12,25,146,"BirdieorBetterPercentageLeftRough",2007
34,34,"Lucas Glover",98,17.07,21,123,"BirdieorBetterPercentageLeftRough",2007
35,35,"Frank Lickliter II",95,16.81,20,119,"BirdieorBetterPercentageLeftRough",2007
36,36,"Nathan Green",103,16.76,29,173,"BirdieorBetterPercentageLeftRough",2007
37,37,"Bob Estes",88,16.67,18,108,"BirdieorBetterPercentageLeftRough",2007
37,37,"Jose Maria Olazabal",52,16.67,11,66,"BirdieorBetterPercentageLeftRough",2007
