"Top10Finishes_RANKTHISWEEK_2005","Top10Finishes_RANKLASTWEEK_2005","Top10Finishes_PLAYERNAME_2005","Top10Finishes_EVENTS_2005","Top10Finishes_TOP10_2005","Top10Finishes_1ST_2005","Top10Finishes_2ND_2005","Top10Finishes_3RD_2005","stat_name","year"
1,1,"Vijay Singh",30,18,4,2,3,"Top10Finishes",2005
2,2,"Tiger Woods",21,13,6,4,2,"Top10Finishes",2005
3,3,"David Toms",25,11,1,1,1,"Top10Finishes",2005
4,4,"Jim Furyk",26,10,1,4,NA,"Top10Finishes",2005
5,5,"Davis Love III",24,9,NA,2,NA,"Top10Finishes",2005
5,5,"Phil Mickelson",21,9,4,1,NA,"Top10Finishes",2005
7,7,"Sergio Garcia",20,8,1,1,2,"Top10Finishes",2005
7,7,"Retief Goosen",18,8,1,NA,2,"Top10Finishes",2005
9,9,"Lucas Glover",28,7,1,NA,1,"Top10Finishes",2005
9,9,"Tim Herron",28,7,NA,NA,1,"Top10Finishes",2005
9,9,"Kenny Perry",23,7,2,NA,1,"Top10Finishes",2005
12,12,"Tim Clark",26,6,NA,1,1,"Top10Finishes",2005
12,12,"Ben Crane",21,6,1,2,1,"Top10Finishes",2005
12,12,"Chris DiMarco",24,6,NA,3,1,"Top10Finishes",2005
12,12,"Charles Howell III",29,6,NA,1,1,"Top10Finishes",2005
12,12,"Brandt Jobe",27,6,NA,2,1,"Top10Finishes",2005
12,12,"Billy Mayfair",31,6,NA,1,NA,"Top10Finishes",2005
12,12,"Jose Maria Olazabal",16,6,NA,1,2,"Top10Finishes",2005
12,12,"Rod Pampling",26,6,NA,NA,NA,"Top10Finishes",2005
12,12,"Adam Scott",19,6,NA,1,NA,"Top10Finishes",2005
12,12,"Bo Van Pelt",33,6,NA,NA,2,"Top10Finishes",2005
22,22,"Aaron Baddeley",27,5,NA,NA,NA,"Top10Finishes",2005
22,22,"Jeff Brehaut",23,5,NA,NA,1,"Top10Finishes",2005
22,22,"Mark Calcavecchia",27,5,1,1,NA,"Top10Finishes",2005
22,22,"Chad Campbell",27,5,NA,2,1,"Top10Finishes",2005
22,22,"Stewart Cink",26,5,NA,NA,1,"Top10Finishes",2005
22,22,"Darren Clarke",12,5,NA,1,1,"Top10Finishes",2005
22,22,"Luke Donald",18,5,NA,2,1,"Top10Finishes",2005
22,22,"Ernie Els",11,5,NA,1,1,"Top10Finishes",2005
22,22,"Zach Johnson",30,5,NA,1,1,"Top10Finishes",2005
22,22,"Shigeki Maruyama",29,5,NA,1,1,"Top10Finishes",2005
