"BounceBack_RANKTHISWEEK_2013","BounceBack_RANKLASTWEEK_2013","BounceBack_PLAYERNAME_2013","BounceBack_ROUNDS_2013","BounceBack_Pct_2013","stat_name","year"
1,1,"Dustin Johnson",71,27.91,"BounceBack",2013
2,2,"Vaughn Taylor",50,26.71,"BounceBack",2013
3,3,"Chris Kirk",89,26.67,"BounceBack",2013
4,4,"Sergio Garcia",65,26.38,"BounceBack",2013
5,5,"Pat Perez",69,25.81,"BounceBack",2013
6,6,"Daniel Summerhays",83,25.22,"BounceBack",2013
7,7,"Robert Garrigus",69,24.88,"BounceBack",2013
8,8,"Andres Romero",63,24.73,"BounceBack",2013
9,9,"Bubba Watson",76,24.4,"BounceBack",2013
10,10,"DA Points",87,24.26,"BounceBack",2013
11,11,"Charley Hoffman",84,24.25,"BounceBack",2013
12,12,"Jason Kokrak",78,24.24,"BounceBack",2013
13,13,"Webb Simpson",92,24.17,"BounceBack",2013
14,14,"Graham DeLaet",94,23.85,"BounceBack",2013
15,15,"Bud Cauley",67,23.81,"BounceBack",2013
16,16,"Stephen Ames",49,23.65,"BounceBack",2013
17,17,"Seung Yul Noh",71,23.47,"BounceBack",2013
18,18,"Brian Davis",91,23.44,"BounceBack",2013
19,19,"Zach Johnson",84,23.22,"BounceBack",2013
20,20,"Justin Leonard",86,23.14,"BounceBack",2013
21,21,"Chris Stroud",88,23.08,"BounceBack",2013
22,22,"Ryan Palmer",79,23.04,"BounceBack",2013
23,23,"Charl Schwartzel",69,22.92,"BounceBack",2013
24,24,"Luke Guthrie",82,22.87,"BounceBack",2013
25,25,"Justin Rose",62,22.82,"BounceBack",2013
26,26,"Rory Sabbatini",86,22.78,"BounceBack",2013
27,27,"Greg Chalmers",77,22.69,"BounceBack",2013
28,28,"Luke Donald",60,22.58,"BounceBack",2013
29,29,"James Driscoll",76,22.55,"BounceBack",2013
30,30,"Ernie Els",63,22.4,"BounceBack",2013
31,31,"Harris English",95,22.34,"BounceBack",2013
31,31,"Phil Mickelson",78,22.34,"BounceBack",2013
33,33,"Jim Herman",59,22.29,"BounceBack",2013
34,34,"Keegan Bradley",88,22.27,"BounceBack",2013
34,34,"Brandt Snedeker",79,22.27,"BounceBack",2013
36,36,"Billy Horschel",96,22.26,"BounceBack",2013
37,37,"Steve Stricker",51,22.22,"BounceBack",2013
38,38,"John Rollins",77,22.17,"BounceBack",2013
39,39,"Henrik Stenson",65,22.08,"BounceBack",2013
40,40,"Greg Owen",73,22.03,"BounceBack",2013
41,41,"Peter Hanson",45,21.97,"BounceBack",2013
42,42,"Matt Every",89,21.8,"BounceBack",2013
43,43,"Carl Pettersson",82,21.79,"BounceBack",2013
44,44,"Scott Piercy",78,21.65,"BounceBack",2013
45,45,"David Hearn",88,21.63,"BounceBack",2013
46,46,"Stewart Cink",71,21.56,"BounceBack",2013
46,46,"Ryan Moore",72,21.56,"BounceBack",2013
48,48,"Aaron Baddeley",68,21.52,"BounceBack",2013
48,48,"Hunter Mahan",91,21.52,"BounceBack",2013
50,50,"DH Lee",65,21.51,"BounceBack",2013
51,51,"Charlie Wi",75,21.5,"BounceBack",2013
52,52,"Brendon de Jonge",110,21.32,"BounceBack",2013
53,53,"Brad Fritsch",81,21.28,"BounceBack",2013
53,53,"Richard Lee",81,21.28,"BounceBack",2013
55,55,"Russell Henley",80,21.21,"BounceBack",2013
56,56,"Kyle Stanley",71,21.19,"BounceBack",2013
57,57,"John Senden",79,21.1,"BounceBack",2013
58,58,"Justin Hicks",79,21.01,"BounceBack",2013
59,59,"Martin Flores",83,21,"BounceBack",2013
59,59,"Bill Haas",85,21,"BounceBack",2013
61,61,"Jason Dufner",78,20.93,"BounceBack",2013
62,62,"Freddie Jacobson",63,20.9,"BounceBack",2013
62,62,"Robert Streb",75,20.9,"BounceBack",2013
64,64,"Steven Bowditch",67,20.86,"BounceBack",2013
64,64,"Morgan Hoffmann",64,20.86,"BounceBack",2013
66,66,"James Hahn",78,20.83,"BounceBack",2013
67,67,"DJ Trahan",48,20.61,"BounceBack",2013
68,68,"William McGirt",75,20.6,"BounceBack",2013
69,69,"Jonas Blixt",76,20.47,"BounceBack",2013
69,69,"Tommy Gainey",84,20.47,"BounceBack",2013
71,71,"Shawn Stefani",63,20.43,"BounceBack",2013
72,72,"Scott Brown",65,20.4,"BounceBack",2013
