"FairwayApproachRTPScore_RANKTHISWEEK_2005","FairwayApproachRTPScore_RANKLASTWEEK_2005","FairwayApproachRTPScore_PLAYERNAME_2005","FairwayApproachRTPScore_ROUNDS_2005","FairwayApproachRTPScore_AVGRTP_2005","stat_name","year"
1,1,"Tiger Woods",76,-0.184,"FairwayApproachRTPScore",2005
2,2,"Jim Furyk",94,-0.161,"FairwayApproachRTPScore",2005
3,3,"Vijay Singh",111,-0.152,"FairwayApproachRTPScore",2005
4,4,"Richard Johnson",50,-0.128,"FairwayApproachRTPScore",2005
4,4,"Kenny Perry",82,-0.128,"FairwayApproachRTPScore",2005
6,6,"David Toms",87,-0.126,"FairwayApproachRTPScore",2005
7,7,"Shigeki Maruyama",99,-0.12,"FairwayApproachRTPScore",2005
8,8,"Tim Herron",100,-0.119,"FairwayApproachRTPScore",2005
9,9,"Adam Scott",72,-0.118,"FairwayApproachRTPScore",2005
10,10,"Sergio Garcia",73,-0.117,"FairwayApproachRTPScore",2005
11,11,"Stewart Cink",98,-0.116,"FairwayApproachRTPScore",2005
12,12,"Ben Crane",78,-0.115,"FairwayApproachRTPScore",2005
13,13,"Luke Donald",67,-0.114,"FairwayApproachRTPScore",2005
14,14,"Jose Maria Olazabal",55,-0.111,"FairwayApproachRTPScore",2005
15,15,"Scott Verplank",87,-0.108,"FairwayApproachRTPScore",2005
16,16,"Bart Bryant",91,-0.107,"FairwayApproachRTPScore",2005
17,17,"Bob Tway",87,-0.106,"FairwayApproachRTPScore",2005
18,18,"Brenden Pappas",51,-0.104,"FairwayApproachRTPScore",2005
19,19,"Retief Goosen",71,-0.103,"FairwayApproachRTPScore",2005
20,20,"Padraig Harrington",50,-0.102,"FairwayApproachRTPScore",2005
20,20,"Steve Stricker",62,-0.102,"FairwayApproachRTPScore",2005
22,22,"Jeff Brehaut",71,-0.101,"FairwayApproachRTPScore",2005
23,23,"Davis Love III",80,-0.1,"FairwayApproachRTPScore",2005
23,23,"Phil Mickelson",81,-0.1,"FairwayApproachRTPScore",2005
23,23,"Brett Quigley",96,-0.1,"FairwayApproachRTPScore",2005
26,26,"Mathias Gronberg",60,-0.098,"FairwayApproachRTPScore",2005
26,26,"Zach Johnson",96,-0.098,"FairwayApproachRTPScore",2005
28,28,"Jason Bohn",91,-0.097,"FairwayApproachRTPScore",2005
28,28,"Harrison Frazar",105,-0.097,"FairwayApproachRTPScore",2005
28,28,"Dudley Hart",84,-0.097,"FairwayApproachRTPScore",2005
28,28,"Vaughn Taylor",99,-0.097,"FairwayApproachRTPScore",2005
32,32,"Carlos Franco",78,-0.096,"FairwayApproachRTPScore",2005
32,32,"Lucas Glover",88,-0.096,"FairwayApproachRTPScore",2005
32,32,"Jonathan Kaye",77,-0.096,"FairwayApproachRTPScore",2005
32,32,"Rod Pampling",89,-0.096,"FairwayApproachRTPScore",2005
32,32,"Tag Ridings",93,-0.096,"FairwayApproachRTPScore",2005
32,32,"Bo Van Pelt",112,-0.096,"FairwayApproachRTPScore",2005
38,38,"Chad Campbell",95,-0.095,"FairwayApproachRTPScore",2005
39,39,"Robert Allenby",95,-0.094,"FairwayApproachRTPScore",2005
39,39,"Robert Gamez",91,-0.094,"FairwayApproachRTPScore",2005
39,39,"Bob Heintz",67,-0.094,"FairwayApproachRTPScore",2005
42,42,"Arjun Atwal",65,-0.093,"FairwayApproachRTPScore",2005
42,42,"Chris DiMarco",83,-0.093,"FairwayApproachRTPScore",2005
44,44,"KJ Choi",78,-0.092,"FairwayApproachRTPScore",2005
45,45,"Charles Howell III",95,-0.091,"FairwayApproachRTPScore",2005
45,45,"Corey Pavin",77,-0.091,"FairwayApproachRTPScore",2005
47,47,"Brandt Jobe",96,-0.09,"FairwayApproachRTPScore",2005
47,47,"Jerry Kelly",101,-0.09,"FairwayApproachRTPScore",2005
49,49,"Olin Browne",99,-0.089,"FairwayApproachRTPScore",2005
49,49,"Brad Faxon",75,-0.089,"FairwayApproachRTPScore",2005
51,51,"Steve Elkington",67,-0.088,"FairwayApproachRTPScore",2005
52,52,"Billy Mayfair",114,-0.087,"FairwayApproachRTPScore",2005
53,53,"Stephen Ames",82,-0.086,"FairwayApproachRTPScore",2005
54,54,"Tim Clark",92,-0.085,"FairwayApproachRTPScore",2005
55,55,"Billy Andrade",83,-0.083,"FairwayApproachRTPScore",2005
55,55,"JP Hayes",63,-0.083,"FairwayApproachRTPScore",2005
55,55,"Carl Pettersson",109,-0.083,"FairwayApproachRTPScore",2005
58,58,"Doug Barron",70,-0.082,"FairwayApproachRTPScore",2005
58,58,"Bob Estes",92,-0.082,"FairwayApproachRTPScore",2005
60,60,"Woody Austin",100,-0.08,"FairwayApproachRTPScore",2005
60,60,"Tom Lehman",69,-0.08,"FairwayApproachRTPScore",2005
60,60,"Sean OHair",103,-0.08,"FairwayApproachRTPScore",2005
63,63,"Tim Petrovic",97,-0.079,"FairwayApproachRTPScore",2005
64,64,"Fred Couples",72,-0.078,"FairwayApproachRTPScore",2005
64,64,"Justin Rose",99,-0.078,"FairwayApproachRTPScore",2005
66,66,"Geoff Ogilvy",97,-0.077,"FairwayApproachRTPScore",2005
66,66,"John Senden",101,-0.077,"FairwayApproachRTPScore",2005
66,66,"Joey Sindelar",104,-0.077,"FairwayApproachRTPScore",2005
69,69,"JL Lewis",98,-0.076,"FairwayApproachRTPScore",2005
69,69,"Mark Wilson",74,-0.076,"FairwayApproachRTPScore",2005
71,71,"Stuart Appleby",84,-0.075,"FairwayApproachRTPScore",2005
71,71,"Marco Dawson",82,-0.075,"FairwayApproachRTPScore",2005
73,73,"Justin Leonard",78,-0.074,"FairwayApproachRTPScore",2005
74,74,"Tom Pernice Jr",111,-0.073,"FairwayApproachRTPScore",2005
75,75,"Rocco Mediate",73,-0.072,"FairwayApproachRTPScore",2005
76,76,"Tommy Armour III",103,-0.071,"FairwayApproachRTPScore",2005
76,76,"Kevin Sutherland",89,-0.071,"FairwayApproachRTPScore",2005
78,78,"Aaron Baddeley",84,-0.07,"FairwayApproachRTPScore",2005
78,78,"Brian Davis",75,-0.07,"FairwayApproachRTPScore",2005
78,78,"JJ Henry",102,-0.07,"FairwayApproachRTPScore",2005
78,78,"Ryan Palmer",101,-0.07,"FairwayApproachRTPScore",2005
82,82,"Mark Calcavecchia",92,-0.069,"FairwayApproachRTPScore",2005
82,82,"Scott Gutschewski",86,-0.069,"FairwayApproachRTPScore",2005
82,82,"Steve Lowery",100,-0.069,"FairwayApproachRTPScore",2005
82,82,"Darron Stiles",78,-0.069,"FairwayApproachRTPScore",2005
86,86,"Neal Lancaster",95,-0.067,"FairwayApproachRTPScore",2005
86,86,"Shaun Micheel",81,-0.067,"FairwayApproachRTPScore",2005
86,86,"Arron Oberholser",65,-0.067,"FairwayApproachRTPScore",2005
86,86,"DJ Trahan",81,-0.067,"FairwayApproachRTPScore",2005
90,90,"Frank Lickliter II",100,-0.066,"FairwayApproachRTPScore",2005
91,91,"John Daly",78,-0.065,"FairwayApproachRTPScore",2005
