"FirstTeeEarlyPar3ScoringAverage_RANKTHISWEEK_2011","FirstTeeEarlyPar3ScoringAverage_RANKLASTWEEK_2011","FirstTeeEarlyPar3ScoringAverage_PLAYERNAME_2011","FirstTeeEarlyPar3ScoringAverage_ROUNDS_2011","FirstTeeEarlyPar3ScoringAverage_AVG_2011","FirstTeeEarlyPar3ScoringAverage_TOTALSTROKES_2011","FirstTeeEarlyPar3ScoringAverage_TOTALHOLES_2011","stat_name","year"
1,1,"Jason Day",76,2.89,246,85,"FirstTeeEarlyPar3ScoringAverage",2011
2,2,"JB Holmes",57,2.92,222,76,"FirstTeeEarlyPar3ScoringAverage",2011
3,3,"Gary Woodland",93,2.93,234,80,"FirstTeeEarlyPar3ScoringAverage",2011
4,4,"Scott Gutschewski",67,2.94,247,84,"FirstTeeEarlyPar3ScoringAverage",2011
5,5,"Luke Donald",73,2.95,118,40,"FirstTeeEarlyPar3ScoringAverage",2011
5,5,"Davis Love III",70,2.95,189,64,"FirstTeeEarlyPar3ScoringAverage",2011
7,7,"Justin Hicks",60,2.96,201,68,"FirstTeeEarlyPar3ScoringAverage",2011
7,7,"Jerry Kelly",85,2.96,337,114,"FirstTeeEarlyPar3ScoringAverage",2011
7,7,"Chris Riley",76,2.96,266,90,"FirstTeeEarlyPar3ScoringAverage",2011
10,10,"Bill Haas",93,2.97,336,113,"FirstTeeEarlyPar3ScoringAverage",2011
10,10,"Billy Horschel",75,2.97,264,89,"FirstTeeEarlyPar3ScoringAverage",2011
10,10,"Marc Leishman",87,2.97,425,143,"FirstTeeEarlyPar3ScoringAverage",2011
10,10,"John Senden",94,2.97,327,110,"FirstTeeEarlyPar3ScoringAverage",2011
14,14,"Briny Baird",60,2.98,250,84,"FirstTeeEarlyPar3ScoringAverage",2011
14,14,"KJ Choi",77,2.98,179,60,"FirstTeeEarlyPar3ScoringAverage",2011
14,14,"Ben Martin",74,2.98,265,89,"FirstTeeEarlyPar3ScoringAverage",2011
14,14,"Scott Piercy",78,2.98,298,100,"FirstTeeEarlyPar3ScoringAverage",2011
14,14,"Heath Slocum",89,2.98,352,118,"FirstTeeEarlyPar3ScoringAverage",2011
14,14,"Steve Stricker",70,2.98,143,48,"FirstTeeEarlyPar3ScoringAverage",2011
14,14,"Mark Wilson",89,2.98,363,122,"FirstTeeEarlyPar3ScoringAverage",2011
21,21,"DJ Brigman",67,2.99,275,92,"FirstTeeEarlyPar3ScoringAverage",2011
21,21,"Chad Campbell",99,2.99,419,140,"FirstTeeEarlyPar3ScoringAverage",2011
21,21,"Billy Mayfair",94,2.99,412,138,"FirstTeeEarlyPar3ScoringAverage",2011
21,21,"Bryce Molder",82,2.99,248,83,"FirstTeeEarlyPar3ScoringAverage",2011
21,21,"Aron Price",58,2.99,215,72,"FirstTeeEarlyPar3ScoringAverage",2011
21,21,"David Toms",78,2.99,245,82,"FirstTeeEarlyPar3ScoringAverage",2011
27,27,"JJ Henry",96,3,399,133,"FirstTeeEarlyPar3ScoringAverage",2011
27,27,"John Merrick",71,3,216,72,"FirstTeeEarlyPar3ScoringAverage",2011
27,27,"Phil Mickelson",79,3,243,81,"FirstTeeEarlyPar3ScoringAverage",2011
27,27,"Ryan Moore",79,3,291,97,"FirstTeeEarlyPar3ScoringAverage",2011
27,27,"Brandt Snedeker",85,3,222,74,"FirstTeeEarlyPar3ScoringAverage",2011
32,32,"Robert Allenby",84,3.01,469,156,"FirstTeeEarlyPar3ScoringAverage",2011
32,32,"Stewart Cink",72,3.01,283,94,"FirstTeeEarlyPar3ScoringAverage",2011
32,32,"Ben Curtis",66,3.01,340,113,"FirstTeeEarlyPar3ScoringAverage",2011
32,32,"Nathan Green",81,3.01,373,124,"FirstTeeEarlyPar3ScoringAverage",2011
32,32,"Ian Poulter",52,3.01,238,79,"FirstTeeEarlyPar3ScoringAverage",2011
32,32,"Charl Schwartzel",58,3.01,265,88,"FirstTeeEarlyPar3ScoringAverage",2011
32,32,"Michael Thompson",79,3.01,229,76,"FirstTeeEarlyPar3ScoringAverage",2011
32,32,"DJ Trahan",91,3.01,385,128,"FirstTeeEarlyPar3ScoringAverage",2011
32,32,"Johnson Wagner",81,3.01,337,112,"FirstTeeEarlyPar3ScoringAverage",2011
41,41,"Shane Bertsch",62,3.02,172,57,"FirstTeeEarlyPar3ScoringAverage",2011
41,41,"Angel Cabrera",50,3.02,181,60,"FirstTeeEarlyPar3ScoringAverage",2011
41,41,"Ben Crane",76,3.02,356,118,"FirstTeeEarlyPar3ScoringAverage",2011
41,41,"Brian Davis",105,3.02,353,117,"FirstTeeEarlyPar3ScoringAverage",2011
41,41,"Steve Elkington",50,3.02,163,54,"FirstTeeEarlyPar3ScoringAverage",2011
41,41,"Richard Johnson",64,3.02,314,104,"FirstTeeEarlyPar3ScoringAverage",2011
41,41,"Shaun Micheel",77,3.02,347,115,"FirstTeeEarlyPar3ScoringAverage",2011
41,41,"Brendan Steele",89,3.02,305,101,"FirstTeeEarlyPar3ScoringAverage",2011
49,49,"Steven Bowditch",86,3.03,324,107,"FirstTeeEarlyPar3ScoringAverage",2011
49,49,"Joe Durant",71,3.03,261,86,"FirstTeeEarlyPar3ScoringAverage",2011
49,49,"Brian Gay",90,3.03,379,125,"FirstTeeEarlyPar3ScoringAverage",2011
49,49,"Charles Howell III",108,3.03,355,117,"FirstTeeEarlyPar3ScoringAverage",2011
49,49,"Freddie Jacobson",92,3.03,364,120,"FirstTeeEarlyPar3ScoringAverage",2011
49,49,"Brandt Jobe",100,3.03,440,145,"FirstTeeEarlyPar3ScoringAverage",2011
49,49,"Matt Kuchar",94,3.03,194,64,"FirstTeeEarlyPar3ScoringAverage",2011
49,49,"David Mathis",83,3.03,342,113,"FirstTeeEarlyPar3ScoringAverage",2011
49,49,"Alexandre Rocha",65,3.03,242,80,"FirstTeeEarlyPar3ScoringAverage",2011
49,49,"Andres Romero",77,3.03,300,99,"FirstTeeEarlyPar3ScoringAverage",2011
49,49,"Will Strickler",51,3.03,233,77,"FirstTeeEarlyPar3ScoringAverage",2011
60,60,"Kevin Chappell",78,3.04,210,69,"FirstTeeEarlyPar3ScoringAverage",2011
60,60,"Chris DiMarco",93,3.04,392,129,"FirstTeeEarlyPar3ScoringAverage",2011
60,60,"James Driscoll",71,3.04,292,96,"FirstTeeEarlyPar3ScoringAverage",2011
60,60,"Zach Johnson",79,3.04,343,113,"FirstTeeEarlyPar3ScoringAverage",2011
60,60,"Colt Knost",80,3.04,231,76,"FirstTeeEarlyPar3ScoringAverage",2011
60,60,"Martin Laird",77,3.04,271,89,"FirstTeeEarlyPar3ScoringAverage",2011
60,60,"Kevin Na",84,3.04,389,128,"FirstTeeEarlyPar3ScoringAverage",2011
60,60,"Ryan Palmer",82,3.04,328,108,"FirstTeeEarlyPar3ScoringAverage",2011
60,60,"Chez Reavie",92,3.04,422,139,"FirstTeeEarlyPar3ScoringAverage",2011
60,60,"Dean Wilson",62,3.04,228,75,"FirstTeeEarlyPar3ScoringAverage",2011
70,70,"Jason Bohn",74,3.05,329,108,"FirstTeeEarlyPar3ScoringAverage",2011
70,70,"Michael Bradley",74,3.05,409,134,"FirstTeeEarlyPar3ScoringAverage",2011
70,70,"Brendon de Jonge",105,3.05,360,118,"FirstTeeEarlyPar3ScoringAverage",2011
70,70,"David Hearn",88,3.05,293,96,"FirstTeeEarlyPar3ScoringAverage",2011
70,70,"Bill Lunde",92,3.05,409,134,"FirstTeeEarlyPar3ScoringAverage",2011
70,70,"Rod Pampling",72,3.05,256,84,"FirstTeeEarlyPar3ScoringAverage",2011
70,70,"Michael Putnam",67,3.05,296,97,"FirstTeeEarlyPar3ScoringAverage",2011
70,70,"Chris Stroud",88,3.05,332,109,"FirstTeeEarlyPar3ScoringAverage",2011
70,70,"Cameron Tringale",110,3.05,396,130,"FirstTeeEarlyPar3ScoringAverage",2011
70,70,"Jimmy Walker",79,3.05,360,118,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"Blake Adams",116,3.06,579,189,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"Cameron Beckman",71,3.06,291,95,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"Greg Chalmers",88,3.06,309,101,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"Chris Couch",73,3.06,220,72,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"Trevor Immelman",84,3.06,285,93,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"Bio Kim",71,3.06,324,106,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"Chris Kirk",87,3.06,379,124,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"Spencer Levin",113,3.06,450,147,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"Steve Marino",76,3.06,245,80,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"Scott McCarron",65,3.06,272,89,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"Kyle Stanley",98,3.06,472,154,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"Marc Turnesa",54,3.06,236,77,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"Bo Van Pelt",92,3.06,416,136,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"Nick Watney",80,3.06,159,52,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"Garrett Willis",71,3.06,272,89,"FirstTeeEarlyPar3ScoringAverage",2011
80,80,"YE Yang",63,3.06,257,84,"FirstTeeEarlyPar3ScoringAverage",2011
96,96,"Keegan Bradley",91,3.07,295,96,"FirstTeeEarlyPar3ScoringAverage",2011
96,96,"Andres Gonzales",60,3.07,282,92,"FirstTeeEarlyPar3ScoringAverage",2011
96,96,"Retief Goosen",50,3.07,255,83,"FirstTeeEarlyPar3ScoringAverage",2011
96,96,"George McNeill",69,3.07,292,95,"FirstTeeEarlyPar3ScoringAverage",2011
96,96,"Troy Merritt",63,3.07,295,96,"FirstTeeEarlyPar3ScoringAverage",2011
96,96,"Boo Weekley",66,3.07,335,109,"FirstTeeEarlyPar3ScoringAverage",2011
96,96,"Charlie Wi",83,3.07,282,92,"FirstTeeEarlyPar3ScoringAverage",2011
103,103,"Jason Dufner",78,3.08,293,95,"FirstTeeEarlyPar3ScoringAverage",2011
103,103,"Steve Flesch",88,3.08,271,88,"FirstTeeEarlyPar3ScoringAverage",2011
103,103,"Kent Jones",76,3.08,339,110,"FirstTeeEarlyPar3ScoringAverage",2011
103,103,"Graeme McDowell",50,3.08,182,59,"FirstTeeEarlyPar3ScoringAverage",2011
103,103,"Webb Simpson",98,3.08,200,65,"FirstTeeEarlyPar3ScoringAverage",2011
103,103,"Vaughn Taylor",89,3.08,314,102,"FirstTeeEarlyPar3ScoringAverage",2011
109,109,"Michael Connell",76,3.09,266,86,"FirstTeeEarlyPar3ScoringAverage",2011
109,109,"Rickie Fowler",84,3.09,247,80,"FirstTeeEarlyPar3ScoringAverage",2011
109,109,"Jim Furyk",87,3.09,247,80,"FirstTeeEarlyPar3ScoringAverage",2011
109,109,"Tommy Gainey",104,3.09,383,124,"FirstTeeEarlyPar3ScoringAverage",2011
109,109,"Tim Herron",85,3.09,287,93,"FirstTeeEarlyPar3ScoringAverage",2011
109,109,"Charley Hoffman",93,3.09,479,155,"FirstTeeEarlyPar3ScoringAverage",2011
109,109,"Lee Janzen",62,3.09,361,117,"FirstTeeEarlyPar3ScoringAverage",2011
109,109,"Pat Perez",76,3.09,337,109,"FirstTeeEarlyPar3ScoringAverage",2011
109,109,"Tim Petrovic",88,3.09,300,97,"FirstTeeEarlyPar3ScoringAverage",2011
109,109,"DA Points",89,3.09,445,144,"FirstTeeEarlyPar3ScoringAverage",2011
109,109,"Kevin Stadler",88,3.09,359,116,"FirstTeeEarlyPar3ScoringAverage",2011
109,109,"Paul Stankowski",78,3.09,287,93,"FirstTeeEarlyPar3ScoringAverage",2011
121,121,"Arjun Atwal",91,3.1,415,134,"FirstTeeEarlyPar3ScoringAverage",2011
121,121,"Padraig Harrington",60,3.1,223,72,"FirstTeeEarlyPar3ScoringAverage",2011
121,121,"Anthony Kim",72,3.1,301,97,"FirstTeeEarlyPar3ScoringAverage",2011
121,121,"Derek Lamely",65,3.1,239,77,"FirstTeeEarlyPar3ScoringAverage",2011
121,121,"Hunter Mahan",92,3.1,276,89,"FirstTeeEarlyPar3ScoringAverage",2011
121,121,"Joe Ogilvie",75,3.1,316,102,"FirstTeeEarlyPar3ScoringAverage",2011
121,121,"Martin Piller",63,3.1,211,68,"FirstTeeEarlyPar3ScoringAverage",2011
121,121,"Justin Rose",79,3.1,378,122,"FirstTeeEarlyPar3ScoringAverage",2011
129,129,"Jonathan Byrd",83,3.11,339,109,"FirstTeeEarlyPar3ScoringAverage",2011
129,129,"Jim Herman",69,3.11,249,80,"FirstTeeEarlyPar3ScoringAverage",2011
129,129,"Justin Leonard",82,3.11,227,73,"FirstTeeEarlyPar3ScoringAverage",2011
129,129,"Matt McQuillan",59,3.11,236,76,"FirstTeeEarlyPar3ScoringAverage",2011
129,129,"John Rollins",85,3.11,382,123,"FirstTeeEarlyPar3ScoringAverage",2011
129,129,"Scott Stallings",84,3.11,404,130,"FirstTeeEarlyPar3ScoringAverage",2011
129,129,"Roland Thatcher",67,3.11,252,81,"FirstTeeEarlyPar3ScoringAverage",2011
129,129,"Camilo Villegas",69,3.11,224,72,"FirstTeeEarlyPar3ScoringAverage",2011
