"TotalDriving_RANKTHISWEEK_2012","TotalDriving_RANKLASTWEEK_2012","TotalDriving_PLAYERNAME_2012","TotalDriving_EVENTS_2012","TotalDriving_TOTAL_2012","TotalDriving_DISTANCERANK_2012","TotalDriving_ACCURACYRANK_2012","stat_name","year"
1,1,"Boo Weekley",25,74,36,38,"TotalDriving",2012
2,2,"Hunter Mahan",23,78,61,17,"TotalDriving",2012
3,3,"Bo Van Pelt",24,84,40,44,"TotalDriving",2012
4,4,"Chris Couch",21,85,54,31,"TotalDriving",2012
4,4,"Jason Dufner",22,85,64,21,"TotalDriving",2012
6,6,"Tiger Woods",19,87,32,55,"TotalDriving",2012
7,7,"Louis Oosthuizen",19,90,23,67,"TotalDriving",2012
8,8,"Brandt Jobe",18,91,25,66,"TotalDriving",2012
9,9,"John Rollins",26,98,47,51,"TotalDriving",2012
10,10,"Kevin Stadler",25,102,62,40,"TotalDriving",2012
11,11,"Keegan Bradley",25,103,16,87,"TotalDriving",2012
11,11,"John Senden",22,103,79,24,"TotalDriving",2012
13,13,"John Merrick",26,105,58,47,"TotalDriving",2012
13,13,"Lee Westwood",15,105,29,76,"TotalDriving",2012
15,15,"Rickie Fowler",23,108,60,48,"TotalDriving",2012
15,15,"Justin Rose",19,108,80,28,"TotalDriving",2012
17,17,"Billy Horschel",17,111,89,22,"TotalDriving",2012
18,18,"Roberto Castro",27,117,83,34,"TotalDriving",2012
19,19,"Will Claxton",28,119,85,34,"TotalDriving",2012
19,19,"Charley Hoffman",27,119,46,73,"TotalDriving",2012
21,21,"Brian Harman",30,120,87,33,"TotalDriving",2012
22,22,"Bill Haas",23,122,66,56,"TotalDriving",2012
23,23,"Graham DeLaet",23,123,13,110,"TotalDriving",2012
23,23,"Josh Teater",30,123,27,96,"TotalDriving",2012
25,25,"John Huh",28,124,113,11,"TotalDriving",2012
26,26,"Tom Gillis",23,126,103,23,"TotalDriving",2012
27,27,"Kyle Stanley",27,132,8,124,"TotalDriving",2012
28,28,"Adam Scott",16,133,10,123,"TotalDriving",2012
29,29,"Cameron Tringale",26,134,85,49,"TotalDriving",2012
30,30,"Charl Schwartzel",16,135,42,93,"TotalDriving",2012
31,31,"Bubba Watson",19,136,1,135,"TotalDriving",2012
32,32,"Vijay Singh",27,137,47,90,"TotalDriving",2012
33,33,"Blake Adams",32,139,112,27,"TotalDriving",2012
34,34,"Charlie Beljan",22,141,2,139,"TotalDriving",2012
34,34,"Graeme McDowell",16,141,136,5,"TotalDriving",2012
36,36,"Richard Lee",24,144,134,10,"TotalDriving",2012
36,36,"Pat Perez",23,144,75,69,"TotalDriving",2012
38,38,"Harris English",27,145,20,125,"TotalDriving",2012
39,39,"Ryan Moore",24,146,117,29,"TotalDriving",2012
39,39,"Seung Yul Noh",28,146,19,127,"TotalDriving",2012
41,41,"Sean OHair",24,149,31,118,"TotalDriving",2012
41,41,"Henrik Stenson",15,149,96,53,"TotalDriving",2012
43,43,"Jeff Overton",29,150,68,82,"TotalDriving",2012
44,44,"Russell Knox",23,152,132,20,"TotalDriving",2012
44,44,"Kevin Streelman",26,152,63,89,"TotalDriving",2012
46,46,"Greg Owen",27,156,41,115,"TotalDriving",2012
47,47,"Martin Laird",22,157,28,129,"TotalDriving",2012
47,47,"Scott Stallings",27,157,17,140,"TotalDriving",2012
49,49,"Bobby Gates",29,158,21,137,"TotalDriving",2012
49,49,"Billy Mayfair",28,158,122,36,"TotalDriving",2012
51,51,"Ryan Palmer",24,159,15,144,"TotalDriving",2012
52,52,"Robert Garrigus",26,160,3,157,"TotalDriving",2012
52,52,"Jeff Maggert",27,160,141,19,"TotalDriving",2012
54,54,"Rory McIlroy",16,161,5,156,"TotalDriving",2012
54,54,"DJ Trahan",27,161,66,95,"TotalDriving",2012
56,56,"Sergio Garcia",16,162,64,98,"TotalDriving",2012
56,56,"Dustin Johnson",19,162,4,158,"TotalDriving",2012
58,58,"Brendan Steele",24,163,105,58,"TotalDriving",2012
59,59,"Brendon de Jonge",31,164,105,59,"TotalDriving",2012
60,60,"Camilo Villegas",25,165,87,78,"TotalDriving",2012
61,61,"Geoff Ogilvy",20,168,90,78,"TotalDriving",2012
62,62,"Davis Love III",20,169,39,130,"TotalDriving",2012
62,62,"Rod Pampling",26,169,105,64,"TotalDriving",2012
64,64,"Matt Kuchar",22,170,128,42,"TotalDriving",2012
64,64,"Nick Watney",26,170,36,134,"TotalDriving",2012
66,66,"Erik Compton",26,171,33,138,"TotalDriving",2012
67,67,"Ben Crane",23,172,122,50,"TotalDriving",2012
67,67,"Garth Mulroy",20,172,55,117,"TotalDriving",2012
69,69,"Gary Christian",28,173,164,9,"TotalDriving",2012
69,69,"John Daly",15,173,9,164,"TotalDriving",2012
69,69,"Scott Piercy",28,173,12,161,"TotalDriving",2012
72,72,"Kris Blanks",23,174,148,26,"TotalDriving",2012
72,72,"Chez Reavie",26,174,161,13,"TotalDriving",2012
74,74,"Angel Cabrera",20,175,22,153,"TotalDriving",2012
74,74,"Jim Furyk",24,175,171,4,"TotalDriving",2012
76,76,"Padraig Harrington",18,177,57,120,"TotalDriving",2012
76,76,"Kyle Reifers",27,177,92,85,"TotalDriving",2012
76,76,"Heath Slocum",29,177,175,2,"TotalDriving",2012
79,79,"JJ Henry",28,178,115,63,"TotalDriving",2012
80,80,"JB Holmes",25,179,6,173,"TotalDriving",2012
80,80,"Roland Thatcher",21,179,104,75,"TotalDriving",2012
82,82,"Zach Johnson",25,182,168,14,"TotalDriving",2012
82,82,"John Mallinger",25,182,166,16,"TotalDriving",2012
82,82,"Daniel Summerhays",26,182,101,81,"TotalDriving",2012
85,85,"Tim Clark",20,183,180,3,"TotalDriving",2012
85,85,"Jerry Kelly",26,183,182,1,"TotalDriving",2012
85,85,"Carl Pettersson",26,183,35,148,"TotalDriving",2012
88,88,"Ian Poulter",15,184,145,39,"TotalDriving",2012
89,89,"Bud Cauley",28,186,74,112,"TotalDriving",2012
90,90,"Steve Wheatcroft",22,189,121,68,"TotalDriving",2012
91,91,"Scott Brown",24,190,77,113,"TotalDriving",2012
91,91,"Ken Duke",30,190,160,30,"TotalDriving",2012
91,91,"Jason Kokrak",27,190,14,176,"TotalDriving",2012
91,91,"Kevin Na",25,190,165,25,"TotalDriving",2012
91,91,"David Toms",19,190,184,6,"TotalDriving",2012
91,91,"Jhonattan Vegas",25,190,10,180,"TotalDriving",2012
91,91,"Gary Woodland",22,190,18,172,"TotalDriving",2012
98,98,"Stuart Appleby",24,191,159,32,"TotalDriving",2012
98,98,"Jason Day",17,191,7,184,"TotalDriving",2012
100,100,"Ben Curtis",19,193,186,7,"TotalDriving",2012
101,101,"Chris Kirk",27,194,73,121,"TotalDriving",2012
102,102,"Mark Wilson",25,195,183,12,"TotalDriving",2012
103,103,"Chris DiMarco",29,196,188,8,"TotalDriving",2012
103,103,"David Hearn",28,196,124,72,"TotalDriving",2012
105,105,"Brian Davis",29,197,179,18,"TotalDriving",2012
105,105,"DA Points",29,197,152,45,"TotalDriving",2012
105,105,"Chris Stroud",28,197,126,71,"TotalDriving",2012
108,108,"Tommy Gainey",32,198,33,165,"TotalDriving",2012
109,109,"Steve Stricker",19,199,138,61,"TotalDriving",2012
110,110,"Harrison Frazar",20,200,30,170,"TotalDriving",2012
110,110,"Ted Potter Jr",25,200,148,52,"TotalDriving",2012
112,112,"Hunter Haas",24,201,117,84,"TotalDriving",2012
112,112,"Trevor Immelman",24,201,80,121,"TotalDriving",2012
114,114,"Webb Simpson",22,203,111,92,"TotalDriving",2012
115,115,"Chad Campbell",27,204,90,114,"TotalDriving",2012
115,115,"Colt Knost",29,204,189,15,"TotalDriving",2012
115,115,"George McNeill",25,204,105,99,"TotalDriving",2012
115,115,"Alexandre Rocha",21,204,147,57,"TotalDriving",2012
119,119,"Ernie Els",22,206,51,155,"TotalDriving",2012
