"YTDConsecutiveCuts_RANKTHISWEEK_2010","YTDConsecutiveCuts_RANKLASTWEEK_2010","YTDConsecutiveCuts_PLAYERNAME_2010","YTDConsecutiveCuts__2010","YTDConsecutiveCuts_NUMBEROFCUTS_2010","stat_name","year"
1,1,"Steve Stricker",NA,19,"YTDConsecutiveCuts",2010
2,2,"Retief Goosen",NA,16,"YTDConsecutiveCuts",2010
3,3,"Chris DiMarco",NA,14,"YTDConsecutiveCuts",2010
3,3,"Matt Kuchar",NA,14,"YTDConsecutiveCuts",2010
5,5,"Zach Johnson",NA,13,"YTDConsecutiveCuts",2010
6,6,"Stewart Cink",NA,12,"YTDConsecutiveCuts",2010
6,6,"Jason Day",NA,12,"YTDConsecutiveCuts",2010
8,8,"Camilo Villegas",NA,11,"YTDConsecutiveCuts",2010
8,8,"Lee Westwood",NA,11,"YTDConsecutiveCuts",2010
10,10,"Kevin Na",NA,10,"YTDConsecutiveCuts",2010
10,10,"Nick Watney",NA,10,"YTDConsecutiveCuts",2010
10,10,"Tiger Woods",NA,10,"YTDConsecutiveCuts",2010
13,13,"Rickie Fowler",NA,9,"YTDConsecutiveCuts",2010
13,13,"Hunter Mahan",NA,9,"YTDConsecutiveCuts",2010
13,13,"Ryan Palmer",NA,9,"YTDConsecutiveCuts",2010
13,13,"Heath Slocum",NA,9,"YTDConsecutiveCuts",2010
17,17,"Robert Allenby",NA,8,"YTDConsecutiveCuts",2010
17,17,"Arjun Atwal",NA,8,"YTDConsecutiveCuts",2010
17,17,"Jonathan Byrd",NA,8,"YTDConsecutiveCuts",2010
17,17,"Robert Karlsson",NA,8,"YTDConsecutiveCuts",2010
17,17,"Martin Laird",NA,8,"YTDConsecutiveCuts",2010
22,22,"Peter Hanson",NA,7,"YTDConsecutiveCuts",2010
22,22,"Dustin Johnson",NA,7,"YTDConsecutiveCuts",2010
22,22,"Ian Poulter",NA,7,"YTDConsecutiveCuts",2010
22,22,"Adam Scott",NA,7,"YTDConsecutiveCuts",2010
22,22,"John Senden",NA,7,"YTDConsecutiveCuts",2010
22,22,"Charlie Wi",NA,7,"YTDConsecutiveCuts",2010
28,28,"Paul Casey",NA,6,"YTDConsecutiveCuts",2010
28,28,"Ernie Els",NA,6,"YTDConsecutiveCuts",2010
28,28,"Jim Furyk",NA,6,"YTDConsecutiveCuts",2010
28,28,"Bill Haas",NA,6,"YTDConsecutiveCuts",2010
28,28,"Rory McIlroy",NA,6,"YTDConsecutiveCuts",2010
28,28,"Andres Romero",NA,6,"YTDConsecutiveCuts",2010
28,28,"Kevin Streelman",NA,6,"YTDConsecutiveCuts",2010
28,28,"Bubba Watson",NA,6,"YTDConsecutiveCuts",2010
36,36,"Brendon de Jonge",NA,5,"YTDConsecutiveCuts",2010
36,36,"Joe Durant",NA,5,"YTDConsecutiveCuts",2010
36,36,"Matt Every",NA,5,"YTDConsecutiveCuts",2010
36,36,"Brian Gay",NA,5,"YTDConsecutiveCuts",2010
36,36,"Tom Gillis",NA,5,"YTDConsecutiveCuts",2010
36,36,"Mathew Goggin",NA,5,"YTDConsecutiveCuts",2010
36,36,"JB Holmes",NA,5,"YTDConsecutiveCuts",2010
36,36,"Charles Howell III",NA,5,"YTDConsecutiveCuts",2010
36,36,"Martin Kaymer",NA,5,"YTDConsecutiveCuts",2010
36,36,"Jerry Kelly",NA,5,"YTDConsecutiveCuts",2010
36,36,"Davis Love III",NA,5,"YTDConsecutiveCuts",2010
36,36,"Scott Piercy",NA,5,"YTDConsecutiveCuts",2010
36,36,"Brett Quigley",NA,5,"YTDConsecutiveCuts",2010
36,36,"Chris Stroud",NA,5,"YTDConsecutiveCuts",2010
36,36,"Bo Van Pelt",NA,5,"YTDConsecutiveCuts",2010
51,51,"Aaron Baddeley",NA,4,"YTDConsecutiveCuts",2010
51,51,"Ricky Barnes",NA,4,"YTDConsecutiveCuts",2010
51,51,"Chad Campbell",NA,4,"YTDConsecutiveCuts",2010
51,51,"Tim Clark",NA,4,"YTDConsecutiveCuts",2010
51,51,"Graham DeLaet",NA,4,"YTDConsecutiveCuts",2010
51,51,"Luke Donald",NA,4,"YTDConsecutiveCuts",2010
51,51,"Cliff Kresge",NA,4,"YTDConsecutiveCuts",2010
51,51,"Michael Letzig",NA,4,"YTDConsecutiveCuts",2010
51,51,"Troy Merritt",NA,4,"YTDConsecutiveCuts",2010
51,51,"Edoardo Molinari",NA,4,"YTDConsecutiveCuts",2010
51,51,"Pat Perez",NA,4,"YTDConsecutiveCuts",2010
51,51,"Tom Pernice Jr",NA,4,"YTDConsecutiveCuts",2010
51,51,"Tim Petrovic",NA,4,"YTDConsecutiveCuts",2010
51,51,"Charl Schwartzel",NA,4,"YTDConsecutiveCuts",2010
51,51,"Michael Sim",NA,4,"YTDConsecutiveCuts",2010
51,51,"Webb Simpson",NA,4,"YTDConsecutiveCuts",2010
51,51,"Kevin Stadler",NA,4,"YTDConsecutiveCuts",2010
51,51,"David Toms",NA,4,"YTDConsecutiveCuts",2010
69,69,"Blake Adams",NA,3,"YTDConsecutiveCuts",2010
69,69,"Angel Cabrera",NA,3,"YTDConsecutiveCuts",2010
69,69,"KJ Choi",NA,3,"YTDConsecutiveCuts",2010
69,69,"Simon Dyson",NA,3,"YTDConsecutiveCuts",2010
69,69,"Martin Flores",NA,3,"YTDConsecutiveCuts",2010
69,69,"Fred Funk",NA,3,"YTDConsecutiveCuts",2010
69,69,"Robert Garrigus",NA,3,"YTDConsecutiveCuts",2010
69,69,"Paul Goydos",NA,3,"YTDConsecutiveCuts",2010
69,69,"Bob Heintz",NA,3,"YTDConsecutiveCuts",2010
69,69,"John Huston",NA,3,"YTDConsecutiveCuts",2010
69,69,"Simon Khan",NA,3,"YTDConsecutiveCuts",2010
69,69,"Spencer Levin",NA,3,"YTDConsecutiveCuts",2010
69,69,"Frank Lickliter II",NA,3,"YTDConsecutiveCuts",2010
69,69,"Phil Mickelson",NA,3,"YTDConsecutiveCuts",2010
69,69,"Ryan Moore",NA,3,"YTDConsecutiveCuts",2010
69,69,"Sean OHair",NA,3,"YTDConsecutiveCuts",2010
69,69,"Geoff Ogilvy",NA,3,"YTDConsecutiveCuts",2010
69,69,"Vijay Singh",NA,3,"YTDConsecutiveCuts",2010
69,69,"Kevin Sutherland",NA,3,"YTDConsecutiveCuts",2010
69,69,"Roland Thatcher",NA,3,"YTDConsecutiveCuts",2010
69,69,"Chris Tidland",NA,3,"YTDConsecutiveCuts",2010
69,69,"Charles Warren",NA,3,"YTDConsecutiveCuts",2010
69,69,"YE Yang",NA,3,"YTDConsecutiveCuts",2010
92,92,"Fredrik Andersson Hed",NA,2,"YTDConsecutiveCuts",2010
92,92,"Briny Baird",NA,2,"YTDConsecutiveCuts",2010
92,92,"Gregory Bourdy",NA,2,"YTDConsecutiveCuts",2010
92,92,"Alejandro Canizares",NA,2,"YTDConsecutiveCuts",2010
92,92,"Darren Clarke",NA,2,"YTDConsecutiveCuts",2010
92,92,"Michael Connell",NA,2,"YTDConsecutiveCuts",2010
92,92,"Ben Crane",NA,2,"YTDConsecutiveCuts",2010
92,92,"John Daly",NA,2,"YTDConsecutiveCuts",2010
92,92,"Rhys Davies",NA,2,"YTDConsecutiveCuts",2010
92,92,"Jason Dufner",NA,2,"YTDConsecutiveCuts",2010
92,92,"Ken Duke",NA,2,"YTDConsecutiveCuts",2010
92,92,"David Duval",NA,2,"YTDConsecutiveCuts",2010
92,92,"Benjamin Fox",NA,2,"YTDConsecutiveCuts",2010
92,92,"Stephen Gallacher",NA,2,"YTDConsecutiveCuts",2010
92,92,"Jason Gore",NA,2,"YTDConsecutiveCuts",2010
92,92,"David Horsey",NA,2,"YTDConsecutiveCuts",2010
92,92,"Ryuji Imada",NA,2,"YTDConsecutiveCuts",2010
92,92,"KT Kim",NA,2,"YTDConsecutiveCuts",2010
92,92,"Ross McGowan",NA,2,"YTDConsecutiveCuts",2010
92,92,"John Merrick",NA,2,"YTDConsecutiveCuts",2010
92,92,"Francesco Molinari",NA,2,"YTDConsecutiveCuts",2010
92,92,"Michael ONeal",NA,2,"YTDConsecutiveCuts",2010
92,92,"Jeff Overton",NA,2,"YTDConsecutiveCuts",2010
92,92,"Brenden Pappas",NA,2,"YTDConsecutiveCuts",2010
92,92,"Cameron Percy",NA,2,"YTDConsecutiveCuts",2010
92,92,"Dicky Pride",NA,2,"YTDConsecutiveCuts",2010
92,92,"Alex Prugh",NA,2,"YTDConsecutiveCuts",2010
92,92,"Chez Reavie",NA,2,"YTDConsecutiveCuts",2010
92,92,"Justin Rose",NA,2,"YTDConsecutiveCuts",2010
92,92,"Brandt Snedeker",NA,2,"YTDConsecutiveCuts",2010
92,92,"Toru Taniguchi",NA,2,"YTDConsecutiveCuts",2010
92,92,"Nicholas Thompson",NA,2,"YTDConsecutiveCuts",2010
92,92,"Kirk Triplett",NA,2,"YTDConsecutiveCuts",2010
92,92,"Mark Wilson",NA,2,"YTDConsecutiveCuts",2010
