"Approachesfrominside100yards_RANKTHISWEEK_2007","Approachesfrominside100yards_RANKLASTWEEK_2007","Approachesfrominside100yards_PLAYERNAME_2007","Approachesfrominside100yards_ROUNDS_2007","Approachesfrominside100yards_AVG_2007","Approachesfrominside100yards_TOTALDISTANCEFEET_2007","Approachesfrominside100yards_OFATTEMPTS_2007","Approachesfrominside100yards_RELATIVETOPAR_2007","stat_name","year"
66,66,"Jason Gore",86,NA,1718.25,105,-0.04,"Approachesfrominside100yards",2007
67,67,"Stephen Ames",81,NA,1410.167,86,-0.14,"Approachesfrominside100yards",2007
67,67,"JP Hayes",89,NA,2054.25,125,-0.05,"Approachesfrominside100yards",2007
67,67,"Bryce Molder",56,NA,1264.417,77,-0.05,"Approachesfrominside100yards",2007
67,67,"Heath Slocum",101,NA,2283.167,139,-0.17,"Approachesfrominside100yards",2007
67,67,"David Toms",80,NA,1768.75,108,-0.14,"Approachesfrominside100yards",2007
67,67,"Charlie Wi",90,NA,1429.75,87,-0.15,"Approachesfrominside100yards",2007
73,73,"Jeff Brehaut",59,NA,1037.917,63,0,"Approachesfrominside100yards",2007
73,73,"Fred Funk",65,NA,1538.333,93,-0.2,"Approachesfrominside100yards",2007
73,73,"Sergio Garcia",68,NA,593.667,36,0.14,"Approachesfrominside100yards",2007
73,73,"Cliff Kresge",107,NA,2074.25,126,-0.03,"Approachesfrominside100yards",2007
73,73,"Adam Scott",69,NA,1155.917,70,-0.2,"Approachesfrominside100yards",2007
78,78,"Brandt Snedeker",105,NA,1744.667,105,-0.06,"Approachesfrominside100yards",2007
79,79,"Brian Davis",101,NA,2329.667,140,-0.1,"Approachesfrominside100yards",2007
80,80,"Jose Coceres",50,NA,836,50,-0.1,"Approachesfrominside100yards",2007
81,81,"Craig Barlow",52,NA,1226,73,0.03,"Approachesfrominside100yards",2007
81,81,"Cameron Beckman",96,NA,1632.5,97,-0.15,"Approachesfrominside100yards",2007
81,81,"John Mallinger",96,NA,2037.833,121,-0.11,"Approachesfrominside100yards",2007
81,81,"Tom Pernice Jr",104,NA,2019.667,120,-0.11,"Approachesfrominside100yards",2007
81,81,"Vijay Singh",102,NA,1803.417,107,-0.19,"Approachesfrominside100yards",2007
86,86,"Joe Durant",88,NA,2115.917,125,-0.02,"Approachesfrominside100yards",2007
86,86,"Retief Goosen",50,NA,794.583,47,0.04,"Approachesfrominside100yards",2007
86,86,"Greg Owen",81,NA,1739.75,103,0,"Approachesfrominside100yards",2007
86,86,"Rod Pampling",92,NA,1474.5,87,-0.11,"Approachesfrominside100yards",2007
90,90,"Gavin Coles",87,NA,2069.583,122,-0.21,"Approachesfrominside100yards",2007
90,90,"Steve Lowery",74,NA,1544.167,91,-0.15,"Approachesfrominside100yards",2007
