"ReverseBounceBack_RANKTHISWEEK_2006","ReverseBounceBack_RANKLASTWEEK_2006","ReverseBounceBack_PLAYERNAME_2006","ReverseBounceBack_ROUNDS_2006","ReverseBounceBack_PctUNDERTHENOVERPAR_2006","ReverseBounceBack_TOTALUNDERTHENOVERPAR_2006","ReverseBounceBack_UNDERPAR_2006","stat_name","year"
71,71,"Eric Axley",91,16.05,52,324,"ReverseBounceBack",2006
72,72,"John Rollins",93,16.06,53,330,"ReverseBounceBack",2006
73,73,"Mathias Gronberg",92,16.08,50,311,"ReverseBounceBack",2006
73,73,"Bubba Watson",83,16.08,46,286,"ReverseBounceBack",2006
75,75,"Ryuji Imada",105,16.22,54,333,"ReverseBounceBack",2006
76,76,"Arjun Atwal",97,16.35,52,318,"ReverseBounceBack",2006
77,77,"Bubba Dickerson",98,16.37,55,336,"ReverseBounceBack",2006
77,77,"Steve Flesch",119,16.37,65,397,"ReverseBounceBack",2006
79,79,"Briny Baird",81,16.38,47,287,"ReverseBounceBack",2006
79,79,"Joey Sindelar",90,16.38,48,293,"ReverseBounceBack",2006
81,81,"Larry Mize",53,16.42,22,134,"ReverseBounceBack",2006
82,82,"JP Hayes",55,16.43,34,207,"ReverseBounceBack",2006
83,83,"Tim Clark",80,16.49,47,285,"ReverseBounceBack",2006
84,84,"Doug Barron",74,16.52,37,224,"ReverseBounceBack",2006
85,85,"Patrick Sheehan",104,16.61,52,313,"ReverseBounceBack",2006
85,85,"Heath Slocum",96,16.61,53,319,"ReverseBounceBack",2006
87,87,"Vijay Singh",103,16.62,63,379,"ReverseBounceBack",2006
87,87,"Brett Wetterich",82,16.62,54,325,"ReverseBounceBack",2006
89,89,"Justin Leonard",83,16.67,40,240,"ReverseBounceBack",2006
89,89,"JL Lewis",57,16.67,29,174,"ReverseBounceBack",2006
91,91,"Carl Pettersson",95,16.72,52,311,"ReverseBounceBack",2006
92,92,"Olin Browne",108,16.76,59,352,"ReverseBounceBack",2006
93,93,"Kent Jones",103,16.86,57,338,"ReverseBounceBack",2006
94,94,"Shaun Micheel",96,16.88,53,314,"ReverseBounceBack",2006
95,95,"Bo Van Pelt",102,16.94,63,372,"ReverseBounceBack",2006
96,96,"DA Points",82,16.97,46,271,"ReverseBounceBack",2006
97,97,"Charley Hoffman",100,16.98,63,371,"ReverseBounceBack",2006
98,98,"Dudley Hart",83,17.01,49,288,"ReverseBounceBack",2006
99,99,"Ian Leggatt",80,17.08,41,240,"ReverseBounceBack",2006
100,100,"Phil Mickelson",74,17.11,51,298,"ReverseBounceBack",2006
101,101,"Thomas Levet",53,17.12,25,146,"ReverseBounceBack",2006
102,102,"Jeff Overton",95,17.15,53,309,"ReverseBounceBack",2006
103,103,"JJ Henry",96,17.2,54,314,"ReverseBounceBack",2006
104,104,"Woody Austin",107,17.25,64,371,"ReverseBounceBack",2006
105,105,"Robert Damron",91,17.28,52,301,"ReverseBounceBack",2006
105,105,"Ted Purdy",103,17.28,61,353,"ReverseBounceBack",2006
107,107,"Retief Goosen",68,17.29,37,214,"ReverseBounceBack",2006
108,108,"Bob Estes",85,17.31,49,283,"ReverseBounceBack",2006
109,109,"Tom Pernice Jr",108,17.33,65,375,"ReverseBounceBack",2006
110,110,"Brandt Jobe",91,17.36,50,288,"ReverseBounceBack",2006
111,111,"Robert Allenby",79,17.38,49,282,"ReverseBounceBack",2006
112,112,"Craig Barlow",77,17.42,46,264,"ReverseBounceBack",2006
112,112,"Todd Fischer",101,17.42,58,333,"ReverseBounceBack",2006
114,114,"Matt Hansen",68,17.51,38,217,"ReverseBounceBack",2006
115,115,"Lee Janzen",79,17.54,47,268,"ReverseBounceBack",2006
116,116,"Daniel Chopra",110,17.56,75,427,"ReverseBounceBack",2006
117,117,"Tim Herron",82,17.67,44,249,"ReverseBounceBack",2006
118,118,"Sergio Garcia",59,17.73,36,203,"ReverseBounceBack",2006
119,119,"David Branshaw",98,17.76,57,321,"ReverseBounceBack",2006
120,120,"Harrison Frazar",95,17.77,62,349,"ReverseBounceBack",2006
121,121,"John Huston",74,17.79,45,253,"ReverseBounceBack",2006
122,122,"Jonathan Byrd",66,17.84,48,269,"ReverseBounceBack",2006
123,123,"Robert Gamez",94,17.88,54,302,"ReverseBounceBack",2006
124,124,"Troy Matteson",101,17.91,60,335,"ReverseBounceBack",2006
125,125,"Alex Aragon",63,17.93,33,184,"ReverseBounceBack",2006
126,126,"Henrik Bjornstad",97,17.97,53,295,"ReverseBounceBack",2006
127,127,"Lucas Glover",105,17.99,70,389,"ReverseBounceBack",2006
127,127,"Omar Uresti",61,17.99,34,189,"ReverseBounceBack",2006
129,129,"Jonathan Kaye",95,18.02,51,283,"ReverseBounceBack",2006
130,130,"Camilo Villegas",95,18.04,59,327,"ReverseBounceBack",2006
131,131,"David Duval",71,18.06,41,227,"ReverseBounceBack",2006
132,132,"Bernhard Langer",77,18.07,43,238,"ReverseBounceBack",2006
133,133,"Bart Bryant",87,18.18,48,264,"ReverseBounceBack",2006
134,134,"Jeff Brehaut",100,18.21,61,335,"ReverseBounceBack",2006
135,135,"Billy Andrade",78,18.3,43,235,"ReverseBounceBack",2006
135,135,"John Senden",96,18.3,58,317,"ReverseBounceBack",2006
137,137,"Mike Sposa",68,18.32,37,202,"ReverseBounceBack",2006
138,138,"Kirk Triplett",58,18.37,36,196,"ReverseBounceBack",2006
139,139,"Daisuke Maruyama",83,18.38,50,272,"ReverseBounceBack",2006
140,140,"John Engler Jr",69,18.48,34,184,"ReverseBounceBack",2006
141,141,"Kenny Perry",73,18.5,42,227,"ReverseBounceBack",2006
142,142,"Mark Calcavecchia",94,18.53,58,313,"ReverseBounceBack",2006
143,143,"KJ Choi",93,18.57,57,307,"ReverseBounceBack",2006
144,144,"Fred Couples",52,18.59,29,156,"ReverseBounceBack",2006
144,144,"Dean Wilson",115,18.59,71,382,"ReverseBounceBack",2006
146,146,"Stephen Leaney",84,18.66,53,284,"ReverseBounceBack",2006
147,147,"Will Ma Kenzie",91,18.71,58,310,"ReverseBounceBack",2006
148,148,"Tag Ridings",103,18.73,65,347,"ReverseBounceBack",2006
148,148,"Vaughn Taylor",88,18.73,65,347,"ReverseBounceBack",2006
150,150,"Todd Hamilton",72,18.81,38,202,"ReverseBounceBack",2006
151,151,"Jason Schultz",77,18.88,44,233,"ReverseBounceBack",2006
152,152,"Danny Ellis",68,18.93,39,206,"ReverseBounceBack",2006
153,153,"Mathew Goggin",72,18.94,43,227,"ReverseBounceBack",2006
153,153,"Nicholas Thompson",96,18.94,57,301,"ReverseBounceBack",2006
155,155,"Mark OMeara",52,19.05,28,147,"ReverseBounceBack",2006
156,156,"Skip Kendall",72,19.07,45,236,"ReverseBounceBack",2006
157,157,"Wes Short Jr",96,19.14,62,324,"ReverseBounceBack",2006
158,158,"Tommy Armour III",65,19.18,42,219,"ReverseBounceBack",2006
159,159,"Bob Tway",81,19.2,48,250,"ReverseBounceBack",2006
160,160,"Aaron Baddeley",78,19.22,49,255,"ReverseBounceBack",2006
161,161,"Davis Love III",85,19.23,55,286,"ReverseBounceBack",2006
162,162,"Brian Davis",92,19.27,58,301,"ReverseBounceBack",2006
163,163,"Stephen Ames",63,19.28,43,223,"ReverseBounceBack",2006
164,164,"Chris Smith",67,19.35,42,217,"ReverseBounceBack",2006
165,165,"Carlos Franco",86,19.42,54,278,"ReverseBounceBack",2006
166,166,"John Cook",67,19.52,41,210,"ReverseBounceBack",2006
167,167,"Hunter Mahan",98,19.56,71,363,"ReverseBounceBack",2006
168,168,"Stuart Appleby",83,19.57,55,281,"ReverseBounceBack",2006
169,169,"Brian Bateman",69,19.7,39,198,"ReverseBounceBack",2006
169,169,"Vance Veazey",59,19.7,39,198,"ReverseBounceBack",2006
171,171,"DJ Trahan",92,19.8,60,303,"ReverseBounceBack",2006
172,172,"Steve Lowery",99,19.81,64,323,"ReverseBounceBack",2006
173,173,"Shane Bertsch",104,19.83,71,358,"ReverseBounceBack",2006
174,174,"Jeff Maggert",81,19.92,52,261,"ReverseBounceBack",2006
174,174,"David McKenzie",82,19.92,53,266,"ReverseBounceBack",2006
176,176,"Freddie Jacobson",56,20.2,40,198,"ReverseBounceBack",2006
177,177,"Rich Beem",85,20.27,59,291,"ReverseBounceBack",2006
178,178,"Greg Chalmers",71,20.38,43,211,"ReverseBounceBack",2006
179,179,"Len Mattiace",59,20.45,36,176,"ReverseBounceBack",2006
180,180,"Robert Garrigus",85,20.52,63,307,"ReverseBounceBack",2006
181,181,"Jerry Smith",94,20.65,64,310,"ReverseBounceBack",2006
182,182,"Jimmy Walker",60,20.77,38,183,"ReverseBounceBack",2006
183,183,"Peter Lonard",77,21.1,46,218,"ReverseBounceBack",2006
184,184,"Jason Gore",86,21.22,59,278,"ReverseBounceBack",2006
185,185,"Tom Lehman",70,21.3,36,169,"ReverseBounceBack",2006
186,186,"Kevin Sutherland",100,21.59,68,315,"ReverseBounceBack",2006
187,187,"Michael Connell",51,21.74,30,138,"ReverseBounceBack",2006
188,188,"Chris Couch",75,22.06,60,272,"ReverseBounceBack",2006
189,189,"JB Holmes",81,22.18,63,284,"ReverseBounceBack",2006
190,190,"John Daly",51,22.36,36,161,"ReverseBounceBack",2006
191,191,"James Driscoll",80,22.66,58,256,"ReverseBounceBack",2006
192,192,"Ron Whittaker",81,22.88,54,236,"ReverseBounceBack",2006
193,193,"Hidemichi Tanaka",74,22.99,43,187,"ReverseBounceBack",2006
194,194,"Jon Mills",68,23.24,43,185,"ReverseBounceBack",2006
195,195,"Roger Tambellini",64,23.63,43,182,"ReverseBounceBack",2006
196,196,"Ryan Hietala",61,25.29,43,170,"ReverseBounceBack",2006
