"FedExCupSeasonPoints_RANKTHISWEEK_2008","FedExCupSeasonPoints_RANKLASTWEEK_2008","FedExCupSeasonPoints_PLAYERNAME_2008","FedExCupSeasonPoints_EVENTS_2008","FedExCupSeasonPoints_POINTS_2008","FedExCupSeasonPoints_OFWINS_2008","FedExCupSeasonPoints_OFTOP10S_2008","FedExCupSeasonPoints_POINTSBEHINDLEAD_2008","FedExCupSeasonPoints_RESETPOINTS_2008","stat_name","year"
1,1,"Tiger Woods",6,22695,4,6,NA,NA,"FedExCupSeasonPoints",2008
2,2,"Kenny Perry",22,20878,3,7,1817,NA,"FedExCupSeasonPoints",2008
3,3,"Phil Mickelson",17,18241,2,7,4454,NA,"FedExCupSeasonPoints",2008
4,4,"Padraig Harrington",12,15555,2,6,7140,NA,"FedExCupSeasonPoints",2008
5,5,"Anthony Kim",18,15178,2,6,7517,NA,"FedExCupSeasonPoints",2008
6,6,"Stewart Cink",18,15126,1,7,7569,NA,"FedExCupSeasonPoints",2008
7,7,"Vijay Singh",19,15034,1,6,7661,NA,"FedExCupSeasonPoints",2008
8,8,"Justin Leonard",20,12734,1,5,9961,NA,"FedExCupSeasonPoints",2008
9,9,"Ryuji Imada",19,10903,1,4,11792,NA,"FedExCupSeasonPoints",2008
10,10,"Geoff Ogilvy",17,10866,1,6,11829,NA,"FedExCupSeasonPoints",2008
11,11,"Robert Allenby",21,10554,NA,7,12141,NA,"FedExCupSeasonPoints",2008
12,12,"Sergio Garcia",15,10301,1,3,12394,NA,"FedExCupSeasonPoints",2008
13,13,"Carl Pettersson",22,9821,1,5,12874,NA,"FedExCupSeasonPoints",2008
14,14,"Boo Weekley",20,9655,1,5,13040,NA,"FedExCupSeasonPoints",2008
15,15,"Jim Furyk",22,9438,NA,6,13257,NA,"FedExCupSeasonPoints",2008
16,16,"Sean OHair",20,9029,1,3,13666,NA,"FedExCupSeasonPoints",2008
17,17,"KJ Choi",17,8843,1,3,13852,NA,"FedExCupSeasonPoints",2008
18,18,"DJ Trahan",23,8497,1,3,14198,NA,"FedExCupSeasonPoints",2008
19,19,"Stuart Appleby",19,8403,NA,6,14292,NA,"FedExCupSeasonPoints",2008
20,20,"Trevor Immelman",18,8209,1,2,14486,NA,"FedExCupSeasonPoints",2008
21,21,"Steve Stricker",18,8082,NA,5,14613,NA,"FedExCupSeasonPoints",2008
22,22,"JB Holmes",21,7834,1,3,14861,NA,"FedExCupSeasonPoints",2008
23,23,"Chad Campbell",22,7574,NA,5,15121,NA,"FedExCupSeasonPoints",2008
24,24,"Adam Scott",12,7558,1,3,15137,NA,"FedExCupSeasonPoints",2008
25,25,"Jeff Quinney",23,7329,NA,3,15366,NA,"FedExCupSeasonPoints",2008
26,26,"Andres Romero",16,7156,1,3,15539,NA,"FedExCupSeasonPoints",2008
27,27,"Ben Curtis",18,7105,NA,3,15590,NA,"FedExCupSeasonPoints",2008
28,28,"Ernie Els",12,7023,1,3,15672,NA,"FedExCupSeasonPoints",2008
29,29,"Briny Baird",23,6956,NA,3,15739,NA,"FedExCupSeasonPoints",2008
30,30,"Stephen Ames",18,6913,NA,5,15782,NA,"FedExCupSeasonPoints",2008
31,31,"Hunter Mahan",22,6903,NA,4,15792,NA,"FedExCupSeasonPoints",2008
32,32,"Bart Bryant",19,6901,NA,2,15794,NA,"FedExCupSeasonPoints",2008
33,33,"Rod Pampling",22,6856,NA,5,15839,NA,"FedExCupSeasonPoints",2008
34,34,"Woody Austin",22,6762,NA,4,15933,NA,"FedExCupSeasonPoints",2008
35,35,"Chez Reavie",24,6494,1,2,16201,NA,"FedExCupSeasonPoints",2008
36,36,"Jerry Kelly",23,6471,NA,4,16224,NA,"FedExCupSeasonPoints",2008
37,37,"Billy Mayfair",23,6465,NA,3,16230,NA,"FedExCupSeasonPoints",2008
38,38,"Steve Marino",24,6446,NA,4,16249,NA,"FedExCupSeasonPoints",2008
39,39,"Brian Gay",22,6413,1,4,16282,NA,"FedExCupSeasonPoints",2008
40,40,"Daniel Chopra",21,6375,1,1,16320,NA,"FedExCupSeasonPoints",2008
41,41,"Steve Lowery",17,6164,1,2,16531,NA,"FedExCupSeasonPoints",2008
42,42,"Camilo Villegas",18,6141,NA,4,16554,NA,"FedExCupSeasonPoints",2008
43,43,"Mike Weir",20,6026,NA,3,16669,NA,"FedExCupSeasonPoints",2008
44,44,"Luke Donald",11,6001,NA,3,16694,NA,"FedExCupSeasonPoints",2008
45,45,"Aaron Baddeley",18,5905,NA,2,16790,NA,"FedExCupSeasonPoints",2008
46,46,"Freddie Jacobson",20,5814,NA,2,16881,NA,"FedExCupSeasonPoints",2008
47,47,"Nicholas Thompson",27,5695,NA,4,17000,NA,"FedExCupSeasonPoints",2008
48,48,"Tommy Armour III",18,5671,NA,5,17024,NA,"FedExCupSeasonPoints",2008
49,49,"Brandt Snedeker",23,5649,NA,5,17046,NA,"FedExCupSeasonPoints",2008
50,50,"Lee Westwood",10,5626,NA,2,17069,NA,"FedExCupSeasonPoints",2008
51,51,"Ken Duke",25,5594,NA,3,17101,NA,"FedExCupSeasonPoints",2008
52,52,"Johnson Wagner",22,5553,1,1,17142,NA,"FedExCupSeasonPoints",2008
53,53,"Heath Slocum",21,5503,NA,5,17192,NA,"FedExCupSeasonPoints",2008
54,54,"Parker McLachlin",21,5502,1,3,17193,NA,"FedExCupSeasonPoints",2008
55,55,"Rory Sabbatini",16,5488,NA,2,17207,NA,"FedExCupSeasonPoints",2008
56,56,"Bubba Watson",23,5437,NA,3,17258,NA,"FedExCupSeasonPoints",2008
57,57,"Kevin Sutherland",20,5414,NA,4,17281,NA,"FedExCupSeasonPoints",2008
58,58,"Retief Goosen",16,5372,NA,2,17323,NA,"FedExCupSeasonPoints",2008
59,59,"Peter Lonard",22,5248,NA,3,17447,NA,"FedExCupSeasonPoints",2008
