"MissedFairwayPercentOther_RANKTHISWEEK_2008","MissedFairwayPercentOther_RANKLASTWEEK_2008","MissedFairwayPercentOther_PLAYERNAME_2008","MissedFairwayPercentOther_ROUNDS_2008","MissedFairwayPercentOther_Pct_2008","MissedFairwayPercentOther_TOTALMISSED_2008","MissedFairwayPercentOther_TOTALFWYS_2008","MissedFairwayPercentOther_RELATIVETOPAR_2008","stat_name","year"
1,1,"Zach Johnson",85,0.6,6,994,0.17,"MissedFairwayPercentOther",2008
2,2,"Gavin Coles",54,0.66,4,610,1.5,"MissedFairwayPercentOther",2008
3,3,"Heath Slocum",104,0.75,9,1199,1,"MissedFairwayPercentOther",2008
4,4,"Omar Uresti",74,0.8,7,874,0.86,"MissedFairwayPercentOther",2008
5,5,"Michael Allen",91,0.83,9,1079,0.67,"MissedFairwayPercentOther",2008
6,6,"Bart Bryant",81,0.86,8,932,0.75,"MissedFairwayPercentOther",2008
7,7,"Ron Whittaker",54,0.89,5,563,0.8,"MissedFairwayPercentOther",2008
8,8,"Jim Furyk",95,0.95,10,1053,0.1,"MissedFairwayPercentOther",2008
9,9,"Billy Mayfair",103,1.06,14,1317,0.64,"MissedFairwayPercentOther",2008
10,10,"Cameron Beckman",87,1.08,11,1020,1.18,"MissedFairwayPercentOther",2008
11,11,"Steve Elkington",84,1.09,11,1013,0.36,"MissedFairwayPercentOther",2008
12,12,"Olin Browne",77,1.14,11,969,1.18,"MissedFairwayPercentOther",2008
13,13,"Jeff Gove",50,1.15,7,609,1,"MissedFairwayPercentOther",2008
14,14,"Glen Day",64,1.16,9,776,0.78,"MissedFairwayPercentOther",2008
14,14,"Corey Pavin",69,1.16,9,774,0.33,"MissedFairwayPercentOther",2008
16,16,"Justin Leonard",101,1.17,12,1023,0.83,"MissedFairwayPercentOther",2008
17,17,"Scott Verplank",82,1.22,11,904,0.55,"MissedFairwayPercentOther",2008
18,18,"Ryan Moore",72,1.27,11,868,0.55,"MissedFairwayPercentOther",2008
19,19,"Greg Kraft",63,1.3,9,694,1.22,"MissedFairwayPercentOther",2008
20,20,"Woody Austin",109,1.31,16,1226,0.25,"MissedFairwayPercentOther",2008
20,20,"Paul Claxton",63,1.31,9,689,0.89,"MissedFairwayPercentOther",2008
20,20,"Craig Kanada",65,1.31,10,762,1.4,"MissedFairwayPercentOther",2008
23,23,"Brian Davis",108,1.34,19,1417,0.37,"MissedFairwayPercentOther",2008
23,23,"Brian Gay",102,1.34,16,1198,0.75,"MissedFairwayPercentOther",2008
25,25,"John Rollins",94,1.37,15,1097,0.33,"MissedFairwayPercentOther",2008
26,26,"Ian Poulter",51,1.4,7,501,1.14,"MissedFairwayPercentOther",2008
27,27,"Kenneth Ferrie",72,1.45,12,825,0.58,"MissedFairwayPercentOther",2008
28,28,"Joe Durant",92,1.46,16,1095,0.81,"MissedFairwayPercentOther",2008
29,29,"Steve Marino",119,1.47,21,1432,0.57,"MissedFairwayPercentOther",2008
30,30,"Geoff Ogilvy",65,1.49,10,671,0.8,"MissedFairwayPercentOther",2008
31,31,"Brad Elder",67,1.5,11,732,0,"MissedFairwayPercentOther",2008
32,32,"Robert Allenby",108,1.52,18,1187,0.39,"MissedFairwayPercentOther",2008
32,32,"Tom Lehman",51,1.52,8,527,0.88,"MissedFairwayPercentOther",2008
34,34,"Chez Reavie",102,1.53,19,1242,0.95,"MissedFairwayPercentOther",2008
34,34,"Jay Williamson",96,1.53,17,1111,0.82,"MissedFairwayPercentOther",2008
36,36,"Chad Campbell",94,1.54,18,1171,0.61,"MissedFairwayPercentOther",2008
36,36,"Ben Crane",86,1.54,16,1036,0.56,"MissedFairwayPercentOther",2008
38,38,"John Riegger",73,1.57,14,889,0.86,"MissedFairwayPercentOther",2008
38,38,"Scott Sterling",89,1.57,16,1019,0.75,"MissedFairwayPercentOther",2008
40,40,"Kenny Perry",97,1.58,20,1268,0.55,"MissedFairwayPercentOther",2008
41,41,"Ben Curtis",80,1.59,14,878,0.5,"MissedFairwayPercentOther",2008
42,42,"Scott McCarron",63,1.6,12,750,0.83,"MissedFairwayPercentOther",2008
43,43,"Nick OHern",82,1.62,16,986,0.69,"MissedFairwayPercentOther",2008
44,44,"Robert Gamez",79,1.64,16,977,0.94,"MissedFairwayPercentOther",2008
44,44,"John Mallinger",95,1.64,19,1162,0.63,"MissedFairwayPercentOther",2008
46,46,"Shane Bertsch",96,1.68,21,1248,0.29,"MissedFairwayPercentOther",2008
47,47,"Jonathan Byrd",88,1.69,18,1065,0.56,"MissedFairwayPercentOther",2008
48,48,"Tom Pernice Jr",104,1.7,23,1353,0.57,"MissedFairwayPercentOther",2008
48,48,"Tim Petrovic",97,1.7,19,1120,0.53,"MissedFairwayPercentOther",2008
50,50,"Hunter Mahan",87,1.71,17,996,0.53,"MissedFairwayPercentOther",2008
50,50,"Rory Sabbatini",77,1.71,15,876,0.8,"MissedFairwayPercentOther",2008
52,52,"Ryan Armour",87,1.72,18,1046,0.61,"MissedFairwayPercentOther",2008
53,53,"Briny Baird",113,1.74,23,1322,0.48,"MissedFairwayPercentOther",2008
53,53,"Chad Collins",72,1.74,15,864,1.07,"MissedFairwayPercentOther",2008
53,53,"Joe Ogilvie",100,1.74,21,1205,0.57,"MissedFairwayPercentOther",2008
56,56,"Jerry Kelly",89,1.75,18,1030,0.78,"MissedFairwayPercentOther",2008
57,57,"JJ Henry",108,1.76,24,1365,0.58,"MissedFairwayPercentOther",2008
58,58,"Bob Estes",90,1.77,21,1187,0.62,"MissedFairwayPercentOther",2008
58,58,"Richard Johnson",60,1.77,12,679,0.67,"MissedFairwayPercentOther",2008
58,58,"DJ Trahan",94,1.77,19,1072,1.16,"MissedFairwayPercentOther",2008
61,61,"Tim Clark",90,1.78,18,1014,0.61,"MissedFairwayPercentOther",2008
62,62,"David Toms",70,1.8,14,776,0.64,"MissedFairwayPercentOther",2008
63,63,"Chris DiMarco",87,1.81,19,1051,0.58,"MissedFairwayPercentOther",2008
64,64,"Nick Flanagan",89,1.82,20,1101,0.75,"MissedFairwayPercentOther",2008
65,65,"Tom Scherrer",56,1.83,11,602,1.55,"MissedFairwayPercentOther",2008
66,66,"Doug LaBelle II",65,1.84,13,705,0.85,"MissedFairwayPercentOther",2008
67,67,"Carlos Franco",73,1.87,16,854,0.63,"MissedFairwayPercentOther",2008
68,68,"Rocco Mediate",87,1.88,18,958,0.61,"MissedFairwayPercentOther",2008
69,69,"John Merrick",98,1.89,20,1061,0.9,"MissedFairwayPercentOther",2008
70,70,"Peter Lonard",92,1.9,21,1105,0.43,"MissedFairwayPercentOther",2008
71,71,"Boo Weekley",86,1.91,17,888,-0.06,"MissedFairwayPercentOther",2008
72,72,"Freddie Jacobson",78,1.92,17,884,0.88,"MissedFairwayPercentOther",2008
72,72,"Will Ma Kenzie",62,1.92,15,780,0.4,"MissedFairwayPercentOther",2008
74,74,"Paul Goydos",78,1.93,18,934,0.28,"MissedFairwayPercentOther",2008
75,75,"Vijay Singh",82,1.94,17,877,0.41,"MissedFairwayPercentOther",2008
76,76,"Stuart Appleby",87,1.95,18,923,0.78,"MissedFairwayPercentOther",2008
76,76,"Matt Kuchar",88,1.95,19,974,0.84,"MissedFairwayPercentOther",2008
78,78,"Todd Hamilton",92,1.96,20,1022,0.75,"MissedFairwayPercentOther",2008
79,79,"Chris Stroud",81,1.97,18,912,0.33,"MissedFairwayPercentOther",2008
79,79,"Charlie Wi",97,1.97,24,1219,0.71,"MissedFairwayPercentOther",2008
81,81,"Justin Bolli",87,1.98,20,1012,0.7,"MissedFairwayPercentOther",2008
82,82,"Lucas Glover",91,2,23,1149,0.48,"MissedFairwayPercentOther",2008
82,82,"Kevin Stadler",90,2,20,1001,0.65,"MissedFairwayPercentOther",2008
84,84,"Marc Turnesa",87,2.01,21,1047,0.81,"MissedFairwayPercentOther",2008
85,85,"Jeff Maggert",86,2.02,22,1090,0.95,"MissedFairwayPercentOther",2008
86,86,"Paul Casey",55,2.03,10,492,0.8,"MissedFairwayPercentOther",2008
86,86,"Rod Pampling",83,2.03,19,938,0.47,"MissedFairwayPercentOther",2008
88,88,"Jason Gore",94,2.04,24,1176,0.67,"MissedFairwayPercentOther",2008
88,88,"John Senden",93,2.04,23,1125,0.04,"MissedFairwayPercentOther",2008
90,90,"Alex Cejka",75,2.06,17,826,0.82,"MissedFairwayPercentOther",2008
90,90,"Kevin Sutherland",98,2.06,25,1216,0.28,"MissedFairwayPercentOther",2008
92,92,"Jesper Parnevik",88,2.07,21,1016,0.95,"MissedFairwayPercentOther",2008
92,92,"Mark Wilson",107,2.07,30,1446,0.6,"MissedFairwayPercentOther",2008
94,94,"Padraig Harrington",52,2.08,9,433,1,"MissedFairwayPercentOther",2008
95,95,"Bo Van Pelt",101,2.09,27,1294,1,"MissedFairwayPercentOther",2008
96,96,"Rich Beem",90,2.1,23,1096,0.52,"MissedFairwayPercentOther",2008
96,96,"Kent Jones",68,2.1,16,762,0.94,"MissedFairwayPercentOther",2008
98,98,"Ryuji Imada",80,2.13,20,938,0.45,"MissedFairwayPercentOther",2008
99,99,"Bob Tway",70,2.15,17,789,0.41,"MissedFairwayPercentOther",2008
100,100,"Frank Lickliter II",107,2.17,30,1382,0.97,"MissedFairwayPercentOther",2008
101,101,"Stephen Ames",83,2.18,20,917,0.15,"MissedFairwayPercentOther",2008
101,101,"Cliff Kresge",84,2.18,22,1007,0.73,"MissedFairwayPercentOther",2008
101,101,"Nicholas Thompson",113,2.18,29,1330,0.93,"MissedFairwayPercentOther",2008
104,104,"Pat Perez",93,2.19,24,1095,0.33,"MissedFairwayPercentOther",2008
105,105,"Parker McLachlin",88,2.21,24,1084,0.42,"MissedFairwayPercentOther",2008
105,105,"Phil Mickelson",80,2.21,18,815,0.33,"MissedFairwayPercentOther",2008
107,107,"John Huston",56,2.22,15,675,0.33,"MissedFairwayPercentOther",2008
107,107,"Kevin Na",97,2.22,28,1263,0.86,"MissedFairwayPercentOther",2008
109,109,"Tommy Gainey",60,2.23,14,628,1.14,"MissedFairwayPercentOther",2008
110,110,"Bob Sowards",61,2.24,16,713,0.63,"MissedFairwayPercentOther",2008
111,111,"Charles Warren",79,2.25,23,1022,0.74,"MissedFairwayPercentOther",2008
112,112,"Mark Calcavecchia",67,2.26,17,752,0.82,"MissedFairwayPercentOther",2008
112,112,"KJ Choi",74,2.26,18,795,0.72,"MissedFairwayPercentOther",2008
114,114,"Tim Herron",97,2.27,27,1192,0.63,"MissedFairwayPercentOther",2008
114,114,"Mike Weir",88,2.27,21,925,0.24,"MissedFairwayPercentOther",2008
116,116,"Cody Freeman",66,2.28,17,746,0.47,"MissedFairwayPercentOther",2008
117,117,"Alejandro Canizares",52,2.29,13,567,1.38,"MissedFairwayPercentOther",2008
117,117,"Jin Park",85,2.29,22,960,1.09,"MissedFairwayPercentOther",2008
117,117,"Patrick Sheehan",124,2.29,33,1440,0.82,"MissedFairwayPercentOther",2008
120,120,"Sergio Garcia",72,2.33,18,774,0.67,"MissedFairwayPercentOther",2008
121,121,"Tim Wilkinson",95,2.34,26,1111,0.5,"MissedFairwayPercentOther",2008
122,122,"Todd Demsey",80,2.36,23,976,0.61,"MissedFairwayPercentOther",2008
123,123,"Carl Pettersson",110,2.4,32,1333,0.59,"MissedFairwayPercentOther",2008
