"MoneyLeaders_RANKTHISWEEK_2009","MoneyLeaders_RANKLASTWEEK_2009","MoneyLeaders_PLAYERNAME_2009","MoneyLeaders_EVENTS_2009","MoneyLeaders_MONEY_2009","MoneyLeaders_YTDVICTORIES_2009","stat_name","year"
1,1,"Tiger Woods",17,10508163,6,"MoneyLeaders",2009
2,2,"Steve Stricker",22,6332636,3,"MoneyLeaders",2009
3,3,"Phil Mickelson",18,5332755,3,"MoneyLeaders",2009
4,4,"Zach Johnson",26,4714813,2,"MoneyLeaders",2009
5,5,"Kenny Perry",24,4445562,2,"MoneyLeaders",2009
6,6,"Sean OHair",23,4316493,1,"MoneyLeaders",2009
7,7,"Jim Furyk",23,3946515,NA,"MoneyLeaders",2009
8,8,"Geoff Ogilvy",20,3866270,2,"MoneyLeaders",2009
9,9,"Lucas Glover",26,3692580,1,"MoneyLeaders",2009
10,10,"YE Yang",23,3489516,2,"MoneyLeaders",2009
11,11,"Retief Goosen",20,3232650,1,"MoneyLeaders",2009
12,12,"Nick Watney",24,3221421,1,"MoneyLeaders",2009
13,13,"Brian Gay",27,3201295,2,"MoneyLeaders",2009
14,14,"David Toms",27,3047198,NA,"MoneyLeaders",2009
15,15,"Dustin Johnson",25,2977901,1,"MoneyLeaders",2009
16,16,"Hunter Mahan",25,2941349,NA,"MoneyLeaders",2009
17,17,"Stewart Cink",22,2821030,1,"MoneyLeaders",2009
18,18,"Rory Sabbatini",25,2752291,1,"MoneyLeaders",2009
19,19,"Kevin Na",26,2724825,NA,"MoneyLeaders",2009
20,20,"Padraig Harrington",20,2628377,NA,"MoneyLeaders",2009
21,21,"Angel Cabrera",17,2625472,1,"MoneyLeaders",2009
22,22,"Paul Casey",12,2582181,1,"MoneyLeaders",2009
23,23,"Jerry Kelly",26,2562648,1,"MoneyLeaders",2009
24,24,"Matt Kuchar",24,2489193,1,"MoneyLeaders",2009
25,25,"Ian Poulter",17,2431001,NA,"MoneyLeaders",2009
26,26,"Mike Weir",24,2379422,NA,"MoneyLeaders",2009
