"Par5GoingfortheGreen_RANKTHISWEEK_2014","Par5GoingfortheGreen_RANKLASTWEEK_2014","Par5GoingfortheGreen_PLAYERNAME_2014","Par5GoingfortheGreen_ROUNDS_2014","Par5GoingfortheGreen_Pct_2014","Par5GoingfortheGreen_ATTEMPTS_2014","Par5GoingfortheGreen_NONATTEMPTS_2014","stat_name","year"
1,1,"Rory McIlroy",66,73.65,109,39,"Par5GoingfortheGreen",2014
2,2,"Dustin Johnson",58,70.97,88,36,"Par5GoingfortheGreen",2014
3,3,"Jamie Lovemark",64,66.92,89,44,"Par5GoingfortheGreen",2014
4,4,"Bubba Watson",76,65.85,108,56,"Par5GoingfortheGreen",2014
5,5,"Will Wilcox",51,65.14,71,38,"Par5GoingfortheGreen",2014
6,6,"Harris English",95,64.81,140,76,"Par5GoingfortheGreen",2014
7,7,"Robert Garrigus",80,64.19,147,82,"Par5GoingfortheGreen",2014
8,8,"Gary Woodland",93,64.1,150,84,"Par5GoingfortheGreen",2014
9,9,"Adam Scott",68,64.02,105,59,"Par5GoingfortheGreen",2014
10,10,"Charl Schwartzel",64,63.75,102,58,"Par5GoingfortheGreen",2014
11,11,"Martin Kaymer",65,63.57,89,51,"Par5GoingfortheGreen",2014
12,12,"Kyle Stanley",87,63.43,137,79,"Par5GoingfortheGreen",2014
13,13,"Derek Ernst",80,63.35,121,70,"Par5GoingfortheGreen",2014
14,14,"Jason Kokrak",65,63.08,123,72,"Par5GoingfortheGreen",2014
15,15,"Jhonattan Vegas",77,62.77,118,70,"Par5GoingfortheGreen",2014
16,16,"Ryan Palmer",85,62.18,120,73,"Par5GoingfortheGreen",2014
17,17,"Rickie Fowler",91,61.58,117,73,"Par5GoingfortheGreen",2014
18,18,"Matt Jones",83,61.5,115,72,"Par5GoingfortheGreen",2014
19,19,"Martin Laird",66,61.36,108,68,"Par5GoingfortheGreen",2014
20,20,"John Peterson",62,61.35,100,63,"Par5GoingfortheGreen",2014
21,21,"Henrik Stenson",56,60.83,73,47,"Par5GoingfortheGreen",2014
22,22,"Michael Putnam",106,59.85,164,110,"Par5GoingfortheGreen",2014
23,23,"Marc Leishman",81,59.5,119,81,"Par5GoingfortheGreen",2014
24,24,"Jason Day",54,59.38,57,39,"Par5GoingfortheGreen",2014
25,25,"Brad Fritsch",50,59.26,64,44,"Par5GoingfortheGreen",2014
26,26,"Steven Bowditch",93,59.11,133,92,"Par5GoingfortheGreen",2014
27,27,"Sean OHair",77,58.88,116,81,"Par5GoingfortheGreen",2014
28,28,"Lucas Glover",68,58.82,90,63,"Par5GoingfortheGreen",2014
29,29,"Jimmy Walker",98,58.72,128,90,"Par5GoingfortheGreen",2014
30,30,"Sangmoon Bae",76,58.62,119,84,"Par5GoingfortheGreen",2014
31,31,"Brooks Koepka",56,58.2,71,51,"Par5GoingfortheGreen",2014
32,32,"Keegan Bradley",89,58.17,121,87,"Par5GoingfortheGreen",2014
33,33,"Lee Westwood",57,57.97,80,58,"Par5GoingfortheGreen",2014
