"BogeyAverage_RANKTHISWEEK_2009","BogeyAverage_RANKLASTWEEK_2009","BogeyAverage_PLAYERNAME_2009","BogeyAverage_EVENTS_2009","BogeyAverage_AVERAGEBOGEYSPERROUND_2009","BogeyAverage_TOTALBOGEYS_2009","BogeyAverage_ROUNDSPLAYED_2009","stat_name","year"
1,1,"Tiger Woods",17,1.98,123,62,"BogeyAverage",2009
2,2,"Steve Stricker",22,2.14,169,79,"BogeyAverage",2009
3,3,"Jim Furyk",23,2.2,183,83,"BogeyAverage",2009
4,4,"Kevin Na",26,2.27,207,91,"BogeyAverage",2009
5,5,"Scott McCarron",27,2.3,209,91,"BogeyAverage",2009
6,6,"Brian Gay",27,2.32,223,96,"BogeyAverage",2009
6,6,"Spencer Levin",25,2.32,174,75,"BogeyAverage",2009
8,8,"Chad Campbell",26,2.33,210,90,"BogeyAverage",2009
9,9,"Matt Jones",17,2.34,131,56,"BogeyAverage",2009
10,10,"Charley Hoffman",27,2.35,228,97,"BogeyAverage",2009
11,11,"Greg Chalmers",26,2.36,201,85,"BogeyAverage",2009
12,12,"Robert Garrigus",25,2.37,197,83,"BogeyAverage",2009
12,12,"Zach Johnson",26,2.37,218,92,"BogeyAverage",2009
14,14,"Tim Clark",23,2.38,186,78,"BogeyAverage",2009
14,14,"Jarrod Lyle",21,2.38,155,65,"BogeyAverage",2009
14,14,"Steve Marino",29,2.38,233,98,"BogeyAverage",2009
14,14,"David Toms",27,2.38,233,98,"BogeyAverage",2009
18,18,"Matt Kuchar",24,2.39,196,82,"BogeyAverage",2009
18,18,"Bryce Molder",21,2.39,165,69,"BogeyAverage",2009
20,20,"Chris Riley",22,2.4,185,77,"BogeyAverage",2009
20,20,"Mark Wilson",28,2.4,238,99,"BogeyAverage",2009
22,22,"Tim Petrovic",31,2.41,234,97,"BogeyAverage",2009
22,22,"John Senden",29,2.41,241,100,"BogeyAverage",2009
24,24,"Jeff Klauk",29,2.42,235,97,"BogeyAverage",2009
24,24,"Ryan Moore",27,2.42,215,89,"BogeyAverage",2009
26,26,"Justin Leonard",26,2.43,221,91,"BogeyAverage",2009
27,27,"Chris DiMarco",29,2.44,237,97,"BogeyAverage",2009
27,27,"Tom Pernice Jr",26,2.44,200,82,"BogeyAverage",2009
27,27,"Scott Verplank",24,2.44,215,88,"BogeyAverage",2009
30,30,"Kevin Stadler",20,2.45,159,65,"BogeyAverage",2009
30,30,"Scott Sterling",16,2.45,125,51,"BogeyAverage",2009
32,32,"Kenny Perry",24,2.46,224,91,"BogeyAverage",2009
32,32,"Brandt Snedeker",26,2.46,199,81,"BogeyAverage",2009
34,34,"Luke Donald",21,2.47,188,76,"BogeyAverage",2009
35,35,"Patrick Sheehan",15,2.49,127,51,"BogeyAverage",2009
35,35,"Charlie Wi",28,2.49,229,92,"BogeyAverage",2009
37,37,"Bob Estes",23,2.5,195,78,"BogeyAverage",2009
38,38,"Woody Austin",24,2.51,211,84,"BogeyAverage",2009
38,38,"Jay Williamson",22,2.51,173,69,"BogeyAverage",2009
38,38,"Casey Wittenberg",25,2.51,178,71,"BogeyAverage",2009
41,41,"Tommy Armour III",19,2.52,146,58,"BogeyAverage",2009
41,41,"Troy Matteson",30,2.52,239,95,"BogeyAverage",2009
43,43,"Jonathan Byrd",25,2.53,225,89,"BogeyAverage",2009
44,44,"Geoff Ogilvy",20,2.54,183,72,"BogeyAverage",2009
44,44,"Ian Poulter",17,2.54,142,56,"BogeyAverage",2009
46,46,"Ben Crane",27,2.55,237,93,"BogeyAverage",2009
46,46,"JJ Henry",28,2.55,247,97,"BogeyAverage",2009
46,46,"Bill Lunde",27,2.55,212,83,"BogeyAverage",2009
46,46,"Greg Owen",30,2.55,247,97,"BogeyAverage",2009
46,46,"Jeff Quinney",26,2.55,199,78,"BogeyAverage",2009
46,46,"Kirk Triplett",20,2.55,153,60,"BogeyAverage",2009
46,46,"Jimmy Walker",24,2.55,189,74,"BogeyAverage",2009
53,53,"Mark Brooks",17,2.56,141,55,"BogeyAverage",2009
53,53,"Jason Dufner",26,2.56,230,90,"BogeyAverage",2009
53,53,"Bill Haas",29,2.56,233,91,"BogeyAverage",2009
53,53,"Bob Heintz",20,2.56,151,59,"BogeyAverage",2009
53,53,"Jerry Kelly",26,2.56,230,90,"BogeyAverage",2009
53,53,"Nick OHern",27,2.56,230,90,"BogeyAverage",2009
59,59,"Jason Day",18,2.57,157,61,"BogeyAverage",2009
59,59,"Steve Elkington",23,2.57,180,70,"BogeyAverage",2009
59,59,"Webb Simpson",30,2.57,242,94,"BogeyAverage",2009
59,59,"DJ Trahan",30,2.57,247,96,"BogeyAverage",2009
63,63,"Padraig Harrington",20,2.58,168,65,"BogeyAverage",2009
64,64,"Hunter Mahan",25,2.59,238,92,"BogeyAverage",2009
64,64,"Heath Slocum",30,2.59,246,95,"BogeyAverage",2009
64,64,"Bo Van Pelt",30,2.59,259,100,"BogeyAverage",2009
67,67,"Charles Warren",20,2.6,164,63,"BogeyAverage",2009
68,68,"Ben Curtis",18,2.61,162,62,"BogeyAverage",2009
68,68,"Jeff Maggert",28,2.61,206,79,"BogeyAverage",2009
70,70,"Ernie Els",19,2.62,173,66,"BogeyAverage",2009
70,70,"Rod Pampling",23,2.62,186,71,"BogeyAverage",2009
72,72,"Cameron Beckman",26,2.63,229,87,"BogeyAverage",2009
72,72,"Brett Quigley",28,2.63,242,92,"BogeyAverage",2009
72,72,"Nick Watney",24,2.63,226,86,"BogeyAverage",2009
72,72,"Mike Weir",24,2.63,221,84,"BogeyAverage",2009
72,72,"YE Yang",23,2.63,218,83,"BogeyAverage",2009
77,77,"Briny Baird",28,2.64,235,89,"BogeyAverage",2009
77,77,"Steve Flesch",27,2.64,203,77,"BogeyAverage",2009
77,77,"Sergio Garcia",17,2.64,153,58,"BogeyAverage",2009
77,77,"Richard Johnson",26,2.64,224,85,"BogeyAverage",2009
77,77,"Dustin Johnson",25,2.64,222,84,"BogeyAverage",2009
77,77,"Tom Lehman",16,2.64,145,55,"BogeyAverage",2009
77,77,"Aron Price",27,2.64,235,89,"BogeyAverage",2009
77,77,"Chez Reavie",27,2.64,214,81,"BogeyAverage",2009
