"OnePuttPercentageRound1_RANKTHISWEEK_2010","OnePuttPercentageRound1_RANKLASTWEEK_2010","OnePuttPercentageRound1_PLAYERNAME_2010","OnePuttPercentageRound1_ROUNDS_2010","OnePuttPercentageRound1_Pct_2010","OnePuttPercentageRound1_OF1PUTTS_2010","OnePuttPercentageRound1_OFHOLES_2010","stat_name","year"
1,1,"Ryuji Imada",90,44.05,222,504,"OnePuttPercentageRound1",2010
2,2,"Scott McCarron",90,43.87,229,522,"OnePuttPercentageRound1",2010
3,3,"Charlie Wi",95,43.83,213,486,"OnePuttPercentageRound1",2010
4,4,"Geoff Ogilvy",62,43.52,141,324,"OnePuttPercentageRound1",2010
4,4,"Mike Weir",59,43.52,141,324,"OnePuttPercentageRound1",2010
6,6,"Matt Jones",89,42.8,208,486,"OnePuttPercentageRound1",2010
7,7,"Brandt Snedeker",89,42.52,199,468,"OnePuttPercentageRound1",2010
8,8,"Kevin Na",94,42.44,191,450,"OnePuttPercentageRound1",2010
9,9,"Paul Casey",64,42.36,122,288,"OnePuttPercentageRound1",2010
10,10,"Ian Poulter",55,42.06,106,252,"OnePuttPercentageRound1",2010
11,11,"Jonathan Byrd",85,41.45,194,468,"OnePuttPercentageRound1",2010
12,12,"Nathan Green",86,41.36,201,486,"OnePuttPercentageRound1",2010
12,12,"Pat Perez",90,41.36,201,486,"OnePuttPercentageRound1",2010
14,14,"Padraig Harrington",57,41.18,126,306,"OnePuttPercentageRound1",2010
15,15,"Angel Cabrera",64,41.05,133,324,"OnePuttPercentageRound1",2010
15,15,"Steve Stricker",73,41.05,133,324,"OnePuttPercentageRound1",2010
17,17,"Daniel Chopra",74,40.87,206,504,"OnePuttPercentageRound1",2010
17,17,"Scott Piercy",88,40.87,206,504,"OnePuttPercentageRound1",2010
19,19,"Jeff Quinney",91,40.61,212,522,"OnePuttPercentageRound1",2010
20,20,"Paul Goydos",78,40.44,182,450,"OnePuttPercentageRound1",2010
21,21,"Retief Goosen",75,40.43,131,324,"OnePuttPercentageRound1",2010
22,22,"Michael Sim",64,40.35,138,342,"OnePuttPercentageRound1",2010
23,23,"Tom Gillis",97,40.33,196,486,"OnePuttPercentageRound1",2010
24,24,"Brian Davis",101,40.28,232,576,"OnePuttPercentageRound1",2010
25,25,"Bryce Molder",84,40.17,188,468,"OnePuttPercentageRound1",2010
26,26,"Justin Rose",78,40.15,159,396,"OnePuttPercentageRound1",2010
27,27,"Matt Every",60,40.12,130,324,"OnePuttPercentageRound1",2010
28,28,"Luke Donald",71,40.06,137,342,"OnePuttPercentageRound1",2010
29,29,"Bob Estes",79,39.96,187,468,"OnePuttPercentageRound1",2010
30,30,"Bo Van Pelt",104,39.88,201,504,"OnePuttPercentageRound1",2010
31,31,"Brian Gay",101,39.85,208,522,"OnePuttPercentageRound1",2010
32,32,"David Toms",86,39.81,172,432,"OnePuttPercentageRound1",2010
33,33,"Matt Kuchar",97,39.78,179,450,"OnePuttPercentageRound1",2010
34,34,"Michael Letzig",84,39.74,186,468,"OnePuttPercentageRound1",2010
34,34,"Jeff Overton",89,39.74,186,468,"OnePuttPercentageRound1",2010
36,36,"KJ Choi",82,39.65,157,396,"OnePuttPercentageRound1",2010
37,37,"Chris Couch",66,39.61,164,414,"OnePuttPercentageRound1",2010
38,38,"Zach Johnson",93,39.58,171,432,"OnePuttPercentageRound1",2010
39,39,"Chad Collins",87,39.32,184,468,"OnePuttPercentageRound1",2010
39,39,"Roland Thatcher",72,39.32,184,468,"OnePuttPercentageRound1",2010
41,41,"Ryan Palmer",84,39.3,191,486,"OnePuttPercentageRound1",2010
42,42,"Carl Pettersson",99,39.27,205,522,"OnePuttPercentageRound1",2010
43,43,"Rory McIlroy",54,39.26,106,270,"OnePuttPercentageRound1",2010
44,44,"Andres Romero",73,39.15,148,378,"OnePuttPercentageRound1",2010
45,45,"Michael Connell",89,39.11,176,450,"OnePuttPercentageRound1",2010
46,46,"Martin Laird",91,39.1,183,468,"OnePuttPercentageRound1",2010
47,47,"Aaron Baddeley",94,38.89,182,468,"OnePuttPercentageRound1",2010
47,47,"Jason Day",82,38.89,161,414,"OnePuttPercentageRound1",2010
47,47,"Steve Flesch",78,38.89,175,450,"OnePuttPercentageRound1",2010
47,47,"Bubba Watson",77,38.89,154,396,"OnePuttPercentageRound1",2010
51,51,"Dustin Johnson",83,38.64,153,396,"OnePuttPercentageRound1",2010
52,52,"Jeev Milkha Singh",59,38.58,125,324,"OnePuttPercentageRound1",2010
53,53,"Lee Janzen",77,38.46,180,468,"OnePuttPercentageRound1",2010
54,54,"YE Yang",72,38.33,138,360,"OnePuttPercentageRound1",2010
55,55,"JB Holmes",100,38.25,179,468,"OnePuttPercentageRound1",2010
55,55,"Vaughn Taylor",87,38.25,179,468,"OnePuttPercentageRound1",2010
57,57,"Tim Petrovic",105,38.19,220,576,"OnePuttPercentageRound1",2010
58,58,"Tim Clark",88,38.16,158,414,"OnePuttPercentageRound1",2010
58,58,"Ben Crane",85,38.16,158,414,"OnePuttPercentageRound1",2010
60,60,"Jim Furyk",76,38.06,137,360,"OnePuttPercentageRound1",2010
61,61,"John Rollins",81,38.03,178,468,"OnePuttPercentageRound1",2010
62,62,"Camilo Villegas",78,38.01,130,342,"OnePuttPercentageRound1",2010
63,63,"Matt Bettencourt",91,37.99,212,558,"OnePuttPercentageRound1",2010
64,64,"Freddie Jacobson",83,37.96,164,432,"OnePuttPercentageRound1",2010
65,65,"George McNeill",79,37.86,184,486,"OnePuttPercentageRound1",2010
66,66,"Scott Verplank",74,37.83,143,378,"OnePuttPercentageRound1",2010
67,67,"Jason Dufner",87,37.78,170,450,"OnePuttPercentageRound1",2010
67,67,"Bill Haas",87,37.78,170,450,"OnePuttPercentageRound1",2010
69,69,"Troy Merritt",86,37.74,197,522,"OnePuttPercentageRound1",2010
70,70,"David Duval",71,37.73,163,432,"OnePuttPercentageRound1",2010
71,71,"Will Ma Kenzie",72,37.68,156,414,"OnePuttPercentageRound1",2010
72,72,"Stuart Appleby",101,37.63,210,558,"OnePuttPercentageRound1",2010
72,72,"Lucas Glover",75,37.63,149,396,"OnePuttPercentageRound1",2010
72,72,"Webb Simpson",98,37.63,210,558,"OnePuttPercentageRound1",2010
75,75,"James Nitties",92,37.59,203,540,"OnePuttPercentageRound1",2010
76,76,"Rory Sabbatini",79,37.56,169,450,"OnePuttPercentageRound1",2010
77,77,"Chris DiMarco",88,37.5,162,432,"OnePuttPercentageRound1",2010
77,77,"Rickie Fowler",98,37.5,189,504,"OnePuttPercentageRound1",2010
77,77,"Charley Hoffman",85,37.5,162,432,"OnePuttPercentageRound1",2010
77,77,"Chris Tidland",77,37.5,162,432,"OnePuttPercentageRound1",2010
81,81,"Greg Chalmers",93,37.45,182,486,"OnePuttPercentageRound1",2010
82,82,"Aron Price",70,37.37,148,396,"OnePuttPercentageRound1",2010
83,83,"Derek Lamely",81,37.24,181,486,"OnePuttPercentageRound1",2010
83,83,"Jimmy Walker",82,37.24,181,486,"OnePuttPercentageRound1",2010
85,85,"James Driscoll",78,37.18,174,468,"OnePuttPercentageRound1",2010
85,85,"Justin Leonard",89,37.18,174,468,"OnePuttPercentageRound1",2010
87,87,"Jason Bohn",84,37.11,167,450,"OnePuttPercentageRound1",2010
88,88,"DJ Trahan",92,37.04,180,486,"OnePuttPercentageRound1",2010
89,89,"Marc Leishman",87,36.97,173,468,"OnePuttPercentageRound1",2010
90,90,"Ryan Moore",80,36.96,153,414,"OnePuttPercentageRound1",2010
91,91,"Robert Allenby",76,36.94,133,360,"OnePuttPercentageRound1",2010
92,92,"Steve Wheatcroft",74,36.83,179,486,"OnePuttPercentageRound1",2010
93,93,"Brett Wetterich",54,36.81,106,288,"OnePuttPercentageRound1",2010
94,94,"Ricky Barnes",103,36.71,185,504,"OnePuttPercentageRound1",2010
94,94,"Brad Faxon",58,36.71,152,414,"OnePuttPercentageRound1",2010
94,94,"Charles Howell III",103,36.71,185,504,"OnePuttPercentageRound1",2010
94,94,"Vance Veazey",58,36.71,152,414,"OnePuttPercentageRound1",2010
98,98,"Rich Barcelo",70,36.67,165,450,"OnePuttPercentageRound1",2010
99,99,"Stephen Ames",75,36.62,145,396,"OnePuttPercentageRound1",2010
100,100,"Hunter Mahan",85,36.57,158,432,"OnePuttPercentageRound1",2010
100,100,"Steve Marino",81,36.57,158,432,"OnePuttPercentageRound1",2010
102,102,"Martin Flores",75,36.54,171,468,"OnePuttPercentageRound1",2010
102,102,"Greg Owen",69,36.54,171,468,"OnePuttPercentageRound1",2010
104,104,"Ted Purdy",86,36.48,197,540,"OnePuttPercentageRound1",2010
105,105,"Steve Elkington",74,36.36,144,396,"OnePuttPercentageRound1",2010
106,106,"Garrett Willis",82,36.34,157,432,"OnePuttPercentageRound1",2010
107,107,"Blake Adams",84,36.11,169,468,"OnePuttPercentageRound1",2010
107,107,"Sergio Garcia",58,36.11,91,252,"OnePuttPercentageRound1",2010
109,109,"Adam Scott",70,35.67,122,342,"OnePuttPercentageRound1",2010
110,110,"Woody Austin",93,35.63,186,522,"OnePuttPercentageRound1",2010
111,111,"Kevin Stadler",86,35.6,173,486,"OnePuttPercentageRound1",2010
112,112,"Cameron Beckman",68,35.56,160,450,"OnePuttPercentageRound1",2010
