"BirdieAverage_RANKTHISWEEK_2008","BirdieAverage_RANKLASTWEEK_2008","BirdieAverage_PLAYERNAME_2008","BirdieAverage_ROUNDS_2008","BirdieAverage_AVG_2008","BirdieAverage_OFBIRDIES_2008","BirdieAverage_TOTALROUNDS_2008","stat_name","year"
1,1,"Ryan Palmer",69,4.16,287,69,"BirdieAverage",2008
2,2,"Robert Garrigus",90,3.89,350,90,"BirdieAverage",2008
3,3,"Bob Tway",70,3.87,271,70,"BirdieAverage",2008
4,4,"John Huston",56,3.86,216,56,"BirdieAverage",2008
5,5,"Camilo Villegas",79,3.83,299,78,"BirdieAverage",2008
6,6,"Kenny Perry",97,3.79,368,97,"BirdieAverage",2008
7,7,"Phil Mickelson",80,3.78,295,78,"BirdieAverage",2008
8,8,"Padraig Harrington",52,3.76,188,50,"BirdieAverage",2008
9,9,"Steve Marino",119,3.7,440,119,"BirdieAverage",2008
9,9,"Rory Sabbatini",77,3.7,281,76,"BirdieAverage",2008
11,11,"Ken Duke",116,3.69,428,116,"BirdieAverage",2008
11,11,"Jason Gore",94,3.69,347,94,"BirdieAverage",2008
13,13,"Tommy Gainey",60,3.68,221,60,"BirdieAverage",2008
14,14,"Ben Crane",86,3.67,316,86,"BirdieAverage",2008
14,14,"Joe Ogilvie",100,3.67,367,100,"BirdieAverage",2008
16,16,"Stewart Cink",87,3.65,296,81,"BirdieAverage",2008
16,16,"Anthony Kim",81,3.65,296,81,"BirdieAverage",2008
16,16,"Pat Perez",93,3.65,336,92,"BirdieAverage",2008
19,19,"Steve Elkington",84,3.64,306,84,"BirdieAverage",2008
19,19,"JB Holmes",86,3.64,309,85,"BirdieAverage",2008
19,19,"Justin Leonard",101,3.64,346,95,"BirdieAverage",2008
19,19,"Mark Wilson",107,3.64,389,107,"BirdieAverage",2008
23,23,"Nathan Green",95,3.63,345,95,"BirdieAverage",2008
23,23,"Bill Haas",99,3.63,359,99,"BirdieAverage",2008
25,25,"Martin Laird",98,3.62,355,98,"BirdieAverage",2008
25,25,"Vaughn Taylor",103,3.62,373,103,"BirdieAverage",2008
27,27,"Michael Letzig",88,3.61,318,88,"BirdieAverage",2008
28,28,"Vijay Singh",82,3.6,281,78,"BirdieAverage",2008
29,29,"Robert Allenby",108,3.59,384,107,"BirdieAverage",2008
29,29,"Mark Hensby",71,3.59,255,71,"BirdieAverage",2008
29,29,"Jesper Parnevik",88,3.59,316,88,"BirdieAverage",2008
29,29,"Tim Petrovic",97,3.59,348,97,"BirdieAverage",2008
33,33,"Brian Gay",102,3.58,365,102,"BirdieAverage",2008
34,34,"Chad Campbell",94,3.57,336,94,"BirdieAverage",2008
34,34,"George McNeill",97,3.57,346,97,"BirdieAverage",2008
34,34,"Tag Ridings",88,3.57,314,88,"BirdieAverage",2008
37,37,"Brian Davis",108,3.56,384,108,"BirdieAverage",2008
37,37,"Kevin Streelman",114,3.56,406,114,"BirdieAverage",2008
39,39,"Shane Bertsch",96,3.55,341,96,"BirdieAverage",2008
39,39,"Kevin Sutherland",98,3.55,348,98,"BirdieAverage",2008
41,41,"Jeff Overton",103,3.54,365,103,"BirdieAverage",2008
41,41,"Scott Verplank",82,3.54,287,81,"BirdieAverage",2008
43,43,"Dudley Hart",74,3.53,261,74,"BirdieAverage",2008
43,43,"Adam Scott",51,3.53,173,49,"BirdieAverage",2008
43,43,"Nicholas Thompson",113,3.53,399,113,"BirdieAverage",2008
43,43,"Nick Watney",96,3.53,339,96,"BirdieAverage",2008
47,47,"Stephen Ames",83,3.52,289,82,"BirdieAverage",2008
47,47,"Tim Clark",90,3.52,313,89,"BirdieAverage",2008
47,47,"Carlos Franco",73,3.52,257,73,"BirdieAverage",2008
47,47,"Marc Turnesa",87,3.52,306,87,"BirdieAverage",2008
51,51,"Cameron Beckman",87,3.51,305,87,"BirdieAverage",2008
51,51,"Jonathan Byrd",88,3.51,298,85,"BirdieAverage",2008
51,51,"Scott McCarron",63,3.51,221,63,"BirdieAverage",2008
51,51,"Bubba Watson",97,3.51,340,97,"BirdieAverage",2008
55,55,"Fred Couples",60,3.5,210,60,"BirdieAverage",2008
55,55,"Frank Lickliter II",107,3.5,375,107,"BirdieAverage",2008
55,55,"Kevin Stadler",90,3.5,315,90,"BirdieAverage",2008
55,55,"DJ Trahan",94,3.5,329,94,"BirdieAverage",2008
59,59,"Michael Allen",91,3.49,318,91,"BirdieAverage",2008
59,59,"Aaron Baddeley",76,3.49,255,73,"BirdieAverage",2008
61,61,"Tommy Armour III",77,3.48,268,77,"BirdieAverage",2008
61,61,"Charley Hoffman",94,3.48,327,94,"BirdieAverage",2008
61,61,"Kevin Na",97,3.48,338,97,"BirdieAverage",2008
61,61,"Boo Weekley",86,3.48,289,83,"BirdieAverage",2008
65,65,"Steve Allan",58,3.47,201,58,"BirdieAverage",2008
65,65,"Dustin Johnson",92,3.47,319,92,"BirdieAverage",2008
65,65,"Hunter Mahan",87,3.47,295,85,"BirdieAverage",2008
68,68,"Sergio Garcia",72,3.46,242,70,"BirdieAverage",2008
68,68,"Lee Janzen",89,3.46,308,89,"BirdieAverage",2008
68,68,"Ryan Moore",72,3.46,249,72,"BirdieAverage",2008
71,71,"Troy Matteson",94,3.45,324,94,"BirdieAverage",2008
71,71,"Brenden Pappas",66,3.45,228,66,"BirdieAverage",2008
71,71,"Bo Van Pelt",101,3.45,348,101,"BirdieAverage",2008
74,74,"Ryan Armour",87,3.44,299,87,"BirdieAverage",2008
74,74,"Woody Austin",109,3.44,361,105,"BirdieAverage",2008
