"OnePuttPercentageRound4_RANKTHISWEEK_2012","OnePuttPercentageRound4_RANKLASTWEEK_2012","OnePuttPercentageRound4_PLAYERNAME_2012","OnePuttPercentageRound4__2012","OnePuttPercentageRound4_Pct_2012","OnePuttPercentageRound4_OF1PUTTS_2012","OnePuttPercentageRound4_OFHOLES_2012","stat_name","year"
1,1,"Aaron Baddeley",NA,49.26,133,270,"OnePuttPercentageRound4",2012
2,2,"Jason Day",NA,47.69,103,216,"OnePuttPercentageRound4",2012
3,3,"Jonas Blixt",NA,45.24,114,252,"OnePuttPercentageRound4",2012
4,4,"Brandt Snedeker",NA,45.06,146,324,"OnePuttPercentageRound4",2012
5,5,"Scott Piercy",NA,45.03,154,342,"OnePuttPercentageRound4",2012
6,6,"Daniel Chopra",NA,44.44,48,108,"OnePuttPercentageRound4",2012
6,6,"Robert Karlsson",NA,44.44,80,180,"OnePuttPercentageRound4",2012
6,6,"Michael Thompson",NA,44.44,120,270,"OnePuttPercentageRound4",2012
9,9,"Carl Pettersson",NA,43.89,158,360,"OnePuttPercentageRound4",2012
10,10,"Hunter Haas",NA,43.83,71,162,"OnePuttPercentageRound4",2012
11,11,"Padraig Harrington",NA,43.65,110,252,"OnePuttPercentageRound4",2012
12,12,"John Daly",NA,43.21,70,162,"OnePuttPercentageRound4",2012
13,13,"Bob Estes",NA,43.06,124,288,"OnePuttPercentageRound4",2012
14,14,"Tom Pernice Jr",NA,42.59,46,108,"OnePuttPercentageRound4",2012
14,14,"Rory Sabbatini",NA,42.59,92,216,"OnePuttPercentageRound4",2012
16,16,"Ian Poulter",NA,42.46,107,252,"OnePuttPercentageRound4",2012
17,17,"Nick OHern",NA,42.42,84,198,"OnePuttPercentageRound4",2012
18,18,"YE Yang",NA,42.13,91,216,"OnePuttPercentageRound4",2012
19,19,"Rickie Fowler",NA,42.11,144,342,"OnePuttPercentageRound4",2012
20,20,"Ben Crane",NA,42.06,106,252,"OnePuttPercentageRound4",2012
21,21,"Spencer Levin",NA,42.01,121,288,"OnePuttPercentageRound4",2012
22,22,"Ryuji Imada",NA,41.98,68,162,"OnePuttPercentageRound4",2012
23,23,"Tim Clark",NA,41.92,83,198,"OnePuttPercentageRound4",2012
24,24,"Sergio Garcia",NA,41.88,98,234,"OnePuttPercentageRound4",2012
25,25,"Sangmoon Bae",NA,41.85,113,270,"OnePuttPercentageRound4",2012
25,25,"Luke Donald",NA,41.85,113,270,"OnePuttPercentageRound4",2012
27,27,"Geoff Ogilvy",NA,41.83,128,306,"OnePuttPercentageRound4",2012
28,28,"Brian Gay",NA,41.67,120,288,"OnePuttPercentageRound4",2012
29,29,"Greg Chalmers",NA,41.52,142,342,"OnePuttPercentageRound4",2012
30,30,"Martin Flores",NA,41.5,127,306,"OnePuttPercentageRound4",2012
31,31,"Keegan Bradley",NA,41.39,149,360,"OnePuttPercentageRound4",2012
32,32,"Charlie Wi",NA,41.36,134,324,"OnePuttPercentageRound4",2012
33,33,"Erik Compton",NA,41.27,104,252,"OnePuttPercentageRound4",2012
34,34,"Nick Watney",NA,41.16,163,396,"OnePuttPercentageRound4",2012
35,35,"Colt Knost",NA,41.11,74,180,"OnePuttPercentageRound4",2012
36,36,"Stewart Cink",NA,41.03,96,234,"OnePuttPercentageRound4",2012
37,37,"Davis Love III",NA,40.91,81,198,"OnePuttPercentageRound4",2012
37,37,"Jeff Overton",NA,40.91,162,396,"OnePuttPercentageRound4",2012
39,39,"KJ Choi",NA,40.74,110,270,"OnePuttPercentageRound4",2012
39,39,"Derek Lamely",NA,40.74,44,108,"OnePuttPercentageRound4",2012
39,39,"Charl Schwartzel",NA,40.74,88,216,"OnePuttPercentageRound4",2012
42,42,"Richard Lee",NA,40.56,73,180,"OnePuttPercentageRound4",2012
42,42,"Garth Mulroy",NA,40.56,73,180,"OnePuttPercentageRound4",2012
44,44,"Chris Stroud",NA,40.48,102,252,"OnePuttPercentageRound4",2012
45,45,"Bubba Watson",NA,40.37,109,270,"OnePuttPercentageRound4",2012
46,46,"Mark Anderson",NA,40.28,87,216,"OnePuttPercentageRound4",2012
46,46,"Kevin Stadler",NA,40.28,116,288,"OnePuttPercentageRound4",2012
48,48,"John Rollins",NA,40.17,94,234,"OnePuttPercentageRound4",2012
49,49,"Chris Couch",NA,40.12,65,162,"OnePuttPercentageRound4",2012
50,50,"Robert Garrigus",NA,40.06,137,342,"OnePuttPercentageRound4",2012
51,51,"Tommy Gainey",NA,39.93,115,288,"OnePuttPercentageRound4",2012
51,51,"Dustin Johnson",NA,39.93,115,288,"OnePuttPercentageRound4",2012
53,53,"Kevin Na",NA,39.87,122,306,"OnePuttPercentageRound4",2012
53,53,"Webb Simpson",NA,39.87,122,306,"OnePuttPercentageRound4",2012
55,55,"Rory McIlroy",NA,39.81,86,216,"OnePuttPercentageRound4",2012
55,55,"Phil Mickelson",NA,39.81,129,324,"OnePuttPercentageRound4",2012
55,55,"Josh Teater",NA,39.81,129,324,"OnePuttPercentageRound4",2012
58,58,"Brian Harman",NA,39.72,143,360,"OnePuttPercentageRound4",2012
59,59,"Bud Cauley",NA,39.68,150,378,"OnePuttPercentageRound4",2012
59,59,"Billy Hurley III",NA,39.68,50,126,"OnePuttPercentageRound4",2012
61,61,"Tiger Woods",NA,39.63,107,270,"OnePuttPercentageRound4",2012
62,62,"Tommy Biershenk",NA,39.51,64,162,"OnePuttPercentageRound4",2012
62,62,"Pat Perez",NA,39.51,128,324,"OnePuttPercentageRound4",2012
64,64,"Jason Dufner",NA,39.44,142,360,"OnePuttPercentageRound4",2012
65,65,"Chris DiMarco",NA,39.39,78,198,"OnePuttPercentageRound4",2012
66,66,"Gavin Coles",NA,39.35,85,216,"OnePuttPercentageRound4",2012
66,66,"Ben Curtis",NA,39.35,85,216,"OnePuttPercentageRound4",2012
68,68,"Charley Hoffman",NA,39.26,106,270,"OnePuttPercentageRound4",2012
69,69,"Chris Kirk",NA,39.18,134,342,"OnePuttPercentageRound4",2012
70,70,"Zach Johnson",NA,39.13,162,414,"OnePuttPercentageRound4",2012
71,71,"Robert Allenby",NA,38.89,70,180,"OnePuttPercentageRound4",2012
71,71,"Matt Bettencourt",NA,38.89,63,162,"OnePuttPercentageRound4",2012
71,71,"Jonathan Byrd",NA,38.89,98,252,"OnePuttPercentageRound4",2012
71,71,"Ryan Palmer",NA,38.89,112,288,"OnePuttPercentageRound4",2012
71,71,"David Toms",NA,38.89,77,198,"OnePuttPercentageRound4",2012
76,76,"Matt Kuchar",NA,38.61,139,360,"OnePuttPercentageRound4",2012
77,77,"Bill Haas",NA,38.56,118,306,"OnePuttPercentageRound4",2012
77,77,"Steve Stricker",NA,38.56,118,306,"OnePuttPercentageRound4",2012
79,79,"Harris English",NA,38.38,152,396,"OnePuttPercentageRound4",2012
80,80,"Jason Kokrak",NA,38.33,69,180,"OnePuttPercentageRound4",2012
