"BirdieorBetterPercentage_RANKTHISWEEK_2016","BirdieorBetterPercentage_RANKLASTWEEK_2016","BirdieorBetterPercentage_PLAYERNAME_2016","BirdieorBetterPercentage_ROUNDS_2016","BirdieorBetterPercentage_Pct_2016","BirdieorBetterPercentage_TOTALBIRDIES_2016","BirdieorBetterPercentage_TOTALHOLES_2016","BirdieorBetterPercentage_GIRRANK_2016","stat_name","year"
1,1,"Dustin Johnson",37,27.26,157,576,73,"BirdieorBetterPercentage",2016
2,2,"Jordan Spieth",34,27.04,146,540,152,"BirdieorBetterPercentage",2016
3,3,"Hideki Matsuyama",40,26.43,176,666,13,"BirdieorBetterPercentage",2016
4,5,"Rory McIlroy",37,26.11,141,540,32,"BirdieorBetterPercentage",2016
5,4,"Adam Scott",39,25.93,168,648,14,"BirdieorBetterPercentage",2016
6,6,"Jason Day",36,24.9,130,522,51,"BirdieorBetterPercentage",2016
7,8,"Rickie Fowler",42,24.64,173,702,5,"BirdieorBetterPercentage",2016
8,7,"Henrik Stenson",30,24.44,132,540,8,"BirdieorBetterPercentage",2016
9,9,"Phil Mickelson",37,24.18,148,612,105,"BirdieorBetterPercentage",2016
10,13,"Justin Rose",35,23.96,138,576,9,"BirdieorBetterPercentage",2016
11,11,"Bubba Watson",30,23.87,116,486,1,"BirdieorBetterPercentage",2016
12,10,"Kevin Kisner",49,23.79,197,828,43,"BirdieorBetterPercentage",2016
13,15,"Andrew Loupe",50,23.78,214,900,147,"BirdieorBetterPercentage",2016
14,16,"Jimmy Walker",43,23.19,167,720,104,"BirdieorBetterPercentage",2016
15,17,"Jason Dufner",53,23.11,208,900,27,"BirdieorBetterPercentage",2016
16,12,"Byeong Hun An",23,23.1,79,342,103,"BirdieorBetterPercentage",2016
17,18,"Smylie Kaufman",57,23.05,224,972,34,"BirdieorBetterPercentage",2016
18,14,"JB Holmes",39,22.84,148,648,100,"BirdieorBetterPercentage",2016
19,21,"Brandt Snedeker",47,22.74,176,774,98,"BirdieorBetterPercentage",2016
20,22,"Brooks Koepka",39,22.71,139,612,39,"BirdieorBetterPercentage",2016
21,24,"Kevin Na",52,22.68,200,882,40,"BirdieorBetterPercentage",2016
22,26,"Marc Leishman",41,22.66,155,684,93,"BirdieorBetterPercentage",2016
23,27,"Scott Piercy",45,22.62,171,756,28,"BirdieorBetterPercentage",2016
24,29,"Ryan Palmer",46,22.46,186,828,45,"BirdieorBetterPercentage",2016
25,24,"Patton Kizzire",57,22.43,214,954,117,"BirdieorBetterPercentage",2016
26,19,"Emiliano Grillo",47,22.22,176,792,33,"BirdieorBetterPercentage",2016
27,20,"Jamie Lovemark",57,22.12,227,1026,87,"BirdieorBetterPercentage",2016
28,39,"Charles Howell III",63,22.05,250,1134,36,"BirdieorBetterPercentage",2016
29,23,"Justin Thomas",53,22,198,900,69,"BirdieorBetterPercentage",2016
30,28,"Alex Cejka",47,21.99,186,846,49,"BirdieorBetterPercentage",2016
31,37,"Zach Johnson",42,21.93,150,684,48,"BirdieorBetterPercentage",2016
31,35,"Harold Varner III",58,21.93,229,1044,91,"BirdieorBetterPercentage",2016
33,30,"Jason Bohn",37,21.92,146,666,31,"BirdieorBetterPercentage",2016
34,32,"Paul Casey",39,21.91,142,648,20,"BirdieorBetterPercentage",2016
34,38,"William McGirt",54,21.91,213,972,44,"BirdieorBetterPercentage",2016
36,36,"Daniel Berger",52,21.88,193,882,62,"BirdieorBetterPercentage",2016
37,31,"Graham DeLaet",50,21.78,196,900,17,"BirdieorBetterPercentage",2016
37,41,"Sergio Garcia",28,21.78,98,450,4,"BirdieorBetterPercentage",2016
37,47,"Danny Lee",53,21.78,196,900,107,"BirdieorBetterPercentage",2016
40,33,"Ben Martin",48,21.76,188,864,65,"BirdieorBetterPercentage",2016
41,45,"Patrick Reed",53,21.66,191,882,119,"BirdieorBetterPercentage",2016
42,33,"Brendan Steele",48,21.64,187,864,22,"BirdieorBetterPercentage",2016
43,40,"Daniel Summerhays",55,21.62,214,990,165,"BirdieorBetterPercentage",2016
44,42,"David Lingmerth",54,21.57,198,918,85,"BirdieorBetterPercentage",2016
45,43,"Kevin Chappell",49,21.54,190,882,60,"BirdieorBetterPercentage",2016
46,47,"DJ Trahan",23,21.5,89,414,76,"BirdieorBetterPercentage",2016
47,49,"Brice Garnett",29,21.46,112,522,38,"BirdieorBetterPercentage",2016
48,50,"Matt Kuchar",46,21.43,162,756,71,"BirdieorBetterPercentage",2016
49,44,"Michael Thompson",46,21.38,177,828,124,"BirdieorBetterPercentage",2016
50,53,"Stewart Cink",45,21.36,173,810,15,"BirdieorBetterPercentage",2016
51,54,"Aaron Baddeley",51,21.35,196,918,169,"BirdieorBetterPercentage",2016
52,46,"Patrick Rodgers",49,21.32,188,882,16,"BirdieorBetterPercentage",2016
53,56,"Billy Horschel",45,21.3,161,756,77,"BirdieorBetterPercentage",2016
53,56,"Graeme McDowell",33,21.3,115,540,109,"BirdieorBetterPercentage",2016
53,64,"Vaughn Taylor",30,21.3,115,540,148,"BirdieorBetterPercentage",2016
56,68,"Jonas Blixt",46,21.26,176,828,191,"BirdieorBetterPercentage",2016
57,61,"Russell Knox",48,21.23,172,810,3,"BirdieorBetterPercentage",2016
58,80,"Roberto Castro",55,21.21,210,990,21,"BirdieorBetterPercentage",2016
59,64,"Charl Schwartzel",29,21.15,99,468,11,"BirdieorBetterPercentage",2016
60,66,"Steve Stricker",25,21.11,95,450,190,"BirdieorBetterPercentage",2016
60,51,"Gary Woodland",45,21.11,171,810,29,"BirdieorBetterPercentage",2016
62,68,"Freddie Jacobson",54,21.09,205,972,128,"BirdieorBetterPercentage",2016
63,52,"Kyle Reifers",63,21.08,239,1134,53,"BirdieorBetterPercentage",2016
64,60,"Matt Jones",45,21.03,159,756,126,"BirdieorBetterPercentage",2016
65,72,"Seung Yul Noh",54,20.99,204,972,97,"BirdieorBetterPercentage",2016
66,75,"John Huh",51,20.92,192,918,74,"BirdieorBetterPercentage",2016
66,63,"Webb Simpson",34,20.92,128,612,144,"BirdieorBetterPercentage",2016
68,56,"Padraig Harrington",38,20.91,143,684,145,"BirdieorBetterPercentage",2016
69,56,"Martin Laird",46,20.89,173,828,113,"BirdieorBetterPercentage",2016
70,55,"Anirban Lahiri",44,20.87,154,738,172,"BirdieorBetterPercentage",2016
71,71,"Sean OHair",45,20.86,169,810,82,"BirdieorBetterPercentage",2016
71,86,"Jhonattan Vegas",49,20.86,184,882,10,"BirdieorBetterPercentage",2016
73,77,"Miguel Angel Carballo",24,20.83,90,432,161,"BirdieorBetterPercentage",2016
73,77,"Matthew Fitzpatrick",23,20.83,75,360,41,"BirdieorBetterPercentage",2016
73,77,"Branden Grace",31,20.83,105,504,23,"BirdieorBetterPercentage",2016
73,91,"Tim Wilkinson",40,20.83,150,720,111,"BirdieorBetterPercentage",2016
77,93,"Tony Finau",49,20.75,183,882,136,"BirdieorBetterPercentage",2016
77,62,"Lucas Glover",53,20.75,198,954,2,"BirdieorBetterPercentage",2016
79,95,"Dawie van der Walt",48,20.72,179,864,70,"BirdieorBetterPercentage",2016
80,89,"Jason Gore",51,20.7,190,918,54,"BirdieorBetterPercentage",2016
80,85,"Luke List",51,20.7,190,918,63,"BirdieorBetterPercentage",2016
82,66,"Will Wilcox",47,20.69,175,846,169,"BirdieorBetterPercentage",2016
83,80,"Ricky Barnes",57,20.66,212,1026,118,"BirdieorBetterPercentage",2016
84,92,"Charley Hoffman",49,20.65,171,828,151,"BirdieorBetterPercentage",2016
85,70,"Ryan Moore",40,20.63,130,630,81,"BirdieorBetterPercentage",2016
86,93,"Hudson Swafford",52,20.62,193,936,56,"BirdieorBetterPercentage",2016
87,74,"Cameron Tringale",47,20.57,174,846,94,"BirdieorBetterPercentage",2016
88,84,"Ben Crane",48,20.49,177,864,159,"BirdieorBetterPercentage",2016
88,95,"John Senden",48,20.49,177,864,78,"BirdieorBetterPercentage",2016
90,108,"Brian Harman",60,20.46,221,1080,155,"BirdieorBetterPercentage",2016
91,89,"Johnson Wagner",44,20.45,162,792,25,"BirdieorBetterPercentage",2016
92,73,"Adam Hadwin",53,20.44,195,954,65,"BirdieorBetterPercentage",2016
92,75,"Peter Malnati",53,20.44,195,954,160,"BirdieorBetterPercentage",2016
