"DrivingDistance_RANKTHISWEEK_2007","DrivingDistance_RANKLASTWEEK_2007","DrivingDistance_PLAYERNAME_2007","DrivingDistance_ROUNDS_2007","DrivingDistance_AVG_2007","DrivingDistance_TOTALDISTANCE_2007","DrivingDistance_TOTALDRIVES_2007","stat_name","year"
1,1,"Bubba Watson",80,315.2,50435,160,"DrivingDistance",2007
2,2,"John Daly",59,312.9,36921,118,"DrivingDistance",2007
3,3,"JB Holmes",71,312.6,43132,138,"DrivingDistance",2007
4,4,"Robert Garrigus",95,310.5,58995,190,"DrivingDistance",2007
5,5,"Scott Gutschewski",67,306.1,38569,126,"DrivingDistance",2007
6,6,"Tag Ridings",52,303.9,30386,100,"DrivingDistance",2007
7,7,"Brett Wetterich",88,303.3,52772,174,"DrivingDistance",2007
8,8,"Jason Gore",86,303,52120,172,"DrivingDistance",2007
9,9,"Harrison Frazar",88,302.8,52075,172,"DrivingDistance",2007
9,9,"Charles Warren",101,302.8,61158,202,"DrivingDistance",2007
11,11,"Bill Haas",93,302.7,53882,178,"DrivingDistance",2007
12,12,"Steve Allan",63,302.4,35679,118,"DrivingDistance",2007
12,12,"Anthony Kim",93,302.4,56242,186,"DrivingDistance",2007
12,12,"Tiger Woods",63,302.4,36292,120,"DrivingDistance",2007
15,15,"Matt Hendrix",63,301.7,36809,122,"DrivingDistance",2007
16,16,"Mathias Gronberg",95,301.5,57285,190,"DrivingDistance",2007
17,17,"Nick Watney",87,301.4,52438,174,"DrivingDistance",2007
18,18,"Adam Scott",69,300.9,40924,136,"DrivingDistance",2007
19,19,"Charley Hoffman",97,299.9,58172,194,"DrivingDistance",2007
20,20,"Chris Couch",76,299.8,45574,152,"DrivingDistance",2007
20,20,"Charles Howell III",89,299.8,51557,172,"DrivingDistance",2007
22,22,"Robert Allenby",90,299.6,53337,178,"DrivingDistance",2007
22,22,"Kenny Perry",83,299.6,49729,166,"DrivingDistance",2007
24,24,"Jeff Overton",60,299.3,34719,116,"DrivingDistance",2007
25,25,"Bubba Dickerson",51,298.9,28094,94,"DrivingDistance",2007
26,26,"Mathew Goggin",97,298.7,57939,194,"DrivingDistance",2007
27,27,"Camilo Villegas",82,298.3,48929,164,"DrivingDistance",2007
28,28,"George McNeill",95,298.2,54268,182,"DrivingDistance",2007
29,29,"Steve Marino",106,298.1,60805,204,"DrivingDistance",2007
29,29,"Phil Mickelson",73,298.1,42337,142,"DrivingDistance",2007
31,31,"Ernie Els",59,297.9,34556,116,"DrivingDistance",2007
32,32,"Daniel Chopra",106,297.6,63084,212,"DrivingDistance",2007
33,33,"John Merrick",92,297.1,52285,176,"DrivingDistance",2007
34,34,"Davis Love III",66,296.8,38584,130,"DrivingDistance",2007
34,34,"Sean OHair",98,296.8,58180,196,"DrivingDistance",2007
36,36,"Hunter Mahan",91,296.7,53997,182,"DrivingDistance",2007
37,37,"Troy Matteson",87,296.6,51608,174,"DrivingDistance",2007
37,37,"Pat Perez",84,296.6,47454,160,"DrivingDistance",2007
37,37,"Boo Weekley",101,296.6,57543,194,"DrivingDistance",2007
40,40,"Greg Owen",81,296.5,46840,158,"DrivingDistance",2007
41,41,"Kyle Reifers",71,296.3,40893,138,"DrivingDistance",2007
41,41,"Henrik Stenson",52,296.3,27256,92,"DrivingDistance",2007
43,43,"Jason Schultz",63,295.7,34889,118,"DrivingDistance",2007
43,43,"Paul Stankowski",52,295.7,28386,96,"DrivingDistance",2007
45,45,"Craig Barlow",52,295.5,30737,104,"DrivingDistance",2007
46,46,"Lucas Glover",98,295.4,57305,194,"DrivingDistance",2007
47,47,"Geoff Ogilvy",84,295.3,46067,156,"DrivingDistance",2007
48,48,"DJ Trahan",99,295.1,58428,198,"DrivingDistance",2007
49,49,"Ryan Palmer",91,294.9,53669,182,"DrivingDistance",2007
50,50,"Andrew Buckle",77,294.7,44205,150,"DrivingDistance",2007
50,50,"Stewart Cink",91,294.7,51871,176,"DrivingDistance",2007
50,50,"Bo Van Pelt",104,294.7,61300,208,"DrivingDistance",2007
53,53,"Michael Putnam",96,294.5,54195,184,"DrivingDistance",2007
54,54,"JJ Henry",86,294.4,50050,170,"DrivingDistance",2007
55,55,"Sergio Garcia",68,294.2,38840,132,"DrivingDistance",2007
55,55,"John Senden",97,294.2,57084,194,"DrivingDistance",2007
57,57,"Ted Purdy",102,294.1,57651,196,"DrivingDistance",2007
58,58,"Brendon de Jonge",76,293.8,42301,144,"DrivingDistance",2007
58,58,"Vijay Singh",102,293.8,58768,200,"DrivingDistance",2007
60,60,"Padraig Harrington",64,293.2,36355,124,"DrivingDistance",2007
61,61,"Michael Allen",74,293,41013,140,"DrivingDistance",2007
62,62,"Retief Goosen",50,292.9,28119,96,"DrivingDistance",2007
62,62,"Kevin Stadler",95,292.9,53308,182,"DrivingDistance",2007
62,62,"Chris Tidland",59,292.9,32218,110,"DrivingDistance",2007
65,65,"Jarrod Lyle",77,292.6,42723,146,"DrivingDistance",2007
66,66,"Briny Baird",115,292.1,64853,222,"DrivingDistance",2007
67,67,"Jonathan Byrd",73,292,42636,146,"DrivingDistance",2007
67,67,"Steve Lowery",74,292,43222,148,"DrivingDistance",2007
69,69,"Aaron Baddeley",83,291.9,46711,160,"DrivingDistance",2007
69,69,"Cameron Beckman",96,291.9,53714,184,"DrivingDistance",2007
69,69,"JP Hayes",89,291.9,51962,178,"DrivingDistance",2007
72,72,"Brian Bateman",55,291.6,29743,102,"DrivingDistance",2007
72,72,"Jay Williamson",50,291.6,29155,100,"DrivingDistance",2007
74,74,"Will Ma Kenzie",100,291.4,58286,200,"DrivingDistance",2007
75,75,"Kevin Sutherland",85,291.3,49521,170,"DrivingDistance",2007
76,76,"Jeff Brehaut",59,291.2,33193,114,"DrivingDistance",2007
76,76,"Bryce Molder",56,291.2,31446,108,"DrivingDistance",2007
78,78,"Michael Sim",52,291.1,30279,104,"DrivingDistance",2007
79,79,"Rich Beem",89,291,51790,178,"DrivingDistance",2007
80,80,"Stuart Appleby",74,290.9,42466,146,"DrivingDistance",2007
80,80,"Peter Lonard",85,290.9,47123,162,"DrivingDistance",2007
82,82,"Ryan Moore",92,290.7,53492,184,"DrivingDistance",2007
82,82,"Brett Quigley",79,290.7,45356,156,"DrivingDistance",2007
84,84,"Jeff Gove",103,290.5,59834,206,"DrivingDistance",2007
85,85,"John Rollins",102,290.4,58658,202,"DrivingDistance",2007
86,86,"Mark Calcavecchia",93,290.2,51652,178,"DrivingDistance",2007
87,87,"Chris Stroud",66,290,37118,128,"DrivingDistance",2007
88,88,"Rory Sabbatini",81,289.9,45800,158,"DrivingDistance",2007
89,89,"Marco Dawson",73,289.8,41151,142,"DrivingDistance",2007
90,90,"Jason Dufner",100,289.7,57933,200,"DrivingDistance",2007
91,91,"Joe Ogilvie",102,289.5,56744,196,"DrivingDistance",2007
92,92,"Mike Weir",82,289.3,46872,162,"DrivingDistance",2007
93,93,"David Branshaw",83,289.2,48012,166,"DrivingDistance",2007
94,94,"DJ Brigman",67,288.9,36401,126,"DrivingDistance",2007
