"TotalPutting_RANKTHISWEEK_2005","TotalPutting_RANKLASTWEEK_2005","TotalPutting_PLAYERNAME_2005","TotalPutting_EVENTS_2005","TotalPutting_TOTAL_2005","stat_name","year"
1,1,"Ben Crane",21,38.1,"TotalPutting",2005
2,2,"Steve Stricker",21,48.7,"TotalPutting",2005
3,3,"Brent Geiberger",21,57.7,"TotalPutting",2005
4,4,"Brian Gay",33,71.8,"TotalPutting",2005
5,5,"Dudley Hart",29,72.2,"TotalPutting",2005
6,6,"Stewart Cink",26,73.7,"TotalPutting",2005
7,7,"Bob Tway",26,79.8,"TotalPutting",2005
8,8,"Len Mattiace",34,87.4,"TotalPutting",2005
9,9,"Brad Faxon",23,94.9,"TotalPutting",2005
10,10,"Tiger Woods",21,95.3,"TotalPutting",2005
11,11,"Olin Browne",29,95.9,"TotalPutting",2005
12,12,"Kirk Triplett",18,96.4,"TotalPutting",2005
13,13,"Dean Wilson",27,102.2,"TotalPutting",2005
14,14,"Mark OMeara",21,103.3,"TotalPutting",2005
15,15,"Bart Bryant",26,104,"TotalPutting",2005
16,16,"Arjun Atwal",17,105.9,"TotalPutting",2005
17,17,"Aaron Baddeley",27,106.3,"TotalPutting",2005
18,18,"Luke Donald",18,107.1,"TotalPutting",2005
18,18,"Todd Fischer",35,107.1,"TotalPutting",2005
20,20,"Freddie Jacobson",23,115.6,"TotalPutting",2005
21,21,"Jim Furyk",26,118.5,"TotalPutting",2005
22,22,"Brenden Pappas",15,120.8,"TotalPutting",2005
23,23,"Shigeki Maruyama",29,122.3,"TotalPutting",2005
24,24,"Matt Gogel",28,122.5,"TotalPutting",2005
25,25,"Daniel Chopra",34,123.8,"TotalPutting",2005
26,26,"Jesper Parnevik",24,124.8,"TotalPutting",2005
26,26,"Brett Quigley",31,124.8,"TotalPutting",2005
28,28,"Kent Jones",32,130.3,"TotalPutting",2005
29,29,"Zach Johnson",30,131.9,"TotalPutting",2005
30,30,"Tag Ridings",31,135.7,"TotalPutting",2005
31,31,"Jose Maria Olazabal",16,136,"TotalPutting",2005
32,32,"Gavin Coles",22,137.1,"TotalPutting",2005
33,33,"John Cook",26,139.6,"TotalPutting",2005
34,34,"Retief Goosen",18,139.9,"TotalPutting",2005
34,34,"Charlie Wi",23,139.9,"TotalPutting",2005
36,36,"Richard Johnson",16,140.7,"TotalPutting",2005
37,37,"Fred Funk",30,143.3,"TotalPutting",2005
38,38,"Brandt Jobe",27,145.1,"TotalPutting",2005
39,39,"Patrick Sheehan",35,145.5,"TotalPutting",2005
40,40,"Ryan Palmer",32,145.8,"TotalPutting",2005
41,41,"Scott Gutschewski",27,147.5,"TotalPutting",2005
42,42,"Hunter Mahan",34,147.8,"TotalPutting",2005
42,42,"Ian Poulter",20,147.8,"TotalPutting",2005
44,44,"Nick Watney",31,149.5,"TotalPutting",2005
45,45,"Mario Tiziani",23,151.2,"TotalPutting",2005
46,46,"Carl Pettersson",34,152,"TotalPutting",2005
47,47,"David Toms",25,152.4,"TotalPutting",2005
48,48,"Tom Byrum",27,152.7,"TotalPutting",2005
49,49,"Stephen Ames",24,153.8,"TotalPutting",2005
50,50,"Loren Roberts",18,154,"TotalPutting",2005
51,51,"Chris DiMarco",24,154.2,"TotalPutting",2005
52,52,"Chad Campbell",27,155.5,"TotalPutting",2005
53,53,"Phillip Price",25,156,"TotalPutting",2005
54,54,"Tjaart van der Walt",19,162.1,"TotalPutting",2005
55,55,"Padraig Harrington",15,163,"TotalPutting",2005
56,56,"Larry Mize",18,165.4,"TotalPutting",2005
57,57,"Robert Gamez",28,166.2,"TotalPutting",2005
58,58,"Geoff Ogilvy",26,166.3,"TotalPutting",2005
59,59,"Vijay Singh",30,166.8,"TotalPutting",2005
60,60,"JP Hayes",22,167.9,"TotalPutting",2005
61,61,"Bob Estes",25,169.9,"TotalPutting",2005
62,62,"KJ Choi",24,171.5,"TotalPutting",2005
63,63,"Corey Pavin",23,172.8,"TotalPutting",2005
64,64,"Hank Kuehne",30,173.2,"TotalPutting",2005
65,65,"Tom Pernice Jr",32,173.6,"TotalPutting",2005
66,66,"Steve Lowery",32,173.8,"TotalPutting",2005
67,67,"Jason Bohn",28,176.5,"TotalPutting",2005
68,68,"Joe Ogilvie",30,176.7,"TotalPutting",2005
69,69,"Justin Bolli",24,177.8,"TotalPutting",2005
70,70,"Steve Elkington",20,180.1,"TotalPutting",2005
71,71,"Sean OHair",29,180.7,"TotalPutting",2005
72,72,"Stuart Appleby",25,182.4,"TotalPutting",2005
73,73,"Billy Andrade",26,183.3,"TotalPutting",2005
74,74,"Jeff Brehaut",23,183.8,"TotalPutting",2005
75,75,"James Driscoll",26,185.5,"TotalPutting",2005
76,76,"Charles Howell III",29,185.7,"TotalPutting",2005
77,77,"Mark Calcavecchia",27,188.1,"TotalPutting",2005
78,78,"Michael Allen",30,189.8,"TotalPutting",2005
79,79,"Jeff Maggert",25,192.4,"TotalPutting",2005
80,80,"Scott McCarron",24,192.5,"TotalPutting",2005
81,81,"Kevin Na",32,192.6,"TotalPutting",2005
82,82,"Matt Kuchar",21,193.9,"TotalPutting",2005
83,83,"Adam Scott",19,194.3,"TotalPutting",2005
84,84,"Paul Azinger",22,195.3,"TotalPutting",2005
85,85,"Tim Herron",28,201.1,"TotalPutting",2005
86,86,"Bernhard Langer",19,201.4,"TotalPutting",2005
86,86,"Bo Van Pelt",33,201.4,"TotalPutting",2005
88,88,"Jerry Kelly",31,201.6,"TotalPutting",2005
89,89,"Pat Perez",28,201.7,"TotalPutting",2005
90,90,"Tim Clark",26,204.3,"TotalPutting",2005
91,91,"Kevin Sutherland",26,206.1,"TotalPutting",2005
92,92,"Lucas Glover",28,206.5,"TotalPutting",2005
93,93,"Justin Leonard",24,206.6,"TotalPutting",2005
94,94,"Phil Mickelson",21,207.4,"TotalPutting",2005
95,95,"Davis Love III",24,208,"TotalPutting",2005
96,96,"Darron Stiles",26,211.2,"TotalPutting",2005
97,97,"JL Lewis",30,212.7,"TotalPutting",2005
97,97,"Arron Oberholser",21,212.7,"TotalPutting",2005
99,99,"John Senden",29,213.2,"TotalPutting",2005
100,100,"Peter Lonard",27,214.7,"TotalPutting",2005
101,101,"Bob Heintz",24,214.8,"TotalPutting",2005
102,102,"Jason Allred",29,218.4,"TotalPutting",2005
103,103,"Hunter Haas",28,220,"TotalPutting",2005
104,104,"Duffy Waldorf",28,222.2,"TotalPutting",2005
105,105,"Scott Verplank",25,222.4,"TotalPutting",2005
106,106,"Rory Sabbatini",26,223.5,"TotalPutting",2005
107,107,"Mark Brooks",28,224,"TotalPutting",2005
108,108,"Heath Slocum",29,224.2,"TotalPutting",2005
109,109,"Rod Pampling",26,225.3,"TotalPutting",2005
110,110,"Mark Hensby",21,226,"TotalPutting",2005
111,111,"Woody Austin",30,227.7,"TotalPutting",2005
112,112,"Shaun Micheel",29,229.8,"TotalPutting",2005
113,113,"Rob Rashell",25,231.8,"TotalPutting",2005
