"2PuttsperRound_RANKTHISWEEK_2009","2PuttsperRound_RANKLASTWEEK_2009","2PuttsperRound_PLAYERNAME_2009","2PuttsperRound_ROUNDS_2009","2PuttsperRound_AVG_2009","2PuttsperRound_TOTAL2PUTTS_2009","2PuttsperRound_TOTALROUNDS_2009","stat_name","year"
1,1,"John Senden",100,11,1100,100,"2PuttsperRound",2009
2,2,"Tommy Armour III",58,10.9,632,58,"2PuttsperRound",2009
3,3,"KJ Choi",65,10.88,696,64,"2PuttsperRound",2009
4,4,"Billy Mayfair",83,10.82,898,83,"2PuttsperRound",2009
5,5,"Steve Elkington",70,10.8,756,70,"2PuttsperRound",2009
6,6,"Brian Bateman",55,10.78,593,55,"2PuttsperRound",2009
6,6,"Jason Bohn",88,10.78,949,88,"2PuttsperRound",2009
8,8,"Boo Weekley",79,10.74,827,77,"2PuttsperRound",2009
9,9,"Will Ma Kenzie",69,10.72,740,69,"2PuttsperRound",2009
10,10,"Tom Lehman",55,10.71,589,55,"2PuttsperRound",2009
11,11,"Marc Turnesa",77,10.68,822,77,"2PuttsperRound",2009
12,12,"Stuart Appleby",79,10.67,832,78,"2PuttsperRound",2009
13,13,"Mathew Goggin",76,10.64,787,74,"2PuttsperRound",2009
14,14,"Adam Scott",53,10.63,553,52,"2PuttsperRound",2009
15,15,"Sergio Garcia",59,10.62,616,58,"2PuttsperRound",2009
16,16,"DJ Trahan",96,10.61,1019,96,"2PuttsperRound",2009
17,17,"JJ Henry",97,10.59,1027,97,"2PuttsperRound",2009
18,18,"Davis Love III",89,10.52,915,87,"2PuttsperRound",2009
19,19,"Robert Allenby",71,10.5,735,70,"2PuttsperRound",2009
19,19,"David Duval",56,10.5,588,56,"2PuttsperRound",2009
21,21,"Vijay Singh",71,10.49,724,69,"2PuttsperRound",2009
21,21,"Johnson Wagner",81,10.49,850,81,"2PuttsperRound",2009
23,23,"Stewart Cink",79,10.48,765,73,"2PuttsperRound",2009
24,24,"Jeff Maggert",79,10.43,824,79,"2PuttsperRound",2009
25,25,"Carl Pettersson",86,10.41,895,86,"2PuttsperRound",2009
26,26,"Ben Curtis",63,10.4,645,62,"2PuttsperRound",2009
