"GIRPercentage75100yards_RANKTHISWEEK_2014","GIRPercentage75100yards_RANKLASTWEEK_2014","GIRPercentage75100yards_PLAYERNAME_2014","GIRPercentage75100yards_ROUNDS_2014","GIRPercentage75100yards_Pct_2014","GIRPercentage75100yards_GREENSHIT_2014","GIRPercentage75100yards_TOTALHOLES_2014","GIRPercentage75100yards_RELATIVETOPAR_2014","stat_name","year"
1,1,"Vijay Singh",83,91.11,82,90,-0.32,"GIRPercentage75100yards",2014
2,2,"Lucas Glover",68,90.48,38,42,-0.03,"GIRPercentage75100yards",2014
3,3,"Tim Clark",75,89.83,53,59,-0.34,"GIRPercentage75100yards",2014
3,3,"Seung Yul Noh",92,89.83,53,59,-0.4,"GIRPercentage75100yards",2014
5,5,"Gary Woodland",93,88.73,63,71,-0.25,"GIRPercentage75100yards",2014
6,6,"Ryo Ishikawa",75,88,44,50,-0.52,"GIRPercentage75100yards",2014
7,7,"Bud Cauley",56,87.8,36,41,-0.39,"GIRPercentage75100yards",2014
8,8,"Charl Schwartzel",64,87.69,57,65,-0.37,"GIRPercentage75100yards",2014
9,9,"Heath Slocum",71,87.67,64,73,-0.33,"GIRPercentage75100yards",2014
10,10,"Zach Johnson",97,87.5,70,80,-0.37,"GIRPercentage75100yards",2014
10,10,"Charlie Wi",72,87.5,42,48,-0.4,"GIRPercentage75100yards",2014
12,12,"Andres Romero",81,87.01,67,77,-0.31,"GIRPercentage75100yards",2014
13,13,"Martin Laird",66,86.54,45,52,-0.4,"GIRPercentage75100yards",2014
14,14,"Luke Donald",57,86.49,32,37,-0.31,"GIRPercentage75100yards",2014
15,15,"Martin Flores",85,86.42,70,81,-0.24,"GIRPercentage75100yards",2014
16,16,"Michael Putnam",106,86.15,56,65,-0.32,"GIRPercentage75100yards",2014
16,16,"John Rollins",84,86.15,56,65,-0.32,"GIRPercentage75100yards",2014
18,18,"JJ Henry",91,85.48,53,62,-0.38,"GIRPercentage75100yards",2014
19,19,"Robert Allenby",83,85.42,41,48,-0.37,"GIRPercentage75100yards",2014
20,20,"Brandt Snedeker",89,85.29,58,68,-0.33,"GIRPercentage75100yards",2014
21,21,"Trevor Immelman",84,85.19,46,54,-0.3,"GIRPercentage75100yards",2014
22,22,"Troy Merritt",62,85.14,63,74,-0.32,"GIRPercentage75100yards",2014
23,23,"Marc Leishman",81,85,51,60,-0.33,"GIRPercentage75100yards",2014
23,23,"David Lingmerth",80,85,68,80,-0.25,"GIRPercentage75100yards",2014
25,25,"Brian Gay",81,84.95,79,93,-0.27,"GIRPercentage75100yards",2014
26,26,"John Merrick",87,84.85,56,66,-0.3,"GIRPercentage75100yards",2014
27,27,"Justin Hicks",103,84.75,100,118,-0.36,"GIRPercentage75100yards",2014
