"RightRoughTendencyRTPScore_RANKTHISWEEK_2012","RightRoughTendencyRTPScore_RANKLASTWEEK_2012","RightRoughTendencyRTPScore_PLAYERNAME_2012","RightRoughTendencyRTPScore_ROUNDS_2012","RightRoughTendencyRTPScore_RTPSCORE_2012","stat_name","year"
1,1,"Webb Simpson",77,-0.124,"RightRoughTendencyRTPScore",2012
2,2,"Bubba Watson",68,-0.111,"RightRoughTendencyRTPScore",2012
3,3,"Ben Crane",73,-0.096,"RightRoughTendencyRTPScore",2012
4,4,"Steve Stricker",73,-0.078,"RightRoughTendencyRTPScore",2012
5,5,"Seung Yul Noh",105,-0.068,"RightRoughTendencyRTPScore",2012
6,6,"Jonas Blixt",72,-0.042,"RightRoughTendencyRTPScore",2012
6,6,"Louis Oosthuizen",65,-0.042,"RightRoughTendencyRTPScore",2012
8,8,"Ben Curtis",62,-0.04,"RightRoughTendencyRTPScore",2012
9,9,"Gavin Coles",72,-0.013,"RightRoughTendencyRTPScore",2012
9,9,"DA Points",88,-0.013,"RightRoughTendencyRTPScore",2012
11,11,"Bud Cauley",99,-0.011,"RightRoughTendencyRTPScore",2012
12,12,"Dustin Johnson",70,-0.009,"RightRoughTendencyRTPScore",2012
13,13,"William McGirt",96,0.006,"RightRoughTendencyRTPScore",2012
14,14,"KJ Choi",71,0.009,"RightRoughTendencyRTPScore",2012
15,15,"Zach Johnson",95,0.016,"RightRoughTendencyRTPScore",2012
16,16,"Jonathan Byrd",69,0.017,"RightRoughTendencyRTPScore",2012
17,17,"Chris Couch",61,0.02,"RightRoughTendencyRTPScore",2012
18,18,"John Daly",50,0.023,"RightRoughTendencyRTPScore",2012
18,18,"Kyle Stanley",86,0.023,"RightRoughTendencyRTPScore",2012
20,20,"Henrik Stenson",51,0.025,"RightRoughTendencyRTPScore",2012
20,20,"Steve Wheatcroft",56,0.025,"RightRoughTendencyRTPScore",2012
22,22,"Ernie Els",80,0.026,"RightRoughTendencyRTPScore",2012
23,23,"Charlie Beljan",61,0.027,"RightRoughTendencyRTPScore",2012
23,23,"Troy Kelly",68,0.027,"RightRoughTendencyRTPScore",2012
25,25,"Matt Every",80,0.028,"RightRoughTendencyRTPScore",2012
25,25,"Bo Van Pelt",84,0.028,"RightRoughTendencyRTPScore",2012
27,27,"Kevin Na",80,0.029,"RightRoughTendencyRTPScore",2012
28,28,"Ian Poulter",57,0.03,"RightRoughTendencyRTPScore",2012
29,29,"JB Holmes",90,0.031,"RightRoughTendencyRTPScore",2012
30,30,"Luke Donald",63,0.033,"RightRoughTendencyRTPScore",2012
31,31,"Rory McIlroy",60,0.037,"RightRoughTendencyRTPScore",2012
32,32,"Brian Gay",91,0.04,"RightRoughTendencyRTPScore",2012
33,33,"Alexandre Rocha",62,0.042,"RightRoughTendencyRTPScore",2012
33,33,"Chris Stroud",86,0.042,"RightRoughTendencyRTPScore",2012
35,35,"Tommy Gainey",98,0.043,"RightRoughTendencyRTPScore",2012
36,36,"Jason Kokrak",79,0.044,"RightRoughTendencyRTPScore",2012
36,36,"Brendan Steele",77,0.044,"RightRoughTendencyRTPScore",2012
38,38,"Boo Weekley",74,0.045,"RightRoughTendencyRTPScore",2012
39,39,"Martin Flores",95,0.046,"RightRoughTendencyRTPScore",2012
39,39,"Martin Laird",77,0.046,"RightRoughTendencyRTPScore",2012
41,41,"Scott Dunlap",57,0.047,"RightRoughTendencyRTPScore",2012
