"ApproachesRightRoughRTPScore_RANKTHISWEEK_2014","ApproachesRightRoughRTPScore_RANKLASTWEEK_2014","ApproachesRightRoughRTPScore_PLAYERNAME_2014","ApproachesRightRoughRTPScore_ROUNDS_2014","ApproachesRightRoughRTPScore_AVGRTP_2014","stat_name","year"
1,1,"Daniel Summerhays",98,-0.038,"ApproachesRightRoughRTPScore",2014
2,2,"Sergio Garcia",61,-0.026,"ApproachesRightRoughRTPScore",2014
3,3,"Angel Cabrera",69,-0.008,"ApproachesRightRoughRTPScore",2014
4,4,"Ryan Palmer",85,0,"ApproachesRightRoughRTPScore",2014
4,4,"Justin Rose",70,0,"ApproachesRightRoughRTPScore",2014
6,6,"Adam Scott",68,0.01,"ApproachesRightRoughRTPScore",2014
7,7,"Jimmy Walker",98,0.012,"ApproachesRightRoughRTPScore",2014
8,8,"Chris Kirk",105,0.014,"ApproachesRightRoughRTPScore",2014
9,9,"Graham DeLaet",80,0.019,"ApproachesRightRoughRTPScore",2014
10,10,"Ted Potter Jr",68,0.02,"ApproachesRightRoughRTPScore",2014
11,11,"Billy Hurley III",86,0.022,"ApproachesRightRoughRTPScore",2014
11,11,"Kevin Na",94,0.022,"ApproachesRightRoughRTPScore",2014
13,13,"Phil Mickelson",71,0.023,"ApproachesRightRoughRTPScore",2014
14,14,"Jason Kokrak",65,0.04,"ApproachesRightRoughRTPScore",2014
15,15,"Brian Stuard",91,0.047,"ApproachesRightRoughRTPScore",2014
16,16,"Greg Chalmers",85,0.048,"ApproachesRightRoughRTPScore",2014
16,16,"Robert Streb",75,0.048,"ApproachesRightRoughRTPScore",2014
18,18,"Paul Casey",56,0.051,"ApproachesRightRoughRTPScore",2014
18,18,"David Toms",64,0.051,"ApproachesRightRoughRTPScore",2014
20,20,"Seung Yul Noh",92,0.053,"ApproachesRightRoughRTPScore",2014
20,20,"Mike Weir",69,0.053,"ApproachesRightRoughRTPScore",2014
20,20,"Gary Woodland",93,0.053,"ApproachesRightRoughRTPScore",2014
23,23,"Jamie Lovemark",64,0.056,"ApproachesRightRoughRTPScore",2014
24,24,"Charley Hoffman",93,0.06,"ApproachesRightRoughRTPScore",2014
25,25,"Bronson La Cassie",51,0.063,"ApproachesRightRoughRTPScore",2014
25,25,"George McNeill",79,0.063,"ApproachesRightRoughRTPScore",2014
27,27,"Vijay Singh",83,0.066,"ApproachesRightRoughRTPScore",2014
28,28,"Nick Watney",80,0.07,"ApproachesRightRoughRTPScore",2014
29,29,"Brian Davis",93,0.071,"ApproachesRightRoughRTPScore",2014
29,29,"Justin Hicks",103,0.071,"ApproachesRightRoughRTPScore",2014
29,29,"Brooks Koepka",56,0.071,"ApproachesRightRoughRTPScore",2014
32,32,"Charlie Wi",72,0.072,"ApproachesRightRoughRTPScore",2014
33,33,"Brad Fritsch",50,0.074,"ApproachesRightRoughRTPScore",2014
34,34,"Brian Harman",111,0.075,"ApproachesRightRoughRTPScore",2014
35,35,"Stewart Cink",91,0.076,"ApproachesRightRoughRTPScore",2014
36,36,"Davis Love III",74,0.077,"ApproachesRightRoughRTPScore",2014
36,36,"Henrik Stenson",56,0.077,"ApproachesRightRoughRTPScore",2014
38,38,"Matt Every",85,0.079,"ApproachesRightRoughRTPScore",2014
38,38,"Tommy Gainey",73,0.079,"ApproachesRightRoughRTPScore",2014
40,40,"Harris English",95,0.08,"ApproachesRightRoughRTPScore",2014
41,41,"Rory McIlroy",66,0.081,"ApproachesRightRoughRTPScore",2014
42,42,"Jeff Maggert",54,0.082,"ApproachesRightRoughRTPScore",2014
