"Approachesfrominside100yards_RANKTHISWEEK_2006","Approachesfrominside100yards_RANKLASTWEEK_2006","Approachesfrominside100yards_PLAYERNAME_2006","Approachesfrominside100yards_ROUNDS_2006","Approachesfrominside100yards_AVG_2006","Approachesfrominside100yards_TOTALDISTANCEFEET_2006","Approachesfrominside100yards_OFATTEMPTS_2006","Approachesfrominside100yards_RELATIVETOPAR_2006","stat_name","year"
1,1,"Tiger Woods",55,NA,561.75,44,-0.36,"Approachesfrominside100yards",2006
2,2,"Phil Mickelson",74,NA,753.667,57,-0.21,"Approachesfrominside100yards",2006
3,3,"Padraig Harrington",54,NA,600.417,45,-0.27,"Approachesfrominside100yards",2006
4,4,"Luke Donald",66,NA,1087.75,80,-0.08,"Approachesfrominside100yards",2006
5,5,"Chris DiMarco",83,NA,1477,106,-0.08,"Approachesfrominside100yards",2006
6,6,"Tim Clark",80,NA,1865.167,133,-0.13,"Approachesfrominside100yards",2006
7,7,"Omar Uresti",61,NA,1204.583,85,-0.22,"Approachesfrominside100yards",2006
8,8,"David Duval",71,NA,885.333,62,-0.05,"Approachesfrominside100yards",2006
8,8,"Steve Stricker",64,NA,1264.75,89,-0.22,"Approachesfrominside100yards",2006
10,10,"Mike Weir",88,NA,1238.917,86,-0.21,"Approachesfrominside100yards",2006
11,11,"Alex Cejka",93,NA,1563.833,108,-0.22,"Approachesfrominside100yards",2006
11,11,"Joe Ogilvie",95,NA,2088.25,144,-0.24,"Approachesfrominside100yards",2006
13,13,"Ernie Els",69,NA,589.167,40,-0.13,"Approachesfrominside100yards",2006
14,14,"Ryuji Imada",105,NA,1930,130,-0.22,"Approachesfrominside100yards",2006
15,15,"Robert Damron",91,NA,1857.333,124,-0.05,"Approachesfrominside100yards",2006
16,16,"Retief Goosen",68,NA,994.583,66,-0.03,"Approachesfrominside100yards",2006
16,16,"Paul Goydos",72,NA,1767.833,117,-0.25,"Approachesfrominside100yards",2006
16,16,"Geoff Ogilvy",76,NA,1235.25,82,-0.18,"Approachesfrominside100yards",2006
19,19,"Shane Bertsch",104,NA,2382.833,157,-0.18,"Approachesfrominside100yards",2006
19,19,"Chad Campbell",91,NA,1229.417,81,-0.05,"Approachesfrominside100yards",2006
19,19,"Michael Connell",51,NA,1048.417,69,-0.22,"Approachesfrominside100yards",2006
19,19,"Bernhard Langer",77,NA,1272.917,84,-0.1,"Approachesfrominside100yards",2006
19,19,"Shaun Micheel",96,NA,1501.5,99,-0.16,"Approachesfrominside100yards",2006
24,24,"Michael Allen",84,NA,1372.917,90,-0.09,"Approachesfrominside100yards",2006
24,24,"Zach Johnson",98,NA,1919.25,126,-0.17,"Approachesfrominside100yards",2006
26,26,"Adam Scott",70,NA,873.833,57,-0.4,"Approachesfrominside100yards",2006
27,27,"Stewart Cink",93,NA,1552.667,100,-0.13,"Approachesfrominside100yards",2006
27,27,"Justin Rose",98,NA,2251.5,145,-0.09,"Approachesfrominside100yards",2006
29,29,"Ryan Moore",68,NA,949.917,61,-0.08,"Approachesfrominside100yards",2006
29,29,"Ian Poulter",53,NA,983.833,63,-0.21,"Approachesfrominside100yards",2006
29,29,"Jerry Smith",94,NA,2429.833,156,-0.13,"Approachesfrominside100yards",2006
29,29,"Jimmy Walker",60,NA,1215.75,78,-0.1,"Approachesfrominside100yards",2006
33,33,"Todd Fischer",101,NA,2211.583,141,-0.16,"Approachesfrominside100yards",2006
33,33,"Dudley Hart",83,NA,1144.667,73,0.03,"Approachesfrominside100yards",2006
33,33,"Heath Slocum",96,NA,2145.583,137,-0.07,"Approachesfrominside100yards",2006
36,36,"Skip Kendall",72,NA,1854,118,-0.16,"Approachesfrominside100yards",2006
36,36,"Bubba Watson",83,NA,2061.917,131,-0.15,"Approachesfrominside100yards",2006
38,38,"Jim Furyk",89,NA,1693.583,107,-0.25,"Approachesfrominside100yards",2006
38,38,"Charley Hoffman",100,NA,1553.917,98,-0.19,"Approachesfrominside100yards",2006
38,38,"Ian Leggatt",80,NA,1342.667,85,-0.09,"Approachesfrominside100yards",2006
38,38,"John Rollins",93,NA,1816.75,115,-0.01,"Approachesfrominside100yards",2006
38,38,"John Senden",96,NA,1848,117,-0.25,"Approachesfrominside100yards",2006
38,38,"Mark Wilson",79,NA,1793.167,113,-0.12,"Approachesfrominside100yards",2006
44,44,"Stuart Appleby",83,NA,1658.333,104,-0.05,"Approachesfrominside100yards",2006
44,44,"Jeff Gove",91,NA,2019.75,127,-0.17,"Approachesfrominside100yards",2006
46,46,"Lucas Glover",105,NA,1838,115,-0.18,"Approachesfrominside100yards",2006
46,46,"Thomas Levet",53,NA,752.083,47,-0.19,"Approachesfrominside100yards",2006
46,46,"Corey Pavin",74,NA,1459.25,91,-0.15,"Approachesfrominside100yards",2006
49,49,"Stephen Leaney",84,NA,1881.417,117,-0.13,"Approachesfrominside100yards",2006
49,49,"Scott Verplank",88,NA,1994.167,124,-0.11,"Approachesfrominside100yards",2006
51,51,"Eric Axley",91,NA,1892.333,117,-0.09,"Approachesfrominside100yards",2006
51,51,"Jeff Brehaut",100,NA,1888.583,117,0.03,"Approachesfrominside100yards",2006
51,51,"John Daly",51,NA,839.75,52,0,"Approachesfrominside100yards",2006
51,51,"Bill Haas",99,NA,1549.167,96,-0.1,"Approachesfrominside100yards",2006
51,51,"Jeff Sluman",101,NA,1779.167,110,-0.14,"Approachesfrominside100yards",2006
56,56,"Richard Johnson",94,NA,1462.083,90,-0.2,"Approachesfrominside100yards",2006
