"Par3BirdieorBetterLeaders_RANKTHISWEEK_2012","Par3BirdieorBetterLeaders_RANKLASTWEEK_2012","Par3BirdieorBetterLeaders_PLAYERNAME_2012","Par3BirdieorBetterLeaders_ROUNDS_2012","Par3BirdieorBetterLeaders_Pct_2012","Par3BirdieorBetterLeaders_PAR3BIRDIESORBETTER_2012","Par3BirdieorBetterLeaders_PAR3HOLES_2012","stat_name","year"
1,1,"Davis Love III",64,18.29,47,257,"Par3BirdieorBetterLeaders",2012
2,2,"Richard Lee",71,17.78,48,270,"Par3BirdieorBetterLeaders",2012
3,3,"Robert Garrigus",89,17.63,64,363,"Par3BirdieorBetterLeaders",2012
4,4,"Rory McIlroy",60,17.59,38,216,"Par3BirdieorBetterLeaders",2012
5,5,"Ryan Palmer",81,17.48,57,326,"Par3BirdieorBetterLeaders",2012
6,6,"Tiger Woods",69,17.47,47,269,"Par3BirdieorBetterLeaders",2012
7,7,"Keegan Bradley",90,17.24,60,348,"Par3BirdieorBetterLeaders",2012
8,8,"Daniel Summerhays",81,16.92,55,325,"Par3BirdieorBetterLeaders",2012
9,9,"Geoff Ogilvy",73,16.72,49,293,"Par3BirdieorBetterLeaders",2012
10,10,"Chris Kirk",93,16.67,59,354,"Par3BirdieorBetterLeaders",2012
11,11,"Brendon de Jonge",115,16.59,77,464,"Par3BirdieorBetterLeaders",2012
12,12,"Brandt Snedeker",81,16.35,52,318,"Par3BirdieorBetterLeaders",2012
13,13,"Justin Rose",69,16.3,45,276,"Par3BirdieorBetterLeaders",2012
14,14,"Ben Curtis",62,16.13,40,248,"Par3BirdieorBetterLeaders",2012
15,15,"Phil Mickelson",79,15.99,51,319,"Par3BirdieorBetterLeaders",2012
16,16,"Roland Thatcher",55,15.96,34,213,"Par3BirdieorBetterLeaders",2012
17,17,"Danny Lee",74,15.9,45,283,"Par3BirdieorBetterLeaders",2012
18,18,"Jason Dufner",83,15.87,53,334,"Par3BirdieorBetterLeaders",2012
19,19,"Jerry Kelly",84,15.84,54,341,"Par3BirdieorBetterLeaders",2012
20,20,"Andres Romero",68,15.77,41,260,"Par3BirdieorBetterLeaders",2012
21,21,"Roberto Castro",92,15.7,57,363,"Par3BirdieorBetterLeaders",2012
22,22,"James Driscoll",83,15.63,53,339,"Par3BirdieorBetterLeaders",2012
22,22,"Louis Oosthuizen",65,15.63,40,256,"Par3BirdieorBetterLeaders",2012
24,24,"Sean OHair",84,15.52,52,335,"Par3BirdieorBetterLeaders",2012
25,25,"Harrison Frazar",56,15.49,33,213,"Par3BirdieorBetterLeaders",2012
26,26,"Webb Simpson",77,15.46,47,304,"Par3BirdieorBetterLeaders",2012
27,27,"Zach Johnson",95,15.4,59,383,"Par3BirdieorBetterLeaders",2012
28,28,"Martin Laird",77,15.36,45,293,"Par3BirdieorBetterLeaders",2012
29,29,"Robert Allenby",76,15.26,47,308,"Par3BirdieorBetterLeaders",2012
30,30,"Rocco Mediate",70,15.22,42,276,"Par3BirdieorBetterLeaders",2012
30,30,"Scott Piercy",95,15.22,58,381,"Par3BirdieorBetterLeaders",2012
32,32,"Kevin Streelman",89,15.19,55,362,"Par3BirdieorBetterLeaders",2012
33,33,"Colt Knost",79,15.11,47,311,"Par3BirdieorBetterLeaders",2012
34,34,"Chad Campbell",84,15.04,51,339,"Par3BirdieorBetterLeaders",2012
35,35,"Tom Gillis",75,15.03,46,306,"Par3BirdieorBetterLeaders",2012
36,36,"Derek Lamely",64,15,39,260,"Par3BirdieorBetterLeaders",2012
