"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2010","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2010","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2010","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2010","ofPotentialPtswonFedExCupRegularSeason_Pct_2010","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2010","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2010","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2010","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2010","stat_name","year"
1,1,"Steve Stricker",19,27.15,1697,6250,2,6,"ofPotentialPtswonFedExCupRegularSeason",2010
2,2,"Ernie Els",20,26.94,1846,6850,2,6,"ofPotentialPtswonFedExCupRegularSeason",2010
3,3,"Anthony Kim",14,25.6,1216,4750,1,4,"ofPotentialPtswonFedExCupRegularSeason",2010
4,4,"Phil Mickelson",20,23.96,1629,6800,1,5,"ofPotentialPtswonFedExCupRegularSeason",2010
5,5,"Rory McIlroy",16,22.71,1101,4850,1,5,"ofPotentialPtswonFedExCupRegularSeason",2010
6,6,"Jim Furyk",21,21.54,1691,7850,2,6,"ofPotentialPtswonFedExCupRegularSeason",2010
7,7,"Justin Rose",22,19.54,1593,8150,2,4,"ofPotentialPtswonFedExCupRegularSeason",2010
8,8,"Camilo Villegas",20,19.11,1213,6350,1,6,"ofPotentialPtswonFedExCupRegularSeason",2010
9,9,"Retief Goosen",19,18.58,1068,5750,NA,8,"ofPotentialPtswonFedExCupRegularSeason",2010
10,10,"Paul Casey",17,18.54,992,5350,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2010
11,11,"Bubba Watson",22,18.38,1498,8150,1,4,"ofPotentialPtswonFedExCupRegularSeason",2010
12,12,"Hunter Mahan",25,17.26,1528,8850,2,3,"ofPotentialPtswonFedExCupRegularSeason",2010
13,13,"Tim Clark",24,16.88,1409,8350,1,6,"ofPotentialPtswonFedExCupRegularSeason",2010
14,14,"Ian Poulter",15,16.86,733,4350,1,2,"ofPotentialPtswonFedExCupRegularSeason",2010
15,15,"Dustin Johnson",23,16.31,1362,8350,1,5,"ofPotentialPtswonFedExCupRegularSeason",2010
16,16,"Robert Allenby",22,16.01,1169,7300,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2010
17,17,"Luke Donald",20,15.89,1089,6850,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2010
18,18,"Ben Crane",24,15.61,1304,8350,1,5,"ofPotentialPtswonFedExCupRegularSeason",2010
19,19,"Jeff Overton",26,15.52,1536,9900,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2010
20,20,"Matt Kuchar",26,15.37,1437,9350,NA,9,"ofPotentialPtswonFedExCupRegularSeason",2010
21,21,"Tom Watson",3,15.25,92,600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2010
22,22,"Zach Johnson",25,14.27,1191,8350,1,2,"ofPotentialPtswonFedExCupRegularSeason",2010
23,23,"Adam Scott",20,13.73,940,6850,1,2,"ofPotentialPtswonFedExCupRegularSeason",2010
24,24,"Tiger Woods",12,13.26,431,3250,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
25,25,"JB Holmes",26,13.25,1153,8700,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
26,26,"Bo Van Pelt",28,13.18,1272,9650,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2010
27,27,"Geoff Ogilvy",19,12.83,815,6350,1,1,"ofPotentialPtswonFedExCupRegularSeason",2010
28,28,"Corey Pavin",8,12.36,433,3500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
29,29,"KJ Choi",22,12.3,922,7500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
30,30,"Nick Watney",24,11.78,984,8350,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2010
31,31,"Bill Haas",25,11.64,1025,8800,1,2,"ofPotentialPtswonFedExCupRegularSeason",2010
32,32,"Shaun Micheel",21,11.33,595,5250,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
33,33,"Rickie Fowler",28,11.3,1147,10150,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2010
34,34,"Ryan Palmer",27,11.22,1071,9550,1,3,"ofPotentialPtswonFedExCupRegularSeason",2010
35,35,"Carl Pettersson",29,10.88,1142,10500,1,4,"ofPotentialPtswonFedExCupRegularSeason",2010
36,36,"Freddie Jacobson",24,10.87,826,7600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
37,37,"Dean Wilson",18,10.85,434,4000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2010
38,38,"Jason Day",24,10.8,988,9150,1,3,"ofPotentialPtswonFedExCupRegularSeason",2010
39,39,"Ryan Moore",24,10.76,893,8300,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2010
40,40,"Jason Bohn",25,10.71,926,8650,1,2,"ofPotentialPtswonFedExCupRegularSeason",2010
41,41,"Padraig Harrington",18,10.43,662,6350,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2010
42,42,"Tom Lehman",9,10.2,204,2000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2010
43,43,"Sean OHair",25,9.7,858,8850,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
44,44,"Kevin Na",26,9.69,804,8300,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
45,45,"Vaughn Taylor",26,9.58,824,8600,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2010
46,46,"Heath Slocum",25,9.57,722,7550,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
47,47,"Scott Verplank",22,9.41,786,8350,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
48,48,"Ricky Barnes",28,9.29,947,10200,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2010
48,48,"David Toms",25,9.29,748,8050,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2010
50,50,"Brendon de Jonge",32,9.12,1035,11350,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2010
51,51,"Michael Sim",20,9.03,573,6350,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
52,52,"Lucas Glover",23,8.9,743,8350,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
53,53,"Stuart Appleby",31,8.66,957,11050,1,3,"ofPotentialPtswonFedExCupRegularSeason",2010
54,54,"YE Yang",21,8.64,678,7850,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
55,55,"Brandt Snedeker",26,8.47,813,9600,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2010
56,56,"Marc Leishman",26,8.44,738,8750,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
57,57,"Steve Marino",24,8.21,636,7750,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
58,58,"Stewart Cink",23,8.12,678,8350,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
59,59,"Bryce Molder",26,7.79,748,9600,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2010
60,60,"Charles Howell III",28,7.77,746,9600,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2010
61,61,"Brian Gay",30,7.68,714,9300,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
62,62,"Angel Cabrera",19,7.66,524,6850,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
63,63,"Steve Elkington",22,7.61,571,7500,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
64,64,"Stephen Ames",23,7.41,548,7400,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2010
65,65,"Henrik Stenson",15,7.39,321,4350,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2010
66,66,"Jason Dufner",25,7.26,617,8500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
66,66,"Sergio Garcia",15,7.26,461,6350,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2010
68,68,"Brian Davis",32,7.2,781,10850,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
69,69,"Charlie Wi",27,7.18,690,9600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
70,70,"John Rollins",26,7.08,634,8950,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
71,71,"Rory Sabbatini",26,7.06,618,8750,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
72,72,"Chris Riley",24,6.82,512,7500,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
73,73,"Justin Leonard",27,6.7,556,8300,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2010
74,74,"Fred Couples",7,6.69,208,3100,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2010
75,75,"Kenny Perry",20,6.65,555,8350,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2010
76,76,"Vijay Singh",24,6.64,588,8850,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
77,77,"Kirk Triplett",11,6.63,199,3000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2010
78,78,"Paul Stankowski",18,6.57,296,4500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
79,79,"Paul Goydos",25,6.56,597,9100,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
80,80,"DJ Trahan",27,6.52,577,8850,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2010
81,81,"Garrett Willis",24,6.47,517,8000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2010
82,82,"Robert Garrigus",22,6.36,382,6000,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
83,83,"Charley Hoffman",24,6.35,546,8600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
84,84,"Davis Love III",24,6.25,475,7600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
85,85,"Spencer Levin",31,6.24,646,10350,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2010
86,86,"Matt Jones",27,6.16,647,10500,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2010
87,87,"JJ Henry",27,5.92,598,10100,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
88,88,"Kent Jones",9,5.84,117,2000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2010
89,89,"Tom Gillis",27,5.83,554,9500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
90,90,"Andres Romero",21,5.69,418,7350,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
91,91,"Aaron Baddeley",26,5.59,481,8600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2010
92,92,"Joe Durant",19,5.58,321,5750,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2010
93,93,"DA Points",29,5.52,544,9850,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
93,93,"Aron Price",22,5.52,358,6500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
95,95,"Kris Blanks",30,5.48,554,10100,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
95,95,"Chad Campbell",28,5.48,551,10050,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
97,97,"Boo Weekley",27,5.45,526,9650,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2010
98,98,"Tim Petrovic",32,5.4,532,9850,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
99,99,"Greg Chalmers",27,5.39,558,10350,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
100,100,"Jimmy Walker",27,5.36,554,10350,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2010
101,101,"Jerry Kelly",29,5.33,493,9250,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2010
