"Front9ScoringAverage_RANKTHISWEEK_2009","Front9ScoringAverage_RANKLASTWEEK_2009","Front9ScoringAverage_PLAYERNAME_2009","Front9ScoringAverage_ROUNDS_2009","Front9ScoringAverage_AVG_2009","Front9ScoringAverage_TOTALSTROKES_2009","Front9ScoringAverage_TOTALHOLES_2009","stat_name","year"
1,1,"Tiger Woods",64,34.53,2141,62,"Front9ScoringAverage",2009
2,2,"Chris Riley",77,34.77,2677,77,"Front9ScoringAverage",2009
3,3,"Bo Van Pelt",100,34.78,3478,100,"Front9ScoringAverage",2009
4,4,"Bob Estes",78,34.79,2714,78,"Front9ScoringAverage",2009
5,5,"Tim Clark",81,34.83,2717,78,"Front9ScoringAverage",2009
6,6,"Jeff Klauk",97,34.84,3379,97,"Front9ScoringAverage",2009
7,7,"Stephen Ames",77,34.85,2614,75,"Front9ScoringAverage",2009
7,7,"Steve Stricker",81,34.85,2753,79,"Front9ScoringAverage",2009
9,9,"Mark Wilson",99,34.86,3451,99,"Front9ScoringAverage",2009
10,10,"Bryce Molder",69,34.87,2406,69,"Front9ScoringAverage",2009
11,11,"Nick OHern",90,34.88,3139,90,"Front9ScoringAverage",2009
12,12,"Justin Leonard",95,34.89,3175,91,"Front9ScoringAverage",2009
13,13,"Jerry Kelly",90,34.9,3141,90,"Front9ScoringAverage",2009
14,14,"Kevin Na",91,34.91,3177,91,"Front9ScoringAverage",2009
14,14,"Kenny Perry",92,34.91,3177,91,"Front9ScoringAverage",2009
16,16,"Brian Davis",103,34.94,3599,103,"Front9ScoringAverage",2009
17,17,"Chris DiMarco",97,34.96,3391,97,"Front9ScoringAverage",2009
17,17,"Robert Garrigus",83,34.96,2902,83,"Front9ScoringAverage",2009
19,19,"Briny Baird",89,34.98,3113,89,"Front9ScoringAverage",2009
19,19,"Greg Chalmers",85,34.98,2973,85,"Front9ScoringAverage",2009
19,19,"Tim Herron",87,34.98,3043,87,"Front9ScoringAverage",2009
19,19,"David Toms",98,34.98,3428,98,"Front9ScoringAverage",2009
23,23,"Matt Kuchar",82,35,2870,82,"Front9ScoringAverage",2009
23,23,"George McNeill",82,35,2870,82,"Front9ScoringAverage",2009
23,23,"Heath Slocum",95,35,3325,95,"Front9ScoringAverage",2009
26,26,"Hunter Mahan",94,35.01,3221,92,"Front9ScoringAverage",2009
26,26,"Tim Petrovic",97,35.01,3396,97,"Front9ScoringAverage",2009
26,26,"Scott Verplank",88,35.01,3081,88,"Front9ScoringAverage",2009
29,29,"James Nitties",86,35.02,3012,86,"Front9ScoringAverage",2009
29,29,"Dean Wilson",81,35.02,2837,81,"Front9ScoringAverage",2009
31,31,"Jason Day",61,35.03,2137,61,"Front9ScoringAverage",2009
31,31,"Zach Johnson",94,35.03,3223,92,"Front9ScoringAverage",2009
31,31,"Sean OHair",80,35.03,2662,76,"Front9ScoringAverage",2009
31,31,"Kevin Sutherland",96,35.03,3328,95,"Front9ScoringAverage",2009
35,35,"Charley Hoffman",97,35.05,3400,97,"Front9ScoringAverage",2009
36,36,"Brandt Snedeker",81,35.06,2840,81,"Front9ScoringAverage",2009
36,36,"Kevin Stadler",65,35.06,2279,65,"Front9ScoringAverage",2009
