"ParBreakers_RANKTHISWEEK_2016","ParBreakers_RANKLASTWEEK_2016","ParBreakers_PLAYERNAME_2016","ParBreakers_ROUNDS_2016","ParBreakers_Pct_2016","ParBreakers_BIRDIESEAGLES_2016","ParBreakers_HOLES_2016","stat_name","year"
1,1,"Dustin Johnson",37,27.26,157,576,"ParBreakers",2016
2,2,"Jordan Spieth",34,27.04,146,540,"ParBreakers",2016
3,3,"Hideki Matsuyama",40,26.43,176,666,"ParBreakers",2016
4,5,"Rory McIlroy",37,26.11,141,540,"ParBreakers",2016
5,4,"Adam Scott",39,25.93,168,648,"ParBreakers",2016
6,6,"Jason Day",36,24.9,130,522,"ParBreakers",2016
7,8,"Rickie Fowler",42,24.64,173,702,"ParBreakers",2016
8,7,"Henrik Stenson",30,24.44,132,540,"ParBreakers",2016
9,9,"Phil Mickelson",37,24.18,148,612,"ParBreakers",2016
10,13,"Justin Rose",35,23.96,138,576,"ParBreakers",2016
11,11,"Bubba Watson",30,23.87,116,486,"ParBreakers",2016
12,10,"Kevin Kisner",49,23.79,197,828,"ParBreakers",2016
13,15,"Andrew Loupe",50,23.78,214,900,"ParBreakers",2016
14,16,"Jimmy Walker",43,23.19,167,720,"ParBreakers",2016
15,17,"Jason Dufner",53,23.11,208,900,"ParBreakers",2016
16,12,"Byeong Hun An",23,23.1,79,342,"ParBreakers",2016
17,18,"Smylie Kaufman",57,23.05,224,972,"ParBreakers",2016
18,14,"JB Holmes",39,22.84,148,648,"ParBreakers",2016
19,21,"Brandt Snedeker",47,22.74,176,774,"ParBreakers",2016
20,22,"Brooks Koepka",39,22.71,139,612,"ParBreakers",2016
21,24,"Kevin Na",52,22.68,200,882,"ParBreakers",2016
22,26,"Marc Leishman",41,22.66,155,684,"ParBreakers",2016
23,27,"Scott Piercy",45,22.62,171,756,"ParBreakers",2016
24,29,"Ryan Palmer",46,22.46,186,828,"ParBreakers",2016
25,24,"Patton Kizzire",57,22.43,214,954,"ParBreakers",2016
26,19,"Emiliano Grillo",47,22.22,176,792,"ParBreakers",2016
27,20,"Jamie Lovemark",57,22.12,227,1026,"ParBreakers",2016
28,39,"Charles Howell III",63,22.05,250,1134,"ParBreakers",2016
29,23,"Justin Thomas",53,22,198,900,"ParBreakers",2016
30,28,"Alex Cejka",47,21.99,186,846,"ParBreakers",2016
31,37,"Zach Johnson",42,21.93,150,684,"ParBreakers",2016
31,35,"Harold Varner III",58,21.93,229,1044,"ParBreakers",2016
33,30,"Jason Bohn",37,21.92,146,666,"ParBreakers",2016
34,32,"Paul Casey",39,21.91,142,648,"ParBreakers",2016
34,38,"William McGirt",54,21.91,213,972,"ParBreakers",2016
36,36,"Daniel Berger",52,21.88,193,882,"ParBreakers",2016
37,31,"Graham DeLaet",50,21.78,196,900,"ParBreakers",2016
37,41,"Sergio Garcia",28,21.78,98,450,"ParBreakers",2016
37,47,"Danny Lee",53,21.78,196,900,"ParBreakers",2016
40,33,"Ben Martin",48,21.76,188,864,"ParBreakers",2016
41,45,"Patrick Reed",53,21.66,191,882,"ParBreakers",2016
42,33,"Brendan Steele",48,21.64,187,864,"ParBreakers",2016
43,40,"Daniel Summerhays",55,21.62,214,990,"ParBreakers",2016
44,42,"David Lingmerth",54,21.57,198,918,"ParBreakers",2016
45,43,"Kevin Chappell",49,21.54,190,882,"ParBreakers",2016
46,47,"DJ Trahan",23,21.5,89,414,"ParBreakers",2016
47,49,"Brice Garnett",29,21.46,112,522,"ParBreakers",2016
48,50,"Matt Kuchar",46,21.43,162,756,"ParBreakers",2016
49,44,"Michael Thompson",46,21.38,177,828,"ParBreakers",2016
50,53,"Stewart Cink",45,21.36,173,810,"ParBreakers",2016
51,54,"Aaron Baddeley",51,21.35,196,918,"ParBreakers",2016
52,46,"Patrick Rodgers",49,21.32,188,882,"ParBreakers",2016
53,56,"Billy Horschel",45,21.3,161,756,"ParBreakers",2016
53,56,"Graeme McDowell",33,21.3,115,540,"ParBreakers",2016
53,64,"Vaughn Taylor",30,21.3,115,540,"ParBreakers",2016
56,68,"Jonas Blixt",46,21.26,176,828,"ParBreakers",2016
57,61,"Russell Knox",48,21.23,172,810,"ParBreakers",2016
58,80,"Roberto Castro",55,21.21,210,990,"ParBreakers",2016
59,64,"Charl Schwartzel",29,21.15,99,468,"ParBreakers",2016
60,66,"Steve Stricker",25,21.11,95,450,"ParBreakers",2016
60,51,"Gary Woodland",45,21.11,171,810,"ParBreakers",2016
62,68,"Freddie Jacobson",54,21.09,205,972,"ParBreakers",2016
63,52,"Kyle Reifers",63,21.08,239,1134,"ParBreakers",2016
64,60,"Matt Jones",45,21.03,159,756,"ParBreakers",2016
65,72,"Seung Yul Noh",54,20.99,204,972,"ParBreakers",2016
66,75,"John Huh",51,20.92,192,918,"ParBreakers",2016
66,63,"Webb Simpson",34,20.92,128,612,"ParBreakers",2016
68,56,"Padraig Harrington",38,20.91,143,684,"ParBreakers",2016
69,56,"Martin Laird",46,20.89,173,828,"ParBreakers",2016
70,55,"Anirban Lahiri",44,20.87,154,738,"ParBreakers",2016
71,71,"Sean OHair",45,20.86,169,810,"ParBreakers",2016
71,86,"Jhonattan Vegas",49,20.86,184,882,"ParBreakers",2016
73,77,"Miguel Angel Carballo",24,20.83,90,432,"ParBreakers",2016
73,77,"Matthew Fitzpatrick",23,20.83,75,360,"ParBreakers",2016
73,77,"Branden Grace",31,20.83,105,504,"ParBreakers",2016
73,91,"Tim Wilkinson",40,20.83,150,720,"ParBreakers",2016
77,93,"Tony Finau",49,20.75,183,882,"ParBreakers",2016
77,62,"Lucas Glover",53,20.75,198,954,"ParBreakers",2016
79,95,"Dawie van der Walt",48,20.72,179,864,"ParBreakers",2016
80,89,"Jason Gore",51,20.7,190,918,"ParBreakers",2016
80,85,"Luke List",51,20.7,190,918,"ParBreakers",2016
82,66,"Will Wilcox",47,20.69,175,846,"ParBreakers",2016
83,80,"Ricky Barnes",57,20.66,212,1026,"ParBreakers",2016
84,92,"Charley Hoffman",49,20.65,171,828,"ParBreakers",2016
85,70,"Ryan Moore",40,20.63,130,630,"ParBreakers",2016
86,93,"Hudson Swafford",52,20.62,193,936,"ParBreakers",2016
87,74,"Cameron Tringale",47,20.57,174,846,"ParBreakers",2016
88,84,"Ben Crane",48,20.49,177,864,"ParBreakers",2016
88,95,"John Senden",48,20.49,177,864,"ParBreakers",2016
90,108,"Brian Harman",60,20.46,221,1080,"ParBreakers",2016
91,89,"Johnson Wagner",44,20.45,162,792,"ParBreakers",2016
92,73,"Adam Hadwin",53,20.44,195,954,"ParBreakers",2016
92,75,"Peter Malnati",53,20.44,195,954,"ParBreakers",2016
94,99,"Luke Guthrie",31,20.43,114,558,"ParBreakers",2016
95,88,"Kevin Streelman",46,20.41,169,828,"ParBreakers",2016
96,97,"Derek Fathauer",58,20.31,212,1044,"ParBreakers",2016
97,104,"Jason Kokrak",52,20.3,190,936,"ParBreakers",2016
98,87,"Morgan Hoffmann",43,20.28,157,774,"ParBreakers",2016
99,127,"James Hahn",45,20.25,164,810,"ParBreakers",2016
100,102,"Pat Perez",28,20.24,102,504,"ParBreakers",2016
101,82,"Carlos Ortiz",47,20.21,171,846,"ParBreakers",2016
102,105,"Kyle Stanley",57,20.18,207,1026,"ParBreakers",2016
103,102,"Fabian Gomez",49,20.17,167,828,"ParBreakers",2016
104,98,"Spencer Levin",62,20.16,225,1116,"ParBreakers",2016
105,82,"Harris English",51,20.15,185,918,"ParBreakers",2016
106,112,"Louis Oosthuizen",25,20.06,65,324,"ParBreakers",2016
107,110,"Ollie Schniederjans",23,20.05,83,414,"ParBreakers",2016
108,107,"Scott Pinckney",53,20.02,191,954,"ParBreakers",2016
108,116,"Boo Weekley",53,20.02,191,954,"ParBreakers",2016
110,100,"Jim Herman",55,20,198,990,"ParBreakers",2016
111,111,"Nick Taylor",57,19.98,205,1026,"ParBreakers",2016
112,105,"Brian Stuard",24,19.91,86,432,"ParBreakers",2016
113,115,"Si Woo Kim",63,19.84,225,1134,"ParBreakers",2016
114,100,"David Hearn",55,19.8,196,990,"ParBreakers",2016
115,114,"Scott Brown",59,19.77,210,1062,"ParBreakers",2016
116,112,"Bill Haas",42,19.74,135,684,"ParBreakers",2016
116,118,"Greg Owen",56,19.74,199,1008,"ParBreakers",2016
118,120,"Rory Sabbatini",40,19.72,142,720,"ParBreakers",2016
119,116,"Scott Stallings",46,19.69,163,828,"ParBreakers",2016
120,123,"Chez Reavie",56,19.64,198,1008,"ParBreakers",2016
121,127,"Troy Merritt",41,19.51,144,738,"ParBreakers",2016
122,119,"Mark Hubbard",73,19.48,256,1314,"ParBreakers",2016
123,143,"Robert Garrigus",34,19.44,119,612,"ParBreakers",2016
123,129,"Russell Henley",42,19.44,147,756,"ParBreakers",2016
125,124,"Sung Kang",51,19.39,178,918,"ParBreakers",2016
126,135,"Bryce Molder",50,19.33,174,900,"ParBreakers",2016
127,137,"Steven Bowditch",40,19.31,139,720,"ParBreakers",2016
127,136,"Keegan Bradley",40,19.31,139,720,"ParBreakers",2016
129,139,"Tom Hoge",47,19.27,163,846,"ParBreakers",2016
129,129,"Michael Kim",62,19.27,215,1116,"ParBreakers",2016
131,125,"Chad Campbell",54,19.24,187,972,"ParBreakers",2016
132,143,"Robert Streb",51,19.21,166,864,"ParBreakers",2016
133,121,"Brett Stegmaier",57,19.2,197,1026,"ParBreakers",2016
134,142,"Blayne Barber",44,19.19,152,792,"ParBreakers",2016
135,161,"Chesson Hadley",51,19.17,176,918,"ParBreakers",2016
136,108,"Francesco Molinari",36,19.14,124,648,"ParBreakers",2016
136,133,"Cameron Smith",45,19.14,155,810,"ParBreakers",2016
138,126,"Hunter Mahan",43,19.12,148,774,"ParBreakers",2016
139,122,"Kelly Kraft",35,19.05,120,630,"ParBreakers",2016
140,147,"Chris Stroud",52,19.02,178,936,"ParBreakers",2016
141,140,"Camilo Villegas",50,19,171,900,"ParBreakers",2016
142,132,"Tyler Aldridge",53,18.97,181,954,"ParBreakers",2016
142,151,"Bronson Burgoon",53,18.97,181,954,"ParBreakers",2016
144,138,"Jeff Overton",51,18.95,174,918,"ParBreakers",2016
145,150,"DA Points",32,18.92,109,576,"ParBreakers",2016
146,129,"Davis Love III",40,18.89,136,720,"ParBreakers",2016
147,154,"Colt Knost",56,18.85,190,1008,"ParBreakers",2016
148,152,"Chris Kirk",51,18.84,156,828,"ParBreakers",2016
149,155,"Jon Curran",55,18.79,186,990,"ParBreakers",2016
150,157,"Angel Cabrera",42,18.78,142,756,"ParBreakers",2016
151,153,"Erik Compton",45,18.77,152,810,"ParBreakers",2016
151,134,"Rob Oppenheim",37,18.77,125,666,"ParBreakers",2016
151,141,"Martin Piller",37,18.77,125,666,"ParBreakers",2016
154,143,"Shane Lowry",35,18.75,108,576,"ParBreakers",2016
155,159,"David Toms",38,18.71,128,684,"ParBreakers",2016
156,158,"Shane Bertsch",30,18.7,101,540,"ParBreakers",2016
157,162,"Ernie Els",34,18.63,114,612,"ParBreakers",2016
158,172,"Retief Goosen",37,18.62,124,666,"ParBreakers",2016
