"Last15EventsShortGame_RANKTHISWEEK_2011","Last15EventsShortGame_RANKLASTWEEK_2011","Last15EventsShortGame_PLAYERNAME_2011","Last15EventsShortGame_EVENTS_2011","Last15EventsShortGame_RATING_2011","stat_name","year"
1,1,"Tim Clark",3,8.5,"Last15EventsShortGame",2011
2,2,"Richard Green",1,8.4,"Last15EventsShortGame",2011
3,3,"Patrick Reed",1,8.1,"Last15EventsShortGame",2011
4,4,"Troy Kelly",1,7.9,"Last15EventsShortGame",2011
5,5,"Bud Cauley",4,7.7,"Last15EventsShortGame",2011
6,6,"Billy Mayfair",8,7.6,"Last15EventsShortGame",2011
7,7,"Patrick Cantlay",4,7.5,"Last15EventsShortGame",2011
7,7,"Alex Cejka",5,7.5,"Last15EventsShortGame",2011
7,7,"Jay Williamson",4,7.5,"Last15EventsShortGame",2011
10,10,"KT Kim",2,7.4,"Last15EventsShortGame",2011
10,10,"Michael Letzig",5,7.4,"Last15EventsShortGame",2011
10,10,"Bryce Molder",9,7.4,"Last15EventsShortGame",2011
10,10,"Hennie Otto",2,7.4,"Last15EventsShortGame",2011
10,10,"Jerod Turner",1,7.4,"Last15EventsShortGame",2011
15,15,"Marcus Fraser",1,7.3,"Last15EventsShortGame",2011
15,15,"Davis Love III",5,7.3,"Last15EventsShortGame",2011
15,15,"Michael Thompson",8,7.3,"Last15EventsShortGame",2011
18,18,"Aaron Baddeley",9,7.2,"Last15EventsShortGame",2011
18,18,"Jonathan Byrd",6,7.2,"Last15EventsShortGame",2011
18,18,"Greg Chalmers",8,7.2,"Last15EventsShortGame",2011
18,18,"Chad Collins",6,7.2,"Last15EventsShortGame",2011
18,18,"Bob Estes",5,7.2,"Last15EventsShortGame",2011
18,18,"Robin Freeman",1,7.2,"Last15EventsShortGame",2011
18,18,"Brandt Jobe",9,7.2,"Last15EventsShortGame",2011
18,18,"Shaun Micheel",3,7.2,"Last15EventsShortGame",2011
26,26,"Craig Barlow",5,7.1,"Last15EventsShortGame",2011
26,26,"KJ Choi",6,7.1,"Last15EventsShortGame",2011
26,26,"Brian Gay",7,7.1,"Last15EventsShortGame",2011
26,26,"Zach Johnson",7,7.1,"Last15EventsShortGame",2011
26,26,"Derek Lamely",5,7.1,"Last15EventsShortGame",2011
26,26,"Corey Pavin",4,7.1,"Last15EventsShortGame",2011
26,26,"Tim Petrovic",7,7.1,"Last15EventsShortGame",2011
26,26,"Charl Schwartzel",8,7.1,"Last15EventsShortGame",2011
26,26,"Mike Small",1,7.1,"Last15EventsShortGame",2011
26,26,"Nick Watney",8,7.1,"Last15EventsShortGame",2011
36,36,"Stephen Ames",7,7,"Last15EventsShortGame",2011
36,36,"Tom Byrum",1,7,"Last15EventsShortGame",2011
36,36,"Ben Curtis",6,7,"Last15EventsShortGame",2011
36,36,"Jason Dufner",5,7,"Last15EventsShortGame",2011
36,36,"Spencer Levin",11,7,"Last15EventsShortGame",2011
36,36,"Jose Maria Olazabal",1,7,"Last15EventsShortGame",2011
36,36,"Peter Senior",1,7,"Last15EventsShortGame",2011
36,36,"Steve Stricker",7,7,"Last15EventsShortGame",2011
36,36,"Kirk Triplett",5,7,"Last15EventsShortGame",2011
36,36,"YE Yang",6,7,"Last15EventsShortGame",2011
46,46,"Woody Austin",10,6.9,"Last15EventsShortGame",2011
46,46,"Brian Davis",9,6.9,"Last15EventsShortGame",2011
46,46,"Marco Dawson",3,6.9,"Last15EventsShortGame",2011
46,46,"Joe Durant",6,6.9,"Last15EventsShortGame",2011
46,46,"Steve Elkington",6,6.9,"Last15EventsShortGame",2011
46,46,"Ernie Els",7,6.9,"Last15EventsShortGame",2011
46,46,"Jeff Klauk",3,6.9,"Last15EventsShortGame",2011
46,46,"Matt Kuchar",7,6.9,"Last15EventsShortGame",2011
46,46,"Troy Merritt",4,6.9,"Last15EventsShortGame",2011
46,46,"Francesco Molinari",4,6.9,"Last15EventsShortGame",2011
46,46,"Ian Poulter",5,6.9,"Last15EventsShortGame",2011
46,46,"Kevin Sutherland",6,6.9,"Last15EventsShortGame",2011
46,46,"Omar Uresti",2,6.9,"Last15EventsShortGame",2011
59,59,"Robert Damron",2,6.8,"Last15EventsShortGame",2011
59,59,"Luke Donald",10,6.8,"Last15EventsShortGame",2011
59,59,"Brad Faxon",1,6.8,"Last15EventsShortGame",2011
59,59,"Sung Kang",6,6.8,"Last15EventsShortGame",2011
59,59,"William McGirt",9,6.8,"Last15EventsShortGame",2011
59,59,"Matt McQuillan",5,6.8,"Last15EventsShortGame",2011
59,59,"Mark OMeara",1,6.8,"Last15EventsShortGame",2011
59,59,"Tom Pernice Jr",7,6.8,"Last15EventsShortGame",2011
59,59,"Kenny Perry",5,6.8,"Last15EventsShortGame",2011
59,59,"Justin Rose",7,6.8,"Last15EventsShortGame",2011
59,59,"Brandt Snedeker",7,6.8,"Last15EventsShortGame",2011
59,59,"Drew Weaver",1,6.8,"Last15EventsShortGame",2011
59,59,"Dean Wilson",7,6.8,"Last15EventsShortGame",2011
72,72,"Jason Day",9,6.7,"Last15EventsShortGame",2011
72,72,"Padraig Harrington",8,6.7,"Last15EventsShortGame",2011
72,72,"Charles Howell III",9,6.7,"Last15EventsShortGame",2011
72,72,"Jerry Kelly",8,6.7,"Last15EventsShortGame",2011
72,72,"John Mallinger",5,6.7,"Last15EventsShortGame",2011
72,72,"Phil Mickelson",8,6.7,"Last15EventsShortGame",2011
72,72,"Nick OHern",8,6.7,"Last15EventsShortGame",2011
72,72,"Louis Oosthuizen",4,6.7,"Last15EventsShortGame",2011
72,72,"Dicky Pride",5,6.7,"Last15EventsShortGame",2011
72,72,"Andres Romero",10,6.7,"Last15EventsShortGame",2011
72,72,"Jordan Spieth",1,6.7,"Last15EventsShortGame",2011
72,72,"Paul Stankowski",11,6.7,"Last15EventsShortGame",2011
72,72,"Andre Stolz",2,6.7,"Last15EventsShortGame",2011
