"PuttsmadeDistance_RANKTHISWEEK_2016","PuttsmadeDistance_RANKLASTWEEK_2016","PuttsmadeDistance_PLAYERNAME_2016","PuttsmadeDistance_EVENTS_2016","PuttsmadeDistance_DISTANCEININCHES_2016","stat_name","year"
1,1,"Matthew Fitzpatrick",7,59,"PuttsmadeDistance",2016
2,7,"Rory McIlroy",9,57,"PuttsmadeDistance",2016
3,3,"Jason Day",9,56,"PuttsmadeDistance",2016
3,3,"Ben Martin",14,56,"PuttsmadeDistance",2016
3,3,"Steve Stricker",8,56,"PuttsmadeDistance",2016
6,3,"Jamie Donaldson",8,55,"PuttsmadeDistance",2016
6,7,"Charley Hoffman",14,55,"PuttsmadeDistance",2016
6,7,"Zach Johnson",12,55,"PuttsmadeDistance",2016
6,7,"Patton Kizzire",16,55,"PuttsmadeDistance",2016
6,2,"Brian Stuard",8,55,"PuttsmadeDistance",2016
11,13,"Russell Henley",14,54,"PuttsmadeDistance",2016
11,13,"Brooks Koepka",11,54,"PuttsmadeDistance",2016
11,13,"Phil Mickelson",11,54,"PuttsmadeDistance",2016
11,7,"Ryan Moore",11,54,"PuttsmadeDistance",2016
15,16,"Adam Hadwin",16,53,"PuttsmadeDistance",2016
15,16,"Morgan Hoffmann",15,53,"PuttsmadeDistance",2016
15,23,"JB Holmes",10,53,"PuttsmadeDistance",2016
15,16,"Michael Kim",18,53,"PuttsmadeDistance",2016
15,38,"Andrew Loupe",16,53,"PuttsmadeDistance",2016
15,16,"Jordan Spieth",9,53,"PuttsmadeDistance",2016
15,16,"Andy Sullivan",7,53,"PuttsmadeDistance",2016
15,16,"Brendon Todd",18,53,"PuttsmadeDistance",2016
15,7,"Jhonattan Vegas",14,53,"PuttsmadeDistance",2016
15,16,"Bernd Wiesberger",7,53,"PuttsmadeDistance",2016
25,57,"Jonas Blixt",16,52,"PuttsmadeDistance",2016
25,38,"Ernie Els",10,52,"PuttsmadeDistance",2016
25,23,"Brian Harman",18,52,"PuttsmadeDistance",2016
25,23,"Dustin Johnson",9,52,"PuttsmadeDistance",2016
25,23,"Kevin Kisner",14,52,"PuttsmadeDistance",2016
25,23,"Marc Leishman",12,52,"PuttsmadeDistance",2016
25,38,"George McNeill",13,52,"PuttsmadeDistance",2016
25,23,"Sean OHair",14,52,"PuttsmadeDistance",2016
25,57,"Ollie Schniederjans",7,52,"PuttsmadeDistance",2016
25,38,"Adam Scott",10,52,"PuttsmadeDistance",2016
35,38,"Robert Allenby",16,51,"PuttsmadeDistance",2016
