"Last5EventsAccuracy_RANKTHISWEEK_2014","Last5EventsAccuracy_RANKLASTWEEK_2014","Last5EventsAccuracy_PLAYERNAME_2014","Last5EventsAccuracy_EVENTS_2014","Last5EventsAccuracy_RATING_2014","stat_name","year"
1,1,"Josh Broadaway",1,8.7,"Last5EventsAccuracy",2014
2,2,"Jeff Maggert",1,8.6,"Last5EventsAccuracy",2014
2,2,"Jim Renner",1,8.6,"Last5EventsAccuracy",2014
4,4,"Kenny Perry",1,8.4,"Last5EventsAccuracy",2014
5,5,"Chad Campbell",1,8.3,"Last5EventsAccuracy",2014
5,5,"Jim Furyk",5,8.3,"Last5EventsAccuracy",2014
5,5,"Nick Watney",3,8.3,"Last5EventsAccuracy",2014
8,8,"Paul Goydos",1,8.2,"Last5EventsAccuracy",2014
8,8,"Adam Hadwin",1,8.2,"Last5EventsAccuracy",2014
8,8,"Justin Hicks",2,8.2,"Last5EventsAccuracy",2014
11,11,"Bo Van Pelt",4,8.1,"Last5EventsAccuracy",2014
12,12,"Hideki Matsuyama",4,8,"Last5EventsAccuracy",2014
12,12,"Ted Potter Jr",1,8,"Last5EventsAccuracy",2014
14,14,"Scott Brown",2,7.9,"Last5EventsAccuracy",2014
14,14,"Bernd Wiesberger",1,7.9,"Last5EventsAccuracy",2014
16,16,"Paul Casey",2,7.8,"Last5EventsAccuracy",2014
16,16,"Ken Duke",2,7.8,"Last5EventsAccuracy",2014
16,16,"David Hearn",3,7.8,"Last5EventsAccuracy",2014
16,16,"Justin Rose",5,7.8,"Last5EventsAccuracy",2014
16,16,"John Senden",4,7.8,"Last5EventsAccuracy",2014
16,16,"Heath Slocum",3,7.8,"Last5EventsAccuracy",2014
16,16,"Scott Stallings",2,7.8,"Last5EventsAccuracy",2014
16,16,"Will Wilcox",3,7.8,"Last5EventsAccuracy",2014
16,16,"YE Yang",1,7.8,"Last5EventsAccuracy",2014
25,25,"Ben Martin",1,7.7,"Last5EventsAccuracy",2014
25,25,"Rory McIlroy",5,7.7,"Last5EventsAccuracy",2014
25,25,"Francesco Molinari",3,7.7,"Last5EventsAccuracy",2014
25,25,"Chez Reavie",1,7.7,"Last5EventsAccuracy",2014
25,25,"Scottie Scheffler",1,7.7,"Last5EventsAccuracy",2014
25,25,"David Toms",3,7.7,"Last5EventsAccuracy",2014
25,25,"Boo Weekley",1,7.7,"Last5EventsAccuracy",2014
32,32,"Charlie Beljan",3,7.6,"Last5EventsAccuracy",2014
32,32,"Kevin Chappell",4,7.6,"Last5EventsAccuracy",2014
32,32,"Ben Crane",2,7.6,"Last5EventsAccuracy",2014
32,32,"Joe Durant",4,7.6,"Last5EventsAccuracy",2014
32,32,"Scott Gardiner",1,7.6,"Last5EventsAccuracy",2014
32,32,"Jason Gore",2,7.6,"Last5EventsAccuracy",2014
