"BestSubParRoundsStreak_RANKTHISWEEK_2009","BestSubParRoundsStreak_RANKLASTWEEK_2009","BestSubParRoundsStreak_PLAYERNAME_2009","BestSubParRoundsStreak__2009","BestSubParRoundsStreak_CAREERBESTSTREAK_2009","BestSubParRoundsStreak_BESTYTDSTREAK_2009","BestSubParRoundsStreak_CURRENTSTREAK_2009","stat_name","year"
1,1,"Tim Petrovic",NA,26,7,NA,"BestSubParRoundsStreak",2009
2,2,"Jeff Sluman",NA,23,5,NA,"BestSubParRoundsStreak",2009
3,3,"Tim Clark",NA,22,11,NA,"BestSubParRoundsStreak",2009
3,3,"Fred Couples",NA,22,5,NA,"BestSubParRoundsStreak",2009
3,3,"Scott McCarron",NA,22,8,NA,"BestSubParRoundsStreak",2009
6,6,"Stuart Appleby",NA,21,4,NA,"BestSubParRoundsStreak",2009
6,6,"Bob Estes",NA,21,7,NA,"BestSubParRoundsStreak",2009
6,6,"Scott Verplank",NA,21,11,NA,"BestSubParRoundsStreak",2009
9,9,"Jay Don Blake",NA,20,NA,NA,"BestSubParRoundsStreak",2009
9,9,"Joey Sindelar",NA,20,NA,NA,"BestSubParRoundsStreak",2009
11,11,"Joe Durant",NA,19,4,NA,"BestSubParRoundsStreak",2009
11,11,"Jesper Parnevik",NA,19,3,NA,"BestSubParRoundsStreak",2009
11,11,"Dan Pohl",NA,19,NA,NA,"BestSubParRoundsStreak",2009
14,14,"Glen Day",NA,18,6,NA,"BestSubParRoundsStreak",2009
14,14,"Chris DiMarco",NA,18,12,NA,"BestSubParRoundsStreak",2009
14,14,"Retief Goosen",NA,18,4,NA,"BestSubParRoundsStreak",2009
14,14,"Charles Howell III",NA,18,10,NA,"BestSubParRoundsStreak",2009
14,14,"Craig Parry",NA,18,NA,NA,"BestSubParRoundsStreak",2009
19,19,"Ronnie Black",NA,17,3,NA,"BestSubParRoundsStreak",2009
19,19,"Jonathan Byrd",NA,17,6,NA,"BestSubParRoundsStreak",2009
19,19,"Ed Fiori",NA,17,NA,NA,"BestSubParRoundsStreak",2009
19,19,"Donnie Hammond",NA,17,1,NA,"BestSubParRoundsStreak",2009
19,19,"Roger Maltbie",NA,17,NA,NA,"BestSubParRoundsStreak",2009
19,19,"Shigeki Maruyama",NA,17,3,NA,"BestSubParRoundsStreak",2009
19,19,"Mark OMeara",NA,17,1,NA,"BestSubParRoundsStreak",2009
19,19,"Vijay Singh",NA,17,7,NA,"BestSubParRoundsStreak",2009
19,19,"Kirk Triplett",NA,17,4,NA,"BestSubParRoundsStreak",2009
19,19,"Tiger Woods",NA,17,8,NA,"BestSubParRoundsStreak",2009
29,29,"Ken Green",NA,16,NA,NA,"BestSubParRoundsStreak",2009
29,29,"Lee Janzen",NA,16,4,NA,"BestSubParRoundsStreak",2009
29,29,"Jerry Kelly",NA,16,10,NA,"BestSubParRoundsStreak",2009
29,29,"Troy Matteson",NA,16,6,NA,"BestSubParRoundsStreak",2009
29,29,"Blaine McCallister",NA,16,NA,NA,"BestSubParRoundsStreak",2009
29,29,"Steve Pate",NA,16,2,NA,"BestSubParRoundsStreak",2009
29,29,"Corey Pavin",NA,16,10,NA,"BestSubParRoundsStreak",2009
29,29,"Kenny Perry",NA,16,13,NA,"BestSubParRoundsStreak",2009
29,29,"Chris Riley",NA,16,11,NA,"BestSubParRoundsStreak",2009
29,29,"Mike Weir",NA,16,5,NA,"BestSubParRoundsStreak",2009
39,39,"Ben Crane",NA,15,15,NA,"BestSubParRoundsStreak",2009
39,39,"Brian Davis",NA,15,15,NA,"BestSubParRoundsStreak",2009
39,39,"Carlos Franco",NA,15,4,NA,"BestSubParRoundsStreak",2009
39,39,"Scott Hoch",NA,15,1,NA,"BestSubParRoundsStreak",2009
39,39,"Tom Kite",NA,15,NA,NA,"BestSubParRoundsStreak",2009
39,39,"Davis Love III",NA,15,7,NA,"BestSubParRoundsStreak",2009
39,39,"Andrew Magee",NA,15,1,NA,"BestSubParRoundsStreak",2009
39,39,"Scott Simpson",NA,15,NA,NA,"BestSubParRoundsStreak",2009
39,39,"Chris Smith",NA,15,5,NA,"BestSubParRoundsStreak",2009
39,39,"Craig Stadler",NA,15,NA,NA,"BestSubParRoundsStreak",2009
39,39,"Bob Tway",NA,15,3,NA,"BestSubParRoundsStreak",2009
50,50,"Robert Allenby",NA,14,5,NA,"BestSubParRoundsStreak",2009
50,50,"Woody Austin",NA,14,7,NA,"BestSubParRoundsStreak",2009
50,50,"Brian Bateman",NA,14,4,NA,"BestSubParRoundsStreak",2009
50,50,"Russ Cochran",NA,14,1,NA,"BestSubParRoundsStreak",2009
50,50,"Marco Dawson",NA,14,4,NA,"BestSubParRoundsStreak",2009
50,50,"Steve Flesch",NA,14,5,NA,"BestSubParRoundsStreak",2009
50,50,"Brent Geiberger",NA,14,1,NA,"BestSubParRoundsStreak",2009
50,50,"Mathew Goggin",NA,14,6,NA,"BestSubParRoundsStreak",2009
50,50,"John Huston",NA,14,7,NA,"BestSubParRoundsStreak",2009
50,50,"Kent Jones",NA,14,7,NA,"BestSubParRoundsStreak",2009
50,50,"Matt Kuchar",NA,14,14,NA,"BestSubParRoundsStreak",2009
50,50,"Stephen Leaney",NA,14,3,NA,"BestSubParRoundsStreak",2009
50,50,"Justin Leonard",NA,14,8,NA,"BestSubParRoundsStreak",2009
50,50,"Frank Lickliter II",NA,14,5,NA,"BestSubParRoundsStreak",2009
50,50,"Peter Lonard",NA,14,4,NA,"BestSubParRoundsStreak",2009
50,50,"Jeff Maggert",NA,14,5,NA,"BestSubParRoundsStreak",2009
50,50,"Rocco Mediate",NA,14,4,NA,"BestSubParRoundsStreak",2009
50,50,"Joe Ogilvie",NA,14,10,NA,"BestSubParRoundsStreak",2009
50,50,"Loren Roberts",NA,14,4,NA,"BestSubParRoundsStreak",2009
50,50,"Payne Stewart",NA,14,NA,NA,"BestSubParRoundsStreak",2009
50,50,"Bo Van Pelt",NA,14,6,NA,"BestSubParRoundsStreak",2009
50,50,"Grant Waite",NA,14,1,NA,"BestSubParRoundsStreak",2009
72,72,"Billy Andrade",NA,13,4,NA,"BestSubParRoundsStreak",2009
72,72,"Paul Azinger",NA,13,1,NA,"BestSubParRoundsStreak",2009
72,72,"Briny Baird",NA,13,7,NA,"BestSubParRoundsStreak",2009
72,72,"Jason Bohn",NA,13,7,NA,"BestSubParRoundsStreak",2009
72,72,"Bart Bryant",NA,13,3,NA,"BestSubParRoundsStreak",2009
72,72,"Brad Bryant",NA,13,NA,NA,"BestSubParRoundsStreak",2009
72,72,"Rex Caldwell",NA,13,NA,NA,"BestSubParRoundsStreak",2009
72,72,"John Cook",NA,13,NA,NA,"BestSubParRoundsStreak",2009
