"PuttsPerRound_RANKTHISWEEK_2014","PuttsPerRound_RANKLASTWEEK_2014","PuttsPerRound_PLAYERNAME_2014","PuttsPerRound_ROUNDS_2014","PuttsPerRound_AVG_2014","PuttsPerRound_TOTALPUTTS_2014","PuttsPerRound_TOTALROUNDS_2014","PuttsPerRound_LOWTOTALPUTTS_2014","stat_name","year"
1,1,"Justin Leonard",75,27.77,2083,75,22,"PuttsPerRound",2014
2,2,"Jordan Spieth",102,27.86,2730,98,23,"PuttsPerRound",2014
3,3,"Aaron Baddeley",74,28.15,2027,72,23,"PuttsPerRound",2014
4,4,"Greg Chalmers",85,28.16,2281,81,21,"PuttsPerRound",2014
4,4,"Brian Gay",81,28.16,2225,79,22,"PuttsPerRound",2014
6,6,"Brendon Todd",108,28.32,3059,108,22,"PuttsPerRound",2014
7,7,"Charl Schwartzel",64,28.34,1757,62,22,"PuttsPerRound",2014
8,8,"JB Holmes",86,28.35,2438,86,23,"PuttsPerRound",2014
8,8,"Chris Stroud",88,28.35,2495,88,22,"PuttsPerRound",2014
10,10,"Richard Lee",80,28.37,2213,78,24,"PuttsPerRound",2014
11,11,"Freddie Jacobson",91,28.38,2583,91,24,"PuttsPerRound",2014
12,12,"Mike Weir",69,28.4,1846,65,24,"PuttsPerRound",2014
13,13,"Chad Collins",78,28.41,2102,74,22,"PuttsPerRound",2014
14,14,"Stuart Appleby",92,28.42,2558,90,22,"PuttsPerRound",2014
15,15,"Chris Kirk",105,28.44,2958,104,22,"PuttsPerRound",2014
16,16,"Rickie Fowler",91,28.46,2419,85,24,"PuttsPerRound",2014
16,16,"Kevin Na",94,28.46,2675,94,24,"PuttsPerRound",2014
18,18,"Luke Guthrie",85,28.49,2422,85,23,"PuttsPerRound",2014
19,19,"Morgan Hoffmann",103,28.53,2824,99,22,"PuttsPerRound",2014
19,19,"Andres Romero",81,28.53,2197,77,22,"PuttsPerRound",2014
21,21,"Brian Stuard",91,28.54,2483,87,23,"PuttsPerRound",2014
22,22,"Jerry Kelly",80,28.55,2284,80,23,"PuttsPerRound",2014
22,22,"Tim Wilkinson",86,28.55,2341,82,21,"PuttsPerRound",2014
24,24,"Graeme McDowell",66,28.56,1771,62,21,"PuttsPerRound",2014
25,25,"Charlie Wi",72,28.57,2000,70,23,"PuttsPerRound",2014
26,26,"Phil Mickelson",71,28.58,2029,71,21,"PuttsPerRound",2014
27,27,"Brian Davis",93,28.59,2659,93,23,"PuttsPerRound",2014
27,27,"Luke Donald",57,28.59,1601,56,22,"PuttsPerRound",2014
27,27,"Sergio Garcia",61,28.59,1658,58,21,"PuttsPerRound",2014
27,27,"Rory McIlroy",66,28.59,1830,64,22,"PuttsPerRound",2014
31,31,"Ian Poulter",57,28.64,1604,56,25,"PuttsPerRound",2014
32,32,"Brian Harman",111,28.65,3180,111,24,"PuttsPerRound",2014
33,33,"Ernie Els",85,28.68,2266,79,23,"PuttsPerRound",2014
34,34,"Jason Day",54,28.71,1378,48,22,"PuttsPerRound",2014
34,34,"William McGirt",96,28.71,2756,96,24,"PuttsPerRound",2014
36,36,"Gonzalo Fdez Castano",83,28.72,2355,82,23,"PuttsPerRound",2014
36,36,"Scott Langley",95,28.72,2671,93,23,"PuttsPerRound",2014
38,38,"Ryan Palmer",85,28.73,2442,85,21,"PuttsPerRound",2014
38,38,"Jimmy Walker",98,28.73,2758,96,24,"PuttsPerRound",2014
40,40,"Dustin Johnson",58,28.74,1638,57,22,"PuttsPerRound",2014
40,40,"Matt Kuchar",91,28.74,2529,88,24,"PuttsPerRound",2014
40,40,"Brandt Snedeker",89,28.74,2500,87,24,"PuttsPerRound",2014
43,43,"Matt Jones",83,28.75,2386,83,24,"PuttsPerRound",2014
44,44,"Patrick Reed",92,28.76,2588,90,20,"PuttsPerRound",2014
44,44,"Adam Scott",68,28.76,1956,68,23,"PuttsPerRound",2014
46,46,"Jonas Blixt",64,28.77,1784,62,22,"PuttsPerRound",2014
46,46,"Pat Perez",84,28.77,2417,84,22,"PuttsPerRound",2014
48,48,"Scott Brown",100,28.78,2878,100,23,"PuttsPerRound",2014
48,48,"Erik Compton",88,28.78,2533,88,23,"PuttsPerRound",2014
48,48,"Ben Crane",81,28.78,2331,81,23,"PuttsPerRound",2014
48,48,"Kevin Kisner",85,28.78,2446,85,22,"PuttsPerRound",2014
52,52,"Ryo Ishikawa",75,28.79,2159,75,24,"PuttsPerRound",2014
52,52,"Andrew Loupe",65,28.79,1756,61,24,"PuttsPerRound",2014
52,52,"Bryce Molder",77,28.79,2102,73,23,"PuttsPerRound",2014
55,55,"Jason Kokrak",65,28.8,1872,65,22,"PuttsPerRound",2014
56,56,"KJ Choi",80,28.81,2305,80,24,"PuttsPerRound",2014
56,56,"Tim Clark",75,28.81,2161,75,23,"PuttsPerRound",2014
58,58,"Matt Every",85,28.82,2450,85,21,"PuttsPerRound",2014
59,59,"Ricky Barnes",92,28.83,2537,88,24,"PuttsPerRound",2014
59,59,"Webb Simpson",87,28.83,2422,84,24,"PuttsPerRound",2014
61,61,"Jason Bohn",81,28.84,2336,81,24,"PuttsPerRound",2014
62,62,"Justin Rose",70,28.85,1962,68,23,"PuttsPerRound",2014
63,63,"James Driscoll",71,28.86,2049,71,23,"PuttsPerRound",2014
64,64,"Jeff Overton",80,28.87,2194,76,23,"PuttsPerRound",2014
65,65,"Sangmoon Bae",76,28.88,2195,76,23,"PuttsPerRound",2014
65,65,"Keegan Bradley",89,28.88,2541,88,24,"PuttsPerRound",2014
65,65,"Brad Fritsch",50,28.88,1386,48,22,"PuttsPerRound",2014
65,65,"Hideki Matsuyama",82,28.88,2310,80,24,"PuttsPerRound",2014
69,69,"Zach Johnson",97,28.9,2774,96,25,"PuttsPerRound",2014
69,69,"George McNeill",79,28.9,2283,79,23,"PuttsPerRound",2014
69,69,"Wes Roach",67,28.9,1821,63,23,"PuttsPerRound",2014
69,69,"Robert Streb",75,28.9,2052,71,24,"PuttsPerRound",2014
73,73,"Russell Henley",92,28.92,2661,92,24,"PuttsPerRound",2014
74,74,"David Lingmerth",80,28.93,2199,76,24,"PuttsPerRound",2014
74,74,"Ben Martin",80,28.93,2314,80,23,"PuttsPerRound",2014
76,76,"Ben Curtis",77,28.95,2113,73,23,"PuttsPerRound",2014
76,76,"Brooks Koepka",56,28.95,1621,56,24,"PuttsPerRound",2014
76,76,"Lee Westwood",57,28.95,1621,56,25,"PuttsPerRound",2014
79,79,"Jim Furyk",84,28.96,2317,80,24,"PuttsPerRound",2014
79,79,"Marc Leishman",81,28.96,2317,80,23,"PuttsPerRound",2014
81,81,"Charley Hoffman",93,28.97,2694,93,24,"PuttsPerRound",2014
82,82,"Bubba Watson",76,28.99,2116,73,25,"PuttsPerRound",2014
83,83,"Paul Casey",56,29,1624,56,22,"PuttsPerRound",2014
83,83,"Robert Garrigus",80,29,2320,80,22,"PuttsPerRound",2014
83,83,"Chesson Hadley",84,29,2436,84,24,"PuttsPerRound",2014
83,83,"Martin Kaymer",65,29,1856,64,24,"PuttsPerRound",2014
83,83,"Kevin Streelman",79,29,2262,78,24,"PuttsPerRound",2014
88,88,"Tyrone Van Aswegen",79,29.01,2263,78,23,"PuttsPerRound",2014
89,89,"David Hearn",97,29.02,2815,97,23,"PuttsPerRound",2014
89,89,"Will Ma Kenzie",82,29.02,2380,82,23,"PuttsPerRound",2014
91,91,"Brice Garnett",92,29.05,2556,88,24,"PuttsPerRound",2014
91,91,"Ryan Moore",86,29.05,2440,84,25,"PuttsPerRound",2014
93,93,"Brendon de Jonge",109,29.06,3168,109,22,"PuttsPerRound",2014
93,93,"Sean OHair",77,29.06,2238,77,24,"PuttsPerRound",2014
93,93,"YE Yang",79,29.06,2267,78,24,"PuttsPerRound",2014
96,96,"Retief Goosen",94,29.09,2618,90,23,"PuttsPerRound",2014
96,96,"Michael Thompson",74,29.09,2153,74,24,"PuttsPerRound",2014
98,98,"Jonathan Byrd",76,29.1,2095,72,23,"PuttsPerRound",2014
98,98,"Gary Woodland",93,29.1,2677,92,23,"PuttsPerRound",2014
100,100,"Kevin Chappell",100,29.11,2795,96,24,"PuttsPerRound",2014
100,100,"Charles Howell III",106,29.11,3086,106,23,"PuttsPerRound",2014
102,102,"Roberto Castro",76,29.12,2155,74,22,"PuttsPerRound",2014
103,103,"Bronson La Cassie",51,29.13,1369,47,23,"PuttsPerRound",2014
104,104,"Woody Austin",63,29.14,1719,59,22,"PuttsPerRound",2014
104,104,"DH Lee",54,29.14,1457,50,23,"PuttsPerRound",2014
106,106,"Steven Bowditch",93,29.15,2711,93,21,"PuttsPerRound",2014
107,107,"Danny Lee",84,29.16,2333,80,23,"PuttsPerRound",2014
107,107,"Daniel Summerhays",98,29.16,2858,98,22,"PuttsPerRound",2014
109,109,"Spencer Levin",59,29.17,1721,59,24,"PuttsPerRound",2014
109,109,"John Senden",99,29.17,2888,99,24,"PuttsPerRound",2014
109,109,"Cameron Tringale",111,29.17,3238,111,24,"PuttsPerRound",2014
112,112,"Troy Merritt",62,29.18,1809,62,23,"PuttsPerRound",2014
113,113,"Seung Yul Noh",92,29.2,2686,92,23,"PuttsPerRound",2014
114,114,"Camilo Villegas",95,29.21,2775,95,23,"PuttsPerRound",2014
115,115,"Russell Knox",92,29.24,2690,92,23,"PuttsPerRound",2014
115,115,"Brendan Steele",89,29.24,2485,85,23,"PuttsPerRound",2014
117,117,"Harris English",95,29.28,2694,92,22,"PuttsPerRound",2014
118,118,"David Toms",64,29.29,1816,62,23,"PuttsPerRound",2014
118,118,"Johnson Wagner",69,29.29,1904,65,25,"PuttsPerRound",2014
120,120,"Tommy Gainey",73,29.3,2022,69,24,"PuttsPerRound",2014
120,120,"Shawn Stefani",60,29.3,1758,60,23,"PuttsPerRound",2014
122,122,"Ted Potter Jr",68,29.31,1993,68,24,"PuttsPerRound",2014
123,123,"Bill Haas",107,29.33,3080,105,22,"PuttsPerRound",2014
123,123,"Hunter Mahan",88,29.33,2493,85,23,"PuttsPerRound",2014
125,125,"Billy Hurley III",86,29.38,2527,86,23,"PuttsPerRound",2014
125,125,"Scott Stallings",77,29.38,2233,76,24,"PuttsPerRound",2014
127,127,"Angel Cabrera",69,29.39,2028,69,24,"PuttsPerRound",2014
127,127,"Bud Cauley",56,29.39,1646,56,23,"PuttsPerRound",2014
129,129,"John Huh",87,29.43,2443,83,23,"PuttsPerRound",2014
129,129,"Troy Matteson",62,29.43,1707,58,19,"PuttsPerRound",2014
129,129,"Geoff Ogilvy",84,29.43,2354,80,24,"PuttsPerRound",2014
132,132,"Carl Pettersson",91,29.44,2679,91,23,"PuttsPerRound",2014
133,133,"Jamie Lovemark",64,29.48,1769,60,23,"PuttsPerRound",2014
134,134,"Stewart Cink",91,29.52,2686,91,25,"PuttsPerRound",2014
135,135,"Rory Sabbatini",82,29.53,2303,78,24,"PuttsPerRound",2014
136,136,"Ken Duke",80,29.54,2304,78,23,"PuttsPerRound",2014
136,136,"Vijay Singh",83,29.54,2452,83,24,"PuttsPerRound",2014
138,138,"Martin Flores",85,29.56,2513,85,23,"PuttsPerRound",2014
139,139,"Briny Baird",50,29.58,1479,50,24,"PuttsPerRound",2014
140,140,"Josh Teater",90,29.59,2604,88,25,"PuttsPerRound",2014
140,140,"Will Wilcox",51,29.59,1450,49,23,"PuttsPerRound",2014
142,142,"Bo Van Pelt",83,29.6,2457,83,25,"PuttsPerRound",2014
143,143,"Davis Love III",74,29.63,2133,72,24,"PuttsPerRound",2014
144,144,"Charlie Beljan",76,29.64,2134,72,21,"PuttsPerRound",2014
145,145,"James Hahn",82,29.65,2372,80,24,"PuttsPerRound",2014
146,146,"Jason Dufner",57,29.67,1602,54,23,"PuttsPerRound",2014
147,147,"Nick Watney",80,29.69,2227,75,23,"PuttsPerRound",2014
148,148,"Trevor Immelman",84,29.7,2376,80,22,"PuttsPerRound",2014
148,148,"Andrew Svoboda",77,29.7,2287,77,22,"PuttsPerRound",2014
150,150,"Heath Slocum",71,29.71,2050,69,24,"PuttsPerRound",2014
151,151,"Jim Herman",62,29.74,1725,58,25,"PuttsPerRound",2014
152,152,"Graham DeLaet",80,29.75,2350,79,25,"PuttsPerRound",2014
153,153,"Martin Laird",66,29.76,1845,62,24,"PuttsPerRound",2014
153,153,"Michael Putnam",106,29.76,3036,102,23,"PuttsPerRound",2014
153,153,"Kevin Stadler",90,29.76,2649,89,25,"PuttsPerRound",2014
156,156,"Mark Wilson",69,29.77,1935,65,25,"PuttsPerRound",2014
157,157,"Jim Renner",61,29.81,1759,59,26,"PuttsPerRound",2014
158,158,"DA Points",75,29.82,2177,73,24,"PuttsPerRound",2014
159,159,"Robert Allenby",83,29.85,2418,81,23,"PuttsPerRound",2014
