"PercentageofYardagecoveredbyTeeShotsPar4s_RANKTHISWEEK_2007","PercentageofYardagecoveredbyTeeShotsPar4s_RANKLASTWEEK_2007","PercentageofYardagecoveredbyTeeShotsPar4s_PLAYERNAME_2007","PercentageofYardagecoveredbyTeeShotsPar4s_ROUNDS_2007","PercentageofYardagecoveredbyTeeShotsPar4s_AVGPct_2007","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALSHOTDISTANCE_2007","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALDISTANCE_2007","stat_name","year"
1,1,"John Daly",59,70.45,159575.9,226511,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
2,2,"JB Holmes",71,70.23,204994.5,291898,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
3,3,"Bubba Watson",80,69.4,208392,300295,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
4,4,"Robert Garrigus",95,68.81,270626.6,393294,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
5,5,"Tag Ridings",52,68.56,135579.8,197759,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
6,6,"Jeff Overton",60,68.5,166360.5,242851,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
7,7,"Bubba Dickerson",51,68.37,131274.5,191993,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
8,8,"Harrison Frazar",88,68.11,227093.5,333443,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
9,9,"Brett Wetterich",88,68.08,224384.4,329575,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
10,10,"Matt Hendrix",63,67.91,167144.1,246129,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
11,11,"Chris Couch",76,67.86,226561.8,333850,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
12,12,"Henrik Stenson",52,67.8,111997.4,165197,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
13,13,"Scott Gutschewski",67,67.7,178156.4,263154,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
14,14,"Nick Watney",87,67.67,216263.8,319598,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
15,15,"Kevin Stadler",95,67.66,237936.6,351687,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
16,16,"Mathias Gronberg",95,67.6,270490.4,400129,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
17,17,"Bill Haas",93,67.51,252348.2,373794,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
18,18,"Adam Scott",69,67.47,170480.4,252658,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
19,19,"Boo Weekley",101,67.45,247060.3,366313,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
20,20,"Charley Hoffman",97,67.43,254146.9,376914,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
21,21,"Anthony Kim",93,67.38,249211.9,369833,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
22,22,"Steve Allan",63,67.35,169015.8,250946,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
23,23,"Jason Gore",86,67.32,238385.4,354123,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
24,24,"Charles Howell III",89,67.28,206260.1,306579,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
25,25,"Charles Warren",101,67.24,288063.5,428398,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
26,26,"Geoff Ogilvy",84,67.21,204716.5,304579,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
27,27,"Brendon de Jonge",76,67.18,199571.7,297075,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
28,28,"Vijay Singh",102,67.15,260853.3,388467,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
29,29,"DJ Trahan",99,67.08,276789.1,412627,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
30,30,"Steve Marino",106,67.06,278906.4,415936,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
30,30,"Greg Owen",81,67.06,213868.9,318906,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
32,32,"Jay Williamson",50,67.04,143480.7,214024,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
33,33,"Daniel Chopra",106,67.02,286877.3,428067,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
34,34,"Ernie Els",59,66.93,137594.9,205583,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
35,35,"Jarrod Lyle",77,66.9,204714.3,306017,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
36,36,"Andrew Buckle",77,66.88,209906.1,313875,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
37,37,"Phil Mickelson",73,66.87,164029.3,245304,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
38,38,"Davis Love III",66,66.85,166821.9,249555,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
39,39,"Michael Sim",52,66.84,151339.9,226411,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
40,40,"Steve Lowery",74,66.83,210365.5,314766,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
41,41,"Lucas Glover",98,66.81,234623.9,351198,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
42,42,"John Merrick",92,66.78,247534.3,370699,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
42,42,"Chris Tidland",59,66.78,153311.3,229571,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
44,44,"Kenny Perry",83,66.74,230342.4,345143,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
45,45,"John Rollins",102,66.72,261684.5,392236,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
46,46,"Jason Schultz",63,66.71,159980.7,239810,"PercentageofYardagecoveredbyTeeShotsPar4s",2007
