"LeftTendency_RANKTHISWEEK_2012","LeftTendency_RANKLASTWEEK_2012","LeftTendency_PLAYERNAME_2012","LeftTendency_EVENTS_2012","LeftTendency_Pct_2012","LeftTendency_NUMBEROFTIMES_2012","LeftTendency_ATTEMPTS_2012","LeftTendency_AVGRTPSCORE_2012","stat_name","year"
1,1,"Marc Leishman",23,35.1,161,459,0.99,"LeftTendency",2012
2,2,"Stephen Gangluff",23,36.6,100,273,3.5,"LeftTendency",2012
3,3,"Trevor Immelman",24,36.8,117,318,1.54,"LeftTendency",2012
4,4,"Mark Wilson",25,37.2,106,285,1.89,"LeftTendency",2012
5,5,"Josh Teater",30,38.6,162,420,0.68,"LeftTendency",2012
6,6,"Bryce Molder",25,39.1,143,366,1.12,"LeftTendency",2012
7,7,"Charles Howell III",29,39.4,187,475,1.07,"LeftTendency",2012
7,7,"Martin Laird",22,39.4,117,297,2.22,"LeftTendency",2012
9,9,"Kevin Chappell",29,40.2,169,420,2.49,"LeftTendency",2012
9,9,"Nick Watney",26,40.2,169,420,1.72,"LeftTendency",2012
11,11,"Harris English",27,40.5,188,464,1.7,"LeftTendency",2012
12,12,"Daniel Chopra",21,40.6,116,286,0.43,"LeftTendency",2012
13,13,"Charlie Wi",25,40.8,151,370,2.65,"LeftTendency",2012
14,14,"Scott Dunlap",20,41.1,90,219,3,"LeftTendency",2012
15,15,"Mark Anderson",25,41.3,157,380,1.34,"LeftTendency",2012
16,16,"Jeff Overton",29,41.4,194,469,0.88,"LeftTendency",2012
17,17,"Ken Duke",30,41.6,173,416,1.45,"LeftTendency",2012
17,17,"Rory Sabbatini",29,41.6,156,375,2.18,"LeftTendency",2012
19,19,"Adam Scott",16,41.7,93,223,1.51,"LeftTendency",2012
20,20,"Alexandre Rocha",21,41.8,102,244,2.94,"LeftTendency",2012
20,20,"Heath Slocum",29,41.8,115,275,2.87,"LeftTendency",2012
22,22,"Russell Knox",23,41.9,103,246,1.07,"LeftTendency",2012
23,23,"Brandt Jobe",18,42.9,97,226,2.37,"LeftTendency",2012
23,23,"George McNeill",25,42.9,160,373,2.31,"LeftTendency",2012
25,25,"Patrick Sheehan",21,43.1,106,246,2.64,"LeftTendency",2012
26,26,"John Mallinger",25,43.2,121,280,1.32,"LeftTendency",2012
26,26,"Vijay Singh",27,43.2,176,407,0.97,"LeftTendency",2012
28,28,"Bill Haas",23,43.6,129,296,1.32,"LeftTendency",2012
28,28,"Chris Kirk",27,43.6,196,450,1.12,"LeftTendency",2012
28,28,"Hunter Mahan",23,43.6,123,282,2.11,"LeftTendency",2012
31,31,"Bob Estes",23,43.7,148,339,2.57,"LeftTendency",2012
31,31,"David Hearn",28,43.7,194,444,1.65,"LeftTendency",2012
33,33,"Justin Rose",19,43.8,113,258,-0.27,"LeftTendency",2012
34,34,"Scott Piercy",28,43.9,211,481,0.71,"LeftTendency",2012
35,35,"Boo Weekley",25,44.2,119,269,2.35,"LeftTendency",2012
36,36,"Chris DiMarco",29,44.4,135,304,2.59,"LeftTendency",2012
37,37,"Cameron Tringale",26,44.5,161,362,2.05,"LeftTendency",2012
38,38,"Kyle Stanley",27,44.8,168,375,0.95,"LeftTendency",2012
39,39,"Greg Owen",27,44.9,184,410,1.3,"LeftTendency",2012
39,39,"Charl Schwartzel",16,44.9,89,198,0,"LeftTendency",2012
39,39,"Jimmy Walker",28,44.9,254,566,0.91,"LeftTendency",2012
42,42,"Blake Adams",32,45,177,393,2.03,"LeftTendency",2012
42,42,"Ricky Barnes",28,45,206,458,1.99,"LeftTendency",2012
42,42,"James Driscoll",27,45,198,440,1.41,"LeftTendency",2012
45,45,"Brendan Steele",24,45.2,146,323,2.53,"LeftTendency",2012
46,46,"Ryo Ishikawa",18,45.3,105,232,1.33,"LeftTendency",2012
47,47,"Bubba Watson",19,45.4,124,273,0.48,"LeftTendency",2012
48,48,"Stewart Cink",22,45.5,155,341,1.48,"LeftTendency",2012
48,48,"John Huh",28,45.5,166,365,1.51,"LeftTendency",2012
48,48,"JJ Killeen",33,45.5,223,490,1.93,"LeftTendency",2012
48,48,"John Rollins",26,45.5,155,341,1.68,"LeftTendency",2012
52,52,"Brian Davis",29,45.7,158,346,1.96,"LeftTendency",2012
53,53,"Angel Cabrera",20,46,93,202,0.86,"LeftTendency",2012
53,53,"Kevin Kisner",24,46,125,272,1.36,"LeftTendency",2012
55,55,"Charlie Beljan",22,46.2,109,236,1.01,"LeftTendency",2012
55,55,"Brian Gay",28,46.2,184,398,1.9,"LeftTendency",2012
57,57,"Brandt Snedeker",22,46.3,162,350,0.86,"LeftTendency",2012
58,58,"David Toms",19,46.5,86,185,2.44,"LeftTendency",2012
59,59,"Ian Poulter",15,46.6,75,161,1.87,"LeftTendency",2012
60,60,"Aaron Baddeley",22,46.7,155,332,0.97,"LeftTendency",2012
60,60,"Chris Couch",21,46.7,112,240,2.32,"LeftTendency",2012
60,60,"Troy Matteson",32,46.7,240,514,0.88,"LeftTendency",2012
63,63,"Rocco Mediate",23,46.8,139,297,1.73,"LeftTendency",2012
64,64,"Graham DeLaet",23,46.9,172,367,1.28,"LeftTendency",2012
65,65,"Sean OHair",24,47,188,400,1.97,"LeftTendency",2012
66,66,"Danny Lee",26,47.1,152,323,0.86,"LeftTendency",2012
67,67,"Jason Dufner",22,47.3,138,292,1.45,"LeftTendency",2012
67,67,"Robert Karlsson",17,47.3,115,243,2.61,"LeftTendency",2012
67,67,"Rory McIlroy",16,47.3,112,237,0.18,"LeftTendency",2012
70,70,"Greg Chalmers",25,47.4,181,382,1.82,"LeftTendency",2012
71,71,"Stephen Ames",20,47.5,94,198,2.55,"LeftTendency",2012
71,71,"Tom Pernice Jr",23,47.5,132,278,2.5,"LeftTendency",2012
73,73,"KJ Choi",21,47.6,129,271,2.56,"LeftTendency",2012
73,73,"Gary Christian",28,47.6,148,311,3.78,"LeftTendency",2012
75,75,"David Mathis",29,47.7,163,342,2.39,"LeftTendency",2012
76,76,"Tommy Gainey",32,47.8,255,534,2.82,"LeftTendency",2012
76,76,"Tim Herron",27,47.8,198,414,2.47,"LeftTendency",2012
76,76,"Andres Romero",22,47.8,153,320,1.7,"LeftTendency",2012
79,79,"Cameron Beckman",26,47.9,169,353,3.31,"LeftTendency",2012
80,80,"Jason Kokrak",27,48,203,423,1.82,"LeftTendency",2012
81,81,"Jason Day",17,48.1,140,291,1.29,"LeftTendency",2012
81,81,"Padraig Harrington",18,48.1,113,235,0.97,"LeftTendency",2012
81,81,"Bill Lunde",25,48.1,174,362,0.92,"LeftTendency",2012
81,81,"Roland Thatcher",21,48.1,104,216,0.67,"LeftTendency",2012
85,85,"Sangmoon Bae",25,48.2,162,336,2.22,"LeftTendency",2012
85,85,"Keegan Bradley",25,48.2,170,353,0.88,"LeftTendency",2012
85,85,"JB Holmes",25,48.2,215,446,1.44,"LeftTendency",2012
85,85,"Richard Lee",24,48.2,121,251,2.48,"LeftTendency",2012
85,85,"Ryan Palmer",24,48.2,192,398,1.04,"LeftTendency",2012
90,90,"Scott Brown",24,48.3,127,263,2.36,"LeftTendency",2012
91,91,"Bobby Gates",29,48.4,201,415,1.54,"LeftTendency",2012
91,91,"Charley Hoffman",27,48.4,187,386,1.66,"LeftTendency",2012
91,91,"John Merrick",26,48.4,166,343,1.2,"LeftTendency",2012
94,94,"Roberto Castro",27,48.7,170,349,1.47,"LeftTendency",2012
95,95,"Erik Compton",26,48.8,177,363,2.37,"LeftTendency",2012
95,95,"Colt Knost",29,48.8,145,297,3.45,"LeftTendency",2012
97,97,"Hunter Haas",24,48.9,130,266,1.46,"LeftTendency",2012
97,97,"Matt Jones",19,48.9,129,264,1.94,"LeftTendency",2012
99,99,"Matt Every",25,49,165,337,1.64,"LeftTendency",2012
99,99,"Rickie Fowler",23,49,150,306,2.13,"LeftTendency",2012
99,99,"Billy Mayfair",28,49,174,355,2.41,"LeftTendency",2012
99,99,"Chris Stroud",28,49,190,388,2.05,"LeftTendency",2012
103,103,"Kris Blanks",23,49.1,135,275,1.93,"LeftTendency",2012
103,103,"Ernie Els",22,49.1,183,373,1.64,"LeftTendency",2012
105,105,"Freddie Jacobson",17,49.2,122,248,2.62,"LeftTendency",2012
106,106,"Sung Kang",30,49.3,176,357,2.67,"LeftTendency",2012
106,106,"Henrik Stenson",15,49.3,100,203,1.9,"LeftTendency",2012
108,108,"Zach Johnson",25,49.5,153,309,2.68,"LeftTendency",2012
108,108,"Davis Love III",20,49.5,139,281,0.79,"LeftTendency",2012
108,108,"John Senden",22,49.5,144,291,1.18,"LeftTendency",2012
108,108,"Kevin Streelman",26,49.5,191,386,2.36,"LeftTendency",2012
112,112,"Matt Kuchar",22,49.7,160,322,1.63,"LeftTendency",2012
113,113,"Jerry Kelly",26,50,128,256,2.03,"LeftTendency",2012
114,114,"William McGirt",30,50.1,210,419,1.05,"LeftTendency",2012
114,114,"Daniel Summerhays",26,50.1,173,345,2.14,"LeftTendency",2012
116,116,"Mathew Goggin",23,50.2,152,303,1.38,"LeftTendency",2012
117,117,"Arjun Atwal",27,50.5,167,331,3.47,"LeftTendency",2012
118,118,"Chad Campbell",27,50.6,197,389,1.83,"LeftTendency",2012
119,119,"Kevin Na",25,50.7,147,290,1.36,"LeftTendency",2012
120,120,"Michael Thompson",25,50.9,175,344,2.51,"LeftTendency",2012
121,121,"Jim Furyk",24,51,128,251,0.63,"LeftTendency",2012
121,121,"Rod Pampling",26,51,174,341,2.7,"LeftTendency",2012
123,123,"Jonas Blixt",21,51.1,182,356,1.43,"LeftTendency",2012
123,123,"Miguel Angel Carballo",25,51.1,164,321,2.26,"LeftTendency",2012
123,123,"Ryan Moore",24,51.1,189,370,2.01,"LeftTendency",2012
