"StrokesGainedTeetoGreen_RANKTHISWEEK_2011","StrokesGainedTeetoGreen_RANKLASTWEEK_2011","StrokesGainedTeetoGreen_PLAYERNAME_2011","StrokesGainedTeetoGreen_ROUNDS_2011","StrokesGainedTeetoGreen_AVERAGE_2011","StrokesGainedTeetoGreen_TOTALSGT2G_2011","StrokesGainedTeetoGreen_SGTOTAL_2011","StrokesGainedTeetoGreen_TOTALSGP_2011","StrokesGainedTeetoGreen_MEASUREDROUNDS_2011","stat_name","year"
1,1,"Webb Simpson",98,1.45,120.351,142.536,22.185,83,"StrokesGainedTeetoGreen",2011
2,2,"Luke Donald",73,1.314,68.352,116.29,47.938,52,"StrokesGainedTeetoGreen",2011
3,3,"Phil Mickelson",79,1.24,71.891,64.2,-7.691,58,"StrokesGainedTeetoGreen",2011
4,4,"Sergio Garcia",61,1.131,50.9,44.262,-6.638,45,"StrokesGainedTeetoGreen",2011
5,5,"Nick Watney",80,1.12,69.424,102.506,33.082,62,"StrokesGainedTeetoGreen",2011
6,6,"Kyle Stanley",98,1.113,89.002,50.486,-38.516,80,"StrokesGainedTeetoGreen",2011
7,7,"Gary Woodland",93,1.098,76.862,67.155,-9.707,70,"StrokesGainedTeetoGreen",2011
8,8,"Matt Kuchar",94,1.097,77.91,109.407,31.497,71,"StrokesGainedTeetoGreen",2011
9,9,"Rory Sabbatini",85,1.063,64.845,39.849,-24.996,61,"StrokesGainedTeetoGreen",2011
10,10,"Bo Van Pelt",92,1.03,73.152,59.536,-13.616,71,"StrokesGainedTeetoGreen",2011
11,11,"Dustin Johnson",72,0.99,53.448,26.76,-26.688,54,"StrokesGainedTeetoGreen",2011
12,12,"Robert Allenby",84,0.989,69.26,55.471,-13.789,70,"StrokesGainedTeetoGreen",2011
13,13,"Charl Schwartzel",58,0.987,39.476,37.994,-1.482,40,"StrokesGainedTeetoGreen",2011
14,14,"Chad Campbell",99,0.967,84.113,47.3,-36.813,87,"StrokesGainedTeetoGreen",2011
15,15,"Steve Stricker",70,0.92,48.737,91.68,42.943,53,"StrokesGainedTeetoGreen",2011
16,16,"DJ Trahan",91,0.896,74.36,10.558,-63.802,83,"StrokesGainedTeetoGreen",2011
17,17,"Martin Laird",77,0.891,55.266,60.882,5.616,62,"StrokesGainedTeetoGreen",2011
18,18,"Ernie Els",71,0.871,51.382,9.428,-41.954,59,"StrokesGainedTeetoGreen",2011
19,19,"KJ Choi",77,0.861,49.929,58.675,8.746,58,"StrokesGainedTeetoGreen",2011
20,20,"JB Holmes",57,0.856,40.246,36.308,-3.938,47,"StrokesGainedTeetoGreen",2011
21,21,"Jim Furyk",87,0.848,59.341,44.116,-15.225,70,"StrokesGainedTeetoGreen",2011
22,22,"David Toms",78,0.846,49.896,73.918,24.022,59,"StrokesGainedTeetoGreen",2011
23,23,"Justin Rose",79,0.843,53.126,58.109,4.983,63,"StrokesGainedTeetoGreen",2011
24,24,"Boo Weekley",66,0.829,47.256,-19.334,-66.59,57,"StrokesGainedTeetoGreen",2011
25,25,"Adam Scott",60,0.824,37.092,28.576,-8.516,45,"StrokesGainedTeetoGreen",2011
26,26,"Charles Howell III",108,0.814,74.05,108.717,34.667,91,"StrokesGainedTeetoGreen",2011
27,27,"Spencer Levin",113,0.782,73.501,73.711,0.21,94,"StrokesGainedTeetoGreen",2011
28,28,"Bill Haas",93,0.777,55.978,64.167,8.278,72,"StrokesGainedTeetoGreen",2011
29,29,"Aaron Baddeley",77,0.741,45.941,67.271,21.33,62,"StrokesGainedTeetoGreen",2011
29,29,"Jason Dufner",78,0.741,48.17,44.524,-3.646,65,"StrokesGainedTeetoGreen",2011
31,31,"Ricky Barnes",78,0.733,46.935,14.333,-32.602,64,"StrokesGainedTeetoGreen",2011
32,32,"Charley Hoffman",93,0.699,51.709,35.328,-16.381,74,"StrokesGainedTeetoGreen",2011
33,33,"John Rollins",85,0.694,49.97,43.471,-6.499,72,"StrokesGainedTeetoGreen",2011
34,34,"Bubba Watson",85,0.68,40.127,33.273,-6.854,59,"StrokesGainedTeetoGreen",2011
35,35,"John Senden",94,0.657,53.217,74.383,21.166,81,"StrokesGainedTeetoGreen",2011
36,36,"Vijay Singh",79,0.649,46.746,39.651,-7.095,72,"StrokesGainedTeetoGreen",2011
37,37,"Hunter Mahan",92,0.637,48.41,88.71,40.3,76,"StrokesGainedTeetoGreen",2011
38,38,"Robert Karlsson",61,0.595,26.765,30.513,3.748,45,"StrokesGainedTeetoGreen",2011
39,39,"Billy Mayfair",94,0.569,48.39,29.701,-18.689,85,"StrokesGainedTeetoGreen",2011
40,40,"Brian Davis",105,0.566,52.045,50.645,-1.4,92,"StrokesGainedTeetoGreen",2011
41,41,"Davis Love III",70,0.565,29.378,14.088,-15.29,52,"StrokesGainedTeetoGreen",2011
42,42,"Joe Durant",71,0.564,36.11,-18.472,-54.582,64,"StrokesGainedTeetoGreen",2011
43,43,"Chris Kirk",87,0.555,42.71,30.542,-12.168,77,"StrokesGainedTeetoGreen",2011
44,44,"Kris Blanks",92,0.546,45.342,7.893,-37.449,83,"StrokesGainedTeetoGreen",2011
44,44,"Brandt Jobe",100,0.546,44.203,42.571,-1.632,81,"StrokesGainedTeetoGreen",2011
46,46,"Robert Garrigus",83,0.516,35.58,3.908,-31.672,69,"StrokesGainedTeetoGreen",2011
47,47,"Rickie Fowler",84,0.48,31.682,58.624,26.942,66,"StrokesGainedTeetoGreen",2011
48,48,"Kevin Streelman",90,0.469,33.269,60.621,27.352,71,"StrokesGainedTeetoGreen",2011
49,49,"Alex Cejka",59,0.458,21.536,-10.534,-32.07,47,"StrokesGainedTeetoGreen",2011
50,50,"Chez Reavie",92,0.452,37.091,30.926,-6.165,82,"StrokesGainedTeetoGreen",2011
50,50,"Brandt Snedeker",85,0.452,30.315,69.75,39.435,67,"StrokesGainedTeetoGreen",2011
52,52,"Jerry Kelly",85,0.451,30.683,44.143,13.46,68,"StrokesGainedTeetoGreen",2011
53,53,"Woody Austin",59,0.441,22.052,20.821,-1.231,50,"StrokesGainedTeetoGreen",2011
54,54,"Zach Johnson",79,0.423,27.072,66.114,39.042,64,"StrokesGainedTeetoGreen",2011
55,55,"Heath Slocum",89,0.41,30.341,-7.423,-37.764,74,"StrokesGainedTeetoGreen",2011
56,56,"Stewart Cink",72,0.408,21.238,33.031,11.793,52,"StrokesGainedTeetoGreen",2011
57,57,"Rod Pampling",72,0.406,24.375,28.323,3.948,60,"StrokesGainedTeetoGreen",2011
58,58,"Steve Marino",76,0.394,24.456,31.963,7.507,62,"StrokesGainedTeetoGreen",2011
59,59,"Nick OHern",89,0.384,29.198,29.775,0.577,76,"StrokesGainedTeetoGreen",2011
60,60,"Briny Baird",60,0.377,18.482,23.095,4.613,49,"StrokesGainedTeetoGreen",2011
61,61,"Ben Crane",76,0.36,22.34,28.602,6.262,62,"StrokesGainedTeetoGreen",2011
62,62,"Jason Day",76,0.352,20.785,57.563,36.778,59,"StrokesGainedTeetoGreen",2011
63,63,"John Merrick",71,0.341,20.44,21.9,1.46,60,"StrokesGainedTeetoGreen",2011
64,64,"Carl Pettersson",95,0.334,30.046,67.414,37.368,90,"StrokesGainedTeetoGreen",2011
65,65,"Camilo Villegas",69,0.325,18.538,3.287,-15.251,57,"StrokesGainedTeetoGreen",2011
66,66,"Jonathan Byrd",83,0.319,22.962,31.202,8.24,72,"StrokesGainedTeetoGreen",2011
67,67,"Ryan Moore",79,0.284,17.056,49.646,32.59,60,"StrokesGainedTeetoGreen",2011
68,68,"Mark Wilson",89,0.269,18.836,31.717,12.881,70,"StrokesGainedTeetoGreen",2011
69,69,"Brendon de Jonge",105,0.26,23.929,51.338,27.409,92,"StrokesGainedTeetoGreen",2011
70,70,"Pat Perez",76,0.228,15.969,30.054,14.085,70,"StrokesGainedTeetoGreen",2011
71,71,"Geoff Ogilvy",69,0.219,11.834,36.876,25.042,54,"StrokesGainedTeetoGreen",2011
72,72,"Freddie Jacobson",92,0.218,15.28,61.367,46.087,70,"StrokesGainedTeetoGreen",2011
73,73,"Keegan Bradley",91,0.201,15.44,16.953,1.513,77,"StrokesGainedTeetoGreen",2011
