"GIRPercentage75100yards_RANKTHISWEEK_2007","GIRPercentage75100yards_RANKLASTWEEK_2007","GIRPercentage75100yards_PLAYERNAME_2007","GIRPercentage75100yards_ROUNDS_2007","GIRPercentage75100yards_Pct_2007","GIRPercentage75100yards_GREENSHIT_2007","GIRPercentage75100yards_TOTALHOLES_2007","GIRPercentage75100yards_RELATIVETOPAR_2007","stat_name","year"
1,1,"Jose Maria Olazabal",52,93.33,28,30,-0.36,"GIRPercentage75100yards",2007
2,2,"Richard Johnson",93,89.41,76,85,-0.38,"GIRPercentage75100yards",2007
3,3,"Justin Leonard",95,89.01,81,91,-0.28,"GIRPercentage75100yards",2007
4,4,"Rich Beem",89,88.71,55,62,-0.35,"GIRPercentage75100yards",2007
5,5,"Steve Stricker",81,88.64,78,88,-0.46,"GIRPercentage75100yards",2007
6,6,"Adam Scott",69,88.33,53,60,-0.38,"GIRPercentage75100yards",2007
7,7,"Stephen Leaney",82,88.06,59,67,-0.22,"GIRPercentage75100yards",2007
8,8,"Stewart Cink",91,88,66,75,-0.38,"GIRPercentage75100yards",2007
9,9,"Jerry Kelly",101,87.32,62,71,-0.31,"GIRPercentage75100yards",2007
10,10,"Joey Sindelar",75,86.81,79,91,-0.29,"GIRPercentage75100yards",2007
11,11,"Stephen Ames",81,86.36,57,66,-0.37,"GIRPercentage75100yards",2007
12,12,"Joe Durant",88,86.27,88,102,-0.23,"GIRPercentage75100yards",2007
13,13,"Pat Perez",84,86,43,50,-0.3,"GIRPercentage75100yards",2007
14,14,"Lee Janzen",66,85.92,61,71,-0.33,"GIRPercentage75100yards",2007
15,15,"Freddie Jacobson",70,85.9,67,78,-0.25,"GIRPercentage75100yards",2007
16,16,"Glen Day",85,85.86,85,99,-0.32,"GIRPercentage75100yards",2007
17,17,"Geoff Ogilvy",84,85.71,78,91,-0.36,"GIRPercentage75100yards",2007
17,17,"Tiger Woods",63,85.71,24,28,-0.5,"GIRPercentage75100yards",2007
19,19,"Kent Jones",97,85.56,77,90,-0.31,"GIRPercentage75100yards",2007
20,20,"Jeff Sluman",60,85.11,40,47,-0.35,"GIRPercentage75100yards",2007
21,21,"Mark Calcavecchia",93,84.88,73,86,-0.45,"GIRPercentage75100yards",2007
21,21,"Ryuji Imada",104,84.88,73,86,-0.34,"GIRPercentage75100yards",2007
23,23,"Robert Garrigus",95,84.81,67,79,-0.31,"GIRPercentage75100yards",2007
23,23,"Tim Petrovic",106,84.81,67,79,-0.28,"GIRPercentage75100yards",2007
25,25,"Steve Flesch",100,84.69,83,98,-0.35,"GIRPercentage75100yards",2007
26,26,"Ernie Els",59,84.38,27,32,-0.22,"GIRPercentage75100yards",2007
27,27,"Craig Bowden",78,84.35,97,115,-0.44,"GIRPercentage75100yards",2007
28,28,"Michael Boyd",61,84.21,64,76,-0.2,"GIRPercentage75100yards",2007
29,29,"Michael Allen",74,84.13,53,63,-0.34,"GIRPercentage75100yards",2007
30,30,"Tom Lehman",62,84.09,37,44,-0.3,"GIRPercentage75100yards",2007
31,31,"Jim Furyk",84,84.06,58,69,-0.47,"GIRPercentage75100yards",2007
32,32,"Paul Goydos",60,83.93,47,56,-0.26,"GIRPercentage75100yards",2007
33,33,"Jason Dufner",100,83.54,66,79,-0.24,"GIRPercentage75100yards",2007
34,34,"Jarrod Lyle",77,83.51,81,97,-0.37,"GIRPercentage75100yards",2007
35,35,"Shaun Micheel",91,83.16,79,95,-0.2,"GIRPercentage75100yards",2007
36,36,"Nick OHern",72,83.02,44,53,-0.48,"GIRPercentage75100yards",2007
37,37,"Kirk Triplett",77,83,83,100,-0.28,"GIRPercentage75100yards",2007
38,38,"Steve Allan",63,82.61,38,46,-0.18,"GIRPercentage75100yards",2007
39,39,"Mathew Goggin",97,82.5,66,80,-0.36,"GIRPercentage75100yards",2007
40,40,"Brett Wetterich",88,82.43,61,74,-0.34,"GIRPercentage75100yards",2007
41,41,"Billy Andrade",88,82.35,70,85,-0.34,"GIRPercentage75100yards",2007
41,41,"Tom Byrum",50,82.35,42,51,-0.33,"GIRPercentage75100yards",2007
43,43,"Heath Slocum",101,82.3,93,113,-0.37,"GIRPercentage75100yards",2007
44,44,"Ted Purdy",102,82.24,88,107,-0.43,"GIRPercentage75100yards",2007
45,45,"Jeff Gove",103,82.22,74,90,-0.22,"GIRPercentage75100yards",2007
46,46,"Shigeki Maruyama",84,82.02,73,89,-0.34,"GIRPercentage75100yards",2007
47,47,"Billy Mayfair",98,81.82,54,66,-0.37,"GIRPercentage75100yards",2007
48,48,"Jeff Maggert",79,81.73,85,104,-0.29,"GIRPercentage75100yards",2007
49,49,"Corey Pavin",81,81.61,71,87,-0.41,"GIRPercentage75100yards",2007
50,50,"Chris DiMarco",79,81.58,62,76,-0.34,"GIRPercentage75100yards",2007
51,51,"Chris Riley",59,81.16,56,69,-0.29,"GIRPercentage75100yards",2007
52,52,"Bob Heintz",85,81.08,60,74,-0.38,"GIRPercentage75100yards",2007
53,53,"Jonathan Byrd",73,81.03,47,58,-0.34,"GIRPercentage75100yards",2007
54,54,"Sean OHair",98,80.9,72,89,-0.43,"GIRPercentage75100yards",2007
55,55,"JJ Henry",86,80.82,59,73,-0.29,"GIRPercentage75100yards",2007
56,56,"Anders Hansen",55,80.65,25,31,-0.28,"GIRPercentage75100yards",2007
57,57,"Zach Johnson",76,80.6,54,67,-0.33,"GIRPercentage75100yards",2007
